% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	30900	-0.00832846	0.03176394	0.45974068	0.03173070	0.49501552	0.63556226	0.63517006	0.34735206	0.34636567	0.63595529	0.63524409	0.34662912	0.34630889	59842	30898	0
59842	30903	-0.00654373	0.03185628	0.46883803	0.03189869	0.46348384	0.63598988	0.63535198	0.34671992	0.34648030	0.63586498	0.63533317	0.34684465	0.34637430	59842	30902	0
59842	30907	-0.00172803	0.03176251	0.48876982	0.03195562	0.47432270	0.63567089	0.63535404	0.34739027	0.34641572	0.63590278	0.63543112	0.34671614	0.34637594	59842	30905	0
59842	30910	0.00110853	0.03203597	0.47889664	0.03203923	0.47038696	0.63584460	0.63537910	0.34732141	0.34659132	0.63564460	0.63546834	0.34752076	0.34654818	59842	30908	0
59842	30913	-0.00517034	0.03205433	0.47922717	0.03195735	0.49806381	0.63606622	0.63531024	0.34686930	0.34649485	0.63579004	0.63531764	0.34706216	0.34641432	59842	30912	0
59842	30916	-0.00257786	0.03219371	0.47049301	0.03209575	0.46271555	0.63553276	0.63554270	0.34740358	0.34655943	0.63571165	0.63524459	0.34709347	0.34637225	59842	30915	0
59842	30920	0.01179967	0.03201171	0.50190772	0.03226054	0.45877513	0.63581461	0.63531994	0.34690710	0.34645565	0.63595759	0.63527105	0.34661983	0.34639665	59842	30918	0
59842	30923	0.00583338	0.03224584	0.44886757	0.03206118	0.46676644	0.63565306	0.63522092	0.34720777	0.34639049	0.63588594	0.63524286	0.34665204	0.34642780	59842	30921	0
59842	30926	0.00963571	0.03189201	0.50160384	0.03202680	0.49019687	0.63559990	0.63514368	0.34699486	0.34640881	0.63550663	0.63540597	0.34750835	0.34650923	59842	30925	0
59842	30929	0.00560587	0.03199551	0.48133401	0.03179895	0.49342351	0.63576991	0.63530416	0.34698689	0.34639509	0.63566325	0.63539110	0.34698919	0.34646034	59842	30928	0
59842	30933	0.01126104	0.03189292	0.46630281	0.03192707	0.44933729	0.63585381	0.63524639	0.34673947	0.34639969	0.63541213	0.63516283	0.34742059	0.34633280	59842	30931	0
59842	30936	0.00896764	0.03209430	0.46782282	0.03201233	0.47470302	0.63568388	0.63523875	0.34702658	0.34647463	0.63556752	0.63511541	0.34696191	0.34629911	59842	30934	0
59842	30939	-0.00189192	0.03220171	0.44401624	0.03195114	0.47659493	0.63576744	0.63518674	0.34661761	0.34626238	0.63554805	0.63514919	0.34706882	0.34627759	59842	30938	0
59842	30943	0.00137855	0.03224847	0.46743233	0.03177723	0.45762092	0.63576449	0.63512675	0.34676511	0.34624726	0.63545741	0.63517540	0.34730629	0.34632837	59842	30941	0
59842	30946	-0.01199289	0.03185470	0.43011953	0.03186753	0.47023386	0.63567270	0.63503488	0.34674235	0.34623634	0.63571633	0.63512437	0.34652977	0.34627397	59842	30944	0
59842	30949	0.00331167	0.03180355	0.48858324	0.03187655	0.44266956	0.63556957	0.63510909	0.34688902	0.34626255	0.63568116	0.63507162	0.34642508	0.34618440	59842	30947	0
59842	30952	-0.01219767	0.03187500	0.45343325	0.03187578	0.49996126	0.63566284	0.63496479	0.34637841	0.34612697	0.63579629	0.63499380	0.34646214	0.34621892	59842	30951	0
59842	30956	-0.00695782	0.03235364	0.46492820	0.03198162	0.44920864	0.63574731	0.63503875	0.34634751	0.34612549	0.63546801	0.63488657	0.34643116	0.34598497	59842	30954	0
59842	30959	-0.00556220	0.03171187	0.45628400	0.03207166	0.45209716	0.63568782	0.63510761	0.34641514	0.34617668	0.63545347	0.63490308	0.34660175	0.34603008	59842	30957	0
59842	30962	-0.01067594	0.03192724	0.44425077	0.03178020	0.45959198	0.63543826	0.63497819	0.34675155	0.34597281	0.63559390	0.63506175	0.34628942	0.34606304	59842	30960	0
