% File initiated 21/09/2022 10:07:38 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference seq12 390mV 0p505 seq34 340mV 0p400 seq56 440mV 0p610  
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.421969
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	36500	0.00042957	0.03534556	0.46723103	0.03508190	0.47153744	0.63751523	0.63722903	0.35028460	0.34934505	0.63751170	0.63727505	0.35052109	0.34940208	59843	36499	0
59843	36504	0.00068599	0.03513822	0.46825749	0.03508868	0.46748821	0.63765484	0.63736691	0.35042832	0.34943125	0.63757218	0.63730824	0.35063399	0.34945417	59843	36502	0
59843	36507	0.00126047	0.03493771	0.47039556	0.03484819	0.46867213	0.63793135	0.63739559	0.35020530	0.34949846	0.63807079	0.63728121	0.34987966	0.34949419	59843	36505	0
59843	36510	0.00162857	0.03520154	0.46802658	0.03520698	0.46692229	0.63800358	0.63743906	0.34980233	0.34952550	0.63770653	0.63737990	0.35049997	0.34951457	59843	36508	0
59843	36513	0.00047857	0.03496760	0.46718745	0.03543584	0.47063743	0.63804598	0.63731210	0.34982345	0.34949970	0.63780423	0.63743742	0.35040819	0.34947159	59843	36512	0
59843	36795	0.00073759	0.03541331	0.47060993	0.03512600	0.46983290	0.63740290	0.63718893	0.35030350	0.34924127	0.63764137	0.63725097	0.34990825	0.34930076	59843	36793	0
59843	36798	-0.00023515	0.03507167	0.46888511	0.03480363	0.47180332	0.63746379	0.63716469	0.35022971	0.34933700	0.63756199	0.63725516	0.35038715	0.34935056	59843	36796	0
59843	36801	0.00168339	0.03496854	0.47326862	0.03508373	0.46751299	0.63792856	0.63727242	0.34963438	0.34931958	0.63783504	0.63733330	0.34984301	0.34925713	59843	36800	0
59843	36805	0.00060434	0.03520797	0.46925072	0.03535751	0.47248788	0.63740726	0.63732542	0.35035699	0.34934604	0.63772765	0.63741539	0.35011771	0.34933749	59843	36803	0
59843	36808	0.00081775	0.03531112	0.47007538	0.03574722	0.46943514	0.63760028	0.63739855	0.35023604	0.34927299	0.63753232	0.63737036	0.35043637	0.34925639	59843	36806	0
59843	37090	0.00157104	0.03530379	0.47137124	0.03516550	0.46911137	0.63941381	0.63890516	0.35108848	0.35045995	0.63944856	0.63879744	0.35117682	0.35055519	59843	37088	0
59843	37093	0.00059667	0.03517059	0.46837998	0.03473918	0.47130310	0.63906080	0.63902103	0.35162474	0.35059562	0.63923262	0.63896334	0.35167009	0.35053835	59843	37092	0
59843	37097	0.00191714	0.03481607	0.47345168	0.03486243	0.46949027	0.63921364	0.63896761	0.35163936	0.35050802	0.63952203	0.63892760	0.35098059	0.35049644	59843	37095	0
59843	37100	-0.00001918	0.03489265	0.46889484	0.03464997	0.47470380	0.63924642	0.63887829	0.35151487	0.35046143	0.63951521	0.63903006	0.35126754	0.35056472	59843	37098	0
59843	37103	0.00166854	0.03517702	0.47302134	0.03554942	0.46795817	0.63911708	0.63893212	0.35143763	0.35047055	0.63907814	0.63880270	0.35136820	0.35044056	59843	37102	0
59843	37386	0.00056240	0.03523419	0.46701421	0.03519398	0.47033263	0.63847697	0.63832405	0.35094386	0.34967259	0.63852767	0.63837179	0.35087952	0.34971844	59843	37384	0
59843	37389	0.00069408	0.03515687	0.46933205	0.03524481	0.46893701	0.63906786	0.63831550	0.35004121	0.34971819	0.63862192	0.63832980	0.35087155	0.34969937	59843	37387	0
59843	37392	0.00053699	0.03544122	0.46789354	0.03507046	0.46836482	0.63902324	0.63830663	0.34998886	0.34970209	0.63862299	0.63825626	0.35072225	0.34961638	59843	37391	0
59843	37396	0.00111549	0.03544849	0.46818674	0.03520461	0.46645123	0.63883483	0.63819668	0.35012198	0.34974235	0.63855413	0.63827351	0.35071551	0.34963166	59843	37394	0
59843	37399	0.00070866	0.03543032	0.46827743	0.03523235	0.46949794	0.63895751	0.63821131	0.34994991	0.34965032	0.63843818	0.63826735	0.35074838	0.34969600	59843	37397	0
59843	37680	-0.00029249	0.03529020	0.47059816	0.03525230	0.47360160	0.63901848	0.63878076	0.35108963	0.34994277	0.63932194	0.63874172	0.35051419	0.34991713	59843	37679	0
59843	37684	0.00160435	0.03537920	0.47326707	0.03492342	0.46757657	0.63911585	0.63897657	0.35100401	0.34997358	0.63906022	0.63891313	0.35120344	0.35005312	59843	37682	0
59843	37687	0.00146732	0.03531681	0.47042586	0.03513541	0.47083693	0.63940427	0.63894124	0.35064615	0.35010415	0.63918997	0.63887427	0.35073202	0.34995731	59843	37685	0
59843	37690	0.00068630	0.03524814	0.46970980	0.03532662	0.47205286	0.63905825	0.63884921	0.35104354	0.34996931	0.63960313	0.63891182	0.35028600	0.34994383	59843	37689	0
59843	37693	0.00121838	0.03546522	0.46844591	0.03558817	0.46684966	0.63921824	0.63876638	0.35093614	0.34988007	0.63949573	0.63886293	0.35036044	0.35001245	59843	37692	0
59843	37975	0.00044838	0.03609676	0.46867708	0.03582668	0.47098711	0.63920534	0.63903491	0.35115315	0.34995115	0.63982746	0.63908874	0.35035642	0.35010530	59843	37973	0
59843	37978	0.00037231	0.03555254	0.46930327	0.03547101	0.46953147	0.63933993	0.63916080	0.35128183	0.35013036	0.63939630	0.63903409	0.35113935	0.35010711	59843	37977	0
59843	37981	0.00051626	0.03539580	0.46993056	0.03576890	0.46949870	0.63981530	0.63908035	0.35061608	0.35009347	0.63927691	0.63907649	0.35125373	0.35011754	59843	37980	0
59843	37985	0.00078971	0.03545657	0.46946459	0.03558924	0.46864425	0.63944955	0.63913508	0.35099448	0.35008509	0.63973460	0.63924560	0.35044434	0.35012584	59843	37983	0
