% File initiated 21/09/2022 10:07:38 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference seq12 390mV 0p505 seq34 340mV 0p400 seq56 440mV 0p610  
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.421969
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	36517	0.00166162	0.00669383	0.46445108	0.00672100	0.46596922	0.63822971	0.63752287	0.34967012	0.34951868	0.63826423	0.63733865	0.34970611	0.34953191	59843	36515	0
59843	36520	0.00040747	0.00669390	0.46347848	0.00671557	0.46724094	0.63819019	0.63747497	0.34980710	0.34957603	0.63824434	0.63744259	0.34978869	0.34956839	59843	36518	0
59843	36523	0.00183693	0.00676474	0.46701018	0.00673997	0.46272179	0.63822265	0.63753101	0.34981220	0.34964752	0.63825280	0.63752518	0.34992329	0.34967883	59843	36522	0
59843	36526	0.00235912	0.00674398	0.46594287	0.00670940	0.46437630	0.63832405	0.63750307	0.34987465	0.34966420	0.63813702	0.63736420	0.34983890	0.34961737	59843	36525	0
59843	36530	0.00222905	0.00667222	0.46569210	0.00664350	0.46608233	0.63837647	0.63748409	0.34993619	0.34968918	0.63827064	0.63755410	0.34997391	0.34968105	59843	36528	0
59843	36533	0.00191640	0.00660336	0.46699113	0.00664685	0.46792908	0.63836513	0.63748047	0.34996183	0.34963553	0.63833259	0.63760159	0.35002083	0.34979855	59843	36531	0
59843	36536	0.00092847	0.00660088	0.46645138	0.00662748	0.46941515	0.63841320	0.63763208	0.35007835	0.34981671	0.63841271	0.63769001	0.35003118	0.34982049	59843	36535	0
59843	36540	0.00148932	0.00656935	0.46868950	0.00666067	0.46700696	0.63848469	0.63770530	0.35003562	0.34982288	0.63848469	0.63769634	0.35002872	0.34988138	59843	36538	0
59843	36543	-0.00016127	0.00660635	0.46650307	0.00660695	0.47145483	0.63854813	0.63776594	0.35011319	0.34986865	0.63844007	0.63769856	0.35015263	0.34985961	59843	36541	0
59843	36546	0.00051582	0.00669123	0.46866766	0.00664270	0.46663641	0.63862052	0.63775583	0.35014532	0.34998886	0.63858527	0.63771302	0.35011303	0.34990464	59843	36544	0
