% File initiated 21/09/2022 10:07:38 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference seq12 390mV 0p505 seq34 340mV 0p400 seq56 440mV 0p610  
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.421969
%% clock_data = False
%% sequence = 4
%% density = 
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	36615	0.00183610	0.00669589	0.44948015	0.00670943	0.44496738	0.63888495	0.63813694	0.35038838	0.35021705	0.63884994	0.63815625	0.35047343	0.35021212	59843	36613	0
59843	36618	0.00108490	0.00670410	0.44550339	0.00671675	0.44775699	0.63877262	0.63817392	0.35045174	0.35029479	0.63891092	0.63810292	0.35049389	0.35020596	59843	36616	0
59843	36621	0.00171515	0.00665153	0.44747107	0.00669914	0.44558034	0.63886334	0.63801253	0.35048789	0.35014606	0.63886876	0.63803045	0.35041698	0.35024072	59843	36620	0
59843	36624	0.00096539	0.00664312	0.44667353	0.00661323	0.44892281	0.63886235	0.63816759	0.35044640	0.35025379	0.63894140	0.63807819	0.35047392	0.35026323	59843	36623	0
59843	36628	0.00015526	0.00667587	0.44533599	0.00664512	0.44776637	0.63885036	0.63815025	0.35048559	0.35033776	0.63895192	0.63815009	0.35051238	0.35027589	59843	36626	0
59843	36631	0.00186085	0.00666524	0.44971584	0.00664157	0.44459908	0.63892957	0.63813464	0.35053547	0.35031985	0.63885759	0.63810958	0.35046768	0.35025945	59843	36629	0
59843	36634	0.00083128	0.00664822	0.44507256	0.00663176	0.44816125	0.63883885	0.63803423	0.35053851	0.35027893	0.63875906	0.63806291	0.35054492	0.35033292	59843	36633	0
59843	36637	0.00089056	0.00672964	0.44873985	0.00670356	0.44856201	0.63870935	0.63802124	0.35048263	0.35022157	0.63870450	0.63799027	0.35041139	0.35019092	59843	36636	0
59843	36641	0.00185065	0.00667811	0.45019568	0.00668382	0.44731542	0.63883992	0.63802511	0.35052150	0.35025855	0.63879547	0.63796644	0.35052240	0.35029265	59843	36639	0
59843	36644	-0.00049088	0.00661874	0.44597922	0.00661646	0.45300381	0.63884732	0.63817827	0.35049036	0.35030531	0.63881132	0.63806233	0.35046061	0.35023645	59843	36642	0
59843	36647	0.00146978	0.00660468	0.45227055	0.00667335	0.44638854	0.63895093	0.63810284	0.35045930	0.35020810	0.63879103	0.63799479	0.35039372	0.35019437	59843	36646	0
59843	36651	0.00145890	0.00658689	0.44989093	0.00665597	0.44992357	0.63873260	0.63803176	0.35045642	0.35023061	0.63870656	0.63799101	0.35040876	0.35016948	59843	36649	0
59843	36654	0.00129783	0.00667995	0.44819424	0.00661579	0.44867747	0.63880886	0.63810490	0.35039693	0.35023653	0.63878988	0.63804902	0.35044845	0.35021599	59843	36652	0
59843	36657	0.00072310	0.00667391	0.44874765	0.00662015	0.45047183	0.63878141	0.63797285	0.35039101	0.35019495	0.63871305	0.63802872	0.35036168	0.35017285	59843	36655	0
59843	36660	0.00033177	0.00666240	0.45013618	0.00670784	0.45131016	0.63891897	0.63788887	0.35042577	0.35009330	0.63870253	0.63796249	0.35031015	0.35006298	59843	36659	0
59843	36664	0.00141494	0.00665071	0.45121170	0.00667887	0.44796218	0.63871995	0.63778558	0.35023160	0.34999708	0.63860179	0.63784425	0.35027408	0.35007671	59843	36662	0
59843	36667	0.00104199	0.00668632	0.44952220	0.00661700	0.45064104	0.63855158	0.63786791	0.35025083	0.35012609	0.63866120	0.63778829	0.35030999	0.35008090	59843	36665	0
59843	36670	0.00094860	0.00668706	0.45033582	0.00673545	0.45061601	0.63858059	0.63782075	0.35031221	0.35014943	0.63858938	0.63779979	0.35027729	0.35004647	59843	36668	0
59843	36673	0.00093630	0.00667843	0.44839476	0.00669340	0.44843164	0.63864172	0.63779084	0.35026570	0.35005567	0.63869300	0.63789100	0.35035371	0.35005945	59843	36672	0
59843	36677	0.00122337	0.00665962	0.44962657	0.00671230	0.44876536	0.63871584	0.63779798	0.35023398	0.35005781	0.63858354	0.63781664	0.35019306	0.34996331	59843	36675	0
59843	36680	-0.00056751	0.00665463	0.44563392	0.00673953	0.45100655	0.63869678	0.63780735	0.35024014	0.35000012	0.63846982	0.63773512	0.35021820	0.34988763	59843	36678	0
59843	36683	0.00077219	0.00661674	0.45212039	0.00668338	0.44810129	0.63850203	0.63766881	0.35011163	0.34986191	0.63838896	0.63769617	0.35009117	0.34989585	59843	36682	0
59843	36686	0.00046203	0.00672282	0.45043644	0.00670171	0.45136695	0.63848297	0.63768212	0.35006265	0.34987859	0.63840145	0.63764153	0.35004737	0.34988171	59843	36685	0
