% File initiated 21/09/2022 12:26:01 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.518074
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	44778	0.00077115	0.05239629	0.46774249	0.05258722	0.46920811	0.64190180	0.64180508	0.35125431	0.35098799	0.64180393	0.64187476	0.35135382	0.35099045	59843	44776	0
59843	44781	0.00084440	0.05254791	0.46904390	0.05248117	0.46882413	0.64189276	0.64188298	0.35104156	0.35105257	0.64184321	0.64178454	0.35120295	0.35096473	59843	44779	0
59843	44784	0.00134605	0.05234892	0.47050323	0.05250786	0.46899829	0.64169144	0.64168692	0.35133040	0.35095208	0.64187517	0.64176342	0.35120139	0.35100870	59843	44783	0
59843	44787	0.00060701	0.05256048	0.46941323	0.05247611	0.47163036	0.64169119	0.64173556	0.35112686	0.35100064	0.64185446	0.64171551	0.35115315	0.35096629	59843	44786	0
59843	44791	0.00050849	0.05262405	0.47053690	0.05258215	0.47083244	0.64167870	0.64173556	0.35132004	0.35107969	0.64173959	0.64175331	0.35133853	0.35098955	59843	44789	0
59843	44876	0.00095714	0.05245769	0.46863552	0.05244083	0.46728959	0.64201445	0.64184214	0.35103573	0.35090754	0.64203204	0.64197263	0.35122900	0.35109719	59843	44875	0
59843	44879	0.00090716	0.05241073	0.46940789	0.05234621	0.46955784	0.64189539	0.64183696	0.35149449	0.35099678	0.64192176	0.64191733	0.35128923	0.35108002	59843	44878	0
59843	44883	0.00022872	0.05246666	0.46705527	0.05231017	0.46909058	0.64199013	0.64196844	0.35123171	0.35109613	0.64205332	0.64190993	0.35111996	0.35106465	59843	44881	0
59843	44886	0.00127563	0.05253181	0.46969258	0.05257201	0.46655184	0.64182570	0.64182817	0.35146697	0.35108084	0.64205554	0.64202924	0.35128282	0.35111223	59843	44884	0
59843	44889	-0.00032779	0.05254640	0.46692827	0.05297121	0.47173853	0.64206293	0.64195964	0.35106687	0.35109678	0.64193343	0.64194872	0.35146130	0.35114321	59843	44888	0
59843	44975	0.00032051	0.05255739	0.46903829	0.05258441	0.46709341	0.64178634	0.64191954	0.35113540	0.35097911	0.64202998	0.64192628	0.35115693	0.35103228	59843	44973	0
