% File initiated 21/09/2022 12:26:01 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.518074
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	44794	0.00057868	0.00878226	0.46783435	0.00878017	0.46714180	0.64257749	0.64152266	0.35102620	0.35096210	0.64263633	0.64149644	0.35092217	0.35091642	59843	44792	0
59843	44797	0.00123516	0.00879778	0.46931862	0.00879360	0.46734917	0.64254060	0.64153441	0.35102423	0.35094879	0.64269270	0.64155865	0.35111724	0.35106671	59843	44796	0
59843	44801	0.00124214	0.00880714	0.46779945	0.00875720	0.46777851	0.64258472	0.64144673	0.35107854	0.35099875	0.64251866	0.64144163	0.35108832	0.35095167	59843	44799	0
59843	44804	0.00008370	0.00879940	0.46567970	0.00880317	0.46915503	0.64251578	0.64138551	0.35105997	0.35090039	0.64238570	0.64142799	0.35103392	0.35089628	59843	44802	0
59843	44807	0.00110485	0.00874613	0.46899388	0.00877887	0.46593042	0.64249302	0.64142684	0.35107304	0.35092677	0.64249072	0.64146440	0.35099604	0.35101888	59843	44805	0
59843	44810	0.00107366	0.00873751	0.46844680	0.00877317	0.46854040	0.64245588	0.64129488	0.35098544	0.35091469	0.64247264	0.64139751	0.35093104	0.35089785	59843	44809	0
59843	44814	0.00119474	0.00874095	0.46748981	0.00880794	0.46712655	0.64242506	0.64131410	0.35095274	0.35079283	0.64232588	0.64132503	0.35091206	0.35083490	59843	44812	0
59843	44817	0.00161584	0.00878746	0.46860276	0.00880060	0.46733947	0.64244216	0.64140589	0.35095372	0.35085939	0.64248045	0.64140581	0.35088889	0.35080885	59843	44815	0
59843	44820	0.00064480	0.00877999	0.46666515	0.00879605	0.46957827	0.64264323	0.64148198	0.35091387	0.35092028	0.64251217	0.64134541	0.35093088	0.35081806	59843	44818	0
59843	44823	0.00110057	0.00875033	0.46785181	0.00877503	0.46648449	0.64246467	0.64133079	0.35094468	0.35085035	0.64262967	0.64140293	0.35095060	0.35086580	59843	44822	0
59843	44827	0.00034072	0.00878471	0.46628756	0.00876923	0.46856713	0.64250033	0.64147730	0.35102053	0.35084361	0.64259762	0.64141600	0.35099612	0.35092850	59843	44825	0
59843	44830	0.00104019	0.00876163	0.46905061	0.00877032	0.46695220	0.64257979	0.64156547	0.35094616	0.35096268	0.64261151	0.64147820	0.35098873	0.35090393	59843	44828	0
59843	44833	0.00029057	0.00883485	0.46548949	0.00877375	0.46773833	0.64261283	0.64141131	0.35096687	0.35095430	0.64251438	0.64145232	0.35095060	0.35092924	59843	44832	0
59843	44836	0.00067071	0.00877892	0.46653828	0.00875342	0.46539788	0.64243747	0.64129759	0.35095159	0.35084591	0.64242786	0.64132906	0.35091822	0.35087771	59843	44835	0
59843	44840	0.00103011	0.00877363	0.46545060	0.00878189	0.46437241	0.64238398	0.64127598	0.35088248	0.35085668	0.64251480	0.64133588	0.35091781	0.35093071	59843	44838	0
59843	44843	0.00080186	0.00873611	0.46447110	0.00875308	0.46515583	0.64256541	0.64144796	0.35105972	0.35086087	0.64247494	0.64140260	0.35089439	0.35083268	59843	44841	0
59843	44846	0.00066953	0.00873245	0.46556695	0.00877694	0.46596394	0.64255539	0.64140219	0.35097164	0.35090319	0.64257248	0.64141016	0.35102554	0.35095126	59843	44845	0
59843	44849	0.00123450	0.00876132	0.46645811	0.00872733	0.46476320	0.64255884	0.64146612	0.35093704	0.35093778	0.64264676	0.64147450	0.35091905	0.35085010	59843	44848	0
