% File initiated 21/09/2022 13:18:15 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 shorter expansion seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.554347
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	47912	0.00106288	0.04995590	0.47111344	0.05015256	0.47085344	0.64128814	0.64107540	0.35052298	0.35021352	0.64147606	0.64109158	0.35035239	0.35022125	59843	47910	0
59843	47915	0.00086208	0.04993646	0.46607117	0.05015320	0.46667357	0.64148001	0.64126069	0.35041008	0.35029487	0.64122404	0.64111928	0.35091362	0.35016561	59843	47913	0
59843	47918	0.00086825	0.05006242	0.46803307	0.05018650	0.46801455	0.64126110	0.64128723	0.35079168	0.35028320	0.64115855	0.64114335	0.35094008	0.35017022	59843	47916	0
59843	47921	0.00142556	0.05008576	0.46873883	0.05005221	0.46706689	0.64113826	0.64110071	0.35091436	0.35014548	0.64120030	0.64115486	0.35077557	0.35012042	59843	47920	0
59843	47925	0.00149401	0.05011867	0.46734309	0.05014702	0.46713775	0.64123136	0.64112421	0.35057573	0.35016134	0.64093324	0.64093702	0.35082274	0.35011130	59843	47923	0
59843	48010	-0.00012568	0.04968861	0.46541825	0.05008008	0.47027731	0.64077933	0.64071335	0.35022913	0.34977694	0.64066010	0.64058722	0.35024187	0.34983405	59843	48009	0
59843	48013	0.00082239	0.04997479	0.47039101	0.04998234	0.46754681	0.64072296	0.64082584	0.35053202	0.34987152	0.64076881	0.64070793	0.35035584	0.34976585	59843	48012	0
59843	48017	0.00008370	0.05011129	0.46855487	0.04997252	0.47077093	0.64090160	0.64074540	0.35026693	0.34987941	0.64099396	0.64077941	0.35012568	0.34980924	59843	48015	0
59843	48020	-0.00006660	0.04980430	0.46997427	0.04999502	0.47042519	0.64096808	0.64072411	0.35024935	0.34984531	0.64102839	0.64073808	0.35009059	0.34981663	59843	48018	0
59843	48023	0.00132757	0.04993755	0.47000074	0.04988156	0.46581823	0.64063044	0.64073471	0.35052503	0.34977226	0.64060587	0.64065665	0.35047532	0.34977185	59843	48022	0
59843	48109	0.00129038	0.05010911	0.46886999	0.04993340	0.46898155	0.64072132	0.64051655	0.35023094	0.34955681	0.64080464	0.64069387	0.35041344	0.34980233	59843	48107	0
59843	48112	0.00107486	0.04987524	0.46874366	0.04990230	0.46939022	0.64085592	0.64069954	0.35045231	0.34980809	0.64074737	0.64062444	0.35029298	0.34981671	59843	48110	0
59843	48115	0.00034907	0.05011214	0.46851207	0.04994696	0.47068944	0.64106940	0.64092634	0.35000333	0.34990891	0.64102544	0.64076430	0.35010949	0.34984482	59843	48114	0
59843	48119	-0.00047530	0.05011620	0.46727445	0.05021692	0.46974756	0.64080193	0.64076084	0.35046209	0.34979568	0.64116324	0.64094483	0.35005961	0.34999347	59843	48117	0
59843	48122	0.00022067	0.04991514	0.46948682	0.05016577	0.46739894	0.64065583	0.64073003	0.35048329	0.34978294	0.64084441	0.64078188	0.35044944	0.34985739	59843	48120	0
59843	48207	0.00002015	0.04998069	0.46920980	0.05003375	0.46981135	0.64081212	0.64080004	0.35063580	0.34996586	0.64113900	0.64080850	0.35016561	0.34995008	59843	48206	0
59843	48211	0.00119657	0.04992886	0.47062684	0.05000296	0.46709757	0.64107630	0.64088542	0.35019528	0.34993775	0.64096488	0.64089454	0.35043177	0.35006290	59843	48209	0
59843	48214	0.00039362	0.05005544	0.46859007	0.04998368	0.47099893	0.64119693	0.64086019	0.35008632	0.34994252	0.64101393	0.64083529	0.35041492	0.34989387	59843	48212	0
59843	48217	0.00072040	0.04997644	0.46924046	0.04996137	0.46826011	0.64094031	0.64088920	0.35057187	0.34997752	0.64121747	0.64090777	0.35007580	0.34994318	59843	48215	0
59843	48220	0.00084298	0.05001673	0.47000706	0.05002932	0.46963934	0.64113571	0.64088772	0.35016011	0.35001245	0.64109027	0.64089445	0.35041270	0.35001064	59843	48219	0
59843	48306	0.00108292	0.05014692	0.46925569	0.05013004	0.46853587	0.64095411	0.64079544	0.35001565	0.34977136	0.64107293	0.64079955	0.35000029	0.34983520	59843	48304	0
59843	48309	-0.00023592	0.05020525	0.46683421	0.05005091	0.47079073	0.64083414	0.64077835	0.35045675	0.34980907	0.64070324	0.64071639	0.35054114	0.34976979	59843	48308	0
59843	48312	0.00034780	0.05012439	0.46988929	0.05005649	0.46813811	0.64086389	0.64084269	0.35034894	0.34977374	0.64077103	0.64072066	0.35050441	0.34979625	59843	48311	0
59843	48316	0.00032757	0.05004055	0.46940355	0.05004030	0.46946425	0.64071984	0.64068253	0.35052068	0.34973734	0.64107852	0.64072157	0.35015239	0.34983734	59843	48314	0
59843	48319	0.00095976	0.04999585	0.47170877	0.05001430	0.46981220	0.64063676	0.64061630	0.35050235	0.34976675	0.64096101	0.64062263	0.34992000	0.34977949	59843	48317	0
59843	48404	-0.00013453	0.05013284	0.46676038	0.05016702	0.47004325	0.64062526	0.64037414	0.34990431	0.34952763	0.64048639	0.64046240	0.35026176	0.34956806	59843	48403	0
59843	48408	0.00004899	0.05012560	0.46729304	0.05016899	0.46674247	0.64080456	0.64049132	0.34981885	0.34950775	0.64087580	0.64045459	0.34975081	0.34957809	59843	48406	0
59843	48411	0.00093320	0.05010690	0.46908614	0.05013691	0.46643352	0.64074942	0.64057497	0.35016816	0.34960356	0.64064178	0.64047234	0.35001836	0.34960019	59843	48409	0
59843	48414	0.00118937	0.05012762	0.46941978	0.05014309	0.46865127	0.64072280	0.64050258	0.34986035	0.34958803	0.64078172	0.64053216	0.34970833	0.34950372	59843	48413	0
59843	48418	0.00085891	0.05016976	0.46912188	0.05017417	0.47011327	0.64037949	0.64040890	0.35025978	0.34951153	0.64082116	0.64049058	0.34967185	0.34957053	59843	48416	0
59843	48503	0.00021748	0.05001889	0.46800840	0.04997868	0.46993267	0.64012500	0.64007356	0.34983496	0.34934784	0.64015902	0.64009049	0.34985862	0.34929846	59843	48501	0
59843	48506	0.00108245	0.05002092	0.46817253	0.05010958	0.46557762	0.64017061	0.64013905	0.35009010	0.34931259	0.64023388	0.64016469	0.34996775	0.34938367	59843	48505	0
59843	48510	0.00041977	0.04994857	0.46746449	0.05001945	0.46945254	0.64017471	0.64020988	0.34998328	0.34945573	0.64006995	0.64021876	0.35013209	0.34940216	59843	48508	0
59843	48513	0.00053577	0.04984366	0.46693392	0.05007460	0.46658592	0.64016494	0.64017447	0.35008213	0.34934102	0.64020076	0.64016140	0.34979634	0.34935927	59843	48511	0
59843	48516	0.00073011	0.04996762	0.46717339	0.05006480	0.46659037	0.64011530	0.64005672	0.35003891	0.34931785	0.64017135	0.64014817	0.35011533	0.34933001	59843	48514	0
59843	48602	0.00104079	0.04991507	0.46914045	0.04993766	0.46820842	0.64021095	0.64031630	0.35014055	0.34952837	0.64070661	0.64039461	0.34980102	0.34965779	59843	48600	0
59843	48605	0.00201855	0.04981058	0.46802335	0.04982421	0.46509007	0.64034588	0.64049905	0.35030572	0.34963602	0.64071097	0.64047053	0.34972682	0.34955549	59843	48603	0
59843	48608	0.00135416	0.04976152	0.46644405	0.04976525	0.46843720	0.64062543	0.64054432	0.34996602	0.34973964	0.64045139	0.64028096	0.34993414	0.34953281	59843	48607	0
59843	48611	0.00047155	0.04983476	0.46673654	0.04993659	0.46938438	0.64034054	0.64029756	0.35028008	0.34956962	0.64056297	0.64034662	0.34997202	0.34960677	59843	48610	0
59843	48615	0.00023627	0.04983477	0.46700750	0.05009639	0.46771334	0.64030652	0.64026075	0.35019207	0.34954588	0.64061203	0.64033676	0.34978541	0.34954448	59843	48613	0
59843	48700	0.00114177	0.05007465	0.46792742	0.05001783	0.46521091	0.64039945	0.64026749	0.34935606	0.34928178	0.64019024	0.64024209	0.34979009	0.34937554	59843	48699	0
59843	48703	0.00067056	0.04997764	0.46732933	0.04969554	0.46874297	0.64010840	0.64033076	0.35009043	0.34946379	0.64017874	0.64011769	0.34999100	0.34933346	59843	48702	0
59843	48707	-0.00024924	0.04986433	0.46507172	0.04997913	0.46783113	0.64026469	0.64022114	0.35006594	0.34935434	0.64006099	0.64024374	0.35002633	0.34933913	59843	48705	0
