% File initiated 21/09/2022 13:18:15 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 shorter expansion seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.554347
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	47928	0.00205236	0.00828932	0.46660455	0.00830854	0.46372610	0.64180648	0.64090432	0.35020637	0.35018295	0.64192119	0.64090234	0.35030218	0.35013464	59843	47926	0
59843	47931	0.00043441	0.00826508	0.46264811	0.00829708	0.46750196	0.64189728	0.64090801	0.35028854	0.35022815	0.64191757	0.64078040	0.35016783	0.35005271	59843	47930	0
59843	47934	0.00089981	0.00830124	0.46515088	0.00828186	0.46375467	0.64197945	0.64084408	0.35021303	0.35010004	0.64186991	0.64080850	0.35027589	0.35010859	59843	47933	0
59843	47938	0.00088114	0.00829820	0.46684032	0.00831234	0.46689633	0.64192480	0.64096093	0.35030251	0.35020974	0.64188265	0.64103456	0.35024836	0.35017761	59843	47936	0
59843	47941	0.00094290	0.00829674	0.46344355	0.00830362	0.46325827	0.64191930	0.64089043	0.35023636	0.35004490	0.64182209	0.64077654	0.35016052	0.35006931	59843	47939	0
59843	47944	0.00110413	0.00824714	0.46686855	0.00830907	0.46638487	0.64183885	0.64082198	0.35012921	0.35003685	0.64182332	0.64080472	0.35016430	0.35003948	59843	47943	0
59843	47948	0.00217631	0.00834003	0.46714830	0.00828634	0.46393176	0.64182932	0.64073858	0.35018328	0.35010300	0.64184255	0.64096184	0.35019142	0.35009544	59843	47946	0
59843	47951	0.00073475	0.00830205	0.46110235	0.00825394	0.46542702	0.64192850	0.64084975	0.35024959	0.35010144	0.64189941	0.64092026	0.35019643	0.35005115	59843	47949	0
59843	47954	0.00168922	0.00831736	0.46653100	0.00832728	0.46366759	0.64198331	0.64080209	0.35022009	0.35010284	0.64206754	0.64091237	0.35018986	0.35005320	59843	47952	0
59843	47957	0.00082878	0.00828399	0.46315970	0.00825792	0.46574103	0.64194420	0.64098386	0.35022535	0.35011023	0.64194050	0.64085345	0.35017860	0.35007383	59843	47956	0
59843	47961	0.00134217	0.00829311	0.46462306	0.00825776	0.46308289	0.64194452	0.64089470	0.35016635	0.35004893	0.64196466	0.64085452	0.35018813	0.35007095	59843	47959	0
59843	47964	0.00120952	0.00832767	0.46534514	0.00831604	0.46574309	0.64184066	0.64076052	0.35012469	0.34999182	0.64185874	0.64087391	0.35017704	0.35013299	59843	47962	0
59843	47967	0.00040938	0.00827859	0.46421262	0.00830885	0.46661303	0.64191560	0.64075164	0.35018295	0.35004244	0.64185381	0.64073718	0.35016890	0.35005222	59843	47965	0
59843	47970	0.00131071	0.00829775	0.46713480	0.00830941	0.46443082	0.64188807	0.64071532	0.35013685	0.35005945	0.64184608	0.64077054	0.35022182	0.35008755	59843	47969	0
59843	47974	0.00051850	0.00836172	0.46682236	0.00828543	0.46919899	0.64186285	0.64082625	0.35019610	0.35008525	0.64185759	0.64079010	0.35011327	0.35002527	59843	47972	0
59843	47977	0.00127283	0.00825943	0.46763038	0.00824485	0.46536740	0.64178026	0.64077374	0.35015789	0.35002099	0.64175274	0.64068968	0.35011261	0.34994457	59843	47975	0
59843	47980	-0.00000421	0.00827358	0.46389340	0.00830088	0.46772451	0.64176186	0.64058450	0.35008591	0.34997498	0.64162521	0.64061737	0.35007555	0.35003529	59843	47979	0
59843	47983	0.00008130	0.00829172	0.46768490	0.00829216	0.46742836	0.64161173	0.64064893	0.35007679	0.34999379	0.64171050	0.64063068	0.35010407	0.34995567	59843	47982	0
59843	47987	0.00125566	0.00831049	0.46809902	0.00826927	0.46457593	0.64170031	0.64057259	0.35006134	0.34998204	0.64160926	0.64061335	0.35006060	0.34994359	59843	47985	0
59843	47990	0.00073277	0.00830188	0.46640487	0.00829194	0.46797355	0.64172924	0.64061105	0.35005189	0.34998352	0.64153104	0.64053117	0.34999593	0.34991935	59843	47988	0
59843	47993	0.00038384	0.00830078	0.46623668	0.00829848	0.46728345	0.64158272	0.64049683	0.34997835	0.34993060	0.64155610	0.64044062	0.35002165	0.34990719	59843	47992	0
59843	47996	0.00091441	0.00829114	0.46802614	0.00822846	0.46643446	0.64141107	0.64043208	0.34994038	0.34988344	0.64160212	0.64045484	0.35000135	0.34986856	59843	47995	0
59843	48000	0.00043213	0.00829869	0.46614877	0.00833323	0.46759561	0.64161378	0.64048072	0.35002642	0.34987193	0.64163556	0.64065106	0.34993562	0.34992009	59843	47998	0
59843	48003	0.00092091	0.00832206	0.46720850	0.00832358	0.46574217	0.64179670	0.64066355	0.35009988	0.34982132	0.64166235	0.64054449	0.34998903	0.34982386	59843	48001	0
59843	48006	0.00060871	0.00831453	0.46535441	0.00827901	0.46629099	0.64159110	0.64062345	0.34999059	0.34993332	0.64161000	0.64058631	0.35000760	0.34984178	59843	48005	0
59843	48027	0.00107001	0.00825412	0.46489977	0.00830540	0.46351587	0.64149694	0.64048705	0.34980258	0.34976421	0.64151822	0.64045525	0.34981417	0.34966922	59843	48025	0
59843	48030	0.00094869	0.00829366	0.46278812	0.00833129	0.46315208	0.64160853	0.64051868	0.34981425	0.34970570	0.64148272	0.64043964	0.34979108	0.34967604	59843	48028	0
59843	48033	0.00046873	0.00826197	0.46440259	0.00828528	0.46584247	0.64149924	0.64051269	0.34978031	0.34970800	0.64144714	0.64042723	0.34982592	0.34967259	59843	48031	0
59843	48036	0.00063381	0.00833478	0.46634641	0.00832007	0.46585118	0.64154870	0.64042887	0.34982666	0.34970110	0.64149036	0.64053947	0.34976889	0.34970496	59843	48035	0
59843	48040	0.00147918	0.00828832	0.46658091	0.00831962	0.46404481	0.64155281	0.64046462	0.34980669	0.34965706	0.64147450	0.64047793	0.34979593	0.34960455	59843	48038	0
59843	48043	0.00090670	0.00833374	0.46507815	0.00830707	0.46679558	0.64150598	0.64044720	0.34974802	0.34964103	0.64147894	0.64049050	0.34979625	0.34971334	59843	48041	0
59843	48046	0.00137419	0.00832487	0.46552637	0.00830378	0.46412388	0.64148593	0.64035245	0.34976684	0.34965426	0.64154895	0.64048319	0.34984030	0.34970176	59843	48044	0
59843	48049	0.00043132	0.00832385	0.46492292	0.00831808	0.46775154	0.64146497	0.64040767	0.34981581	0.34970258	0.64150803	0.64036231	0.34973586	0.34962583	59843	48048	0
59843	48053	0.00075010	0.00828601	0.46403819	0.00830284	0.46308184	0.64147952	0.64046527	0.34978984	0.34968006	0.64140564	0.64037341	0.34971901	0.34960931	59843	48051	0
59843	48056	-0.00002434	0.00826391	0.46387602	0.00828209	0.46619935	0.64149406	0.64041704	0.34974334	0.34963150	0.64152183	0.64051885	0.34982099	0.34968508	59843	48054	0
59843	48059	0.00174460	0.00830263	0.46674498	0.00832717	0.46143814	0.64142208	0.64050291	0.34975837	0.34968787	0.64151493	0.64042427	0.34982896	0.34966199	59843	48058	0
59843	48062	0.00106764	0.00832239	0.46640235	0.00833320	0.46843325	0.64153942	0.64046979	0.34982559	0.34969173	0.64159258	0.64048836	0.34986528	0.34971803	59843	48061	0
59843	48066	0.00032581	0.00833116	0.46303217	0.00830007	0.46525764	0.64145322	0.64047924	0.34976289	0.34963717	0.64153449	0.64050776	0.34985402	0.34966330	59843	48064	0
59843	48069	0.00027852	0.00833877	0.46514275	0.00827840	0.46528463	0.64148691	0.64040019	0.34973767	0.34963692	0.64161839	0.64041531	0.34977086	0.34959543	59843	48067	0
59843	48072	0.00077772	0.00829965	0.46696731	0.00824906	0.46546972	0.64150310	0.64036535	0.34970258	0.34957579	0.64152685	0.64040521	0.34970948	0.34960915	59843	48071	0
59843	48075	0.00094654	0.00830620	0.46608361	0.00831996	0.46557713	0.64140581	0.64029600	0.34969987	0.34956198	0.64148814	0.64034966	0.34975344	0.34956872	59843	48074	0
59843	48079	0.00036210	0.00829756	0.46453093	0.00832224	0.46628426	0.64151756	0.64035738	0.34981860	0.34964884	0.64148173	0.64045048	0.34974416	0.34958088	59843	48077	0
59843	48082	-0.00012083	0.00833569	0.46601551	0.00833359	0.46746430	0.64146785	0.64048557	0.34973602	0.34964391	0.64146809	0.64047291	0.34972731	0.34965590	59843	48080	0
59843	48085	0.00030012	0.00827918	0.46704105	0.00829407	0.46577819	0.64141098	0.64043816	0.34983348	0.34969288	0.64154156	0.64041137	0.34980874	0.34968269	59843	48084	0
59843	48089	0.00095817	0.00830011	0.46833157	0.00827635	0.46635744	0.64146620	0.64033922	0.34971564	0.34964383	0.64138551	0.64031030	0.34967176	0.34963257	59843	48087	0
59843	48092	0.00120649	0.00832986	0.46710504	0.00829253	0.46636005	0.64127565	0.64035179	0.34971942	0.34966379	0.64139085	0.64029345	0.34974210	0.34967990	59843	48090	0
59843	48095	0.00134054	0.00829214	0.46583921	0.00828368	0.46543708	0.64134632	0.64024078	0.34976675	0.34959617	0.64147023	0.64043873	0.34976314	0.34973906	59843	48093	0
59843	48098	0.00188294	0.00829785	0.46749090	0.00828663	0.46586370	0.64141057	0.64052657	0.34973356	0.34969042	0.64152290	0.64049806	0.34977637	0.34972098	59843	48097	0
59843	48102	-0.00007531	0.00829457	0.46384132	0.00834121	0.46971605	0.64152915	0.64042041	0.34979149	0.34971540	0.64151181	0.64048261	0.34983430	0.34971112	59843	48100	0
59843	48105	0.00058915	0.00828694	0.46976624	0.00824275	0.46777285	0.64158576	0.64059650	0.34984942	0.34980883	0.64153120	0.64037645	0.34982280	0.34971071	59843	48103	0
59843	48125	0.00071459	0.00833248	0.46495649	0.00835067	0.46458018	0.64165807	0.64046889	0.35000398	0.34975887	0.64164698	0.64056404	0.34994786	0.34981967	59843	48123	0
59843	48128	0.00139350	0.00834290	0.46899512	0.00831418	0.46695840	0.64161173	0.64051910	0.34998484	0.34988327	0.64167903	0.64064367	0.34992699	0.34982255	59843	48127	0
