% File initiated 21/09/2022 14:26:35 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 longer expansion 8p5ms seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.601795
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	52011	0.00073074	0.05380313	0.46877668	0.05389322	0.47037734	0.63897550	0.63895627	0.34820673	0.34803113	0.63896507	0.63902127	0.34818282	0.34803902	59843	52009	0
59843	52014	0.00015777	0.05357927	0.46888771	0.05354415	0.47060662	0.63907583	0.63921446	0.34815471	0.34813113	0.63910862	0.63909235	0.34826573	0.34803975	59843	52013	0
59843	52018	0.00080923	0.05367523	0.46860029	0.05385076	0.46664592	0.63902744	0.63898043	0.34820032	0.34806769	0.63894518	0.63888035	0.34803187	0.34799415	59843	52016	0
59843	52021	0.00073828	0.05386331	0.46973410	0.05382240	0.46994694	0.63904272	0.63905168	0.34822711	0.34800343	0.63900689	0.63896761	0.34825357	0.34801009	59843	52019	0
59843	52024	0.00057230	0.05391346	0.46883222	0.05393787	0.46933018	0.63906589	0.63907247	0.34803614	0.34806161	0.63912078	0.63893236	0.34814288	0.34803663	59843	52023	0
59843	52110	0.00009478	0.05388973	0.46790154	0.05401112	0.46933410	0.63906951	0.63886432	0.34799168	0.34786391	0.63897337	0.63891272	0.34799234	0.34794361	59843	52108	0
59843	52113	0.00120384	0.05368030	0.46845198	0.05382821	0.46512478	0.63905685	0.63885701	0.34809202	0.34789571	0.63896359	0.63898832	0.34809473	0.34794287	59843	52111	0
59843	52116	0.00076395	0.05389405	0.46665631	0.05366701	0.46797598	0.63910007	0.63895110	0.34799842	0.34795495	0.63900607	0.63892678	0.34819966	0.34793983	59843	52115	0
59843	52120	-0.00060799	0.05375258	0.46538353	0.05392617	0.46949936	0.63909408	0.63890122	0.34807262	0.34790088	0.63894444	0.63901248	0.34821716	0.34797919	59843	52118	0
59843	52123	0.00116704	0.05398768	0.47146267	0.05418447	0.46613758	0.63903951	0.63900410	0.34805586	0.34798881	0.63911610	0.63901149	0.34805224	0.34803022	59843	52121	0
59843	52208	0.00110560	0.05372476	0.46812053	0.05365822	0.46830482	0.63890516	0.63898232	0.34816835	0.34790664	0.63903993	0.63906285	0.34812628	0.34797936	59843	52207	0
59843	52212	0.00064384	0.05363452	0.46774158	0.05387914	0.46912688	0.63909835	0.63896005	0.34796728	0.34799004	0.63902694	0.63902933	0.34817353	0.34791362	59843	52210	0
59843	52215	0.00131860	0.05368503	0.46908425	0.05383013	0.46705995	0.63896926	0.63908931	0.34801026	0.34791255	0.63908783	0.63897608	0.34817706	0.34784903	59843	52213	0
59843	52218	-0.00027091	0.05379610	0.46459979	0.05375697	0.46936833	0.63918890	0.63908931	0.34819194	0.34790499	0.63904617	0.63908668	0.34802242	0.34794320	59843	52216	0
59843	52221	0.00021852	0.05385480	0.46776189	0.05377799	0.46629360	0.63857960	0.63869752	0.34780137	0.34765034	0.63885348	0.63889793	0.34802965	0.34783605	59843	52220	0
59843	52307	0.00153149	0.05386244	0.47196337	0.05370915	0.46802445	0.63895217	0.63877961	0.34785470	0.34790680	0.63906852	0.63908134	0.34826704	0.34810894	59843	52305	0
59843	52310	0.00139888	0.05380138	0.46725724	0.05385052	0.46765505	0.63892382	0.63887739	0.34823508	0.34789472	0.63902998	0.63900862	0.34795586	0.34787377	59843	52308	0
59843	52313	0.00083737	0.05388000	0.46704996	0.05377067	0.46873451	0.63903187	0.63906910	0.34810541	0.34795232	0.63893836	0.63891207	0.34815471	0.34794978	59843	52312	0
59843	52317	0.00099328	0.05387464	0.46812350	0.05384311	0.46765576	0.63904198	0.63902407	0.34799850	0.34796876	0.63909210	0.63895110	0.34800491	0.34793893	59843	52315	0
59843	52320	0.00038333	0.05368228	0.46632003	0.05357228	0.46814989	0.63901725	0.63892850	0.34802915	0.34798626	0.63928332	0.63913377	0.34815652	0.34813507	59843	52318	0
59843	52405	0.00179478	0.05368933	0.47162270	0.05322452	0.46738835	0.63903023	0.63899958	0.34841224	0.34819752	0.63923319	0.63911873	0.34852711	0.34828758	59843	52404	0
59843	52409	0.00032416	0.05368978	0.46596335	0.05353462	0.47037523	0.63915004	0.63913179	0.34845217	0.34836310	0.63932835	0.63916039	0.34836220	0.34828175	59843	52407	0
59843	52412	0.00114830	0.05336630	0.46868296	0.05328921	0.46621053	0.63920484	0.63916540	0.34833113	0.34831963	0.63908742	0.63907320	0.34862728	0.34826515	59843	52410	0
59843	52415	0.00122187	0.05359393	0.46998089	0.05391537	0.46976018	0.63915718	0.63905932	0.34856089	0.34833886	0.63922908	0.63906852	0.34829925	0.34824674	59843	52414	0
59843	52418	-0.00037082	0.05344962	0.46549711	0.05355743	0.47027517	0.63909046	0.63903335	0.34833664	0.34819621	0.63898988	0.63894321	0.34828109	0.34808947	59843	52417	0
59843	52504	0.00086158	0.05367900	0.46814069	0.05348497	0.46444348	0.63889958	0.63877509	0.34816515	0.34799078	0.63903598	0.63893614	0.34839186	0.34800352	59843	52502	0
59843	52507	0.00071178	0.05338735	0.46973018	0.05340142	0.47017959	0.63900229	0.63888996	0.34840139	0.34813384	0.63894017	0.63888076	0.34803745	0.34813335	59843	52506	0
59843	52511	0.00109474	0.05344771	0.46918540	0.05365809	0.46803651	0.63932046	0.63902234	0.34825734	0.34823047	0.63894789	0.63883014	0.34813113	0.34813935	59843	52509	0
59843	52514	0.00024829	0.05307693	0.46798232	0.05362429	0.47052167	0.63915406	0.63900599	0.34822858	0.34819991	0.63891387	0.63904486	0.34831996	0.34819917	59843	52512	0
59843	52517	0.00048597	0.05347523	0.46946768	0.05354642	0.46875467	0.63897928	0.63881247	0.34804345	0.34801346	0.63900845	0.63883211	0.34821840	0.34804986	59843	52515	0
59843	52603	0.00042524	0.05333069	0.46595790	0.05345065	0.46614007	0.63876999	0.63894370	0.34825299	0.34811847	0.63897936	0.63900270	0.34813039	0.34807361	59843	52601	0
