% File initiated 21/09/2022 15:00:12 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference signal optimized to 0p53 longer expansion 4p5ms seq12 390mV 0p505 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.625149
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	54045	0.00053648	0.00727147	0.46385009	0.00729266	0.46621274	0.64018712	0.63947264	0.34950027	0.34942624	0.64025105	0.63946262	0.34953224	0.34941884	59843	54044	0
59843	54049	0.00087206	0.00726496	0.46817795	0.00729633	0.46717121	0.64017258	0.63941586	0.34945812	0.34946108	0.64022821	0.63927765	0.34950200	0.34932944	59843	54047	0
59843	54052	-0.00009114	0.00725387	0.46599080	0.00727744	0.46888042	0.64014349	0.63920164	0.34944883	0.34926214	0.64014497	0.63906589	0.34936773	0.34916518	59843	54050	0
59843	54055	0.00170629	0.00730939	0.47019507	0.00729963	0.46480276	0.64007011	0.63912522	0.34944990	0.34928285	0.64005458	0.63915028	0.34943306	0.34918564	59843	54053	0
59843	54058	0.00153486	0.00731180	0.46543853	0.00729916	0.46595281	0.64002886	0.63911725	0.34924053	0.34918457	0.64015392	0.63913056	0.34941054	0.34930988	59843	54057	0
59843	54062	-0.00000195	0.00727429	0.46480825	0.00728236	0.46941870	0.64007266	0.63923139	0.34937274	0.34922607	0.64001062	0.63913705	0.34924496	0.34914315	59843	54060	0
59843	54065	0.00132728	0.00727888	0.46709839	0.00723924	0.46311070	0.64002631	0.63923237	0.34929304	0.34919114	0.64016707	0.63910353	0.34934209	0.34921366	59843	54063	0
59843	54068	0.00108325	0.00727194	0.46595011	0.00726303	0.46668220	0.64000421	0.63908816	0.34930421	0.34913239	0.64003979	0.63909087	0.34927956	0.34908325	59843	54066	0
59843	54071	0.00087183	0.00730428	0.46590648	0.00729003	0.46654072	0.64000051	0.63915291	0.34932295	0.34916288	0.64003428	0.63903039	0.34923971	0.34913091	59843	54070	0
59843	54075	0.00154577	0.00729870	0.46587477	0.00728850	0.46385295	0.64013987	0.63918085	0.34935294	0.34917857	0.64011087	0.63924141	0.34924332	0.34906271	59843	54073	0
59843	54078	0.00127478	0.00726640	0.46496341	0.00724722	0.46577638	0.64011276	0.63920238	0.34924316	0.34911250	0.64011341	0.63908923	0.34929583	0.34899451	59843	54076	0
59843	54081	0.00129974	0.00730608	0.46584810	0.00733187	0.46577321	0.64006411	0.63913245	0.34922582	0.34911982	0.64009731	0.63913401	0.34923174	0.34902368	59843	54080	0
59843	54084	0.00165642	0.00731081	0.46610552	0.00732688	0.46503549	0.64010364	0.63917124	0.34928967	0.34913461	0.64008063	0.63912078	0.34922927	0.34902836	59843	54083	0
59843	54088	0.00036875	0.00731300	0.46430305	0.00728336	0.46816607	0.64010692	0.63921742	0.34929336	0.34912467	0.64009788	0.63928521	0.34927241	0.34920322	59843	54086	0
59843	54091	-0.00017943	0.00731322	0.46574546	0.00728193	0.46739001	0.64004340	0.63913040	0.34925014	0.34908522	0.64001390	0.63915151	0.34927890	0.34910125	59843	54089	0
59843	54094	0.00242858	0.00728641	0.46905675	0.00729518	0.46123270	0.63993338	0.63908364	0.34915351	0.34906550	0.64013289	0.63908676	0.34919607	0.34903444	59843	54093	0
59843	54097	0.00157357	0.00730089	0.46543570	0.00730484	0.46800073	0.64017685	0.63915940	0.34925729	0.34907569	0.63997611	0.63903212	0.34914151	0.34901160	59843	54096	0
59843	54101	0.00119546	0.00726944	0.46347128	0.00731483	0.46460563	0.64005228	0.63909432	0.34932327	0.34910774	0.63991456	0.63908430	0.34920873	0.34906287	59843	54099	0
59843	54104	0.00106858	0.00729738	0.46461871	0.00727804	0.46499934	0.64007890	0.63910624	0.34925187	0.34908555	0.63995449	0.63901379	0.34923001	0.34897273	59843	54102	0
59843	54107	0.00047678	0.00730934	0.46443242	0.00725916	0.46620781	0.63998473	0.63908586	0.34916616	0.34899697	0.64006074	0.63908150	0.34913050	0.34898481	59843	54106	0
59843	54111	0.00136990	0.00726161	0.46684679	0.00729565	0.46416743	0.63997142	0.63909909	0.34912294	0.34892211	0.63990223	0.63887534	0.34909196	0.34887749	59843	54109	0
59843	54114	0.00129050	0.00725761	0.46456818	0.00728306	0.46480637	0.64001045	0.63888446	0.34914628	0.34887166	0.63988654	0.63902620	0.34908005	0.34897174	59843	54112	0
59843	54117	0.00178684	0.00726552	0.46679855	0.00725629	0.46530955	0.63984915	0.63891872	0.34898736	0.34892261	0.63981998	0.63890935	0.34906739	0.34885810	59843	54115	0
59843	54120	0.00101505	0.00726371	0.46330308	0.00728406	0.46561847	0.63993124	0.63890812	0.34909944	0.34886862	0.63988218	0.63891700	0.34910881	0.34886936	59843	54119	0
59843	54124	0.00235525	0.00724860	0.46664922	0.00727712	0.46262861	0.63977585	0.63891166	0.34904882	0.34889311	0.63985803	0.63899457	0.34902902	0.34887289	59843	54122	0
59843	54144	0.00075352	0.00729731	0.46455641	0.00734872	0.46936162	0.64001423	0.63903713	0.34911324	0.34893395	0.63994735	0.63894280	0.34905203	0.34892466	59843	54142	0
59843	54147	0.00064945	0.00732898	0.46724798	0.00734308	0.46756016	0.63987865	0.63894058	0.34901719	0.34887790	0.63989492	0.63900122	0.34913231	0.34895071	59843	54145	0
59843	54150	0.00096742	0.00730925	0.46777247	0.00733003	0.46681859	0.63984710	0.63898019	0.34903230	0.34894759	0.63996945	0.63904058	0.34920224	0.34887955	59843	54149	0
59843	54154	0.00175979	0.00732344	0.46649743	0.00736073	0.46412032	0.63992623	0.63892579	0.34909755	0.34886862	0.63990790	0.63893639	0.34906534	0.34897602	59843	54152	0
59843	54157	0.00114242	0.00734145	0.46693491	0.00735233	0.46878700	0.63990108	0.63904954	0.34907692	0.34896542	0.64000684	0.63921454	0.34921152	0.34901990	59843	54155	0
59843	54160	0.00104021	0.00731321	0.46714634	0.00731344	0.46745299	0.63985918	0.63896490	0.34898399	0.34884701	0.64009460	0.63902308	0.34910700	0.34893896	59843	54159	0
59843	54163	0.00290859	0.00727823	0.46949414	0.00730812	0.46388901	0.63989262	0.63915382	0.34905572	0.34899730	0.63999690	0.63903828	0.34923247	0.34906222	59843	54162	0
59843	54167	0.00003269	0.00729409	0.46207791	0.00728587	0.47070562	0.64000585	0.63904420	0.34914562	0.34901431	0.63993888	0.63899046	0.34900535	0.34889927	59843	54165	0
59843	54170	0.00093852	0.00739511	0.46926181	0.00726881	0.46654430	0.63998235	0.63896367	0.34904455	0.34888210	0.63974257	0.63886457	0.34904258	0.34885202	59843	54168	0
59843	54173	0.00158635	0.00727268	0.46818982	0.00728780	0.46624633	0.63977626	0.63888544	0.34901866	0.34878620	0.63977487	0.63883047	0.34897355	0.34877527	59843	54172	0
59843	54176	0.00100224	0.00734246	0.46579972	0.00729369	0.46755206	0.63981431	0.63884682	0.34904151	0.34889984	0.63981217	0.63885849	0.34890946	0.34881833	59843	54175	0
59843	54180	0.00117258	0.00732383	0.46736247	0.00728950	0.46685145	0.63978982	0.63887172	0.34894857	0.34877445	0.63984611	0.63895570	0.34906928	0.34882490	59843	54178	0
59843	54183	-0.00001864	0.00731834	0.46476833	0.00733250	0.46834199	0.63980831	0.63886424	0.34900560	0.34876081	0.63976534	0.63897402	0.34901209	0.34885613	59843	54181	0
59843	54186	-0.00004679	0.00730960	0.46689830	0.00732845	0.46698275	0.63977092	0.63885915	0.34895556	0.34872843	0.63976065	0.63884386	0.34890535	0.34871340	59843	54185	0
59843	54190	0.00134684	0.00733924	0.46765895	0.00732979	0.46347807	0.63986690	0.63886720	0.34900445	0.34882252	0.63982959	0.63880771	0.34894553	0.34877601	59843	54188	0
59843	54193	0.00182923	0.00728934	0.46661692	0.00726835	0.46516974	0.63983033	0.63887895	0.34898185	0.34878028	0.63985909	0.63898331	0.34890239	0.34881775	59843	54191	0
59843	54196	-0.00020648	0.00727159	0.46338309	0.00725052	0.46949020	0.63989172	0.63888117	0.34895013	0.34881151	0.63977462	0.63883450	0.34896336	0.34876549	59843	54194	0
59843	54199	0.00142259	0.00729301	0.46896893	0.00731836	0.46408171	0.63966057	0.63868790	0.34881784	0.34868234	0.63976542	0.63886810	0.34881093	0.34873295	59843	54198	0
59843	54203	0.00159779	0.00726030	0.46644511	0.00729594	0.46591952	0.63975317	0.63876769	0.34881685	0.34864733	0.63963172	0.63869497	0.34876097	0.34857362	59843	54201	0
59843	54206	0.00055166	0.00726686	0.46420370	0.00727186	0.46734210	0.63955005	0.63859472	0.34868086	0.34857814	0.63961135	0.63871502	0.34869466	0.34858135	59843	54204	0
59843	54209	0.00133941	0.00729383	0.46728007	0.00730116	0.46491680	0.63946179	0.63856366	0.34868349	0.34854667	0.63949450	0.63866991	0.34869647	0.34868045	59843	54207	0
59843	54212	0.00062740	0.00727947	0.46548572	0.00731700	0.46762175	0.63944520	0.63854336	0.34862317	0.34847395	0.63947165	0.63850096	0.34859310	0.34852711	59843	54211	0
59843	54216	0.00067467	0.00725591	0.46445704	0.00725498	0.46431522	0.63939729	0.63848223	0.34862178	0.34848003	0.63942317	0.63854328	0.34870699	0.34849564	59843	54214	0
59843	54219	0.00072059	0.00730218	0.46564324	0.00731971	0.46550550	0.63960995	0.63870302	0.34874520	0.34858053	0.63947642	0.63857944	0.34871274	0.34856631	59843	54217	0
59843	54222	0.00169309	0.00726584	0.46742252	0.00736147	0.46450500	0.63943386	0.63854090	0.34857099	0.34844207	0.63943994	0.63849866	0.34867675	0.34848849	59843	54221	0
59843	54242	0.00105439	0.00725281	0.46399276	0.00726425	0.46590887	0.63929195	0.63833161	0.34855324	0.34832497	0.63941685	0.63836817	0.34854930	0.34835718	59843	54241	0
59843	54246	0.00062815	0.00727494	0.46315752	0.00729205	0.46443623	0.63935998	0.63840688	0.34862071	0.34836425	0.63912226	0.63837368	0.34849589	0.34839704	59843	54244	0
59843	54249	0.00049082	0.00722407	0.46480222	0.00727684	0.46521422	0.63919194	0.63837458	0.34852522	0.34836113	0.63928981	0.63830835	0.34857083	0.34838200	59843	54247	0
59843	54252	0.00034949	0.00724987	0.46522242	0.00729003	0.46564641	0.63918718	0.63830129	0.34850550	0.34832399	0.63932942	0.63838313	0.34851019	0.34840772	59843	54251	0
59843	54255	0.00169007	0.00725255	0.46738523	0.00730785	0.46336349	0.63939704	0.63851920	0.34861570	0.34847502	0.63943295	0.63837943	0.34854092	0.34835644	59843	54254	0
59843	54259	0.00223795	0.00731234	0.46593438	0.00732254	0.46429074	0.63934832	0.63893113	0.34853015	0.34877141	0.63932547	0.63847993	0.34854626	0.34846064	59843	54257	0
59843	54262	0.00075523	0.00725917	0.46105014	0.00727645	0.46549830	0.63939458	0.63849242	0.34871027	0.34852539	0.63937691	0.63835429	0.34862819	0.34841815	59843	54260	0
59843	54265	0.00222917	0.00728935	0.46693643	0.00727853	0.46251460	0.63924182	0.63838313	0.34850304	0.34839679	0.63927962	0.63845010	0.34847214	0.34839704	59843	54264	0
59843	54268	0.00140484	0.00735932	0.46538566	0.00731827	0.46785866	0.63931594	0.63842380	0.34853361	0.34848940	0.63940797	0.63844098	0.34843253	0.34832563	59843	54267	0
59843	54272	-0.00001031	0.00730824	0.46510979	0.00732864	0.46935525	0.63936081	0.63839669	0.34848241	0.34833705	0.63926023	0.63835453	0.34854725	0.34838036	59843	54270	0
59843	54275	0.00021517	0.00730579	0.46670491	0.00729050	0.46602846	0.63941200	0.63845552	0.34854684	0.34844133	0.63948834	0.63841493	0.34859638	0.34838323	59843	54273	0
59843	54278	0.00107082	0.00727067	0.46728727	0.00730345	0.46472032	0.63938628	0.63848272	0.34859178	0.34836754	0.63936574	0.63851994	0.34852128	0.34840846	59843	54277	0
59843	54282	0.00088478	0.00732811	0.46663452	0.00731252	0.46719265	0.63932136	0.63842002	0.34856590	0.34839835	0.63941619	0.63844196	0.34853443	0.34836548	59843	54280	0
59843	54285	0.00134759	0.00732942	0.46750395	0.00727979	0.46611550	0.63925842	0.63835042	0.34846811	0.34833204	0.63934766	0.63840219	0.34847551	0.34830369	59843	54283	0
59843	54288	0.00112383	0.00728629	0.46607942	0.00728269	0.46675070	0.63927847	0.63843596	0.34839605	0.34835759	0.63935965	0.63836439	0.34846861	0.34834716	59843	54286	0
59843	54291	0.00099277	0.00730380	0.46699239	0.00727858	0.46738558	0.63927083	0.63827138	0.34847033	0.34832744	0.63920632	0.63833506	0.34843812	0.34832456	59843	54290	0
59843	54295	0.00170729	0.00727750	0.46755849	0.00729127	0.46541493	0.63929827	0.63841838	0.34857116	0.34838488	0.63942457	0.63848708	0.34847945	0.34843968	59843	54293	0
59843	54298	0.00075037	0.00730489	0.46625850	0.00723373	0.46912925	0.63928011	0.63834229	0.34854560	0.34834888	0.63931232	0.63850129	0.34856187	0.34838299	59843	54296	0
59843	54301	0.00132464	0.00729965	0.46619688	0.00730251	0.46447408	0.63929983	0.63835831	0.34848291	0.34832530	0.63928718	0.63839241	0.34850616	0.34829901	59843	54299	0
59843	54304	0.00189458	0.00729764	0.46860690	0.00728356	0.46689706	0.63930320	0.63829981	0.34847535	0.34833253	0.63934125	0.63839619	0.34857905	0.34831191	59843	54303	0
59843	54308	0.00043443	0.00736166	0.46471824	0.00724998	0.46909871	0.63933772	0.63838518	0.34850871	0.34833138	0.63937724	0.63854082	0.34865768	0.34840402	59843	54306	0
59843	54311	0.00038186	0.00728188	0.46535924	0.00729578	0.46551695	0.63923418	0.63830901	0.34843286	0.34829169	0.63933960	0.63835881	0.34842834	0.34833196	59843	54309	0
59843	54314	0.00123229	0.00729759	0.46938543	0.00726305	0.46683414	0.63932942	0.63838789	0.34855735	0.34840575	0.63927937	0.63835412	0.34849909	0.34832374	59843	54313	0
59843	54317	0.00092445	0.00726545	0.46699303	0.00728096	0.46791653	0.63920747	0.63829578	0.34842004	0.34829243	0.63917321	0.63835231	0.34842144	0.34832497	59843	54316	0
59843	54321	0.00031285	0.00728599	0.46570900	0.00727097	0.46754380	0.63935390	0.63843670	0.34845973	0.34820032	0.63937469	0.63834303	0.34849194	0.34828052	59843	54319	0
59843	54341	-0.00028337	0.00725201	0.46357132	0.00727809	0.46535998	0.63932013	0.63837680	0.34840665	0.34827148	0.63928948	0.63874567	0.34846236	0.34845579	59843	54339	0
59843	54344	0.00063071	0.00721318	0.46596095	0.00726161	0.46321870	0.63929490	0.63826077	0.34843681	0.34834535	0.63936122	0.63837212	0.34851241	0.34836499	59843	54343	0
59843	54347	0.00074725	0.00720628	0.46509275	0.00729908	0.46474315	0.63937831	0.63846259	0.34849351	0.34829465	0.63930600	0.63835963	0.34844313	0.34817246	59843	54346	0
59843	54351	0.00115541	0.00726952	0.46431920	0.00726937	0.46309473	0.63922029	0.63834968	0.34845217	0.34823146	0.63939540	0.63853679	0.34845250	0.34832062	59843	54349	0
59843	54354	0.00117419	0.00725202	0.46570904	0.00727414	0.46565270	0.63945317	0.63847820	0.34853098	0.34829761	0.63941224	0.63839767	0.34847009	0.34827641	59843	54352	0
59843	54357	0.00154359	0.00723022	0.46580162	0.00724198	0.46469342	0.63939104	0.63840770	0.34848176	0.34829128	0.63932687	0.63834919	0.34836819	0.34824338	59843	54356	0
59843	54361	0.00067454	0.00717710	0.46565108	0.00724414	0.46825822	0.63915225	0.63831164	0.34836178	0.34818397	0.63931660	0.63837623	0.34841799	0.34830878	59843	54359	0
59843	54364	0.00036147	0.00727308	0.46470295	0.00726626	0.46564216	0.63927666	0.63843169	0.34832678	0.34822785	0.63932399	0.63854969	0.34851249	0.34832111	59843	54362	0
59843	54367	0.00047300	0.00727547	0.46578050	0.00726038	0.46544591	0.63938135	0.63843161	0.34845119	0.34825406	0.63946434	0.63856399	0.34852629	0.34837896	59843	54365	0
59843	54370	0.00006435	0.00722605	0.46392148	0.00728213	0.46514742	0.63940058	0.63848453	0.34847921	0.34833516	0.63944314	0.63835535	0.34843944	0.34827361	59843	54369	0
59843	54374	0.00160603	0.00724522	0.46826161	0.00727040	0.46363656	0.63932317	0.63857927	0.34843796	0.34840123	0.63925579	0.63858552	0.34840304	0.34826918	59843	54372	0
59843	54377	0.00049401	0.00728703	0.46406145	0.00725977	0.46739753	0.63918849	0.63836497	0.34837888	0.34823212	0.63930633	0.63835585	0.34833426	0.34822768	59843	54375	0
59843	54380	0.00200504	0.00727932	0.46744108	0.00722404	0.46290797	0.63926204	0.63836719	0.34849622	0.34828454	0.63928397	0.63838222	0.34845727	0.34824798	59843	54378	0
59843	54383	0.00024496	0.00721935	0.46274818	0.00723052	0.46802844	0.63926532	0.63827639	0.34842571	0.34830517	0.63927165	0.63839989	0.34849614	0.34831298	59843	54382	0
59843	54387	0.00125625	0.00724558	0.46558263	0.00725191	0.46254876	0.63918915	0.63840951	0.34845324	0.34833097	0.63923927	0.63835585	0.34843295	0.34823031	59843	54385	0
59843	54390	0.00075382	0.00723644	0.46337465	0.00730111	0.46488192	0.63916384	0.63829898	0.34835702	0.34822513	0.63929646	0.63830622	0.34840764	0.34822152	59843	54388	0
59843	54393	0.00104859	0.00729868	0.46679651	0.00730396	0.46591221	0.63925932	0.63833440	0.34839482	0.34818643	0.63915661	0.63829693	0.34835948	0.34815274	59843	54392	0
59843	54396	0.00047206	0.00727544	0.46568213	0.00729233	0.46741172	0.63919268	0.63822330	0.34826121	0.34810097	0.63931060	0.63837499	0.34836885	0.34829868	59843	54395	0
59843	54400	0.00109621	0.00729918	0.46758055	0.00728349	0.46570810	0.63925916	0.63841000	0.34830911	0.34828586	0.63925842	0.63848740	0.34838151	0.34827386	59843	54398	0
59843	54403	0.00207303	0.00724384	0.46856229	0.00725686	0.46563184	0.63933887	0.63841378	0.34839416	0.34831528	0.63930337	0.63836259	0.34847239	0.34836170	59843	54401	0
59843	54406	0.00121157	0.00727766	0.46552707	0.00725811	0.46811145	0.63927617	0.63827088	0.34848397	0.34830369	0.63933303	0.63834919	0.34840895	0.34826696	59843	54405	0
59843	54409	0.00119234	0.00724855	0.46736114	0.00729806	0.46741882	0.63925480	0.63843506	0.34845530	0.34842736	0.63915858	0.63838863	0.34842958	0.34832095	59843	54408	0
59843	54413	0.00110008	0.00728816	0.46587302	0.00726308	0.46614980	0.63928233	0.63837590	0.34845094	0.34825661	0.63921881	0.63828633	0.34838907	0.34826638	59843	54411	0
59843	54416	0.00114249	0.00727448	0.46719414	0.00722621	0.46706691	0.63930912	0.63829981	0.34833549	0.34822637	0.63915916	0.63855717	0.34840690	0.34840624	59843	54414	0
59843	54419	0.00099288	0.00722949	0.46669834	0.00731435	0.46714717	0.63914979	0.63821624	0.34836951	0.34814493	0.63918093	0.63820646	0.34835094	0.34821552	59843	54418	0
59843	54440	0.00036277	0.00733987	0.46668127	0.00732118	0.46857160	0.63900476	0.63821854	0.34836063	0.34821001	0.63917378	0.63817638	0.34822135	0.34805980	59843	54438	0
59843	54443	0.00069513	0.00728280	0.46700194	0.00724343	0.46600486	0.63919893	0.63806208	0.34835110	0.34808766	0.63921413	0.63825305	0.34838216	0.34817484	59843	54441	0
59843	54446	0.00106700	0.00727583	0.46797590	0.00729308	0.46686028	0.63904247	0.63810991	0.34837107	0.34813286	0.63905677	0.63817302	0.34818799	0.34810968	59843	54444	0
59843	54449	0.00170865	0.00728236	0.46641024	0.00728663	0.46448530	0.63904510	0.63812067	0.34820015	0.34809325	0.63912563	0.63822421	0.34830698	0.34821116	59843	54448	0
59843	54453	0.00053487	0.00733363	0.46442763	0.00722865	0.46794898	0.63903130	0.63821698	0.34821330	0.34808733	0.63906334	0.63829915	0.34819596	0.34814773	59843	54451	0
59843	54456	0.00081136	0.00728303	0.46391651	0.00725361	0.46308702	0.63902045	0.63811681	0.34815455	0.34801231	0.63910246	0.63810292	0.34820804	0.34798265	59843	54454	0
59843	54459	0.00053504	0.00728638	0.46353858	0.00732126	0.46436755	0.63910509	0.63813957	0.34817427	0.34799711	0.63897600	0.63813135	0.34812299	0.34794329	59843	54457	0
59843	54462	0.00117901	0.00727270	0.46621626	0.00735248	0.46428435	0.63900188	0.63812355	0.34820780	0.34806802	0.63910739	0.63810243	0.34820591	0.34814765	59843	54461	0
59843	54466	0.00090730	0.00730251	0.46416531	0.00723671	0.46498043	0.63902612	0.63807942	0.34819761	0.34808413	0.63899153	0.63808476	0.34824855	0.34803778	59843	54464	0
59843	54469	0.00066863	0.00730460	0.46226073	0.00727328	0.46297674	0.63905496	0.63812240	0.34825611	0.34801362	0.63910361	0.63813185	0.34833130	0.34814945	59843	54467	0
