% File initiated 21/09/2022 18:23:56 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference seq1 AOM on seq23 390mV seq45 2540mV seq67 390mV no FSK seq89 2540mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.766623
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	66314	0.00114345	0.00807337	0.47062039	0.00793792	0.47303019	0.63852709	0.63767300	0.34805939	0.34798256	0.63867130	0.63769872	0.34810311	0.34801847	59843	66313	0
59843	66318	0.00003027	0.00812895	0.47037000	0.00815179	0.47370952	0.63870960	0.63767276	0.34809933	0.34799045	0.63868190	0.63777876	0.34810105	0.34799152	59843	66316	0
59843	66321	0.00035449	0.00802112	0.47335500	0.00812786	0.47238235	0.63869669	0.63771516	0.34806350	0.34787582	0.63875265	0.63787399	0.34808971	0.34808043	59843	66319	0
59843	66324	0.00100846	0.00805582	0.47461954	0.00805600	0.47265763	0.63880697	0.63782987	0.34816194	0.34799916	0.63867665	0.63769494	0.34810730	0.34793137	59843	66323	0
59843	66327	-0.00076090	0.00805790	0.46937840	0.00800882	0.47468648	0.63854229	0.63754235	0.34801247	0.34788535	0.63866103	0.63758442	0.34805644	0.34789604	59843	66326	0
59843	66331	0.00074686	0.00800267	0.47389877	0.00800943	0.46937550	0.63854838	0.63771409	0.34809325	0.34793778	0.63851912	0.63753882	0.34809826	0.34792356	59843	66329	0
59843	66334	0.00163687	0.00798682	0.47487333	0.00800610	0.47220331	0.63865832	0.63767801	0.34809563	0.34797829	0.63869078	0.63764005	0.34809144	0.34798889	59843	66332	0
59843	66337	0.00063281	0.00801368	0.47003302	0.00795240	0.47304520	0.63860746	0.63775057	0.34807344	0.34800138	0.63853408	0.63769264	0.34803154	0.34797188	59843	66336	0
59843	66341	0.00084846	0.00808151	0.47009053	0.00804120	0.46944355	0.63858215	0.63767760	0.34807476	0.34805044	0.63858428	0.63764005	0.34803795	0.34787508	59843	66339	0
59843	66344	0.00099396	0.00803947	0.47197075	0.00806479	0.47153426	0.63857393	0.63773455	0.34811281	0.34792849	0.63856391	0.63769913	0.34805003	0.34790770	59843	66342	0
59843	66347	0.00114023	0.00804575	0.46958259	0.00801373	0.46914378	0.63861452	0.63771877	0.34800557	0.34793918	0.63882866	0.63771392	0.34811815	0.34787097	59843	66345	0
59843	66350	0.00217103	0.00810684	0.47363796	0.00806671	0.47054558	0.63862241	0.63769215	0.34807796	0.34788552	0.63865240	0.63774876	0.34807320	0.34797254	59843	66349	0
59843	66354	0.00006806	0.00810154	0.46835583	0.00812480	0.47466472	0.63859554	0.63769634	0.34814222	0.34799900	0.63865627	0.63776364	0.34807764	0.34796703	59843	66352	0
59843	66357	0.00064177	0.00805321	0.47063886	0.00810519	0.46891774	0.63861715	0.63771417	0.34801675	0.34788042	0.63861839	0.63768270	0.34813212	0.34798215	59843	66355	0
59843	66360	0.00215829	0.00806731	0.47171345	0.00812732	0.46716387	0.63852282	0.63761302	0.34804008	0.34790360	0.63874468	0.63765172	0.34813516	0.34790023	59843	66358	0
