% File initiated 21/09/2022 18:23:56 UTC
% Raw fountain data
%
% File notes: coll shift ramsey rakon reference seq1 AOM on seq23 390mV seq45 2540mV seq67 390mV no FSK seq89 2540mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59843.766623
%% clock_data = False
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59843	66396	0.00015510	0.05212208	0.47293419	0.05171161	0.47656182	0.63803349	0.63801385	0.34847140	0.34809843	0.63806595	0.63808591	0.34851076	0.34815422	59843	66394	0
59843	66399	0.00047025	0.05196489	0.47724665	0.05193335	0.47630121	0.63794630	0.63807145	0.34841988	0.34816153	0.63805748	0.63802240	0.34832925	0.34815069	59843	66398	0
59843	66403	0.00037040	0.05173076	0.47493958	0.05177176	0.47523912	0.63811952	0.63791220	0.34814296	0.34808051	0.63794162	0.63782913	0.34840928	0.34805052	59843	66401	0
59843	66406	0.00142954	0.05173525	0.47807031	0.05166260	0.47489290	0.63799799	0.63802519	0.34832563	0.34813877	0.63799914	0.63802412	0.34825537	0.34810097	59843	66404	0
59843	66409	0.00072858	0.05198587	0.47511279	0.05199459	0.47721566	0.63802124	0.63797219	0.34834757	0.34812308	0.63811352	0.63804129	0.34836910	0.34812973	59843	66407	0
59843	66805	0.00021051	0.05252840	0.47333205	0.05239909	0.47488627	0.63874222	0.63858059	0.34841306	0.34842177	0.63865684	0.63872414	0.34851594	0.34832390	59843	66803	0
59843	66808	0.00071448	0.05226232	0.47517522	0.05232965	0.47366331	0.63873753	0.63858338	0.34843755	0.34831766	0.63841674	0.63850614	0.34864183	0.34828972	59843	66806	0
59843	66811	0.00031770	0.05223250	0.47155144	0.05217783	0.47274178	0.63866793	0.63852372	0.34834839	0.34831109	0.63848995	0.63867336	0.34863813	0.34842875	59843	66810	0
59843	66815	0.00014140	0.05234084	0.47331062	0.05234539	0.47383951	0.63852159	0.63857023	0.34864404	0.34830681	0.63866473	0.63861370	0.34859819	0.34836524	59843	66813	0
59843	66818	0.00062367	0.05243637	0.47475083	0.05254976	0.47330401	0.63874567	0.63857787	0.34835850	0.34841290	0.63862101	0.63852693	0.34844659	0.34830829	59843	66816	0
