% File initiated 22/09/2022 11:30:35 UTC
% Raw fountain data
%
% File notes: CERN rakon 10MHz CS1 on top of rack no flight tube cooling reoptimized selection power
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59844.479572
%% clock_data = False
%% sequence = 1
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59844	41451	0.00119081	0.00834952	0.47297519	0.00837420	0.47255617	0.63648267	0.63559423	0.34664078	0.34639542	0.63646360	0.63558395	0.34655565	0.34645335	59844	41449	0
59844	41454	0.00149233	0.00835077	0.47112892	0.00830472	0.47022436	0.63646722	0.63575578	0.34658548	0.34641547	0.63637403	0.63564156	0.34656280	0.34638359	59844	41453	0
59844	41458	0.00172353	0.00836715	0.47189725	0.00834642	0.47120365	0.63639433	0.63542504	0.34650249	0.34633963	0.63620361	0.63538880	0.34644522	0.34623132	59844	41456	0
59844	41461	0.00074654	0.00832408	0.47046735	0.00831113	0.47339830	0.63610920	0.63534015	0.34640125	0.34625400	0.63621470	0.63536834	0.34641037	0.34619656	59844	41459	0
59844	41464	0.00195467	0.00831915	0.47314284	0.00824039	0.46951847	0.63614174	0.63528953	0.34630635	0.34618079	0.63615595	0.63524976	0.34631473	0.34619295	59844	41462	0
59844	41467	0.00131561	0.00830220	0.47202125	0.00832024	0.47393841	0.63615850	0.63522437	0.34631300	0.34613625	0.63618841	0.63522158	0.34627397	0.34614052	59844	41466	0
59844	41471	0.00189773	0.00839387	0.47333531	0.00832131	0.47158898	0.63620797	0.63531057	0.34631645	0.34611250	0.63614026	0.63513974	0.34624373	0.34603337	59844	41469	0
59844	41474	0.00210197	0.00831111	0.47250285	0.00834223	0.47189013	0.63601108	0.63511328	0.34620536	0.34608243	0.63605357	0.63530457	0.34615474	0.34606271	59844	41472	0
59844	41477	0.00045051	0.00836398	0.46990306	0.00830388	0.47485742	0.63606671	0.63516874	0.34620733	0.34601291	0.63617584	0.63525371	0.34624242	0.34605326	59844	41476	0
59844	41480	0.00122700	0.00835796	0.47123241	0.00840458	0.46890295	0.63606482	0.63528871	0.34624176	0.34609664	0.63607822	0.63518362	0.34616024	0.34603929	59844	41479	0
59844	41484	0.00126576	0.00837056	0.47292433	0.00836480	0.47280803	0.63595923	0.63520712	0.34618325	0.34604200	0.63604576	0.63517836	0.34614447	0.34606838	59844	41482	0
59844	41487	0.00016287	0.00837245	0.47053042	0.00823344	0.47383912	0.63611109	0.63526283	0.34612540	0.34597495	0.63609942	0.63507326	0.34610396	0.34599229	59844	41485	0
59844	41490	0.00120060	0.00834192	0.47330657	0.00835916	0.47019338	0.63627042	0.63523111	0.34626912	0.34611275	0.63615069	0.63528608	0.34619771	0.34607290	59844	41489	0
59844	41493	0.00091993	0.00832905	0.47121661	0.00836783	0.47205861	0.63614888	0.63513711	0.34612220	0.34594602	0.63605283	0.63523703	0.34607224	0.34600297	59844	41492	0
59844	41497	0.00138430	0.00831786	0.47049962	0.00833782	0.46910653	0.63608471	0.63547902	0.34621349	0.34611653	0.63617888	0.63529142	0.34625655	0.34605761	59844	41495	0
59844	41500	0.00095237	0.00832932	0.47268019	0.00832985	0.47397597	0.63632753	0.63530934	0.34630380	0.34604299	0.63606121	0.63530252	0.34619089	0.34605605	59844	41498	0
59844	41503	0.00179426	0.00832212	0.47277365	0.00835036	0.47024798	0.63611182	0.63525264	0.34620667	0.34604315	0.63608668	0.63532109	0.34617857	0.34609747	59844	41502	0
