% File initiated 22/09/2022 11:30:35 UTC
% Raw fountain data
%
% File notes: CERN rakon 10MHz CS1 on top of rack no flight tube cooling reoptimized selection power
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59844.479572
%% clock_data = False
%% sequence = 2
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59844	41533	0.00116076	0.04440205	0.47239137	0.04424176	0.47249015	0.63574205	0.63537705	0.34659838	0.34604463	0.63591626	0.63548091	0.34687883	0.34610552	59844	41531	0
59844	41536	0.00224152	0.04441700	0.47561930	0.04436075	0.47237704	0.63602670	0.63554731	0.34636033	0.34615293	0.63540827	0.63550573	0.34723612	0.34601497	59844	41534	0
59844	41539	0.00094463	0.04441930	0.47088706	0.04433141	0.47477772	0.63589333	0.63550704	0.34660907	0.34602154	0.63580163	0.63538313	0.34664095	0.34601809	59844	41538	0
59844	41542	0.00193217	0.04443737	0.47460334	0.04440672	0.47164071	0.63576876	0.63543309	0.34651375	0.34605696	0.63556152	0.63548124	0.34669107	0.34605819	59844	41541	0
59844	41546	0.00177969	0.04440939	0.47299200	0.04448140	0.47344945	0.63595759	0.63542117	0.34631842	0.34610281	0.63592825	0.63545108	0.34625499	0.34595367	59844	41544	0
59844	41631	0.00109766	0.04447134	0.47093924	0.04442330	0.47298532	0.63524993	0.63508156	0.34670348	0.34580839	0.63512494	0.63521468	0.34685780	0.34579565	59844	41630	0
59844	41634	0.00151570	0.04444811	0.47407292	0.04421289	0.47281881	0.63551945	0.63526833	0.34647011	0.34584191	0.63553416	0.63513776	0.34626353	0.34573944	59844	41633	0
59844	41638	0.00075878	0.04454947	0.47180344	0.04441008	0.47407421	0.63564887	0.63530679	0.34605572	0.34594150	0.63550252	0.63519002	0.34643075	0.34574659	59844	41636	0
59844	41641	0.00025696	0.04446275	0.47339237	0.04452362	0.47489782	0.63578560	0.63513604	0.34618235	0.34573386	0.63545914	0.63519997	0.34647167	0.34580855	59844	41639	0
59844	41644	0.00147500	0.04435534	0.47560830	0.04435281	0.47195417	0.63528230	0.63518477	0.34658236	0.34568529	0.63529767	0.63516291	0.34648030	0.34574199	59844	41643	0
59844	41730	0.00170736	0.04462372	0.47467376	0.04446536	0.47397667	0.63571831	0.63571642	0.34715559	0.34632804	0.63574066	0.63578593	0.34736759	0.34632763	59844	41728	0
59844	41733	0.00072178	0.04443317	0.47292131	0.04454943	0.47587807	0.63572891	0.63576350	0.34731517	0.34635121	0.63621396	0.63583540	0.34664144	0.34637586	59844	41731	0
59844	41736	0.00040727	0.04459705	0.47366784	0.04425296	0.47461138	0.63605447	0.63583482	0.34682863	0.34636304	0.63620287	0.63577468	0.34674539	0.34633889	59844	41735	0
59844	41740	0.00151880	0.04470139	0.47466412	0.04460254	0.47132951	0.63620484	0.63576925	0.34660619	0.34636732	0.63607485	0.63578914	0.34706956	0.34634513	59844	41738	0
59844	41743	0.00150080	0.04474387	0.47372229	0.04457796	0.47377631	0.63589448	0.63586022	0.34720144	0.34640906	0.63593146	0.63587936	0.34692674	0.34632763	59844	41741	0
59844	41828	0.00173580	0.04439819	0.47488609	0.04467766	0.47418107	0.63604675	0.63587188	0.34714195	0.34623395	0.63598890	0.63585093	0.34710859	0.34621152	59844	41827	0
59844	41832	0.00186544	0.04475280	0.47505156	0.04448342	0.47466267	0.63630082	0.63592349	0.34652599	0.34623206	0.63604633	0.63594387	0.34697925	0.34628745	59844	41830	0
59844	41835	0.00064435	0.04457188	0.47249808	0.04455585	0.47616135	0.63643320	0.63590056	0.34642615	0.34622500	0.63601905	0.63583606	0.34698903	0.34615121	59844	41833	0
59844	41838	0.00060905	0.04465982	0.47312590	0.04450300	0.47323179	0.63640288	0.63592012	0.34642040	0.34618933	0.63614708	0.63593598	0.34686782	0.34620552	59844	41837	0
59844	41841	0.00104997	0.04437123	0.47552915	0.04459982	0.47420639	0.63593088	0.63585775	0.34702839	0.34611801	0.63600139	0.63591042	0.34689206	0.34612516	59844	41840	0
59844	41927	0.00122729	0.04439040	0.47508671	0.04424592	0.47455474	0.63567114	0.63527203	0.34585399	0.34567979	0.63571362	0.63537812	0.34615277	0.34578932	59844	41925	0
59844	41930	0.00109995	0.04433950	0.47503658	0.04436645	0.47541861	0.63526570	0.63525897	0.34660767	0.34563443	0.63566530	0.63527639	0.34610083	0.34560370	59844	41929	0
59844	41933	0.00126841	0.04405454	0.47519376	0.04420667	0.47468837	0.63521361	0.63527063	0.34652796	0.34567880	0.63514623	0.63505313	0.34661515	0.34558192	59844	41932	0
59844	41937	0.00191406	0.04425076	0.47577205	0.04416116	0.47383512	0.63558954	0.63513390	0.34582819	0.34563131	0.63535585	0.63528773	0.34643322	0.34566475	59844	41935	0
59844	41940	0.00097995	0.04423394	0.47429015	0.04422876	0.47709246	0.63542873	0.63536563	0.34670595	0.34573188	0.63560524	0.63518140	0.34585054	0.34560912	59844	41938	0
59844	42026	0.00247935	0.04446852	0.47382548	0.04452364	0.46932727	0.63502930	0.63481960	0.34598916	0.34522168	0.63477933	0.63475871	0.34634677	0.34523006	59844	42024	0
59844	42029	0.00101253	0.04459794	0.46917864	0.04456338	0.47357913	0.63488854	0.63480333	0.34653749	0.34524798	0.63504729	0.63488813	0.34622623	0.34533730	59844	42027	0
59844	42032	0.00123481	0.04466370	0.47446597	0.04444982	0.47379913	0.63497334	0.63484227	0.34630791	0.34529662	0.63492666	0.63501056	0.34634842	0.34543853	59844	42030	0
59844	42035	0.00042548	0.04462242	0.47321423	0.04457287	0.47564221	0.63531903	0.63505222	0.34559466	0.34542004	0.63554846	0.63494261	0.34571948	0.34545850	59844	42034	0
