% File initiated 22/09/2022 14:14:02 UTC
% Raw fountain data
%
% File notes: CERN Rakon 10MHz 700mV 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59844.593089
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59844	51245	0.00119899	0.04408394	0.44542457	0.04368703	0.44182759	0.63578979	0.63538830	0.34572449	0.34535398	0.63535042	0.63513686	0.34671211	0.34524025	59844	51244	0
59844	51248	0.00114425	0.04409982	0.44371070	0.04412369	0.44387494	0.63517269	0.63528871	0.34644924	0.34537625	0.63495953	0.63494425	0.34635450	0.34502521	59844	51247	0
59844	51252	0.00167849	0.04438813	0.44420582	0.04450295	0.44260310	0.63528255	0.63471351	0.34525159	0.34490409	0.63460579	0.63461219	0.34606262	0.34467935	59844	51250	0
59844	51255	0.00121013	0.04460475	0.44191154	0.04463078	0.44331662	0.63448754	0.63452107	0.34584191	0.34464821	0.63482576	0.63445492	0.34544215	0.34469488	59844	51253	0
59844	51258	0.00127233	0.04495082	0.44510896	0.04492134	0.44492235	0.63514845	0.63456133	0.34488092	0.34464919	0.63515099	0.63440866	0.34485487	0.34461599	59844	51257	0
59844	51261	0.00140634	0.04488424	0.44434097	0.04489921	0.44393892	0.63464202	0.63446798	0.34564322	0.34462150	0.63454465	0.63443783	0.34593978	0.34455962	59844	51260	0
59844	51265	0.00173209	0.04495938	0.44441710	0.04494550	0.44343984	0.63477202	0.63439099	0.34584545	0.34448321	0.63460915	0.63449707	0.34543401	0.34454755	59844	51263	0
59844	51268	0.00006756	0.04493213	0.44172111	0.04496005	0.44671471	0.63491245	0.63437562	0.34491189	0.34449717	0.63493858	0.63453775	0.34507468	0.34457023	59844	51266	0
59844	51271	0.00082759	0.04507785	0.44443711	0.04518439	0.44215701	0.63488665	0.63442032	0.34492964	0.34450473	0.63453791	0.63479651	0.34569787	0.34470581	59844	51270	0
59844	51275	0.00093716	0.04506729	0.44314205	0.04493986	0.44281334	0.63494959	0.63445738	0.34506810	0.34454327	0.63488221	0.63435549	0.34535151	0.34453341	59844	51273	0
59844	51442	0.00071162	0.04481634	0.44164054	0.04491905	0.44231719	0.63450800	0.63411161	0.34474870	0.34409593	0.63459190	0.63419180	0.34502620	0.34420210	59844	51440	0
59844	51445	0.00196868	0.04455734	0.44414846	0.04458084	0.44037726	0.63442944	0.63420364	0.34513277	0.34425378	0.63474178	0.63409501	0.34442478	0.34409946	59844	51443	0
59844	51448	0.00045678	0.04446804	0.44102126	0.04443111	0.44555697	0.63479404	0.63420972	0.34447597	0.34416569	0.63429879	0.63422944	0.34532859	0.34410513	59844	51447	0
59844	51451	0.00110761	0.04443135	0.44517452	0.04451126	0.44322202	0.63416411	0.63423429	0.34535036	0.34408591	0.63456544	0.63443939	0.34463563	0.34435181	59844	51450	0
59844	51455	0.00081121	0.04462010	0.44404503	0.04472456	0.44493422	0.63473405	0.63423955	0.34441246	0.34416159	0.63436749	0.63441613	0.34502710	0.34434088	59844	51453	0
59844	51458	0.00139074	0.04463706	0.44739460	0.04447851	0.44565602	0.63476980	0.63438746	0.34446463	0.34424836	0.63478048	0.63421958	0.34432971	0.34416348	59844	51456	0
59844	51461	0.00069803	0.04465878	0.44469392	0.04461409	0.44677206	0.63447020	0.63418967	0.34474163	0.34405057	0.63432640	0.63431383	0.34528331	0.34414096	59844	51460	0
59844	51465	0.00180060	0.04461312	0.44774392	0.04474676	0.44443623	0.63436017	0.63419000	0.34501025	0.34407629	0.63469289	0.63421070	0.34456973	0.34403512	59844	51463	0
59844	51468	0.00071443	0.04454783	0.44320536	0.04505413	0.44646387	0.63432714	0.63421095	0.34502455	0.34409700	0.63424481	0.63408950	0.34486267	0.34402830	59844	51466	0
59844	51471	0.00088252	0.04459932	0.44416680	0.04468528	0.44366252	0.63461458	0.63412697	0.34429906	0.34403471	0.63479215	0.63412418	0.34445083	0.34399412	59844	51469	0
59844	51638	0.00136283	0.04471945	0.44240193	0.04476999	0.44096103	0.63457374	0.63399689	0.34425888	0.34370915	0.63453175	0.63406855	0.34432248	0.34380899	59844	51637	0
59844	51641	0.00230958	0.04437852	0.44442949	0.04469050	0.44158922	0.63399262	0.63399599	0.34508150	0.34373470	0.63453208	0.63389632	0.34420407	0.34374268	59844	51640	0
59844	51645	0.00208291	0.04461182	0.44095985	0.04460426	0.44163988	0.63486865	0.63430002	0.34557329	0.34408065	0.63396312	0.63396230	0.34504197	0.34380677	59844	51643	0
59844	51648	0.00201216	0.04463696	0.44344638	0.04463112	0.44365862	0.63470727	0.63400602	0.34426044	0.34375640	0.63440266	0.63398317	0.34452700	0.34380299	59844	51646	0
59844	51651	0.00206806	0.04495628	0.44296721	0.04475136	0.44279951	0.63488352	0.63439337	0.34477393	0.34393290	0.63471014	0.63431687	0.34430226	0.34393109	59844	51650	0
59844	51654	0.00150095	0.04471615	0.44174903	0.04466085	0.44345036	0.63407241	0.63409032	0.34514156	0.34382214	0.63415294	0.63399435	0.34492323	0.34378294	59844	51653	0
59844	51658	0.00107679	0.04475225	0.44083250	0.04464745	0.44210498	0.63480423	0.63404020	0.34417276	0.34383479	0.63411769	0.63402278	0.34492775	0.34374670	59844	51656	0
