% File initiated 26/09/2022 10:58:21 UTC
% Raw fountain data
%
% File notes: CERN Rakon 10MHz 1350mV 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59848.457198
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59848	39537	0.00134223	0.00661825	0.50854693	0.00660293	0.50452024	0.54842280	0.54805401	0.23119664	0.23095473	0.54833742	0.54797989	0.23106690	0.23081553	59848	39535	0
59848	39540	0.00099467	0.00660489	0.50588143	0.00656775	0.50692411	0.54825467	0.54792081	0.23101620	0.23073837	0.54821729	0.54792607	0.23098645	0.23071405	59848	39539	0
59848	39543	0.00096904	0.00662815	0.50672241	0.00659381	0.50679929	0.54820496	0.54794842	0.23095391	0.23066138	0.54840267	0.54811194	0.23100108	0.23080271	59848	39542	0
59848	39547	0.00159760	0.00663067	0.50786742	0.00664605	0.50598176	0.54848040	0.54804325	0.23106435	0.23073459	0.54838418	0.54816848	0.23097322	0.23080239	59848	39545	0
59848	39550	0.00104456	0.00659957	0.50579678	0.00661423	0.50745588	0.54854310	0.54813380	0.23111571	0.23081348	0.54861229	0.54817571	0.23106262	0.23076861	59848	39548	0
59848	39553	0.00151356	0.00662288	0.50749900	0.00660969	0.50609199	0.54864392	0.54824218	0.23104685	0.23076311	0.54870530	0.54831261	0.23120642	0.23088932	59848	39552	0
59848	39556	0.00129001	0.00665162	0.50351146	0.00668644	0.50418211	0.54861508	0.54829272	0.23106509	0.23076697	0.54866989	0.54823430	0.23100962	0.23069269	59848	39555	0
59848	39560	0.00176506	0.00665806	0.50521566	0.00671036	0.50379054	0.54862667	0.54828968	0.23115252	0.23076130	0.54879651	0.54842797	0.23105514	0.23085785	59848	39558	0
59848	39563	-0.00022162	0.00672191	0.50166577	0.00667805	0.50762580	0.54869939	0.54838672	0.23111431	0.23087897	0.54877260	0.54860210	0.23124381	0.23100042	59848	39561	0
59848	39566	0.00058852	0.00668213	0.50614793	0.00667066	0.50371750	0.54884015	0.54845706	0.23113280	0.23087478	0.54887597	0.54869659	0.23121382	0.23098826	59848	39565	0
59848	39570	0.00152608	0.00670437	0.50679429	0.00668510	0.50398161	0.54902561	0.54861705	0.23131136	0.23098965	0.54915330	0.54866956	0.23135795	0.23101998	59848	39568	0
59848	39573	0.00144762	0.00671194	0.50524822	0.00669298	0.50548359	0.54922783	0.54887786	0.23139353	0.23118210	0.54926580	0.54886307	0.23145696	0.23117733	59848	39571	0
59848	39576	0.00102884	0.00671763	0.50476354	0.00674346	0.50601988	0.54932044	0.54894056	0.23150684	0.23113436	0.54933556	0.54896505	0.23142631	0.23115441	59848	39574	0
59848	39579	0.00084093	0.00670357	0.50406968	0.00673213	0.50463342	0.54966712	0.54910622	0.23160750	0.23134866	0.54954633	0.54920869	0.23162739	0.23137627	59848	39578	0
59848	39583	0.00044984	0.00671822	0.50426115	0.00664165	0.50543442	0.54958511	0.54932677	0.23174555	0.23146748	0.54962784	0.54924361	0.23177258	0.23139895	59848	39581	0
59848	39586	0.00244564	0.00666637	0.50794706	0.00665307	0.50195967	0.54968010	0.54932989	0.23180019	0.23150356	0.54964945	0.54937254	0.23190414	0.23157833	59848	39584	0
59848	39589	0.00194302	0.00670139	0.50479299	0.00670984	0.50630086	0.54963959	0.54933096	0.23180759	0.23152237	0.54973730	0.54936974	0.23179641	0.23154193	59848	39587	0
59848	39592	0.00048765	0.00672820	0.50225484	0.00669075	0.50662095	0.54977189	0.54935627	0.23186330	0.23156839	0.54974346	0.54940565	0.23186396	0.23157011	59848	39591	0
59848	39596	0.00050592	0.00669798	0.50504790	0.00670800	0.50499308	0.54979342	0.54942439	0.23188204	0.23156707	0.54981207	0.54938716	0.23186100	0.23158860	59848	39594	0
59848	39599	0.00132001	0.00664159	0.50538250	0.00663208	0.50294022	0.54974617	0.54944403	0.23182838	0.23155853	0.54981363	0.54944994	0.23185065	0.23156543	59848	39597	0
59848	39602	0.00075687	0.00662845	0.50442448	0.00667685	0.50611391	0.54972103	0.54927656	0.23193372	0.23148983	0.54986762	0.54944140	0.23182189	0.23166050	59848	39601	0
59848	39605	0.00115487	0.00666670	0.50506222	0.00669196	0.50386824	0.54976178	0.54952028	0.23197908	0.23163528	0.54983031	0.54944312	0.23183413	0.23160898	59848	39604	0
59848	39609	0.00132487	0.00666484	0.50407558	0.00671290	0.50356558	0.54985669	0.54948429	0.23205271	0.23164054	0.54995842	0.54954049	0.23200340	0.23163708	59848	39607	0
59848	39612	0.00144354	0.00670253	0.50626212	0.00670419	0.50590610	0.54978331	0.54946966	0.23182090	0.23150356	0.54948791	0.54903769	0.23153905	0.23127553	59848	39610	0
59848	39615	-0.00007428	0.00667743	0.50499403	0.00666106	0.50954748	0.54984601	0.54942365	0.23189346	0.23158030	0.54978504	0.54950656	0.23179715	0.23154596	59848	39614	0
59848	39618	0.00036813	0.00664513	0.50824896	0.00663697	0.50692172	0.54980172	0.54946588	0.23185854	0.23160364	0.54967049	0.54936440	0.23182517	0.23158063	59848	39617	0
59848	39622	0.00142661	0.00662511	0.50774478	0.00658772	0.50456934	0.54958298	0.54930433	0.23181310	0.23150684	0.54952357	0.54903645	0.23173248	0.23146847	59848	39620	0
59848	39625	0.00120473	0.00665642	0.50568159	0.00664059	0.50634725	0.54943326	0.54914188	0.23175944	0.23144201	0.54944657	0.54914739	0.23166897	0.23142533	59848	39623	0
59848	39628	0.00110198	0.00659556	0.50702748	0.00660741	0.50733573	0.54962234	0.54936506	0.23174144	0.23148646	0.54975020	0.54939176	0.23177119	0.23158178	59848	39627	0
59848	39632	0.00071025	0.00665326	0.50596910	0.00661517	0.50714427	0.54955841	0.54919447	0.23180488	0.23143502	0.54958536	0.54919866	0.23170027	0.23147356	59848	39630	0
59848	39635	0.00086837	0.00662869	0.50820521	0.00673164	0.50773086	0.54958626	0.54921781	0.23175410	0.23156403	0.54946892	0.54920335	0.23173815	0.23154283	59848	39633	0
59848	39638	0.00187750	0.00666228	0.50781381	0.00667349	0.50478643	0.54942545	0.54906472	0.23169354	0.23139936	0.54934945	0.54899783	0.23174120	0.23138778	59848	39636	0
59848	39641	0.00133734	0.00665900	0.50590793	0.00661121	0.50752839	0.54953154	0.54919570	0.23179535	0.23150380	0.54957665	0.54920351	0.23191967	0.23161005	59848	39640	0
59848	39645	0.00102673	0.00664203	0.50695926	0.00660141	0.50789109	0.54968364	0.54921181	0.23193003	0.23165705	0.54963836	0.54943326	0.23195040	0.23176708	59848	39643	0
59848	39648	0.00157753	0.00660455	0.50952539	0.00665330	0.50787302	0.54966507	0.54938527	0.23193027	0.23162846	0.54961051	0.54931584	0.23187735	0.23164916	59848	39646	0
59848	39651	0.00169953	0.00667353	0.50723276	0.00663074	0.50686676	0.54969818	0.54936259	0.23208065	0.23177094	0.54968840	0.54932397	0.23199543	0.23170389	59848	39649	0
59848	39654	0.00173042	0.00665024	0.50610501	0.00664369	0.50601233	0.54946391	0.54913851	0.23185221	0.23158573	0.54953326	0.54925462	0.23196429	0.23170044	59848	39653	0
