% File initiated 27/09/2022 15:42:49 UTC
% Raw fountain data
%
% File notes: rakon 10MHZ ALPHA HM1 1200mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59849.654738
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59849	56572	0.00176710	0.03129326	0.51493306	0.03149341	0.50963178	0.58550920	0.58491707	0.26112583	0.26064775	0.58525948	0.58504443	0.26174080	0.26077586	59849	56570	0
59849	56575	0.00190506	0.03159554	0.51048484	0.03183576	0.51007096	0.58512529	0.58501066	0.26151984	0.26072574	0.58516933	0.58471788	0.26119691	0.26054718	59849	56573	0
59849	56578	0.00138380	0.03194211	0.51035245	0.03209041	0.51191622	0.58495372	0.58470597	0.26139995	0.26051340	0.58494180	0.58451246	0.26080561	0.26035539	59849	56577	0
59849	56581	0.00072432	0.03228878	0.50940399	0.03232473	0.51138244	0.58485963	0.58447992	0.26093026	0.26032071	0.58451993	0.58432330	0.26132945	0.26025588	59849	56580	0
59849	56585	0.00121276	0.03229975	0.51079695	0.03244788	0.50933164	0.58489957	0.58437827	0.26070799	0.26028604	0.58486546	0.58436693	0.26064135	0.26023994	59849	56583	0
59849	56670	0.00099772	0.03254965	0.51175547	0.03217275	0.51240057	0.58481361	0.58445033	0.26077750	0.26034980	0.58433390	0.58441911	0.26128310	0.26030428	59849	56669	0
59849	56673	0.00101007	0.03250709	0.51101641	0.03253265	0.51097936	0.58486275	0.58456127	0.26098827	0.26041315	0.58480704	0.58460490	0.26124243	0.26046320	59849	56672	0
59849	56677	0.00064907	0.03243822	0.51223581	0.03246752	0.51331882	0.58498741	0.58450366	0.26072656	0.26031808	0.58440908	0.58451837	0.26143833	0.26032351	59849	56675	0
59849	56680	-0.00037424	0.03239775	0.51146670	0.03264081	0.51453664	0.58448139	0.58448674	0.26136232	0.26038974	0.58467984	0.58445206	0.26136495	0.26040165	59849	56678	0
59849	56683	0.00158662	0.03247814	0.51439596	0.03251887	0.50851338	0.58489357	0.58445403	0.26083683	0.26038686	0.58464171	0.58449216	0.26133800	0.26045276	59849	56682	0
59849	56769	0.00130693	0.03249877	0.51150150	0.03249702	0.51234055	0.58472857	0.58452651	0.26093429	0.26040937	0.58434598	0.58440859	0.26135073	0.26032441	59849	56767	0
59849	56772	0.00019111	0.03244783	0.50956980	0.03235959	0.51291728	0.58454795	0.58433940	0.26103240	0.26032852	0.58443086	0.58433324	0.26106790	0.26026097	59849	56770	0
