% File initiated 27/09/2022 15:42:49 UTC
% Raw fountain data
%
% File notes: rakon 10MHZ ALPHA HM1 1200mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59849.654738
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59849	56588	0.00111469	0.00716924	0.51040842	0.00718507	0.50706435	0.58462980	0.58422765	0.26037199	0.26007362	0.58460646	0.58403931	0.26042951	0.26004782	59849	56586	0
59849	56591	0.00143273	0.00719488	0.51037772	0.00717257	0.50942361	0.58464467	0.58412214	0.26034257	0.26008997	0.58456611	0.58406347	0.26030839	0.26004831	59849	56590	0
59849	56594	0.00191388	0.00721005	0.51074954	0.00721265	0.50930608	0.58448772	0.58403972	0.26035177	0.25995012	0.58446340	0.58397620	0.26020994	0.25997666	59849	56593	0
59849	56598	0.00076538	0.00721872	0.50719283	0.00703670	0.51063833	0.58451254	0.58403085	0.26021175	0.25992571	0.58458008	0.58405049	0.26024594	0.26001364	59849	56596	0
59849	56601	0.00242767	0.00723224	0.51184023	0.00720964	0.50685336	0.58440629	0.58399165	0.26019302	0.25983656	0.58424507	0.58397218	0.26013739	0.25989276	59849	56599	0
59849	56604	0.00042195	0.00722634	0.50542318	0.00718796	0.51144035	0.58422297	0.58383125	0.26008866	0.25979317	0.58420916	0.58384498	0.26012851	0.25983623	59849	56603	0
59849	56608	0.00039608	0.00719622	0.51080582	0.00722902	0.51088343	0.58408541	0.58371966	0.26001076	0.25972275	0.58419831	0.58387982	0.26007666	0.25984173	59849	56606	0
59849	56611	0.00135748	0.00724377	0.51202218	0.00720561	0.50913796	0.58448197	0.58388015	0.26024331	0.25987288	0.58443990	0.58397530	0.26017256	0.25996787	59849	56609	0
59849	56614	0.00103549	0.00719016	0.51107618	0.00719777	0.51204216	0.58448033	0.58403446	0.26027272	0.26004955	0.58441056	0.58395139	0.26028102	0.26001840	59849	56612	0
59849	56617	0.00084300	0.00718177	0.51195616	0.00718051	0.51253365	0.58458863	0.58407982	0.26041841	0.26013772	0.58454401	0.58392739	0.26033419	0.26002177	59849	56616	0
59849	56621	0.00068845	0.00717631	0.51112000	0.00718957	0.51158363	0.58451352	0.58401556	0.26035259	0.25998997	0.58447794	0.58400850	0.26030083	0.26001922	59849	56619	0
59849	56624	-0.00030678	0.00716533	0.50995423	0.00718024	0.51293994	0.58445231	0.58403422	0.26020920	0.26004363	0.58463136	0.58408483	0.26031282	0.26000180	59849	56622	0
59849	56627	0.00094958	0.00719931	0.51265500	0.00717547	0.50888592	0.58465363	0.58398631	0.26035276	0.26003270	0.58460284	0.58407103	0.26029705	0.26004823	59849	56626	0
59849	56630	0.00110683	0.00717999	0.51180920	0.00723842	0.51133745	0.58459734	0.58402567	0.26033000	0.26005004	0.58461279	0.58408894	0.26037281	0.26005004	59849	56629	0
59849	56634	0.00057280	0.00717548	0.51204796	0.00717283	0.51365005	0.58442092	0.58413175	0.26015629	0.25999400	0.58433291	0.58387513	0.26022564	0.25986047	59849	56632	0
59849	56637	0.00108617	0.00717813	0.51141229	0.00720008	0.50987219	0.58426249	0.58387628	0.26019244	0.25990895	0.58439364	0.58398952	0.26026664	0.25999959	59849	56635	0
59849	56640	0.00182540	0.00716914	0.51106624	0.00717515	0.50884853	0.58463308	0.58427638	0.26035153	0.26018554	0.58462125	0.58415986	0.26038661	0.26010246	59849	56639	0
59849	56643	0.00198581	0.00721400	0.51181185	0.00718287	0.51133063	0.58476300	0.58428804	0.26052713	0.26022432	0.58474377	0.58425797	0.26052154	0.26022161	59849	56642	0
59849	56647	0.00091181	0.00720917	0.51062958	0.00717750	0.51385159	0.58471813	0.58421393	0.26042959	0.26015719	0.58470408	0.58425542	0.26042154	0.26016294	59849	56645	0
59849	56650	0.00130858	0.00718622	0.51231192	0.00723053	0.51112161	0.58466562	0.58427087	0.26050617	0.26024174	0.58469060	0.58420029	0.26044298	0.26010320	59849	56648	0
59849	56653	0.00081359	0.00715143	0.51032081	0.00712862	0.51180578	0.58482257	0.58423693	0.26051957	0.26019819	0.58465305	0.58421450	0.26034413	0.26016828	59849	56652	0
59849	56657	0.00062156	0.00715576	0.51196448	0.00715873	0.51254056	0.58460547	0.58418278	0.26050814	0.26021241	0.58474130	0.58438608	0.26040757	0.26020156	59849	56655	0
59849	56660	0.00041618	0.00721357	0.51087142	0.00720293	0.51148754	0.58479135	0.58427744	0.26053658	0.26025497	0.58476710	0.58428698	0.26044380	0.26020419	59849	56658	0
59849	56663	0.00154942	0.00715390	0.51194555	0.00720025	0.50854583	0.58477442	0.58428615	0.26059705	0.26027387	0.58478592	0.58430448	0.26043008	0.26024610	59849	56661	0
59849	56666	0.00168386	0.00718924	0.51020093	0.00717385	0.50979763	0.58497229	0.58440662	0.26072064	0.26038398	0.58481427	0.58437087	0.26066682	0.26041250	59849	56665	0
59849	56687	0.00115723	0.00720911	0.50914628	0.00715789	0.51072616	0.58475807	0.58438731	0.26066887	0.26035144	0.58484205	0.58442075	0.26066279	0.26035399	59849	56685	0
59849	56690	0.00093573	0.00716675	0.50891416	0.00720796	0.50957867	0.58486119	0.58446570	0.26064323	0.26038752	0.58485100	0.58435033	0.26066517	0.26035596	59849	56688	0
59849	56693	0.00108812	0.00715362	0.51029675	0.00719873	0.50983956	0.58486201	0.58443135	0.26069714	0.26035210	0.58472668	0.58427761	0.26055252	0.26025037	59849	56691	0
59849	56696	0.00081039	0.00722809	0.51012041	0.00706640	0.51095363	0.58469405	0.58422181	0.26051529	0.26025990	0.58459446	0.58411359	0.26032737	0.26011758	59849	56695	0
59849	56700	0.00208572	0.00715103	0.51274758	0.00721109	0.50892157	0.58445945	0.58415978	0.26046640	0.26028817	0.58466110	0.58429996	0.26052425	0.26028110	59849	56698	0
59849	56703	0.00087644	0.00717142	0.50779370	0.00719087	0.51142156	0.58476226	0.58432141	0.26058366	0.26032277	0.58491197	0.58458501	0.26068350	0.26050305	59849	56701	0
59849	56706	0.00184248	0.00719827	0.51014019	0.00716805	0.50724207	0.58486711	0.58440374	0.26062080	0.26034043	0.58489307	0.58442963	0.26065967	0.26038431	59849	56704	0
59849	56709	0.00152534	0.00719607	0.50912723	0.00721091	0.51007865	0.58488962	0.58439372	0.26063157	0.26038859	0.58482265	0.58437079	0.26063650	0.26034224	59849	56708	0
59849	56713	0.00087928	0.00720238	0.50820493	0.00717156	0.51014312	0.58482257	0.58435666	0.26067315	0.26039417	0.58486481	0.58449331	0.26073806	0.26050913	59849	56711	0
59849	56716	0.00142359	0.00718173	0.50896742	0.00718864	0.50733450	0.58483859	0.58441599	0.26070626	0.26043624	0.58487565	0.58450810	0.26076682	0.26046131	59849	56714	0
59849	56719	0.00079263	0.00719951	0.50904571	0.00718430	0.51093858	0.58482693	0.58438525	0.26068785	0.26039623	0.58477294	0.58433735	0.26052951	0.26036508	59849	56718	0
59849	56722	0.00117234	0.00718499	0.50995124	0.00717514	0.50881212	0.58469520	0.58431582	0.26055663	0.26036451	0.58463374	0.58420505	0.26050543	0.26020707	59849	56721	0
59849	56726	0.00162336	0.00715475	0.51304989	0.00718617	0.51169683	0.58466760	0.58437671	0.26059212	0.26037692	0.58490844	0.58443176	0.26072122	0.26053345	59849	56724	0
59849	56729	0.00065503	0.00716964	0.51117596	0.00718711	0.51408094	0.58480178	0.58441919	0.26076288	0.26051061	0.58481435	0.58440711	0.26073592	0.26042121	59849	56727	0
59849	56732	0.00148672	0.00717053	0.51328772	0.00719647	0.51079265	0.58479513	0.58430259	0.26058818	0.26042466	0.58478904	0.58429585	0.26073839	0.26043879	59849	56731	0
59849	56735	0.00146321	0.00719053	0.51069735	0.00720066	0.51076788	0.58462158	0.58408746	0.26045030	0.26022613	0.58455995	0.58404991	0.26044348	0.26005858	59849	56734	0
59849	56739	0.00133118	0.00715390	0.51119733	0.00716960	0.51159343	0.58448304	0.58399099	0.26037240	0.26016327	0.58433521	0.58392904	0.26033287	0.26009762	59849	56737	0
59849	56742	0.00108878	0.00717831	0.51110339	0.00720077	0.51183059	0.58452470	0.58397727	0.26038349	0.26021372	0.58453620	0.58409428	0.26044882	0.26017971	59849	56740	0
59849	56745	0.00160299	0.00718650	0.51222318	0.00717860	0.51068056	0.58437490	0.58391178	0.26037084	0.26001906	0.58451459	0.58414285	0.26038785	0.26019647	59849	56744	0
59849	56749	0.00201735	0.00718959	0.51221838	0.00719052	0.51097529	0.58434162	0.58396519	0.26031816	0.26007190	0.58442831	0.58386642	0.26038259	0.26002876	59849	56747	0
59849	56752	0.00126335	0.00720178	0.50987396	0.00712440	0.51213594	0.58452889	0.58411088	0.26037100	0.26022621	0.58450268	0.58406799	0.26045457	0.26022087	59849	56750	0
59849	56755	0.00105720	0.00717976	0.51045176	0.00719448	0.51107021	0.58446233	0.58403035	0.26049294	0.26018685	0.58443883	0.58397374	0.26037799	0.26013895	59849	56753	0
59849	56758	0.00099634	0.00715712	0.50941502	0.00717542	0.50959760	0.58449799	0.58394440	0.26040403	0.26010748	0.58443447	0.58398212	0.26035350	0.26013632	59849	56757	0
59849	56762	0.00182168	0.00721053	0.51182051	0.00718054	0.50934449	0.58441820	0.58388779	0.26027675	0.26007666	0.58447663	0.58405213	0.26040017	0.26011200	59849	56760	0
59849	56765	0.00047884	0.00714813	0.50795751	0.00719295	0.51198603	0.58442429	0.58395221	0.26032293	0.26008365	0.58451418	0.58414079	0.26036878	0.26022523	59849	56763	0
