% File initiated 11/10/2022 16:32:02 UTC
% Raw fountain data
%
% File notes: rakon 10 MHz 1100 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59863.688916
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59863	59525	0.00088618	0.04128645	0.51546254	0.04111027	0.51280399	0.65251745	0.65262806	0.31615127	0.31506932	0.65201226	0.65225311	0.31624175	0.31495297	59863	59523	0
59863	59528	0.00052953	0.04129125	0.51363973	0.04165740	0.51470969	0.65200914	0.65234210	0.31615678	0.31495494	0.65230373	0.65193272	0.31518683	0.31466989	59863	59526	0
59863	59531	0.00183769	0.04177065	0.51595074	0.04173782	0.51202625	0.65219945	0.65193174	0.31521970	0.31463669	0.65169048	0.65163222	0.31541337	0.31449198	59863	59530	0
59863	59534	0.00128126	0.04187437	0.51480679	0.04184597	0.51647610	0.65180798	0.65151619	0.31467293	0.31428450	0.65138801	0.65137757	0.31511649	0.31427357	59863	59533	0
59863	59538	0.00073675	0.04177403	0.51529603	0.04177699	0.51692957	0.65137535	0.65117921	0.31489315	0.31419485	0.65103040	0.65106598	0.31506891	0.31417078	59863	59536	0
59863	59542	0.00080194	0.04171153	0.51379394	0.04173526	0.51359835	0.65074699	0.65101462	0.31509882	0.31406477	0.65104782	0.65091823	0.31482470	0.31407718	59863	59540	0
59863	59545	0.00091959	0.04177187	0.51496630	0.04172447	0.51461338	0.65098134	0.65111824	0.31477441	0.31412772	0.65076564	0.65089292	0.31507105	0.31399337	59863	59543	0
59863	59548	-0.00012325	0.04177820	0.51197784	0.04169948	0.51510634	0.65077681	0.65089358	0.31514656	0.31403947	0.65095735	0.65095546	0.31454901	0.31407661	59863	59547	0
59863	59551	0.00105095	0.04168331	0.51640642	0.04182343	0.51288383	0.65074888	0.65092209	0.31498353	0.31398926	0.65106326	0.65084724	0.31425599	0.31399838	59863	59550	0
59863	59555	0.00082225	0.04166167	0.51439833	0.04172839	0.51508442	0.65063186	0.65067903	0.31484573	0.31391851	0.65076975	0.65067944	0.31444630	0.31384381	59863	59553	0
