% File initiated 18/10/2022 14:16:06 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59870.594515
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59870	51368	0.00013938	0.03888350	0.50328635	0.03900559	0.50286821	0.62512796	0.62556757	0.29186317	0.29056650	0.62532558	0.62548483	0.29194748	0.29063799	59870	51367	0
59870	51372	0.00117556	0.03851698	0.50619364	0.03934448	0.50308511	0.62517405	0.62530684	0.29121336	0.29048310	0.62498399	0.62503132	0.29130506	0.29039213	59870	51370	0
59870	51375	0.00081635	0.03958337	0.50263727	0.03967316	0.50371488	0.62513888	0.62507372	0.29070915	0.29023847	0.62471143	0.62493329	0.29118821	0.29015367	59870	51373	0
59870	51378	0.00047796	0.03963852	0.50216589	0.03951778	0.50318108	0.62516124	0.62491825	0.29059559	0.29008563	0.62451553	0.62476270	0.29121262	0.29003748	59870	51377	0
59870	51381	0.00024337	0.03949727	0.50252136	0.03944345	0.50322511	0.62463016	0.62459680	0.29062057	0.28997947	0.62425784	0.62450584	0.29101072	0.28986328	59870	51380	0
59870	51385	0.00122296	0.03952583	0.50435070	0.03940851	0.50141196	0.62449721	0.62447297	0.29042681	0.28986122	0.62415053	0.62425686	0.29067850	0.28971545	59870	51383	0
59870	51388	0.00008862	0.03936063	0.50165463	0.03937785	0.50505764	0.62437017	0.62430016	0.29029443	0.28980403	0.62390672	0.62395126	0.29064087	0.28965275	59870	51386	0
59870	51391	-0.00053724	0.03930623	0.50267493	0.03947514	0.50455250	0.62395159	0.62408101	0.29064654	0.28963270	0.62420657	0.62413877	0.29004718	0.28962383	59870	51390	0
59870	51395	-0.00043295	0.03945900	0.50298532	0.03948469	0.50267246	0.62417772	0.62399473	0.29022779	0.28959137	0.62428841	0.62411971	0.29009870	0.28964158	59870	51393	0
59870	51398	0.00116130	0.03771940	0.50644960	0.03944666	0.50166685	0.62419687	0.62419317	0.29007832	0.28962046	0.62417583	0.62419317	0.29023954	0.28966015	59870	51396	0
59870	51401	0.00039214	0.03941846	0.50177311	0.03939069	0.50408059	0.62420081	0.62410492	0.29014020	0.28955193	0.62402300	0.62395101	0.28993468	0.28954100	59870	51399	0
59870	51404	0.00025367	0.03938730	0.50301987	0.03945772	0.50343528	0.62420870	0.62411577	0.29005063	0.28950928	0.62397468	0.62413993	0.29056938	0.28961093	59870	51403	0
59870	51408	0.00028895	0.03962894	0.50321072	0.03970928	0.50310490	0.62408282	0.62425291	0.29047620	0.28956787	0.62406959	0.62435530	0.29084054	0.28963846	59870	51406	0
