% File initiated 27/10/2022 16:53:25 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59879.703773
%% clock_data = False
%% sequence = 4
%% density = 
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59879	60923	-0.00008593	0.01297076	0.53529563	0.01303979	0.53555342	0.62904417	0.62835220	0.35665076	0.35680541	0.62907515	0.62844900	0.35670433	0.35682192	59879	60921	0
59879	60926	-0.00008962	0.01311274	0.53523206	0.01297795	0.53524313	0.62896487	0.62849707	0.35664525	0.35682841	0.62916077	0.62846371	0.35674353	0.35684592	59879	60924	0
59879	60929	0.00040414	0.01301721	0.53545398	0.01305426	0.53397271	0.62907753	0.62853832	0.35669768	0.35684460	0.62904064	0.62842394	0.35666744	0.35679144	59879	60927	0
59879	60932	-0.00000309	0.01309153	0.53368844	0.01302140	0.53491011	0.62902075	0.62847661	0.35661469	0.35670064	0.62903439	0.62830610	0.35675339	0.35682710	59879	60931	0
59879	60936	0.00015108	0.01300886	0.53470271	0.01297085	0.53424021	0.62910744	0.62842723	0.35671789	0.35681477	0.62912273	0.62842542	0.35675380	0.35678856	59879	60934	0
59879	60939	0.00003928	0.01310264	0.53344001	0.01312390	0.53377540	0.62898952	0.62843651	0.35666859	0.35686531	0.62909791	0.62844728	0.35689136	0.35690869	59879	60937	0
59879	60942	-0.00011277	0.01298579	0.53388999	0.01309056	0.53434614	0.62912930	0.62848179	0.35679283	0.35689086	0.62910818	0.62845171	0.35671272	0.35690722	59879	60941	0
59879	60945	0.00030398	0.01309344	0.53396531	0.01307510	0.53271506	0.62901763	0.62842040	0.35665240	0.35679407	0.62907178	0.62857735	0.35677418	0.35690516	59879	60944	0
59879	60949	0.00036057	0.01306390	0.53420403	0.01300936	0.53403426	0.62906775	0.62848318	0.35670220	0.35685561	0.62908016	0.62833503	0.35669562	0.35678609	59879	60947	0
59879	60952	0.00039981	0.01308361	0.53407925	0.01287598	0.53396151	0.62904047	0.62848992	0.35679119	0.35687451	0.62913916	0.62838351	0.35675397	0.35692299	59879	60950	0
59879	60955	0.00052643	0.01294179	0.53412355	0.01305480	0.53374370	0.62903883	0.62843101	0.35670935	0.35686046	0.62928838	0.62865098	0.35676202	0.35697657	59879	60954	0
59879	60958	0.00115617	0.01306355	0.53411761	0.01300559	0.53222841	0.62912215	0.62869593	0.35672233	0.35692907	0.62929405	0.62861039	0.35690204	0.35700516	59879	60957	0
59879	60962	0.00108983	0.01300590	0.53362972	0.01305254	0.53382874	0.62909742	0.62839288	0.35669135	0.35676678	0.62905041	0.62859617	0.35661797	0.35695192	59879	60960	0
59879	60965	0.00104367	0.01305022	0.53339940	0.01302393	0.53353787	0.62906225	0.62839879	0.35665692	0.35680738	0.62910925	0.62850274	0.35673646	0.35682283	59879	60963	0
59879	60968	0.00076911	0.01304870	0.53376122	0.01297353	0.53458492	0.62895255	0.62847677	0.35664796	0.35679283	0.62905666	0.62859116	0.35673014	0.35698840	59879	60967	0
59879	60972	0.00063068	0.01287673	0.53363218	0.01302284	0.53404748	0.62913365	0.62837661	0.35669932	0.35681913	0.62908304	0.62842509	0.35665618	0.35677130	59879	60970	0
59879	60975	0.00081877	0.01292916	0.53421168	0.01301514	0.53364739	0.62914269	0.62844604	0.35664106	0.35673071	0.62921476	0.62847628	0.35661041	0.35678667	59879	60973	0
59879	60978	0.00108442	0.01300291	0.53360245	0.01298244	0.53280550	0.62917022	0.62863454	0.35664098	0.35686021	0.62902067	0.62839871	0.35659110	0.35674468	59879	60976	0
59879	60981	0.00131895	0.01304145	0.53390628	0.01299840	0.53320270	0.62912971	0.62856289	0.35667056	0.35681551	0.62923966	0.62850406	0.35666793	0.35678716	59879	60980	0
59879	60985	0.00116126	0.01298830	0.53400833	0.01302963	0.53448140	0.62917285	0.62862090	0.35661321	0.35677689	0.62920334	0.62853980	0.35664345	0.35677623	59879	60983	0
59879	60988	0.00119038	0.01311358	0.53427131	0.01302220	0.53418395	0.62922544	0.62876955	0.35667508	0.35691067	0.62919331	0.62863200	0.35664221	0.35682036	59879	60986	0
59879	60991	0.00167719	0.01303138	0.53456064	0.01315899	0.53310023	0.62906948	0.62859288	0.35660063	0.35681559	0.62918756	0.62860151	0.35665766	0.35688158	59879	60989	0
59879	60994	0.00134465	0.01301495	0.53347122	0.01304574	0.53446881	0.62918961	0.62854079	0.35664353	0.35679513	0.62941821	0.62844982	0.35680886	0.35673811	59879	60993	0
59879	60998	0.00119675	0.01301157	0.53370413	0.01310276	0.53414785	0.62903267	0.62840849	0.35658428	0.35678034	0.62915453	0.62853191	0.35667270	0.35687706	59879	60996	0
59879	61001	0.00128155	0.01304818	0.53405566	0.01301760	0.53380125	0.62911804	0.62854596	0.35658946	0.35677089	0.62918000	0.62843347	0.35667919	0.35681157	59879	60999	0
