% File initiated 27/10/2022 16:53:25 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59879.703773
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59879	60825	0.00030056	0.01303353	0.48271453	0.01301365	0.48181285	0.62858302	0.62806090	0.35618443	0.35624048	0.62860956	0.62791850	0.35626307	0.35627252	59879	60823	0
59879	60828	0.00013500	0.01301491	0.48204947	0.01301279	0.48254617	0.62867349	0.62838482	0.35625280	0.35647516	0.62868623	0.62801037	0.35622996	0.35624130	59879	60826	0
59879	60831	0.00067584	0.01295092	0.48509349	0.01301999	0.48347094	0.62868705	0.62803683	0.35628247	0.35634935	0.62862937	0.62795293	0.35622125	0.35623694	59879	60830	0
59879	60834	-0.00000425	0.01299017	0.48049890	0.01298067	0.48253918	0.62857374	0.62792828	0.35625280	0.35625124	0.62862345	0.62803650	0.35629109	0.35630556	59879	60833	0
59879	60838	0.00061669	0.01306339	0.48521364	0.01296792	0.48335084	0.62876117	0.62816608	0.35629504	0.35637524	0.62879355	0.62808925	0.35625083	0.35632708	59879	60836	0
59879	60841	0.00012597	0.01304037	0.48250583	0.01299844	0.48397797	0.62865772	0.62810117	0.35629742	0.35638124	0.62867760	0.62802048	0.35625403	0.35631270	59879	60839	0
59879	60844	0.00021783	0.01300647	0.48258406	0.01301995	0.48230850	0.62871220	0.62814308	0.35632224	0.35638025	0.62868327	0.62812705	0.35625814	0.35636521	59879	60843	0
59879	60847	0.00120946	0.01307920	0.48584583	0.01300228	0.48287093	0.62875287	0.62803814	0.35628477	0.35632125	0.62870603	0.62806099	0.35630662	0.35633095	59879	60846	0
59879	60851	-0.00010670	0.01311042	0.48095292	0.01297272	0.48490139	0.62876002	0.62810150	0.35627219	0.35636143	0.62868993	0.62805030	0.35625132	0.35634122	59879	60849	0
59879	60854	0.00054787	0.01301717	0.48343201	0.01306276	0.48146831	0.62883143	0.62809131	0.35630087	0.35633423	0.62891845	0.62807816	0.35634689	0.35639447	59879	60852	0
