% File initiated 27/10/2022 16:58:01 UTC
% Raw fountain data
%
% File notes: m-w leakage + AC OP shutter 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59879.706967
%% clock_data = False
%% sequence = 4
%% density = 
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59879	61199	0.00034826	0.01309532	0.53502492	0.01307123	0.53398014	0.62900530	0.62833733	0.35635231	0.35660285	0.62895271	0.62858384	0.35637335	0.35673244	59879	61197	0
59879	61202	0.00015994	0.01301975	0.53366931	0.01304223	0.53423427	0.62896726	0.62869601	0.35644081	0.35675323	0.62905132	0.62839386	0.35647697	0.35656210	59879	61200	0
59879	61205	-0.00012386	0.01316593	0.53331457	0.01311910	0.53416596	0.62889051	0.62823692	0.35634582	0.35650129	0.62887210	0.62824102	0.35641764	0.35659357	59879	61203	0
59879	61208	-0.00022861	0.01313171	0.53349976	0.01311509	0.53381401	0.62882231	0.62820643	0.35644829	0.35646957	0.62883644	0.62832246	0.35642438	0.35659003	59879	61207	0
59879	61212	-0.00007399	0.01309529	0.53431805	0.01298030	0.53385418	0.62886701	0.62831925	0.35643161	0.35650071	0.62892288	0.62821818	0.35648584	0.35654131	59879	61210	0
59879	61215	0.00005725	0.01299377	0.53483434	0.01307106	0.53444064	0.62886824	0.62833150	0.35647171	0.35661715	0.62897030	0.62825705	0.35645560	0.35659850	59879	61213	0
59879	61218	0.00014826	0.01313471	0.53403828	0.01300540	0.53376523	0.62892814	0.62829748	0.35647713	0.35668141	0.62887021	0.62828416	0.35646144	0.35656678	59879	61216	0
59879	61221	-0.00002653	0.01311724	0.53375359	0.01303135	0.53427799	0.62884474	0.62836346	0.35646480	0.35665117	0.62892379	0.62824858	0.35650967	0.35662487	59879	61220	0
59879	61225	-0.00015187	0.01310491	0.53454329	0.01300287	0.53491928	0.62912601	0.62849970	0.35659439	0.35678108	0.62897564	0.62827923	0.35642495	0.35667188	59879	61223	0
59879	61228	0.00006267	0.01303862	0.53380411	0.01315127	0.53316051	0.62904359	0.62850447	0.35648280	0.35665100	0.62900086	0.62832188	0.35649447	0.35666793	59879	61226	0
59879	61231	-0.00023275	0.01301828	0.53277124	0.01311275	0.53365750	0.62905247	0.62830421	0.35656210	0.35661058	0.62901155	0.62837357	0.35653539	0.35665018	59879	61230	0
59879	61234	0.00005965	0.01308589	0.53382052	0.01311256	0.53294333	0.62896348	0.62821859	0.35650499	0.35661814	0.62903299	0.62824160	0.35649891	0.35659291	59879	61233	0
59879	61238	-0.00015543	0.01313257	0.53250170	0.01305373	0.53314693	0.62899141	0.62848811	0.35653679	0.35672948	0.62913020	0.62830126	0.35671033	0.35668823	59879	61236	0
59879	61241	0.00013752	0.01304062	0.53327566	0.01302183	0.53239681	0.62889988	0.62828112	0.35650737	0.35660762	0.62892765	0.62824776	0.35646464	0.35668330	59879	61239	0
59879	61244	-0.00027406	0.01314329	0.53319892	0.01321222	0.53443366	0.62903143	0.62844719	0.35653490	0.35671806	0.62911311	0.62840183	0.35666966	0.35673687	59879	61243	0
59879	61247	0.00035425	0.01309202	0.53510379	0.01308731	0.53321885	0.62897383	0.62836067	0.35652019	0.35672471	0.62912092	0.62836765	0.35658864	0.35673909	59879	61246	0
59879	61251	-0.00013635	0.01301729	0.53296249	0.01313361	0.53443429	0.62905649	0.62838548	0.35659094	0.35675101	0.62901056	0.62834399	0.35650375	0.35671584	59879	61249	0
59879	61254	-0.00020671	0.01296666	0.53394100	0.01303805	0.53415207	0.62902913	0.62829279	0.35654040	0.35662816	0.62897588	0.62845212	0.35656136	0.35680541	59879	61252	0
59879	61257	-0.00022624	0.01297504	0.53370034	0.01303537	0.53375896	0.62892190	0.62836067	0.35659932	0.35674830	0.62903193	0.62826831	0.35662676	0.35676999	59879	61256	0
59879	61261	-0.00046309	0.01301761	0.53449141	0.01296787	0.53520197	0.62903283	0.62840438	0.35668930	0.35673589	0.62899585	0.62838860	0.35663063	0.35674813	59879	61259	0
59879	61264	-0.00064266	0.01303481	0.53525760	0.01307490	0.53579630	0.62893176	0.62827660	0.35658839	0.35678651	0.62892050	0.62836362	0.35661164	0.35678010	59879	61262	0
59879	61267	-0.00041630	0.01306445	0.53615705	0.01295260	0.53547796	0.62882641	0.62844456	0.35668535	0.35684140	0.62896381	0.62822443	0.35666752	0.35679448	59879	61265	0
59879	61270	-0.00009951	0.01298141	0.53550595	0.01299072	0.53455558	0.62897810	0.62828868	0.35669686	0.35683006	0.62883504	0.62825310	0.35663736	0.35678930	59879	61269	0
59879	61274	-0.00012735	0.01287113	0.53541649	0.01300760	0.53550002	0.62894334	0.62826338	0.35667804	0.35685956	0.62900325	0.62828983	0.35664156	0.35681502	59879	61272	0
59879	61277	-0.00013055	0.01297141	0.53571475	0.01295620	0.53572432	0.62901845	0.62828375	0.35673038	0.35676062	0.62887301	0.62830405	0.35667229	0.35682126	59879	61275	0
59879	61411	0.00001160	0.01308946	0.53561901	0.01312782	0.53519257	0.62891023	0.62828581	0.35655684	0.35670409	0.62890341	0.62828515	0.35658757	0.35671682	59879	61410	0
59879	61415	-0.00006262	0.01312086	0.53545136	0.01322770	0.53567402	0.62890629	0.62825557	0.35661477	0.35673605	0.62886142	0.62823314	0.35655232	0.35670869	59879	61413	0
59879	61418	-0.00001389	0.01305766	0.53462486	0.01306646	0.53447867	0.62882263	0.62815170	0.35655084	0.35669825	0.62882715	0.62822533	0.35650934	0.35665577	59879	61416	0
59879	61421	-0.00029320	0.01311361	0.53550355	0.01314968	0.53634148	0.62888771	0.62817118	0.35651953	0.35661888	0.62866018	0.62810298	0.35646374	0.35664542	59879	61420	0
59879	61424	0.00011475	0.01312932	0.53493509	0.01321406	0.53371125	0.62883266	0.62819295	0.35650836	0.35666045	0.62879527	0.62826033	0.35653761	0.35667278	59879	61423	0
59879	61428	0.00021859	0.01300374	0.53405161	0.01303409	0.53374007	0.62883069	0.62816370	0.35646217	0.35663301	0.62890324	0.62821029	0.35651049	0.35666234	59879	61426	0
59879	61431	-0.00007686	0.01299461	0.53412447	0.01301252	0.53501084	0.62886914	0.62816567	0.35656448	0.35665199	0.62882732	0.62816715	0.35650384	0.35661321	59879	61429	0
59879	61434	-0.00019158	0.01299172	0.53549004	0.01313615	0.53583419	0.62878073	0.62822689	0.35646004	0.35665421	0.62883603	0.62819468	0.35652619	0.35666062	59879	61433	0
59879	61437	-0.00021733	0.01294991	0.53572251	0.01317836	0.53579974	0.62889347	0.62820791	0.35651082	0.35661452	0.62880973	0.62812870	0.35644549	0.35659702	59879	61436	0
59879	61441	0.00013534	0.01310254	0.53584862	0.01306484	0.53479063	0.62883241	0.62818786	0.35647121	0.35660433	0.62883381	0.62817299	0.35647450	0.35658765	59879	61439	0
59879	61444	-0.00008663	0.01310564	0.53451266	0.01312334	0.53517854	0.62890251	0.62819542	0.35640679	0.35653596	0.62879741	0.62829214	0.35643268	0.35658938	59879	61442	0
59879	61447	0.00011513	0.01322839	0.53424135	0.01307805	0.53363609	0.62891689	0.62820355	0.35641977	0.35658773	0.62878574	0.62814094	0.35634204	0.35663260	59879	61446	0
