% File initiated 27/10/2022 16:58:01 UTC
% Raw fountain data
%
% File notes: m-w leakage + AC OP shutter 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59879.706967
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59879	61084	0.00079412	0.04128468	0.48301614	0.04138342	0.48063378	0.62874852	0.62876684	0.35681165	0.35681642	0.62896980	0.62889010	0.35697493	0.35695364	59879	61083	0
59879	61088	0.00018418	0.04134477	0.48026580	0.04133689	0.48209563	0.62885534	0.62905165	0.35709284	0.35710163	0.62892436	0.62882658	0.35707172	0.35694962	59879	61086	0
59879	61091	0.00016315	0.04127518	0.48349683	0.04124532	0.48355991	0.62884071	0.62897925	0.35702135	0.35699867	0.62872921	0.62872658	0.35697197	0.35685224	59879	61089	0
59879	61094	-0.00067561	0.04134816	0.48168440	0.04137738	0.48420069	0.62886010	0.62870825	0.35687862	0.35687221	0.62871441	0.62861548	0.35705250	0.35682085	59879	61092	0
59879	61097	0.00046418	0.04151426	0.48466006	0.04129570	0.48124069	0.62883176	0.62880834	0.35687295	0.35702094	0.62882839	0.62871433	0.35676235	0.35673778	59879	61096	0
59879	61297	-0.00013374	0.04127416	0.48268547	0.04132397	0.48447922	0.62861589	0.62863471	0.35670647	0.35674156	0.62861852	0.62864679	0.35704042	0.35679201	59879	61295	0
59879	61300	0.00072185	0.04100336	0.48637438	0.04122600	0.48380762	0.62860052	0.62867998	0.35709087	0.35683260	0.62884531	0.62874580	0.35688240	0.35685726	59879	61299	0
59879	61304	0.00035752	0.04133700	0.48392763	0.04119544	0.48502062	0.62875723	0.62867218	0.35705890	0.35681831	0.62862879	0.62867612	0.35708158	0.35680869	59879	61302	0
59879	61307	0.00018421	0.04122258	0.48434289	0.04131424	0.48486281	0.62894277	0.62883233	0.35680286	0.35686062	0.62868122	0.62867563	0.35704641	0.35679513	59879	61305	0
59879	61310	0.00044010	0.04122084	0.48574741	0.04126981	0.48497975	0.62898788	0.62869001	0.35697871	0.35683260	0.62870217	0.62875936	0.35712152	0.35685832	59879	61309	0
59879	61510	0.00023075	0.04071295	0.48279685	0.04125989	0.48342488	0.62858992	0.62851687	0.35647179	0.35649102	0.62848310	0.62860644	0.35677262	0.35653161	59879	61508	0
59879	61513	0.00088532	0.04113749	0.48412973	0.04107680	0.48216602	0.62863783	0.62854005	0.35672981	0.35661025	0.62865681	0.62853816	0.35674789	0.35656415	59879	61512	0
59879	61516	0.00043560	0.04120698	0.48207324	0.04108465	0.48342242	0.62848064	0.62850923	0.35665092	0.35649891	0.62837874	0.62846059	0.35682882	0.35656481	59879	61515	0
59879	61520	0.00064877	0.04121481	0.48479730	0.04116503	0.48415779	0.62863109	0.62847061	0.35678807	0.35651238	0.62856363	0.62843059	0.35657187	0.35657968	59879	61518	0
59879	61523	-0.00001938	0.04111371	0.48278042	0.04119211	0.48478485	0.62848894	0.62841252	0.35678938	0.35652397	0.62847998	0.62852509	0.35674953	0.35663358	59879	61521	0
59879	61723	0.00099254	0.04106597	0.48354262	0.04104033	0.48050688	0.62873463	0.62869009	0.35677977	0.35677517	0.62882190	0.62878385	0.35679538	0.35679160	59879	61721	0
59879	61726	0.00121170	0.04082746	0.48482583	0.04110538	0.48416835	0.62874704	0.62876158	0.35673030	0.35673104	0.62883397	0.62881483	0.35678963	0.35677878	59879	61724	0
59879	61729	0.00003713	0.04127093	0.48184856	0.04135556	0.48537224	0.62862764	0.62877867	0.35706153	0.35675939	0.62877678	0.62867998	0.35698437	0.35674139	59879	61728	0
59879	61733	0.00107244	0.04114829	0.48518214	0.04109218	0.48207623	0.62877958	0.62880258	0.35697912	0.35674542	0.62871737	0.62870948	0.35698569	0.35675117	59879	61731	0
