% File initiated 27/10/2022 16:58:01 UTC
% Raw fountain data
%
% File notes: m-w leakage + AC OP shutter 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59879.706967
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59879	61101	-0.00020120	0.01297367	0.48483271	0.01302299	0.48543632	0.62896874	0.62836247	0.35657393	0.35672816	0.62905304	0.62838614	0.35677213	0.35676350	59879	61099	0
59879	61104	-0.00084250	0.01299583	0.48218954	0.01297262	0.48411343	0.62908147	0.62856248	0.35677804	0.35685980	0.62898032	0.62834234	0.35659874	0.35668724	59879	61102	0
59879	61107	0.00079147	0.01299854	0.48471797	0.01303532	0.47981604	0.62901713	0.62836593	0.35659159	0.35664386	0.62899930	0.62849937	0.35664114	0.35674575	59879	61105	0
59879	61110	0.00070263	0.01308423	0.48252880	0.01303265	0.48279534	0.62897835	0.62831046	0.35656103	0.35668675	0.62896085	0.62842903	0.35669686	0.35675134	59879	61109	0
59879	61114	-0.00002851	0.01302460	0.48103169	0.01305501	0.48322512	0.62898221	0.62832443	0.35656645	0.35661600	0.62887153	0.62835237	0.35655404	0.35662044	59879	61112	0
59879	61117	0.00004261	0.01299846	0.48206784	0.01303101	0.48185448	0.62886923	0.62831358	0.35663038	0.35665002	0.62877095	0.62826255	0.35652734	0.35659628	59879	61115	0
59879	61120	-0.00021032	0.01294876	0.48359374	0.01294924	0.48435254	0.62907605	0.62828992	0.35666916	0.35656267	0.62896372	0.62835927	0.35670516	0.35667599	59879	61119	0
59879	61123	-0.00002509	0.01301772	0.48310422	0.01297284	0.48254854	0.62889552	0.62828704	0.35656645	0.35663802	0.62904565	0.62827373	0.35653687	0.35665552	59879	61122	0
59879	61127	-0.00027464	0.01306602	0.48331823	0.01305076	0.48406688	0.62885895	0.62826716	0.35650515	0.35661715	0.62888114	0.62828211	0.35647820	0.35661846	59879	61125	0
59879	61130	0.00075185	0.01301817	0.48693155	0.01298878	0.48385206	0.62897416	0.62829846	0.35646982	0.35650605	0.62889462	0.62819723	0.35651863	0.35653391	59879	61128	0
59879	61133	0.00042586	0.01304211	0.48320701	0.01294216	0.48418499	0.62895666	0.62830906	0.35642701	0.35650449	0.62895189	0.62835730	0.35647343	0.35647475	59879	61132	0
59879	61136	0.00040791	0.01298987	0.48410150	0.01303703	0.48415536	0.62904959	0.62833799	0.35657680	0.35650770	0.62885879	0.62825853	0.35644410	0.35654969	59879	61135	0
59879	61140	0.00053618	0.01298098	0.48402415	0.01306218	0.48363932	0.62898566	0.62845492	0.35653572	0.35657426	0.62903094	0.62842402	0.35648231	0.35656144	59879	61138	0
59879	61143	0.00065431	0.01306266	0.48468378	0.01304108	0.48432940	0.62886577	0.62831284	0.35646365	0.35653054	0.62897819	0.62824127	0.35652693	0.35656859	59879	61141	0
59879	61146	-0.00021217	0.01302800	0.48310241	0.01298439	0.48570185	0.62883217	0.62823519	0.35639751	0.35648231	0.62886471	0.62830865	0.35646341	0.35653005	59879	61145	0
59879	61150	0.00031051	0.01299538	0.48614581	0.01305822	0.48457776	0.62889626	0.62818827	0.35643013	0.35649726	0.62882987	0.62832237	0.35644853	0.35650392	59879	61148	0
59879	61153	0.00037356	0.01303874	0.48519211	0.01299441	0.48500299	0.62888139	0.62811719	0.35651394	0.35651230	0.62877941	0.62812385	0.35652693	0.35653999	59879	61151	0
59879	61156	-0.00067251	0.01297937	0.48284550	0.01294098	0.48598369	0.62881918	0.62810199	0.35648773	0.35656530	0.62876207	0.62806896	0.35648765	0.35650301	59879	61154	0
59879	61159	0.00080077	0.01292266	0.48593762	0.01291739	0.48151778	0.62874416	0.62818671	0.35645996	0.35645905	0.62872017	0.62814069	0.35649217	0.35653284	59879	61158	0
59879	61163	0.00099342	0.01295708	0.48572372	0.01297672	0.48514578	0.62863249	0.62809920	0.35647056	0.35656982	0.62885534	0.62823157	0.35649693	0.35658855	59879	61161	0
59879	61166	0.00008866	0.01300258	0.48275554	0.01294499	0.48546981	0.62884383	0.62814078	0.35654895	0.35657122	0.62877974	0.62820512	0.35651969	0.35657713	59879	61164	0
59879	61169	0.00021600	0.01301292	0.48549034	0.01289451	0.48510831	0.62870151	0.62820799	0.35650310	0.35657508	0.62880760	0.62823034	0.35653670	0.35653580	59879	61167	0
59879	61172	0.00054704	0.01303511	0.48529201	0.01300152	0.48429891	0.62878936	0.62810026	0.35642898	0.35645174	0.62886964	0.62811292	0.35644517	0.35646563	59879	61171	0
59879	61176	0.00001375	0.01302114	0.48359067	0.01301770	0.48519053	0.62875558	0.62820232	0.35652011	0.35648921	0.62873709	0.62820512	0.35642947	0.35650893	59879	61174	0
59879	61179	-0.00012892	0.01300405	0.48333984	0.01307023	0.48376785	0.62883586	0.62818679	0.35644722	0.35657886	0.62893718	0.62820208	0.35645174	0.35641608	59879	61177	0
59879	61313	0.00103398	0.01307233	0.48724945	0.01310541	0.48376076	0.62915617	0.62850143	0.35675750	0.35686251	0.62909881	0.62850816	0.35679382	0.35682858	59879	61312	0
59879	61317	0.00001518	0.01312468	0.48286050	0.01309221	0.48591688	0.62918057	0.62849592	0.35682595	0.35681954	0.62919652	0.62853668	0.35673227	0.35676802	59879	61315	0
59879	61320	-0.00019085	0.01308989	0.48530836	0.01308255	0.48592646	0.62916266	0.62853191	0.35677040	0.35670343	0.62897441	0.62863348	0.35676596	0.35693680	59879	61318	0
59879	61323	-0.00009295	0.01307986	0.48409730	0.01312781	0.48380361	0.62912010	0.62839575	0.35674616	0.35675824	0.62893907	0.62833503	0.35675750	0.35676268	59879	61322	0
59879	61326	0.00085046	0.01307111	0.48520327	0.01316338	0.48237305	0.62902420	0.62845081	0.35671666	0.35670294	0.62891302	0.62839099	0.35661937	0.35671378	59879	61325	0
59879	61330	0.00008575	0.01311776	0.48138264	0.01309676	0.48367675	0.62910539	0.62849888	0.35666785	0.35676539	0.62925527	0.62854202	0.35684370	0.35679538	59879	61328	0
59879	61333	0.00034871	0.01319898	0.48479005	0.01316532	0.48400118	0.62917737	0.62849469	0.35670664	0.35680138	0.62906381	0.62846437	0.35671633	0.35675610	59879	61331	0
59879	61336	0.00034232	0.01321832	0.48304669	0.01318990	0.48306586	0.62928148	0.62849329	0.35667459	0.35676317	0.62912593	0.62844391	0.35665092	0.35675010	59879	61335	0
59879	61340	0.00144787	0.01317707	0.48517945	0.01310740	0.48186281	0.62919775	0.62851400	0.35669792	0.35672907	0.62917211	0.62853347	0.35676259	0.35681806	59879	61338	0
59879	61343	0.00023020	0.01316884	0.48106174	0.01314686	0.48471475	0.62901566	0.62839814	0.35669636	0.35669645	0.62905682	0.62842764	0.35668165	0.35676629	59879	61341	0
59879	61346	0.00038465	0.01311438	0.48369667	0.01310323	0.48323329	0.62909281	0.62843552	0.35666218	0.35676161	0.62908797	0.62846470	0.35666933	0.35668930	59879	61344	0
59879	61349	0.00097697	0.01315485	0.48315330	0.01315446	0.48137636	0.62903595	0.62856363	0.35666719	0.35672742	0.62903735	0.62853610	0.35670113	0.35680171	59879	61348	0
59879	61353	0.00017144	0.01310972	0.48250636	0.01317219	0.48492293	0.62902116	0.62842780	0.35662183	0.35671230	0.62903102	0.62843290	0.35655947	0.35663638	59879	61351	0
59879	61356	-0.00014434	0.01314869	0.48250046	0.01317455	0.48344780	0.62918271	0.62840101	0.35665059	0.35669053	0.62903250	0.62850233	0.35662783	0.35676120	59879	61354	0
59879	61359	0.00121513	0.01313310	0.48598026	0.01320387	0.48190185	0.62915642	0.62840898	0.35662233	0.35667286	0.62898837	0.62850759	0.35666867	0.35676070	59879	61357	0
59879	61362	0.00068377	0.01318692	0.48205431	0.01316560	0.48364838	0.62904573	0.62837480	0.35662455	0.35667582	0.62904006	0.62841564	0.35667015	0.35674830	59879	61361	0
59879	61366	0.00059877	0.01315037	0.48310281	0.01314302	0.48335782	0.62908805	0.62842501	0.35672471	0.35673523	0.62904442	0.62845730	0.35665824	0.35668108	59879	61364	0
59879	61369	0.00034219	0.01314084	0.48311820	0.01311736	0.48388793	0.62906381	0.62837603	0.35660877	0.35674238	0.62915403	0.62843618	0.35666095	0.35674871	59879	61367	0
59879	61372	0.00021515	0.01318208	0.48292466	0.01314349	0.48330578	0.62914302	0.62853208	0.35671017	0.35684501	0.62913850	0.62853931	0.35662455	0.35679185	59879	61371	0
59879	61375	0.00125510	0.01311533	0.48524651	0.01315755	0.48212667	0.62915485	0.62843709	0.35662389	0.35670039	0.62902379	0.62843758	0.35660556	0.35673852	59879	61374	0
59879	61379	0.00048479	0.01315221	0.48385953	0.01314486	0.48617046	0.62911180	0.62840093	0.35662907	0.35662331	0.62930589	0.62841391	0.35675356	0.35672644	59879	61377	0
59879	61382	0.00051634	0.01314575	0.48324727	0.01310876	0.48315260	0.62905025	0.62840455	0.35658757	0.35670014	0.62915214	0.62854588	0.35662044	0.35671370	59879	61380	0
59879	61385	0.00097230	0.01321238	0.48442461	0.01316059	0.48305674	0.62913472	0.62861129	0.35669645	0.35685808	0.62915009	0.62842747	0.35663539	0.35671888	59879	61384	0
59879	61389	0.00066093	0.01318117	0.48304766	0.01321452	0.48398177	0.62907712	0.62843774	0.35664320	0.35673638	0.62892428	0.62838376	0.35660367	0.35672175	59879	61387	0
59879	61392	0.00027435	0.01316634	0.48244066	0.01310054	0.48360042	0.62899700	0.62837915	0.35660893	0.35669431	0.62895518	0.62836075	0.35665717	0.35670294	59879	61390	0
59879	61526	0.00111573	0.01317459	0.48668056	0.01308199	0.48415642	0.62877654	0.62819821	0.35645626	0.35655503	0.62877678	0.62822221	0.35641402	0.35656522	59879	61525	0
59879	61530	-0.00066841	0.01301235	0.48424858	0.01308430	0.48960098	0.62889043	0.62825697	0.35643185	0.35655207	0.62890218	0.62829107	0.35643489	0.35652980	59879	61528	0
59879	61533	-0.00050860	0.01317386	0.48627163	0.01310374	0.48579220	0.62895912	0.62820240	0.35649504	0.35656653	0.62883586	0.62826880	0.35652085	0.35662118	59879	61531	0
59879	61536	-0.00040238	0.01313223	0.48614077	0.01312803	0.48582212	0.62896027	0.62834284	0.35655322	0.35664377	0.62890012	0.62825080	0.35650942	0.35660770	59879	61534	0
59879	61539	-0.00058562	0.01311728	0.48553900	0.01314454	0.48608873	0.62892560	0.62834719	0.35654361	0.35664838	0.62893414	0.62824965	0.35652035	0.35661321	59879	61538	0
59879	61543	-0.00025346	0.01313919	0.48536337	0.01315738	0.48436687	0.62892691	0.62833281	0.35660014	0.35662192	0.62901804	0.62829781	0.35658798	0.35662644	59879	61541	0
59879	61546	0.00015718	0.01314951	0.48653254	0.01306980	0.48530062	0.62894729	0.62843035	0.35657976	0.35672266	0.62900703	0.62819106	0.35656094	0.35656431	59879	61544	0
59879	61549	-0.00022043	0.01317645	0.48393487	0.01313625	0.48506772	0.62899865	0.62837217	0.35658675	0.35674912	0.62888369	0.62831506	0.35655363	0.35661707	59879	61547	0
59879	61552	0.00069291	0.01313984	0.48594305	0.01314145	0.48320302	0.62890283	0.62815269	0.35663276	0.35664369	0.62893833	0.62833601	0.35659685	0.35668478	59879	61551	0
59879	61556	0.00045650	0.01313243	0.48392131	0.01309675	0.48463054	0.62889979	0.62841268	0.35659842	0.35666366	0.62891097	0.62828794	0.35657483	0.35659726	59879	61554	0
59879	61559	0.00062331	0.01308264	0.48555774	0.01312557	0.48505732	0.62897350	0.62855895	0.35662537	0.35666900	0.62909216	0.62843437	0.35658954	0.35668157	59879	61557	0
59879	61562	-0.00003923	0.01312702	0.48313060	0.01314428	0.48511822	0.62900275	0.62835056	0.35653654	0.35664616	0.62899363	0.62840397	0.35664073	0.35657656	59879	61561	0
59879	61565	-0.00036446	0.01313112	0.48459292	0.01312551	0.48556859	0.62907564	0.62830652	0.35666218	0.35669981	0.62902313	0.62838885	0.35651140	0.35675955	59879	61564	0
59879	61569	0.00004037	0.01314118	0.48749847	0.01305822	0.48628397	0.62895501	0.62831005	0.35656464	0.35658510	0.62901335	0.62828071	0.35663695	0.35672093	59879	61567	0
59879	61572	0.00014107	0.01310423	0.48603453	0.01309713	0.48573245	0.62897054	0.62834177	0.35668741	0.35662216	0.62897580	0.62830545	0.35659710	0.35673219	59879	61570	0
59879	61575	0.00038699	0.01314468	0.48488388	0.01320762	0.48414612	0.62897342	0.62834538	0.35665495	0.35666506	0.62892477	0.62830882	0.35660819	0.35662192	59879	61574	0
59879	61579	-0.00048435	0.01319949	0.48259769	0.01316081	0.48521171	0.62885567	0.62834086	0.35658510	0.35672471	0.62887974	0.62824809	0.35662586	0.35663211	59879	61577	0
59879	61582	-0.00075480	0.01314129	0.48505905	0.01309369	0.48587040	0.62893505	0.62815154	0.35654344	0.35661896	0.62904047	0.62832237	0.35664805	0.35674583	59879	61580	0
59879	61585	0.00050889	0.01312832	0.48567997	0.01315984	0.48188888	0.62906192	0.62848721	0.35670236	0.35676646	0.62902395	0.62828203	0.35667903	0.35665709	59879	61583	0
59879	61588	0.00000381	0.01316549	0.48215330	0.01314704	0.48366855	0.62900374	0.62840463	0.35665906	0.35671871	0.62899322	0.62842065	0.35665528	0.35672258	59879	61587	0
59879	61592	-0.00000497	0.01312547	0.48395336	0.01307504	0.48397970	0.62894523	0.62831177	0.35666119	0.35669932	0.62897408	0.62841342	0.35654985	0.35667615	59879	61590	0
59879	61595	-0.00035422	0.01313096	0.48464355	0.01306155	0.48569132	0.62894704	0.62833569	0.35666448	0.35671411	0.62904088	0.62837250	0.35664953	0.35674205	59879	61593	0
59879	61598	0.00050385	0.01316182	0.48532747	0.01321221	0.48275326	0.62895994	0.62824628	0.35667007	0.35666144	0.62893636	0.62831424	0.35665602	0.35663441	59879	61596	0
59879	61601	0.00037811	0.01321512	0.48342214	0.01313338	0.48379935	0.62894630	0.62828852	0.35661822	0.35670811	0.62899495	0.62824694	0.35663835	0.35662652	59879	61600	0
59879	61605	0.00101891	0.01311653	0.48359573	0.01306344	0.48167332	0.62900982	0.62840438	0.35661666	0.35674567	0.62901459	0.62825121	0.35662307	0.35669497	59879	61603	0
59879	61739	-0.00052626	0.01319003	0.48121876	0.01318670	0.48585429	0.62911385	0.62838080	0.35664156	0.35671978	0.62903710	0.62846174	0.35661230	0.35658987	59879	61738	0
59879	61742	-0.00035367	0.01311851	0.48278968	0.01316670	0.48227189	0.62902338	0.62847850	0.35660713	0.35669127	0.62910070	0.62838244	0.35655043	0.35662151	59879	61741	0
59879	61746	-0.00130434	0.01314826	0.48296511	0.01319259	0.48581713	0.62900432	0.62857324	0.35654804	0.35663063	0.62909265	0.62850356	0.35651863	0.35664065	59879	61744	0
59879	61749	0.00030366	0.01319124	0.48668253	0.01322008	0.48185852	0.62907367	0.62844958	0.35657048	0.35658132	0.62899068	0.62850734	0.35654032	0.35659439	59879	61747	0
59879	61752	-0.00009840	0.01321639	0.48307966	0.01313335	0.48428584	0.62912831	0.62839156	0.35656382	0.35656505	0.62900711	0.62838433	0.35650195	0.35656086	59879	61751	0
59879	61755	-0.00021376	0.01313592	0.48472879	0.01319828	0.48507488	0.62910654	0.62838195	0.35645314	0.35657204	0.62907983	0.62828803	0.35653161	0.35645938	59879	61754	0
59879	61759	-0.00046176	0.01317503	0.48284979	0.01316856	0.48359378	0.62902543	0.62838269	0.35640342	0.35650704	0.62972619	0.62887884	0.35681009	0.35679760	59879	61757	0
59879	61762	0.00025572	0.01323426	0.48467227	0.01324233	0.48251984	0.62927647	0.62848795	0.35655002	0.35650803	0.62906085	0.62836404	0.35644878	0.35646070	59879	61760	0
59879	61765	0.00091261	0.01328405	0.48444220	0.01325685	0.48247154	0.62901171	0.62841720	0.35648921	0.35646546	0.62896307	0.62822607	0.35635001	0.35641402	59879	61764	0
59879	61769	0.00055350	0.01317623	0.48325958	0.01316045	0.48433692	0.62894228	0.62834555	0.35636883	0.35644722	0.62897145	0.62834399	0.35636176	0.35637540	59879	61767	0
59879	61772	0.00013382	0.01318935	0.48341292	0.01320612	0.48467195	0.62901541	0.62832657	0.35639225	0.35638732	0.62900128	0.62832607	0.35634163	0.35640244	59879	61770	0
59879	61775	-0.00048951	0.01322782	0.48146375	0.01322331	0.48333372	0.62895164	0.62826099	0.35629339	0.35636628	0.62896717	0.62837907	0.35629512	0.35635552	59879	61773	0
59879	61778	0.00112933	0.01319159	0.48673048	0.01316569	0.48187396	0.62905033	0.62838548	0.35628058	0.35637926	0.62898057	0.62831712	0.35635806	0.35640589	59879	61777	0
59879	61782	-0.00013916	0.01306428	0.48241594	0.01317141	0.48622142	0.62893924	0.62832024	0.35634689	0.35638165	0.62893348	0.62823223	0.35631361	0.35635864	59879	61780	0
59879	61785	0.00048017	0.01321431	0.48681971	0.01320638	0.48496172	0.62886766	0.62819468	0.35631016	0.35637803	0.62886068	0.62831235	0.35629430	0.35636201	59879	61783	0
59879	61788	-0.00103697	0.01319436	0.48341785	0.01316053	0.48796927	0.62897391	0.62827422	0.35633128	0.35638888	0.62882091	0.62809821	0.35628214	0.35637540	59879	61786	0
59879	61791	0.00061470	0.01308021	0.48818878	0.01315556	0.48323378	0.62903718	0.62833503	0.35641714	0.35645051	0.62884178	0.62819246	0.35635354	0.35633653	59879	61790	0
59879	61795	0.00080487	0.01322778	0.48576056	0.01317883	0.48519003	0.62899429	0.62831227	0.35633875	0.35639134	0.62893348	0.62822853	0.35631081	0.35626677	59879	61793	0
59879	61798	-0.00051845	0.01315825	0.48370981	0.01319264	0.48767978	0.62878163	0.62837209	0.35625371	0.35654911	0.62889486	0.62837603	0.35626348	0.35640745	59879	61796	0
59879	61801	0.00169478	0.01319179	0.48780905	0.01333338	0.48116936	0.62898772	0.62843807	0.35634393	0.35643218	0.62896619	0.62819443	0.35633818	0.35636686	59879	61800	0
59879	61804	-0.00001916	0.01322821	0.48221530	0.01323604	0.48735712	0.62914688	0.62844234	0.35660006	0.35652257	0.62906299	0.62835730	0.35644903	0.35648584	59879	61803	0
59879	61808	0.00035384	0.01320326	0.48553658	0.01306426	0.48441759	0.62874728	0.62820158	0.35623826	0.35629109	0.62907630	0.62839929	0.35650852	0.35648296	59879	61806	0
