% File initiated 28/10/2022 11:04:22 UTC
% Raw fountain data
%
% File notes: m-w leakage + AC OP shutter 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.461377
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	39882	0.00050029	0.00766685	0.48197619	0.00763623	0.48047534	0.61773424	0.61701705	0.35221727	0.35230651	0.61779226	0.61700957	0.35217849	0.35231695	59880	39880	0
59880	39885	0.00042301	0.00762025	0.48166131	0.00768123	0.48189312	0.61779521	0.61716825	0.35226855	0.35244859	0.61774920	0.61697366	0.35220446	0.35231366	59880	39883	0
59880	39888	-0.00071020	0.00769501	0.48048308	0.00770072	0.48388271	0.61772126	0.61703398	0.35228704	0.35237192	0.61776621	0.61715986	0.35224760	0.35249263	59880	39887	0
59880	39891	0.00000774	0.00763530	0.48429155	0.00766194	0.48213774	0.61778560	0.61707588	0.35230627	0.35238351	0.61778379	0.61695698	0.35228441	0.35233141	59880	39890	0
59880	39895	-0.00010801	0.00764446	0.48147603	0.00761817	0.48182326	0.61766514	0.61704721	0.35231580	0.35250907	0.61778264	0.61701426	0.35232911	0.35239444	59880	39893	0
59880	39898	0.00056703	0.00759551	0.48543389	0.00762022	0.48340878	0.61795586	0.61706364	0.35240816	0.35249115	0.61793392	0.61714820	0.35246494	0.35248031	59880	39896	0
59880	39901	0.00086005	0.00761025	0.48212764	0.00757873	0.48124858	0.61792965	0.61710366	0.35236987	0.35247102	0.61813080	0.61709667	0.35257768	0.35252542	59880	39900	0
59880	39905	0.00081155	0.00764978	0.48279918	0.00765491	0.48294467	0.61798043	0.61704482	0.35257373	0.35260496	0.61798585	0.61719010	0.35244818	0.35262731	59880	39903	0
59880	39908	0.00089748	0.00764090	0.48282844	0.00761379	0.48257066	0.61802028	0.61726052	0.35253068	0.35263109	0.61791420	0.61720547	0.35258269	0.35266010	59880	39906	0
59880	39911	0.00006734	0.00763536	0.48268641	0.00761435	0.48517684	0.61807065	0.61730424	0.35265106	0.35275484	0.61798881	0.61717326	0.35258466	0.35259724	59880	39909	0
59880	39914	0.00031080	0.00758295	0.48470931	0.00762705	0.48397891	0.61793458	0.61732363	0.35257513	0.35265919	0.61805405	0.61734524	0.35268179	0.35272887	59880	39913	0
59880	39918	0.00073177	0.00764141	0.48341392	0.00764867	0.48215101	0.61802365	0.61731928	0.35263586	0.35270455	0.61816786	0.61740506	0.35268746	0.35281589	59880	39916	0
