% File initiated 28/10/2022 12:57:30 UTC
% Raw fountain data
%
% File notes: ----------test 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.539936
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	46653	0.00085292	0.04629008	0.48853185	0.04667089	0.48597310	0.61844199	0.61865128	0.35285764	0.35290185	0.61857445	0.61873287	0.35299873	0.35295608	59880	46651	0
59880	46656	-0.00088057	0.04679489	0.48473598	0.04705439	0.48993643	0.61876221	0.61908958	0.35308221	0.35325173	0.61873271	0.61931769	0.35322724	0.35338616	59880	46654	0
59880	46659	-0.00034239	0.04697330	0.48644923	0.04693586	0.48483470	0.61887487	0.61888456	0.35313497	0.35313899	0.61869269	0.61886994	0.35328674	0.35312124	59880	46658	0
59880	46663	-0.00109027	0.04689064	0.48412166	0.04673996	0.48636530	0.61878456	0.61880806	0.35312905	0.35308805	0.61859885	0.61867618	0.35306175	0.35300998	59880	46661	0
59880	46666	-0.00029849	0.04692979	0.48723759	0.04686327	0.48486227	0.61849219	0.61863575	0.35309667	0.35295246	0.61847099	0.61860017	0.35302239	0.35297120	59880	46664	0
59880	46669	-0.00007309	0.04695757	0.48666476	0.04697841	0.48598855	0.61856270	0.61872515	0.35286832	0.35296561	0.61843517	0.61853090	0.35302691	0.35288541	59880	46667	0
59880	46672	0.00082558	0.04698277	0.48701038	0.04699698	0.48431436	0.61858381	0.61871093	0.35279050	0.35293636	0.61854667	0.61864766	0.35284194	0.35294712	59880	46671	0
59880	46676	-0.00028727	0.04706725	0.48483303	0.04704731	0.48817161	0.61879491	0.61872803	0.35324097	0.35294416	0.61846631	0.61906608	0.35302379	0.35320251	59880	46674	0
59880	46679	-0.00004753	0.04701736	0.48462585	0.04706457	0.48390662	0.61866689	0.61883008	0.35289297	0.35297958	0.61849523	0.61883197	0.35301730	0.35301943	59880	46677	0
59880	46682	-0.00059513	0.04689726	0.48335275	0.04701629	0.48499556	0.61849466	0.61866295	0.35303135	0.35289190	0.61852580	0.61878464	0.35305551	0.35302042	59880	46681	0
59880	46719	0.00033121	0.04794979	0.48530652	0.04793733	0.48252750	0.61848981	0.61865095	0.35257316	0.35258425	0.61860723	0.61860362	0.35257028	0.35258055	59880	46717	0
59880	46722	0.00024230	0.04774042	0.48482383	0.04783335	0.48509055	0.61860691	0.61870190	0.35279519	0.35268573	0.61846261	0.61871899	0.35260003	0.35264777	59880	46720	0
59880	46725	0.00056356	0.04756138	0.48518477	0.04743166	0.48422097	0.61852219	0.61870379	0.35271228	0.35271778	0.61841356	0.61855333	0.35278377	0.35269444	59880	46724	0
59880	46729	-0.00056285	0.04737823	0.48229211	0.04731155	0.48567135	0.61823335	0.61850271	0.35264177	0.35253725	0.61828660	0.61851339	0.35260159	0.35251671	59880	46727	0
59880	46732	0.00083243	0.04729224	0.48621400	0.04716356	0.48202815	0.61829630	0.61852597	0.35242599	0.35252262	0.61824182	0.61845242	0.35262238	0.35243626	59880	46730	0
59880	46735	0.00046418	0.04715144	0.48471481	0.04732570	0.48581957	0.61836031	0.61846861	0.35250151	0.35246658	0.61841413	0.61848439	0.35256289	0.35249501	59880	46733	0
59880	46738	0.00074420	0.04739361	0.48315599	0.04726770	0.48231592	0.61839079	0.61847806	0.35273791	0.35255262	0.61846426	0.61851454	0.35261959	0.35254900	59880	46737	0
59880	46742	-0.00051626	0.04735920	0.48171957	0.04731458	0.48550096	0.61838463	0.61879228	0.35250816	0.35274728	0.61856681	0.61859096	0.35253881	0.35250520	59880	46740	0
