% File initiated 28/10/2022 12:57:30 UTC
% Raw fountain data
%
% File notes: ----------test 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.539936
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	46685	0.00008513	0.04700164	0.48516473	0.04701425	0.48490934	0.61862186	0.61874208	0.35292436	0.35293332	0.61863147	0.61876492	0.35300160	0.35293019	59880	46684	0
59880	46689	0.00004627	0.04705289	0.48414991	0.04721691	0.48426650	0.61852769	0.61866492	0.35305690	0.35287645	0.61860428	0.61863509	0.35289856	0.35287752	59880	46687	0
59880	46692	-0.00094358	0.04728002	0.48454281	0.04767133	0.48751237	0.61861981	0.61870888	0.35280135	0.35280998	0.61843319	0.61884052	0.35298393	0.35295082	59880	46690	0
59880	46695	0.00115218	0.04748194	0.48701877	0.04745052	0.48073147	0.61860764	0.61884586	0.35299388	0.35285271	0.61859310	0.61866196	0.35296898	0.35283019	59880	46694	0
59880	46699	0.00093169	0.04757942	0.48385476	0.04785267	0.48451623	0.61853229	0.61870880	0.35290793	0.35282740	0.61855596	0.61868127	0.35291655	0.35283340	59880	46697	0
59880	46702	0.00012970	0.04775356	0.48380771	0.04781579	0.48621368	0.61844651	0.61868028	0.35299215	0.35284901	0.61854487	0.61877486	0.35292461	0.35281754	59880	46700	0
59880	46705	0.00044500	0.04767561	0.48361209	0.04792719	0.48266618	0.61857395	0.61878703	0.35295476	0.35285451	0.61854092	0.61872893	0.35276634	0.35281105	59880	46703	0
59880	46708	0.00043915	0.04794769	0.48311334	0.04797588	0.48313091	0.61844371	0.61869549	0.35275903	0.35275985	0.61859696	0.61861192	0.35258368	0.35265993	59880	46707	0
59880	46712	0.00067743	0.04794232	0.48322577	0.04779331	0.48251092	0.61843780	0.61891727	0.35262246	0.35289182	0.61843139	0.61858759	0.35272781	0.35257743	59880	46710	0
59880	46715	-0.00009086	0.04789454	0.48319655	0.04786598	0.48550142	0.61856335	0.61867593	0.35275829	0.35274531	0.61852917	0.61862046	0.35258318	0.35263356	59880	46713	0
59880	46751	0.00106639	0.04724256	0.48703853	0.04715814	0.48356678	0.61845727	0.61859474	0.35259083	0.35244571	0.61843985	0.61856976	0.35271581	0.35246699	59880	46750	0
59880	46755	0.00021430	0.04734912	0.48209754	0.04739951	0.48465383	0.61856533	0.61866500	0.35260389	0.35263980	0.61833525	0.61854035	0.35264703	0.35245984	59880	46753	0
59880	46758	0.00046578	0.04757480	0.48434938	0.04757045	0.48359493	0.61850616	0.61855366	0.35260619	0.35256083	0.61843451	0.61851841	0.35248737	0.35255681	59880	46756	0
59880	46761	-0.00001120	0.04773486	0.48387821	0.04760324	0.48530917	0.61844675	0.61849310	0.35252994	0.35255253	0.61849088	0.61872983	0.35251276	0.35262304	59880	46760	0
59880	46764	0.00009308	0.04777856	0.48508928	0.04784018	0.48477643	0.61832826	0.61852473	0.35272436	0.35259896	0.61840279	0.61848850	0.35253101	0.35254818	59880	46763	0
59880	46768	0.00068387	0.04790096	0.48440267	0.04783847	0.48263029	0.61849934	0.61856870	0.35271104	0.35263208	0.61846360	0.61870148	0.35252172	0.35259888	59880	46766	0
59880	46771	0.00057576	0.04772220	0.48525863	0.04773007	0.48558296	0.61853739	0.61874224	0.35259370	0.35271441	0.61840591	0.61860181	0.35259830	0.35265476	59880	46769	0
59880	46774	0.00001427	0.04769681	0.48447029	0.04769289	0.48615476	0.61839096	0.61852490	0.35265237	0.35249477	0.61837042	0.61863862	0.35261794	0.35263602	59880	46773	0
59880	46778	-0.00052265	0.04766616	0.48381925	0.04765522	0.48542999	0.61839991	0.61856754	0.35252575	0.35260028	0.61839729	0.61859902	0.35248918	0.35256059	59880	46776	0
59880	46781	-0.00045987	0.04778112	0.48504227	0.04773462	0.48485393	0.61835193	0.61848422	0.35264728	0.35261047	0.61826105	0.61843730	0.35243881	0.35249929	59880	46779	0
59880	46817	0.00023785	0.04726345	0.48737668	0.04723079	0.48528351	0.61842752	0.61867207	0.35258902	0.35260200	0.61842596	0.61861759	0.35282575	0.35262222	59880	46816	0
59880	46821	0.00052342	0.04730884	0.48449825	0.04744783	0.48364155	0.61851052	0.61868842	0.35273216	0.35269773	0.61860288	0.61863616	0.35261655	0.35264974	59880	46819	0
59880	46824	0.00010373	0.04750882	0.48360004	0.04769793	0.48485910	0.61859754	0.61877478	0.35278968	0.35264087	0.61841027	0.61880592	0.35277464	0.35273693	59880	46822	0
59880	46827	-0.00016820	0.04765612	0.48583326	0.04780337	0.48664905	0.61845349	0.61861940	0.35274235	0.35262797	0.61855867	0.61866599	0.35274654	0.35270504	59880	46825	0
59880	46830	0.00052784	0.04776371	0.48505787	0.04789075	0.48296976	0.61865399	0.61868867	0.35264087	0.35272682	0.61851298	0.61874200	0.35285567	0.35274408	59880	46829	0
59880	46834	-0.00027322	0.04793331	0.48370667	0.04779901	0.48610986	0.61858184	0.61878530	0.35262715	0.35285205	0.61855538	0.61872622	0.35277349	0.35272534	59880	46832	0
59880	46837	-0.00075277	0.04777607	0.48366047	0.04789710	0.48509911	0.61845012	0.61880453	0.35281368	0.35273898	0.61845785	0.61877322	0.35281335	0.35281359	59880	46835	0
59880	46840	0.00023639	0.04777572	0.48574028	0.04782735	0.48277280	0.61856845	0.61874479	0.35270406	0.35273142	0.61873304	0.61878974	0.35273849	0.35271597	59880	46839	0
59880	46843	-0.00036724	0.04781335	0.48156983	0.04777975	0.48338072	0.61854026	0.61872342	0.35262961	0.35267119	0.61859146	0.61870066	0.35266552	0.35270554	59880	46842	0
59880	46847	0.00070721	0.04763226	0.48473578	0.04777898	0.48151244	0.61847132	0.61871348	0.35270118	0.35265665	0.61856048	0.61868924	0.35268278	0.35263454	59880	46845	0
59880	46883	0.00129672	0.04730162	0.48449793	0.04715155	0.48272941	0.61872318	0.61877347	0.35269683	0.35268828	0.61880979	0.61892023	0.35276215	0.35274062	59880	46882	0
59880	46887	0.00152919	0.04744638	0.48357035	0.04749754	0.48287293	0.61869787	0.61884307	0.35269510	0.35278886	0.61881398	0.61882113	0.35273890	0.35281310	59880	46885	0
59880	46890	0.00046086	0.04759420	0.48097962	0.04770731	0.48418461	0.61879845	0.61882869	0.35273545	0.35278664	0.61869179	0.61885819	0.35296553	0.35287802	59880	46888	0
59880	46893	0.00047789	0.04772125	0.48428514	0.04771422	0.48423406	0.61870231	0.61882992	0.35292904	0.35280932	0.61860502	0.61879311	0.35281836	0.35281606	59880	46891	0
59880	46896	0.00056014	0.04775675	0.48560488	0.04775236	0.48535814	0.61871973	0.61881718	0.35273134	0.35283833	0.61871315	0.61884035	0.35276281	0.35284326	59880	46895	0
59880	46900	0.00073196	0.04774153	0.48452941	0.04774231	0.48401394	0.61872055	0.61892203	0.35295772	0.35286585	0.61865251	0.61888333	0.35289453	0.35282633	59880	46898	0
59880	46903	-0.00032104	0.04785855	0.48445636	0.04792181	0.48761536	0.61868160	0.61881743	0.35288993	0.35284079	0.61884027	0.61891308	0.35282000	0.35288566	59880	46901	0
59880	46906	-0.00017268	0.04788633	0.48587450	0.04784676	0.48542941	0.61873674	0.61886673	0.35291310	0.35288360	0.61874512	0.61882236	0.35282995	0.35291795	59880	46904	0
59880	46909	0.00212513	0.04785711	0.48751672	0.04787781	0.48062327	0.61890511	0.61891784	0.35287350	0.35291606	0.61873296	0.61895852	0.35290678	0.35295961	59880	46908	0
59880	46913	-0.00021870	0.04779418	0.48066456	0.04780947	0.48769605	0.61883822	0.61889105	0.35283652	0.35289387	0.61876771	0.61895219	0.35306430	0.35298443	59880	46911	0
59880	46949	0.00208617	0.04723033	0.49260603	0.04713538	0.48569143	0.61886879	0.61923757	0.35335790	0.35323883	0.61918046	0.61934826	0.35313505	0.35339619	59880	46948	0
59880	46952	-0.00025087	0.04724826	0.48149807	0.04744508	0.48850919	0.61907619	0.61926378	0.35329093	0.35326611	0.61895876	0.61916847	0.35327326	0.35328403	59880	46951	0
59880	46956	0.00115532	0.04775838	0.48511993	0.04764287	0.48090137	0.61921875	0.61943043	0.35340359	0.35343103	0.61908580	0.61919542	0.35333259	0.35327211	59880	46954	0
59880	46959	0.00004513	0.04772501	0.48221930	0.04774450	0.48554987	0.61916740	0.61927693	0.35328846	0.35336496	0.61918523	0.61928712	0.35332864	0.35334245	59880	46957	0
59880	46962	-0.00025044	0.04771679	0.48385953	0.04790285	0.48474626	0.61912861	0.61932870	0.35325206	0.35332462	0.61905794	0.61925688	0.35340695	0.35329405	59880	46961	0
