% File initiated 28/10/2022 15:06:45 UTC
% Raw fountain data
%
% File notes: m-w leak +AC-S test 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.629691
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	55093	-0.00033087	0.04775663	0.48357983	0.04775131	0.48457244	0.62282978	0.62282485	0.35547579	0.35536313	0.62289437	0.62304392	0.35538162	0.35541309	59880	55092	0
59880	55097	0.00078444	0.04756770	0.48552345	0.04784395	0.48217752	0.62278294	0.62309610	0.35555870	0.35553470	0.62277612	0.62286232	0.35553816	0.35537850	59880	55095	0
59880	55100	-0.00012018	0.04793803	0.48294707	0.04793634	0.48566094	0.62274794	0.62298648	0.35561507	0.35539723	0.62287136	0.62295912	0.35538228	0.35532114	59880	55098	0
59880	55103	0.00020676	0.04804195	0.48460840	0.04812802	0.48362756	0.62284055	0.62298344	0.35550397	0.35544366	0.62286035	0.62300300	0.35534251	0.35535220	59880	55101	0
59880	55106	0.00004668	0.04812340	0.48622927	0.04830058	0.48670952	0.62280981	0.62295140	0.35546765	0.35537702	0.62282387	0.62294088	0.35529205	0.35535738	59880	55105	0
59880	55796	0.00027675	0.04798041	0.48377209	0.04771160	0.48308187	0.62260644	0.62313341	0.35492524	0.35493600	0.62264013	0.62291795	0.35480477	0.35480428	59880	55794	0
59880	55799	0.00130233	0.04780120	0.48431817	0.04785833	0.48124146	0.62259535	0.62275197	0.35485227	0.35474520	0.62271022	0.62278705	0.35475465	0.35484537	59880	55798	0
59880	55803	0.00010848	0.04785985	0.48029435	0.04805222	0.48387589	0.62267711	0.62271754	0.35488185	0.35473649	0.62264177	0.62279757	0.35498785	0.35477643	59880	55801	0
59880	55806	0.00178507	0.04804324	0.48539599	0.04827138	0.48036620	0.62267407	0.62278270	0.35473271	0.35477618	0.62266289	0.62285739	0.35494866	0.35473731	59880	55804	0
59880	55809	-0.00036937	0.04835176	0.48245140	0.04803718	0.48891473	0.62263906	0.62279675	0.35492590	0.35480584	0.62266059	0.62281877	0.35500026	0.35483123	59880	55807	0
59880	56499	-0.00028833	0.04769419	0.48719862	0.04782917	0.48695550	0.62310522	0.62337926	0.35464536	0.35442547	0.62312527	0.62323218	0.35433048	0.35432982	59880	56497	0
59880	56502	0.00112616	0.04799424	0.48628093	0.04778457	0.48203748	0.62304795	0.62325132	0.35450403	0.35436343	0.62300703	0.62327376	0.35442646	0.35434765	59880	56500	0
59880	56505	0.00013425	0.04811388	0.48368956	0.04791226	0.48666530	0.62304778	0.62325707	0.35457741	0.35433837	0.62310119	0.62326242	0.35457979	0.35436277	59880	56503	0
59880	56508	-0.00018049	0.04831939	0.48557374	0.04823751	0.48651795	0.62305567	0.62329282	0.35435143	0.35429054	0.62311311	0.62309339	0.35420804	0.35427764	59880	56507	0
59880	56512	0.00128441	0.04819467	0.48716119	0.04842018	0.48276650	0.62316011	0.62338173	0.35448595	0.35432925	0.62319290	0.62324352	0.35437050	0.35433377	59880	56510	0
59880	57201	0.00023250	0.04823098	0.48106422	0.04794015	0.48421995	0.62417970	0.62429975	0.35546815	0.35540085	0.62419523	0.62440345	0.35534316	0.35550216	59880	57200	0
59880	57204	0.00124548	0.04810892	0.48402898	0.04839282	0.48099001	0.62425497	0.62434848	0.35531465	0.35538063	0.62430279	0.62432802	0.35543092	0.35533988	59880	57203	0
59880	57208	-0.00069696	0.04862406	0.48120371	0.04853278	0.48703104	0.62426893	0.62439515	0.35540734	0.35528293	0.62424699	0.62430698	0.35549411	0.35525861	59880	57206	0
59880	57211	0.00043106	0.04849094	0.48538960	0.04872722	0.48200554	0.62428849	0.62435875	0.35539123	0.35537866	0.62413943	0.62437066	0.35540216	0.35525540	59880	57209	0
59880	57214	0.00032617	0.04878039	0.48239625	0.04883597	0.48271094	0.62421043	0.62444832	0.35525664	0.35525557	0.62425242	0.62439737	0.35524973	0.35527356	59880	57213	0
