% File initiated 28/10/2022 15:06:45 UTC
% Raw fountain data
%
% File notes: m-w leak +AC-S test 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.629691
%% clock_data = False
%% sequence = 4
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	54538	0.00015840	0.00752532	0.47384909	0.00755259	0.47346894	0.62165522	0.62089440	0.35377812	0.35384608	0.62178489	0.62104666	0.35385035	0.35409407	59880	54537	0
59880	54541	0.00143198	0.00752217	0.47679416	0.00757414	0.47373755	0.62218432	0.62122464	0.35408881	0.35418380	0.62169425	0.62092562	0.35385175	0.35400779	59880	54540	0
59880	54545	-0.00042310	0.00748033	0.47315070	0.00746675	0.47760290	0.62170937	0.62096285	0.35389990	0.35399374	0.62173468	0.62102316	0.35382595	0.35408298	59880	54543	0
59880	54548	0.00020375	0.00750573	0.47668596	0.00753307	0.47518150	0.62171480	0.62090713	0.35387681	0.35392192	0.62171743	0.62089103	0.35379546	0.35399136	59880	54546	0
59880	54551	-0.00071053	0.00755080	0.47430910	0.00750672	0.47650339	0.62173361	0.62089004	0.35382751	0.35398404	0.62169080	0.62088684	0.35384222	0.35398791	59880	54550	0
59880	54555	0.00247921	0.00752877	0.47908360	0.00754112	0.47142822	0.62174610	0.62094485	0.35386144	0.35407172	0.62158291	0.62081017	0.35379505	0.35402973	59880	54553	0
59880	54558	-0.00002563	0.00754477	0.47385836	0.00752604	0.47986998	0.62153780	0.62088610	0.35383227	0.35393959	0.62174676	0.62095759	0.35383975	0.35408996	59880	54556	0
59880	54561	0.00266093	0.00753183	0.47903166	0.00753189	0.47258391	0.62186279	0.62097961	0.35392184	0.35404288	0.62174849	0.62094436	0.35396473	0.35404148	59880	54559	0
59880	54564	0.00014028	0.00753874	0.47292338	0.00751307	0.47897294	0.62179113	0.62097534	0.35396662	0.35417748	0.62176788	0.62104576	0.35395019	0.35404929	59880	54563	0
59880	54568	-0.00061116	0.00750500	0.47437414	0.00750043	0.47617759	0.62175366	0.62105085	0.35396917	0.35407608	0.62184635	0.62110706	0.35395126	0.35417534	59880	54566	0
59880	54571	0.00087578	0.00751257	0.47896083	0.00753893	0.47539218	0.62168867	0.62093671	0.35394247	0.35400640	0.62180617	0.62111511	0.35399949	0.35416638	59880	54569	0
59880	54574	-0.00106846	0.00751600	0.47347316	0.00749361	0.47813935	0.62172441	0.62107131	0.35395545	0.35411420	0.62181587	0.62100788	0.35400919	0.35418537	59880	54572	0
59880	54577	0.00217095	0.00749788	0.47861582	0.00752119	0.47084122	0.62172827	0.62130501	0.35391592	0.35428948	0.62203880	0.62113294	0.35410664	0.35421733	59880	54576	0
59880	54581	-0.00010205	0.00753749	0.47319080	0.00753664	0.47864600	0.62199196	0.62124001	0.35408602	0.35425800	0.62193041	0.62118578	0.35418520	0.35420295	59880	54579	0
59880	54584	-0.00100198	0.00757736	0.47417532	0.00747905	0.47633516	0.62208654	0.62126787	0.35409087	0.35426178	0.62201324	0.62121823	0.35417082	0.35433229	59880	54582	0
59880	54587	0.00223956	0.00753792	0.48021633	0.00753511	0.47243662	0.62207175	0.62127403	0.35423557	0.35432818	0.62222615	0.62125751	0.35434617	0.35436039	59880	54586	0
59880	54590	0.00030156	0.00749398	0.47510819	0.00752592	0.47975939	0.62211464	0.62128274	0.35425727	0.35439162	0.62204513	0.62120410	0.35410098	0.35428898	59880	54589	0
59880	54594	0.00046953	0.00753563	0.47414418	0.00755769	0.47374106	0.62207487	0.62124790	0.35425143	0.35434856	0.62214160	0.62131659	0.35423007	0.35444232	59880	54592	0
59880	54597	0.00139263	0.00751128	0.47751251	0.00751755	0.47529707	0.62215063	0.62132473	0.35421035	0.35436425	0.62223166	0.62138849	0.35428726	0.35443599	59880	54595	0
59880	54600	-0.00113294	0.00762969	0.46954388	0.00755708	0.47560525	0.62241950	0.62171085	0.35443081	0.35467231	0.62224406	0.62152966	0.35432752	0.35467552	59880	54599	0
59880	54604	0.00099279	0.00751190	0.47802653	0.00754453	0.47292477	0.62242870	0.62175901	0.35453402	0.35477947	0.62244399	0.62163484	0.35455916	0.35468546	59880	54602	0
59880	54607	0.00037935	0.00751712	0.47404447	0.00753653	0.47551672	0.62238589	0.62160403	0.35448233	0.35469680	0.62233675	0.62161841	0.35452720	0.35468768	59880	54605	0
59880	54610	-0.00035654	0.00756397	0.47187108	0.00755523	0.47363724	0.62246338	0.62173181	0.35453616	0.35481718	0.62251170	0.62163542	0.35455777	0.35476065	59880	54608	0
59880	54613	0.00091817	0.00748365	0.47458082	0.00745179	0.47152152	0.62254867	0.62171702	0.35471808	0.35488637	0.62242123	0.62163747	0.35456911	0.35481003	59880	54612	0
59880	54617	-0.00174742	0.00751373	0.47242598	0.00757153	0.47882340	0.62244826	0.62175794	0.35470831	0.35477511	0.62241580	0.62161274	0.35465752	0.35478982	59880	54615	0
59880	54620	0.00112424	0.00756112	0.47712322	0.00753380	0.47023123	0.62252271	0.62177166	0.35466533	0.35483214	0.62254810	0.62187626	0.35468275	0.35502549	59880	54618	0
59880	54623	0.00017983	0.00759194	0.47495832	0.00756644	0.47722490	0.62262098	0.62182795	0.35474693	0.35486279	0.62268771	0.62178390	0.35470362	0.35493600	59880	54621	0
