% File initiated 28/10/2022 15:06:45 UTC
% Raw fountain data
%
% File notes: m-w leak +AC-S test 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59880.629691
%% clock_data = False
%% sequence = 7
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59880	54750	-0.00144212	0.04767640	0.44622777	0.04778074	0.44761220	0.62238885	0.62232763	0.35532270	0.35520175	0.62230183	0.62217060	0.35534251	0.35521514	59880	54749	0
59880	54754	-0.00053890	0.04773691	0.44689157	0.04768492	0.44602448	0.62243856	0.62234431	0.35542008	0.35533905	0.62232689	0.62220955	0.35523437	0.35518548	59880	54752	0
59880	54757	0.00017758	0.04771003	0.44805315	0.04775577	0.44736533	0.62233536	0.62220421	0.35529279	0.35510511	0.62224078	0.62218819	0.35523601	0.35515959	59880	54755	0
59880	54760	-0.00155773	0.04757136	0.44660304	0.04756839	0.44826894	0.62233527	0.62221892	0.35525302	0.35523790	0.62231498	0.62221210	0.35524250	0.35523289	59880	54759	0
59880	54764	0.00034316	0.04748779	0.44774256	0.04765313	0.44591771	0.62228688	0.62210495	0.35516017	0.35515795	0.62232114	0.62217159	0.35525787	0.35518104	59880	54762	0
59880	55453	0.00151687	0.04754074	0.44821873	0.04754544	0.44709197	0.62288903	0.62311040	0.35534982	0.35557998	0.62280447	0.62274876	0.35523116	0.35527956	59880	55451	0
59880	55456	0.00061696	0.04752934	0.44744354	0.04760609	0.44830746	0.62290086	0.62271524	0.35541227	0.35533149	0.62288024	0.62276520	0.35535541	0.35528687	59880	55455	0
59880	55460	0.00042585	0.04762343	0.44768883	0.04734900	0.44787230	0.62278672	0.62270948	0.35539534	0.35529928	0.62284326	0.62284720	0.35536987	0.35534957	59880	55458	0
59880	55463	-0.00231323	0.04755638	0.44722081	0.04779750	0.44985033	0.62272247	0.62270398	0.35531095	0.35524308	0.62278278	0.62271754	0.35534045	0.35526231	59880	55461	0
59880	55466	-0.00142107	0.04740678	0.44885106	0.04758222	0.44799458	0.62284104	0.62280480	0.35527192	0.35528934	0.62285427	0.62284753	0.35523256	0.35529378	59880	55465	0
59880	56156	-0.00031456	0.04780596	0.44894865	0.04770814	0.44788640	0.62233215	0.62220133	0.35429950	0.35434157	0.62244399	0.62240972	0.35444470	0.35435768	59880	56154	0
