% File initiated 02/11/2022 09:24:04 UTC
% Raw fountain data
%
% File notes: m-w leak  + FSK test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59885.391716
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59885	34532	-0.00000246	0.04653335	0.51963995	0.04626877	0.51964734	0.65902322	0.65917663	0.35721667	0.35721035	0.65910934	0.65917121	0.35719046	0.35717953	59885	34531	0
59885	34536	0.00077668	0.04631886	0.51888791	0.04644252	0.51655049	0.65906694	0.65937861	0.35721396	0.35730147	0.65901016	0.65918806	0.35736031	0.35725981	59885	34534	0
59885	34539	0.00013873	0.04645036	0.51860178	0.04654610	0.52051560	0.65896315	0.65910925	0.35727789	0.35723566	0.65912470	0.65915774	0.35742884	0.35725571	59885	34537	0
59885	34542	0.00056306	0.04667749	0.52014521	0.04670377	0.51887222	0.65907104	0.65923448	0.35736072	0.35721840	0.65897647	0.65929307	0.35741183	0.35728455	59885	34541	0
59885	34545	0.00053136	0.04685140	0.52000108	0.04688716	0.52009620	0.65909906	0.65936916	0.35747584	0.35730739	0.65914229	0.65933465	0.35732506	0.35725529	59885	34544	0
59885	35235	-0.00073221	0.04612089	0.51817166	0.04584198	0.52196235	0.65867966	0.65886389	0.35722522	0.35694986	0.65866553	0.65894713	0.35712029	0.35699267	59885	35233	0
59885	35238	0.00001191	0.04605782	0.52129972	0.04621305	0.51906736	0.65874877	0.65891040	0.35718118	0.35697065	0.65876964	0.65900284	0.35702250	0.35701987	59885	35237	0
59885	35242	0.00067574	0.04648074	0.52159947	0.04642641	0.51960799	0.65874228	0.65893390	0.35712086	0.35702160	0.65864096	0.65893899	0.35708717	0.35702028	59885	35240	0
59885	35245	-0.00005921	0.04651327	0.52080603	0.04654597	0.52301089	0.65882445	0.65900054	0.35701774	0.35707312	0.65891623	0.65904081	0.35706088	0.35701470	59885	35243	0
59885	35248	0.00022725	0.04666098	0.51988392	0.04672525	0.51902453	0.65899520	0.65912758	0.35706383	0.35710024	0.65895847	0.65918107	0.35714995	0.35710163	59885	35246	0
59885	35938	-0.00003774	0.04616047	0.52062597	0.04614006	0.52142094	0.65887030	0.65918165	0.35708076	0.35703894	0.65880670	0.65912709	0.35724798	0.35703335	59885	35936	0
