% File initiated 02/11/2022 09:24:04 UTC
% Raw fountain data
%
% File notes: m-w leak  + FSK test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59885.391716
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59885	34092	0.00004442	0.00690193	0.43873200	0.00698168	0.43866093	0.65948527	0.65877934	0.35695627	0.35693195	0.65942948	0.65878722	0.35688133	0.35687427	59885	34090	0
59885	34095	0.00063968	0.00695647	0.43849539	0.00699606	0.43754296	0.65947180	0.65881138	0.35688643	0.35691124	0.65953745	0.65898008	0.35689333	0.35701716	59885	34093	0
59885	34098	-0.00031755	0.00696986	0.43551237	0.00699146	0.43704396	0.65937360	0.65883595	0.35692045	0.35697928	0.65940318	0.65884540	0.35684723	0.35698931	59885	34096	0
59885	34101	-0.00014482	0.00695123	0.43711198	0.00695999	0.43683561	0.65939168	0.65880703	0.35692061	0.35698339	0.65941584	0.65884943	0.35692028	0.35703573	59885	34100	0
59885	34105	-0.00026877	0.00697653	0.43730095	0.00695267	0.43749927	0.65937385	0.65880448	0.35689366	0.35703162	0.65945528	0.65874244	0.35695052	0.35692357	59885	34103	0
59885	34108	-0.00152222	0.00696478	0.43740683	0.00694206	0.43941235	0.65943449	0.65874852	0.35691732	0.35705734	0.65946711	0.65887539	0.35691157	0.35701379	59885	34106	0
59885	34111	-0.00185719	0.00697913	0.43833616	0.00690009	0.43887210	0.65946547	0.65889914	0.35695833	0.35706671	0.65942931	0.65868081	0.35683737	0.35695085	59885	34110	0
59885	34114	-0.00038552	0.00699125	0.43889838	0.00700104	0.43654370	0.65944172	0.65875345	0.35693121	0.35702949	0.65934098	0.65883094	0.35693598	0.35698068	59885	34113	0
59885	34118	0.00061397	0.00696474	0.43714509	0.00699215	0.43554592	0.65934205	0.65867490	0.35695274	0.35691790	0.65929940	0.65869388	0.35688265	0.35696802	59885	34116	0
59885	34121	0.00077388	0.00700409	0.43584261	0.00700026	0.43558674	0.65947607	0.65869601	0.35695183	0.35696219	0.65932865	0.65877580	0.35688955	0.35698437	59885	34119	0
59885	34124	0.00007312	0.00701278	0.43547076	0.00699274	0.43659198	0.65938593	0.65874236	0.35686194	0.35697410	0.65932980	0.65878451	0.35688150	0.35707049	59885	34123	0
59885	34128	0.00036099	0.00698916	0.43639776	0.00701631	0.43593716	0.65935799	0.65874811	0.35686712	0.35685972	0.65935569	0.65868977	0.35679086	0.35677065	59885	34126	0
59885	34131	0.00075722	0.00695436	0.43642382	0.00698808	0.43578986	0.65939579	0.65875288	0.35685800	0.35693483	0.65938132	0.65896907	0.35689916	0.35701387	59885	34129	0
59885	34134	0.00064133	0.00696810	0.43636710	0.00697406	0.43655252	0.65947327	0.65879717	0.35687221	0.35699046	0.65942381	0.65871261	0.35691272	0.35689974	59885	34132	0
