% File initiated 02/11/2022 09:24:04 UTC
% Raw fountain data
%
% File notes: m-w leak  + FSK test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59885.391716
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59885	34304	0.00065599	0.04632804	0.49302932	0.04609426	0.49145494	0.65948223	0.65957714	0.35770559	0.35764216	0.65951600	0.65960738	0.35760592	0.35753985	59885	34302	0
59885	34307	-0.00024054	0.04632425	0.49158932	0.04630880	0.49374099	0.65957007	0.65975299	0.35770732	0.35762120	0.65963967	0.65981486	0.35763764	0.35767807	59885	34305	0
59885	34310	0.00049350	0.04657505	0.49527072	0.04650146	0.49350903	0.65976022	0.65974921	0.35781669	0.35763394	0.65986301	0.65977821	0.35790281	0.35784652	59885	34309	0
59885	34314	0.00014533	0.04648601	0.49429118	0.04648003	0.49512680	0.65968125	0.65983228	0.35767955	0.35769573	0.65969662	0.65975948	0.35776147	0.35777298	59885	34312	0
59885	34317	0.00011836	0.04626339	0.49279941	0.04621347	0.49286414	0.65973532	0.65984436	0.35787635	0.35776164	0.65967747	0.65983549	0.35769524	0.35773534	59885	34315	0
59885	35006	0.00034245	0.04653731	0.49284740	0.04634056	0.49230958	0.65919093	0.65933514	0.35716967	0.35718890	0.65903325	0.65922602	0.35709909	0.35705176	59885	35005	0
59885	35010	-0.00054312	0.04632551	0.49233872	0.04649164	0.49446410	0.65908797	0.65914640	0.35710903	0.35705274	0.65914393	0.65926645	0.35704658	0.35706548	59885	35008	0
59885	35013	-0.00164798	0.04630953	0.49131296	0.04629823	0.49396464	0.65905831	0.65911427	0.35710328	0.35698709	0.65903472	0.65927754	0.35703959	0.35706153	59885	35011	0
59885	35016	0.00064193	0.04635764	0.49491073	0.04632213	0.48941493	0.65902585	0.65918083	0.35696391	0.35702702	0.65902051	0.65905116	0.35707312	0.35691108	59885	35015	0
59885	35019	-0.00137646	0.04610689	0.48976359	0.04635649	0.49460774	0.65887276	0.65901944	0.35687468	0.35684739	0.65890711	0.65904582	0.35688215	0.35686054	59885	35018	0
59885	35709	0.00232871	0.04601296	0.49725623	0.04599238	0.48836382	0.65919159	0.65929299	0.35702308	0.35704033	0.65920482	0.65924862	0.35705085	0.35697032	59885	35707	0
