% File initiated 03/11/2022 20:45:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59886.865249
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59886	74760	0.00080811	0.04445118	0.52611323	0.04454533	0.52368889	0.65462606	0.65470749	0.34881940	0.34840419	0.65467799	0.65474471	0.34832596	0.34830706	59886	74758	0
59886	74763	0.00015308	0.04450014	0.52321767	0.04479737	0.52518278	0.65448752	0.65462302	0.34824412	0.34826400	0.65424971	0.65441931	0.34822078	0.34799703	59886	74761	0
59886	74766	0.00042578	0.04489490	0.52514026	0.04508424	0.52432215	0.65418176	0.65425752	0.34788001	0.34785701	0.65408882	0.65407033	0.34790113	0.34768486	59886	74765	0
59886	74770	-0.00015835	0.04511384	0.52201093	0.04508888	0.52376333	0.65375570	0.65379793	0.34791058	0.34757491	0.65368026	0.65388019	0.34782997	0.34753719	59886	74768	0
59886	74773	0.00008702	0.04522852	0.52461377	0.04533339	0.52387768	0.65372735	0.65382636	0.34755930	0.34757803	0.65366087	0.65373556	0.34736126	0.34741500	59886	74771	0
59886	75463	-0.00017569	0.04617832	0.52577029	0.04645440	0.52655842	0.65488219	0.65492007	0.34756612	0.34745395	0.65489344	0.65494801	0.34754451	0.34751057	59886	75461	0
59886	75466	-0.00010172	0.04639657	0.52498690	0.04634294	0.52476499	0.65490100	0.65514900	0.34767286	0.34764525	0.65482713	0.65509986	0.34776193	0.34751238	59886	75464	0
59886	75469	0.00043503	0.04625773	0.52693097	0.04610937	0.52532071	0.65488268	0.65519370	0.34768617	0.34748115	0.65488268	0.65507455	0.34773276	0.34751854	59886	75467	0
59886	75472	0.00043856	0.04588409	0.52717989	0.04601505	0.52716930	0.65497660	0.65510758	0.34752635	0.34758099	0.65505877	0.65511416	0.34768247	0.34753728	59886	75471	0
59886	75476	0.00057778	0.04579055	0.52657188	0.04590406	0.52615421	0.65493198	0.65508006	0.34759069	0.34754607	0.65501062	0.65516017	0.34764229	0.34756053	59886	75474	0
59886	76165	0.00014988	0.04674943	0.52289130	0.04670016	0.52417501	0.65755613	0.65777298	0.34914669	0.34902433	0.65754117	0.65785359	0.34932993	0.34912680	59886	76164	0
59886	76169	0.00058031	0.04658822	0.52549664	0.04627782	0.52420536	0.65762499	0.65772590	0.34921966	0.34921160	0.65746073	0.65764537	0.34932007	0.34913181	59886	76167	0
59886	76172	0.00049995	0.04619797	0.52352897	0.04615286	0.52377003	0.65757873	0.65778251	0.34918235	0.34916049	0.65746073	0.65773428	0.34937759	0.34920659	59886	76170	0
59886	76175	0.00061111	0.04635941	0.52503642	0.04597134	0.52470295	0.65741627	0.65759549	0.34936641	0.34912820	0.65746665	0.65760371	0.34931169	0.34911472	59886	76173	0
59886	76178	0.00073639	0.04626482	0.52326510	0.04627817	0.52288925	0.65741028	0.65765720	0.34925992	0.34920536	0.65755835	0.65779369	0.34940602	0.34919632	59886	76177	0
59886	76868	0.00043772	0.04668076	0.52590799	0.04681441	0.52680399	0.65860447	0.65887227	0.34988221	0.34975878	0.65857185	0.65876413	0.34988549	0.34972419	59886	76866	0
59886	76871	0.00032889	0.04671630	0.52547201	0.04647955	0.52579852	0.65858829	0.65897704	0.34991253	0.34980653	0.65859330	0.65875723	0.34973315	0.34970858	59886	76870	0
59886	76874	0.00031911	0.04655421	0.52700901	0.04631227	0.52703833	0.65856216	0.65890079	0.34985599	0.34971926	0.65838376	0.65865312	0.34980915	0.34963002	59886	76873	0
59886	76878	0.00025322	0.04637112	0.52491662	0.04644042	0.52511431	0.65863438	0.65873439	0.34973512	0.34971326	0.65860669	0.65884877	0.34988763	0.34978943	59886	76876	0
59886	76881	0.00067240	0.04634860	0.52571870	0.04620469	0.52446114	0.65859741	0.65889577	0.34989305	0.34980513	0.65865460	0.65870431	0.34985049	0.34968943	59886	76879	0
59886	77571	0.00080349	0.04664135	0.52475281	0.04661546	0.52435954	0.65967673	0.65984880	0.35048354	0.35011820	0.65966161	0.65994436	0.35030859	0.35014499	59886	77569	0
59886	77574	-0.00028858	0.04653488	0.52156449	0.04663447	0.52484072	0.65974140	0.66002612	0.35044623	0.35022568	0.65976967	0.65994568	0.35023061	0.35016331	59886	77572	0
59886	77577	-0.00002715	0.04653471	0.52440272	0.04642039	0.52361842	0.65978462	0.65995447	0.35038255	0.35017375	0.65972801	0.65991667	0.35043128	0.35011919	59886	77575	0
59886	77580	0.00058855	0.04640002	0.52460047	0.04638261	0.52275338	0.66005603	0.66013032	0.35058822	0.35029988	0.65989292	0.66008381	0.35027055	0.35020777	59886	77579	0
59886	77584	-0.00000286	0.04650698	0.52299647	0.04649077	0.52477069	0.65980944	0.65997074	0.35021426	0.35015682	0.65975340	0.66001372	0.35008772	0.35010103	59886	77582	0
59886	78273	0.00083305	0.04686261	0.52456608	0.04703220	0.52205835	0.66199019	0.66225568	0.35151610	0.35139318	0.66206340	0.66243038	0.35170740	0.35140074	59886	78272	0
59886	78277	0.00042562	0.04678947	0.52350844	0.04671368	0.52473073	0.66214492	0.66238543	0.35167839	0.35147896	0.66215552	0.66240729	0.35161405	0.35144470	59886	78275	0
59886	78280	0.00049388	0.04669074	0.52510719	0.04642379	0.52490241	0.66220014	0.66249653	0.35174742	0.35163566	0.66231978	0.66245610	0.35167724	0.35157420	59886	78278	0
59886	78283	0.00089437	0.04657392	0.52630565	0.04649397	0.52510418	0.66212791	0.66250220	0.35169935	0.35160814	0.66239686	0.66251411	0.35171167	0.35169450	59886	78281	0
59886	78286	0.00086934	0.04630084	0.52489800	0.04654043	0.52497309	0.66245799	0.66256753	0.35186344	0.35165834	0.66258453	0.66262669	0.35196788	0.35168119	59886	78285	0
59886	78976	0.00098240	0.04690494	0.52574643	0.04676809	0.52540726	0.66386329	0.66393815	0.35289166	0.35289618	0.66378884	0.66396222	0.35323653	0.35293192	59886	78974	0
59886	78979	0.00038382	0.04671544	0.52551593	0.04666516	0.52731165	0.66370133	0.66385376	0.35301705	0.35289256	0.66361718	0.66384800	0.35310358	0.35289938	59886	78978	0
59886	78982	-0.00078496	0.04664544	0.52435230	0.04671123	0.52785866	0.66368391	0.66392656	0.35290538	0.35282543	0.66379188	0.66388983	0.35295501	0.35292929	59886	78981	0
59886	78986	-0.00073977	0.04666768	0.52331983	0.04655015	0.52318425	0.66389065	0.66398046	0.35305156	0.35294006	0.66361735	0.66380043	0.35314548	0.35287005	59886	78984	0
59886	78989	0.00088616	0.04657902	0.52646337	0.04650026	0.52158560	0.66372516	0.66390717	0.35299141	0.35292633	0.66375967	0.66382689	0.35293800	0.35290448	59886	78987	0
59886	79679	-0.00024028	0.04679969	0.52308360	0.04697331	0.52646292	0.66375918	0.66391078	0.35311656	0.35286898	0.66384842	0.66415500	0.35312502	0.35305107	59886	79677	0
59886	79682	0.00054882	0.04681587	0.52502165	0.04677487	0.52265434	0.66371094	0.66411638	0.35317679	0.35294893	0.66385088	0.66410717	0.35325568	0.35296413	59886	79680	0
59886	79685	0.00060541	0.04673926	0.52578675	0.04652951	0.52561697	0.66391202	0.66403273	0.35292839	0.35285994	0.66387167	0.66397956	0.35324877	0.35290801	59886	79683	0
59886	79688	0.00078561	0.04666678	0.52519773	0.04648699	0.52465714	0.66397825	0.66407085	0.35297235	0.35299092	0.66380938	0.66404415	0.35307309	0.35301664	59886	79687	0
59886	79692	0.00012831	0.04646658	0.52363254	0.04651148	0.52560443	0.66377446	0.66398203	0.35322314	0.35293841	0.66379558	0.66400068	0.35325995	0.35294137	59886	79690	0
59886	80381	0.00012345	0.04682374	0.52681746	0.04675332	0.52683205	0.66380930	0.66392508	0.35324097	0.35306611	0.66377002	0.66409493	0.35329216	0.35300349	59886	80380	0
59886	80385	-0.00023091	0.04681795	0.52535065	0.04669761	0.52641373	0.66389336	0.66415015	0.35306118	0.35307621	0.66404431	0.66409156	0.35299996	0.35297169	59886	80383	0
59886	80388	0.00044814	0.04665020	0.52644501	0.04655246	0.52440786	0.66386230	0.66406034	0.35298073	0.35296964	0.66377085	0.66399484	0.35298032	0.35286314	59886	80386	0
59886	80391	0.00087313	0.04636267	0.52635203	0.04629682	0.52507705	0.66369229	0.66379804	0.35293628	0.35282460	0.66372960	0.66384718	0.35300316	0.35283767	59886	80389	0
59886	80394	-0.00009224	0.04639698	0.52459825	0.04630356	0.52749438	0.66365967	0.66382680	0.35283644	0.35274087	0.66380437	0.66376575	0.35301475	0.35278253	59886	80393	0
59886	81084	0.00062468	0.04681722	0.52528301	0.04674930	0.52313224	0.66345843	0.66378465	0.35231399	0.35204340	0.66354586	0.66371530	0.35246009	0.35211086	59886	81082	0
59886	81087	-0.00058804	0.04658370	0.52368859	0.04675967	0.52732674	0.66351652	0.66377421	0.35233913	0.35212524	0.66359385	0.66375071	0.35228704	0.35213486	59886	81086	0
59886	81090	0.00018835	0.04664107	0.52525091	0.04660124	0.52292174	0.66361677	0.66377734	0.35225285	0.35209073	0.66346607	0.66370388	0.35212286	0.35205466	59886	81089	0
59886	81094	0.00125713	0.04661448	0.52623572	0.04657196	0.52302938	0.66356451	0.66361258	0.35211283	0.35207027	0.66350839	0.66365235	0.35206723	0.35199204	59886	81092	0
