% File initiated 03/11/2022 20:45:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59886.865249
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59886	75446	0.00051292	0.04539195	0.52633545	0.04550285	0.52479668	0.65469870	0.65480831	0.34746743	0.34742938	0.65465605	0.65477577	0.34749964	0.34740925	59886	75444	0
59886	75449	0.00051211	0.04558172	0.52697254	0.04552000	0.52697499	0.65457536	0.65491415	0.34766875	0.34751419	0.65457511	0.65492516	0.34768132	0.34750153	59886	75447	0
59886	75452	0.00023494	0.04580771	0.52657111	0.04591582	0.52740261	0.65462852	0.65485712	0.34738920	0.34741320	0.65466985	0.65487569	0.34749118	0.34739693	59886	75451	0
59886	75455	0.00017109	0.04593331	0.52558016	0.04579634	0.52577172	0.65469278	0.65475794	0.34768486	0.34739873	0.65469106	0.65474512	0.34761197	0.34749216	59886	75454	0
59886	75459	0.00129470	0.04598579	0.52764152	0.04581760	0.52427069	0.65471086	0.65484973	0.34753999	0.34746874	0.65480306	0.65489155	0.34746447	0.34749775	59886	75457	0
59886	76148	0.00015557	0.04603491	0.52246910	0.04592874	0.52588650	0.65734101	0.65772294	0.34921177	0.34905055	0.65749417	0.65770281	0.34925228	0.34896780	59886	76147	0
59886	76152	0.00046435	0.04588150	0.52502176	0.04611187	0.52409542	0.65759656	0.65776098	0.34903419	0.34904611	0.65747881	0.65756262	0.34915178	0.34897437	59886	76150	0
59886	76155	-0.00027844	0.04630204	0.52297037	0.04625422	0.52519874	0.65748809	0.65771817	0.34902335	0.34899171	0.65751702	0.65777947	0.34932270	0.34901086	59886	76153	0
59886	76158	0.00037893	0.04639739	0.52427949	0.04631060	0.52230738	0.65746122	0.65768054	0.34928786	0.34903428	0.65764964	0.65777742	0.34913642	0.34908128	59886	76156	0
59886	76161	0.00111209	0.04631996	0.52488148	0.04652923	0.52268200	0.65752441	0.65782089	0.34917085	0.34906033	0.65765605	0.65776764	0.34910116	0.34907002	59886	76160	0
59886	76851	-0.00048659	0.04620634	0.52114338	0.04613555	0.52593941	0.65881171	0.65900013	0.34969773	0.34970751	0.65860513	0.65888723	0.34969518	0.34965122	59886	76849	0
59886	76854	0.00051516	0.04622914	0.52612462	0.04599680	0.52311937	0.65872075	0.65882938	0.34971392	0.34966535	0.65856298	0.65890498	0.34992428	0.34971507	59886	76853	0
59886	76857	0.00040736	0.04631097	0.52611082	0.04632382	0.52643423	0.65881278	0.65891632	0.34974284	0.34974835	0.65870727	0.65886356	0.34993849	0.34966108	59886	76856	0
59886	76861	0.00006503	0.04625777	0.52406863	0.04647275	0.52509564	0.65878262	0.65893464	0.35003808	0.34975492	0.65876882	0.65893916	0.34982066	0.34973002	59886	76859	0
59886	76864	0.00048216	0.04649001	0.52671041	0.04654108	0.52545901	0.65880711	0.65900761	0.34982641	0.34977801	0.65889799	0.65895650	0.34992855	0.34977431	59886	76862	0
59886	77554	-0.00095950	0.04606987	0.52287645	0.04591470	0.52720143	0.65953334	0.65979982	0.35046135	0.35029405	0.65968610	0.65982858	0.35044335	0.35028016	59886	77552	0
59886	77557	-0.00046770	0.04613234	0.52516062	0.04646874	0.52368520	0.65989564	0.65998561	0.35037606	0.35024861	0.65986137	0.66002456	0.35031665	0.35035773	59886	77555	0
59886	77560	0.00086553	0.04651462	0.52712425	0.04659657	0.52312458	0.65987370	0.66005184	0.35053646	0.35023308	0.65998644	0.65993039	0.35040819	0.35028978	59886	77559	0
59886	77563	0.00066229	0.04647965	0.52348170	0.04654741	0.52409141	0.65982111	0.66005332	0.35063958	0.35027194	0.66003771	0.66007526	0.35042224	0.35027137	59886	77562	0
59886	77567	0.00004509	0.04653046	0.52320604	0.04645299	0.52505763	0.65972529	0.65997855	0.35052503	0.35019232	0.65967903	0.65995020	0.35030054	0.35023776	59886	77565	0
59886	78256	0.00019999	0.04635484	0.52437184	0.04620587	0.52390716	0.66200523	0.66223933	0.35131191	0.35126910	0.66202454	0.66217581	0.35150468	0.35122604	59886	78255	0
59886	78260	0.00052981	0.04624737	0.52498041	0.04627017	0.52399097	0.66191213	0.66197400	0.35126967	0.35123237	0.66183760	0.66199380	0.35145283	0.35121199	59886	78258	0
59886	78263	0.00065035	0.04650457	0.52513507	0.04642172	0.52477345	0.66202593	0.66211303	0.35133270	0.35125981	0.66201163	0.66205946	0.35134658	0.35123064	59886	78261	0
59886	78266	-0.00026116	0.04668544	0.52322081	0.04675467	0.52595533	0.66201172	0.66213078	0.35151849	0.35129580	0.66206003	0.66224451	0.35128381	0.35133237	59886	78265	0
59886	78269	0.00021223	0.04673593	0.52543009	0.04673215	0.52400992	0.66221616	0.66236563	0.35133861	0.35130607	0.66206694	0.66221682	0.35143706	0.35136836	59886	78268	0
59886	78959	0.00114864	0.04641814	0.52610071	0.04624427	0.52329148	0.66353846	0.66368383	0.35254982	0.35253791	0.66355161	0.66379098	0.35283948	0.35262164	59886	78957	0
59886	78962	0.00029238	0.04627504	0.52456559	0.04628562	0.52713435	0.66361217	0.66382072	0.35292337	0.35263676	0.66344101	0.66381497	0.35288163	0.35261605	59886	78961	0
59886	78966	-0.00031158	0.04639979	0.52451225	0.04647794	0.52632415	0.66360675	0.66380388	0.35271885	0.35257020	0.66374685	0.66371291	0.35276141	0.35264218	59886	78964	0
59886	78969	0.00025085	0.04662433	0.52641545	0.04662126	0.52472815	0.66352836	0.66358884	0.35291672	0.35262698	0.66367068	0.66382491	0.35284087	0.35273035	59886	78967	0
59886	78972	0.00023847	0.04682143	0.52593342	0.04687845	0.52597056	0.66359976	0.66376074	0.35286470	0.35271302	0.66364175	0.66376345	0.35298656	0.35275920	59886	78970	0
59886	79662	0.00051664	0.04609099	0.52381581	0.04612520	0.52298130	0.66385499	0.66392903	0.35283208	0.35268212	0.66386000	0.66389180	0.35305485	0.35271145	59886	79660	0
59886	79665	0.00109175	0.04619976	0.52533449	0.04640748	0.52360916	0.66377873	0.66416091	0.35303274	0.35290439	0.66376148	0.66397315	0.35285961	0.35273602	59886	79663	0
59886	79668	-0.00048987	0.04651224	0.52231982	0.04646231	0.52706466	0.66396962	0.66413487	0.35299010	0.35286018	0.66377586	0.66393387	0.35318378	0.35280349	59886	79667	0
59886	79671	0.00051835	0.04654506	0.52597272	0.04655932	0.52294806	0.66388112	0.66400027	0.35283389	0.35278064	0.66382689	0.66406707	0.35318057	0.35286158	59886	79670	0
59886	79675	0.00026574	0.04584746	0.52358099	0.04666478	0.52433883	0.66387627	0.66427078	0.35305666	0.35298163	0.66381785	0.66413577	0.35297884	0.35289272	59886	79673	0
59886	80364	-0.00012905	0.04617838	0.52540665	0.04596497	0.52659101	0.66396181	0.66406855	0.35315181	0.35311483	0.66401547	0.66444334	0.35315732	0.35335798	59886	80363	0
59886	80368	0.00007517	0.04615199	0.52573290	0.04604149	0.52512025	0.66392360	0.66396354	0.35314852	0.35310834	0.66386584	0.66404168	0.35309922	0.35301664	59886	80366	0
59886	80371	-0.00003283	0.04621731	0.52445663	0.04633310	0.52478064	0.66378555	0.66397504	0.35322527	0.35303151	0.66388367	0.66400577	0.35317071	0.35306077	59886	80369	0
59886	80374	0.00076752	0.04621343	0.52637528	0.04654779	0.52397420	0.66383625	0.66411276	0.35312223	0.35302839	0.66386658	0.66392985	0.35317186	0.35304548	59886	80373	0
59886	80377	0.00049611	0.04661261	0.52431702	0.04656393	0.52513127	0.66377701	0.66399106	0.35332988	0.35312264	0.66373149	0.66402114	0.35331098	0.35302592	59886	80376	0
59886	81067	0.00059535	0.04615857	0.52396138	0.04612748	0.52366365	0.66364792	0.66365285	0.35241177	0.35222023	0.66345531	0.66370462	0.35227701	0.35219287	59886	81065	0
59886	81070	0.00012331	0.04619901	0.52236706	0.04628100	0.52378319	0.66346648	0.66367125	0.35224718	0.35222993	0.66347412	0.66362442	0.35234661	0.35216559	59886	81069	0
59886	81074	-0.00004832	0.04616786	0.52257583	0.04625536	0.52309072	0.66347914	0.66368292	0.35226280	0.35218071	0.66346944	0.66355202	0.35242237	0.35208432	59886	81072	0
59886	81077	0.00120819	0.04631387	0.52737219	0.04634831	0.52360267	0.66357725	0.66361406	0.35237636	0.35206616	0.66343739	0.66364594	0.35242607	0.35208629	59886	81075	0
