% File initiated 06/11/2022 13:46:25 UTC
% Raw fountain data
%
% File notes: maser 5 MHz 1100 mV RF amplitude scan gives different amplitude 620
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59889.573902
%% clock_data = False
%% sequence = 12
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59889	50175	-0.00017077	0.00503618	0.49463855	0.00505307	0.49491178	0.65292182	0.65229148	0.34187303	0.34198552	0.65291295	0.65267161	0.34186078	0.34217492	59889	50174	0
59889	50179	0.00010139	0.00503715	0.49491559	0.00501938	0.49448014	0.65284647	0.65234267	0.34191428	0.34202340	0.65297236	0.65233766	0.34196761	0.34194986	59889	50177	0
59889	50182	0.00097895	0.00501804	0.49637263	0.00503755	0.49496853	0.65303144	0.65234506	0.34186834	0.34209177	0.65312552	0.65235796	0.34202020	0.34203663	59889	50180	0
59889	50185	0.00173238	0.00505034	0.49550713	0.00506172	0.49430164	0.65318953	0.65245706	0.34209037	0.34208412	0.65316250	0.65237423	0.34201896	0.34208141	59889	50183	0
59889	50188	0.00020446	0.00507089	0.49363297	0.00506969	0.49607764	0.65316324	0.65259281	0.34208150	0.34212940	0.65320219	0.65241975	0.34209349	0.34209152	59889	50187	0
59889	50192	0.00086858	0.00507022	0.49445965	0.00505101	0.49339707	0.65312388	0.65239962	0.34209735	0.34207903	0.65301443	0.65230348	0.34204287	0.34203499	59889	50190	0
59889	50195	0.00219615	0.00505210	0.49516226	0.00502548	0.49303815	0.65308608	0.65250283	0.34202825	0.34216449	0.65299832	0.65235262	0.34208445	0.34206465	59889	50193	0
59889	50198	0.00025790	0.00505914	0.49379392	0.00504048	0.49689512	0.65296743	0.65232090	0.34200771	0.34207804	0.65302577	0.65235829	0.34207394	0.34208610	59889	50196	0
59889	50201	-0.00032607	0.00507236	0.49452839	0.00510234	0.49546273	0.65308140	0.65232016	0.34206917	0.34206761	0.65334599	0.65234177	0.34222628	0.34213096	59889	50200	0
59889	50205	0.00084739	0.00511141	0.49597782	0.00506002	0.49410030	0.65312240	0.65242748	0.34210984	0.34216901	0.65310786	0.65248475	0.34214551	0.34221815	59889	50203	0
59889	50208	0.00026833	0.00505144	0.49388206	0.00504344	0.49480854	0.65326234	0.65276668	0.34221018	0.34246376	0.65318140	0.65266586	0.34225545	0.34223729	59889	50206	0
59889	50211	0.00060252	0.00503180	0.49439088	0.00503257	0.49385618	0.65324484	0.65257251	0.34236449	0.34234453	0.65322265	0.65258681	0.34232472	0.34238216	59889	50210	0
59889	50214	0.00123213	0.00508166	0.49569361	0.00505850	0.49468624	0.65318477	0.65238351	0.34223614	0.34230089	0.65336234	0.65250094	0.34235759	0.34232357	59889	50213	0
59889	50218	-0.00039242	0.00512548	0.49336444	0.00502717	0.49596371	0.65306192	0.65250102	0.34224502	0.34231626	0.65322840	0.65257489	0.34234354	0.34244823	59889	50216	0
59889	50221	0.00164988	0.00510386	0.49598894	0.00505641	0.49272126	0.65330063	0.65276306	0.34237394	0.34255127	0.65315782	0.65245845	0.34236334	0.34242752	59889	50219	0
59889	50224	0.00144140	0.00505785	0.49476192	0.00504297	0.49509548	0.65315387	0.65250850	0.34240854	0.34242497	0.65310498	0.65247744	0.34226260	0.34235636	59889	50223	0
59889	50227	0.00097268	0.00503464	0.49307920	0.00505207	0.49382915	0.65315880	0.65250965	0.34234954	0.34242374	0.65321460	0.65247579	0.34243064	0.34249753	59889	50226	0
59889	50231	0.00220977	0.00507937	0.49509149	0.00508521	0.49311215	0.65329093	0.65254893	0.34247247	0.34249293	0.65321558	0.65247842	0.34240402	0.34246524	59889	50229	0
59889	50234	0.00120266	0.00510697	0.49247828	0.00508093	0.49408965	0.65327245	0.65248812	0.34255505	0.34247403	0.65310153	0.65250455	0.34235447	0.34249523	59889	50232	0
59889	50237	0.00131914	0.00502540	0.49304326	0.00505441	0.49285690	0.65315083	0.65259954	0.34238750	0.34254059	0.65319134	0.65269289	0.34245579	0.34260567	59889	50236	0
59889	50241	0.00147176	0.00504297	0.49453268	0.00510272	0.49428848	0.65332347	0.65270785	0.34251372	0.34267740	0.65350368	0.65273956	0.34259038	0.34265349	59889	50239	0
59889	50244	0.00174970	0.00505146	0.49301051	0.00508110	0.49256580	0.65331444	0.65281976	0.34256302	0.34268932	0.65334755	0.65267506	0.34258923	0.34261849	59889	50242	0
59889	50247	-0.00132348	0.00508189	0.49051342	0.00513901	0.49543051	0.65339439	0.65263274	0.34263845	0.34265209	0.65343145	0.65263595	0.34261158	0.34259005	59889	50245	0
59889	50250	0.00230053	0.00505930	0.49630313	0.00511323	0.49050472	0.65325330	0.65270497	0.34255842	0.34277626	0.65331189	0.65283242	0.34262555	0.34273246	59889	50249	0
59889	50254	0.00134076	0.00507396	0.49283421	0.00506613	0.49436985	0.65343326	0.65273997	0.34268077	0.34273764	0.65337187	0.65279823	0.34274922	0.34280543	59889	50252	0
59889	50257	0.00127040	0.00505940	0.49377346	0.00507568	0.49388603	0.65353129	0.65287630	0.34276475	0.34286870	0.65357385	0.65284589	0.34281718	0.34283953	59889	50255	0
59889	50260	0.00044906	0.00509460	0.49248356	0.00510515	0.49379770	0.65359596	0.65292001	0.34293550	0.34291192	0.65348075	0.65278648	0.34286821	0.34287955	59889	50259	0
59889	50263	0.00114633	0.00507982	0.49381433	0.00515513	0.49269870	0.65343547	0.65283291	0.34280945	0.34288431	0.65367048	0.65288254	0.34301644	0.34300305	59889	50262	0
59889	50267	0.00034968	0.00513087	0.49205944	0.00506689	0.49333408	0.65346070	0.65272223	0.34286730	0.34287938	0.65338116	0.65272058	0.34282679	0.34290559	59889	50265	0
59889	50270	0.00017855	0.00508010	0.49245888	0.00512678	0.49273269	0.65337672	0.65291023	0.34289294	0.34308801	0.65352143	0.65292626	0.34307092	0.34313592	59889	50268	0
59889	50878	-0.00101981	0.00510210	0.49317909	0.00504398	0.49509647	0.65496148	0.65428948	0.34287248	0.34289992	0.65502484	0.65481201	0.34279384	0.34309286	59889	50876	0
