% File initiated 08/11/2022 09:15:38 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 270 840 1310 with FSK 270 840 1310 no FSK 270 AC stark test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59891.385857
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59891	33814	-0.00075203	0.00565347	0.53538945	0.00568370	0.53719433	0.65377419	0.65311763	0.35093901	0.35097394	0.65373540	0.65295140	0.35097016	0.35092299	59891	33812	0
59891	33817	-0.00002585	0.00564760	0.53961193	0.00578379	0.53786909	0.65380179	0.65308879	0.35091346	0.35092184	0.65376317	0.65305173	0.35089275	0.35093499	59891	33816	0
59891	33821	-0.00083640	0.00574750	0.53411824	0.00574006	0.53606356	0.65389884	0.65314089	0.35094156	0.35103063	0.65402703	0.65317877	0.35114724	0.35096547	59891	33819	0
59891	33824	0.00046768	0.00580174	0.53988097	0.00571266	0.53675117	0.65398808	0.65337286	0.35102570	0.35117493	0.65401988	0.65306965	0.35100656	0.35099234	59891	33822	0
59891	33827	-0.00002154	0.00568344	0.53397190	0.00569716	0.53514603	0.65386071	0.65354542	0.35099259	0.35125513	0.65386696	0.65317918	0.35086522	0.35092357	59891	33826	0
59891	33830	0.00175996	0.00573040	0.53639564	0.00570954	0.53212005	0.65389046	0.65310301	0.35094099	0.35093047	0.65374633	0.65305338	0.35090483	0.35091921	59891	33829	0
59891	33834	-0.00065457	0.00570739	0.53276448	0.00565733	0.53855934	0.65373770	0.65307630	0.35093047	0.35094403	0.65412629	0.65317639	0.35119194	0.35098339	59891	33832	0
59891	33837	0.00154812	0.00575447	0.53819828	0.00568129	0.53291183	0.65378561	0.65310892	0.35102390	0.35097090	0.65363696	0.65299955	0.35093992	0.35092077	59891	33835	0
59891	33840	0.00155418	0.00567239	0.53572196	0.00572680	0.53570742	0.65378643	0.65374091	0.35085520	0.35139761	0.65379350	0.65310309	0.35093819	0.35089094	59891	33839	0
59891	33843	0.00091312	0.00574524	0.53435875	0.00571743	0.53589730	0.65398348	0.65325913	0.35106194	0.35105792	0.65379046	0.65312741	0.35093564	0.35090499	59891	33842	0
59891	33847	0.00165887	0.00570898	0.53705206	0.00570705	0.53526226	0.65375299	0.65310227	0.35087763	0.35091609	0.65391289	0.65311476	0.35101075	0.35094518	59891	33845	0
59891	33850	-0.00174346	0.00574035	0.53151535	0.00566818	0.53968095	0.65402366	0.65318921	0.35109267	0.35097862	0.65388347	0.65319110	0.35093778	0.35090442	59891	33848	0
59891	33853	-0.00019089	0.00575436	0.53709543	0.00574244	0.53336926	0.65383360	0.65319734	0.35097172	0.35098741	0.65378183	0.65314927	0.35095791	0.35095915	59891	33852	0
59891	33857	-0.00022428	0.00568806	0.53558513	0.00568389	0.53566527	0.65371346	0.65310687	0.35090771	0.35097451	0.65371404	0.65308460	0.35094764	0.35087977	59891	33855	0
59891	33860	-0.00019764	0.00569403	0.53508745	0.00567407	0.53502349	0.65369349	0.65311238	0.35090508	0.35086974	0.65401445	0.65307918	0.35111503	0.35098026	59891	33858	0
59891	33863	0.00103049	0.00570541	0.53773691	0.00569066	0.53478942	0.65374986	0.65320293	0.35092496	0.35105570	0.65388668	0.65315321	0.35098281	0.35093433	59891	33861	0
59891	33866	0.00011516	0.00571103	0.53380805	0.00576968	0.53600484	0.65414774	0.65311418	0.35116548	0.35100459	0.65379185	0.65312306	0.35083687	0.35094238	59891	33865	0
