% File initiated 08/11/2022 09:15:38 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 270 840 1310 with FSK 270 840 1310 no FSK 270 AC stark test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59891.385857
%% clock_data = False
%% sequence = 11
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59891	33912	0.00087448	0.04359584	0.47325152	0.04347860	0.47185235	0.65309076	0.65305173	0.35068560	0.35063909	0.65312322	0.65311591	0.35073753	0.35054968	59891	33910	0
59891	33915	-0.00049766	0.04332863	0.47075071	0.04343199	0.47294612	0.65310934	0.65344985	0.35061131	0.35092817	0.65306644	0.65318173	0.35071945	0.35068568	59891	33914	0
59891	33919	-0.00028926	0.04355727	0.47281351	0.04344647	0.47248007	0.65306628	0.65300909	0.35073005	0.35063153	0.65301755	0.65300374	0.35073991	0.35063712	59891	33917	0
59891	33922	0.00076910	0.04370857	0.47252530	0.04357955	0.47083193	0.65302700	0.65306020	0.35059439	0.35052955	0.65318880	0.65315305	0.35074739	0.35064246	59891	33920	0
59891	33925	0.00051568	0.04376422	0.47222250	0.04367536	0.47262798	0.65321074	0.65319537	0.35070852	0.35062405	0.65321147	0.65331871	0.35062512	0.35066620	59891	33923	0
59891	34615	-0.00001930	0.04355741	0.47150131	0.04359090	0.47235726	0.65355569	0.65389259	0.35129317	0.35136589	0.65363868	0.65371749	0.35134543	0.35127197	59891	34613	0
59891	34618	0.00080800	0.04371241	0.47224052	0.04341815	0.47091685	0.65369563	0.65407748	0.35130788	0.35148447	0.65366983	0.65360138	0.35136573	0.35120985	59891	34616	0
59891	34621	0.00111996	0.04354979	0.47119820	0.04350089	0.47069906	0.65348995	0.65363441	0.35121766	0.35109218	0.65374756	0.65378536	0.35137189	0.35126745	59891	34620	0
59891	34624	0.00071027	0.04367416	0.47153768	0.04357050	0.47219318	0.65364361	0.65364559	0.35133730	0.35118947	0.65402645	0.65366851	0.35149154	0.35118939	59891	34623	0
59891	34628	0.00163230	0.04364006	0.47294376	0.04366356	0.47146851	0.65373105	0.65364797	0.35133048	0.35118224	0.65356539	0.65371576	0.35127115	0.35121223	59891	34626	0
