% File initiated 08/11/2022 09:15:38 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 270 840 1310 with FSK 270 840 1310 no FSK 270 AC stark test
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59891.385857
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59891	34026	0.00050741	0.04342606	0.51280030	0.04324665	0.51127806	0.65343498	0.65371617	0.35099349	0.35102275	0.65334583	0.65349480	0.35109802	0.35087213	59891	34025	0
59891	34030	0.00024008	0.04337353	0.51242830	0.04346703	0.51323030	0.65353383	0.65354575	0.35119103	0.35093499	0.65344427	0.65358388	0.35112694	0.35092168	59891	34028	0
59891	34033	0.00054214	0.04355699	0.51290275	0.04417848	0.51199659	0.65357533	0.65371790	0.35096178	0.35099678	0.65387509	0.65366687	0.35144067	0.35088790	59891	34031	0
59891	34036	0.00005763	0.04409301	0.51081771	0.04393579	0.51227124	0.65352406	0.65368265	0.35107098	0.35090212	0.65360335	0.65368010	0.35097911	0.35101206	59891	34034	0
59891	34039	0.00086535	0.04406210	0.51323792	0.04412962	0.51081477	0.65352931	0.65401971	0.35097706	0.35128266	0.65361847	0.65366703	0.35099563	0.35095298	59891	34038	0
59891	34729	0.00069410	0.04341359	0.51164243	0.04331531	0.51215616	0.65352496	0.65375512	0.35129432	0.35118939	0.65368108	0.65361929	0.35128520	0.35111453	59891	34727	0
59891	34732	-0.00031701	0.04354147	0.51004145	0.04380116	0.51307478	0.65412235	0.65372792	0.35168324	0.35116622	0.65351559	0.65369300	0.35126844	0.35112554	59891	34731	0
59891	34736	0.00043955	0.04379287	0.51200773	0.04397991	0.50973806	0.65366884	0.65365849	0.35125414	0.35116852	0.65361132	0.65392793	0.35121873	0.35140731	59891	34734	0
59891	34739	0.00057386	0.04397545	0.51055270	0.04391155	0.51014975	0.65362496	0.65363992	0.35125332	0.35110516	0.65365717	0.65358314	0.35118997	0.35103754	59891	34737	0
59891	34742	-0.00064057	0.04362194	0.50857155	0.04379434	0.51221484	0.65351428	0.65371847	0.35124864	0.35114995	0.65342759	0.65347615	0.35117863	0.35103285	59891	34740	0
59891	35432	0.00102938	0.04389571	0.51306575	0.04373834	0.50805592	0.65406244	0.65404100	0.35148126	0.35126606	0.65388413	0.65402144	0.35139548	0.35116844	59891	35430	0
59891	35435	0.00145137	0.04365387	0.51180351	0.04370686	0.51053754	0.65418233	0.65413878	0.35144092	0.35124214	0.65398471	0.65403500	0.35123401	0.35122661	59891	35433	0
59891	35438	0.00022957	0.04381342	0.50757613	0.04423635	0.51124155	0.65398471	0.65411035	0.35148258	0.35128331	0.65395521	0.65397986	0.35134593	0.35126704	59891	35437	0
59891	35441	-0.00008033	0.04417440	0.50932256	0.04421359	0.51025225	0.65381437	0.65405529	0.35149269	0.35121347	0.65403861	0.65411438	0.35130698	0.35119547	59891	35440	0
