% File initiated 09/11/2022 15:32:37 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 no OP shutter
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59892.647653
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59892	55960	0.00020087	0.04374646	0.52470487	0.04375143	0.52410225	0.65593193	0.65614689	0.35372660	0.35376629	0.65573850	0.65613621	0.35391338	0.35367623	59892	55958	0
59892	55963	0.00013765	0.04396410	0.52260327	0.04389759	0.52279292	0.65564638	0.65569996	0.35367820	0.35346472	0.65545410	0.65552107	0.35362175	0.35330942	59892	55961	0
59892	55966	0.00128132	0.04428588	0.52528705	0.04436705	0.52185606	0.65527760	0.65551729	0.35310432	0.35319347	0.65519337	0.65523437	0.35334853	0.35308443	59892	55964	0
59892	55969	-0.00013745	0.04427536	0.51985403	0.04436472	0.52411032	0.65507784	0.65523585	0.35312231	0.35297670	0.65508153	0.65505384	0.35292050	0.35288344	59892	55968	0
59892	55973	0.00128782	0.04437027	0.52640094	0.04450368	0.52212516	0.65502410	0.65512295	0.35281474	0.35281515	0.65511531	0.65509263	0.35282041	0.35277851	59892	55971	0
59892	56074	0.00114172	0.04471480	0.52266439	0.04455049	0.52310268	0.65385471	0.65382004	0.35246387	0.35238901	0.65370730	0.65386852	0.35247579	0.35237587	59892	56073	0
59892	56078	0.00026670	0.04440294	0.52136117	0.04461589	0.52398623	0.65370845	0.65391338	0.35237841	0.35237997	0.65369316	0.65379555	0.35251893	0.35233346	59892	56076	0
59892	56081	-0.00065959	0.04470505	0.52148580	0.04451801	0.52426467	0.65363778	0.65388725	0.35248943	0.35240035	0.65356621	0.65364214	0.35238885	0.35227512	59892	56079	0
59892	56084	-0.00075980	0.04461661	0.52155705	0.04461825	0.52185770	0.65339973	0.65347007	0.35238458	0.35219583	0.65344698	0.65358051	0.35235015	0.35218572	59892	56083	0
59892	56087	0.00034048	0.04461122	0.52280138	0.04461219	0.51950052	0.65349809	0.65359817	0.35226510	0.35218613	0.65345561	0.65347023	0.35234012	0.35223371	59892	56086	0
59892	56189	0.00106325	0.04453011	0.52402040	0.04465599	0.52185210	0.65414141	0.65426212	0.35262674	0.35259214	0.65421347	0.65431118	0.35263955	0.35256330	59892	56188	0
59892	56193	0.00003766	0.04418928	0.52127668	0.04451912	0.52435344	0.65427560	0.65438940	0.35269937	0.35270891	0.65427412	0.65434676	0.35278697	0.35262978	59892	56191	0
59892	56196	0.00092632	0.04457476	0.52294531	0.04462751	0.52027935	0.65430132	0.65436722	0.35261129	0.35259181	0.65427190	0.65430748	0.35282625	0.35266379	59892	56194	0
59892	56199	0.00095239	0.04458454	0.52120626	0.04472877	0.52112804	0.65436352	0.65455597	0.35271104	0.35284556	0.65439803	0.65455753	0.35267464	0.35270126	59892	56197	0
59892	56202	0.00035189	0.04457388	0.51902134	0.04456690	0.52082285	0.65430608	0.65446549	0.35283578	0.35268557	0.65439474	0.65448070	0.35295452	0.35270406	59892	56201	0
59892	56304	-0.00007752	0.04441132	0.52194562	0.04481668	0.52323384	0.65522468	0.65542172	0.35306405	0.35293118	0.65541655	0.65563833	0.35293578	0.35301113	59892	56303	0
59892	56307	-0.00001379	0.04470878	0.52467807	0.04442773	0.52448687	0.65535081	0.65553307	0.35315017	0.35297144	0.65529296	0.65538992	0.35320769	0.35291828	59892	56306	0
59892	56311	0.00153813	0.04480458	0.52664530	0.04475875	0.52198956	0.65534859	0.65561244	0.35316792	0.35299388	0.65530562	0.65546823	0.35309758	0.35295181	59892	56309	0
59892	56314	0.00066820	0.04488219	0.52259594	0.04489027	0.52520572	0.65538179	0.65555575	0.35314039	0.35299758	0.65550455	0.65557728	0.35333924	0.35307022	59892	56312	0
59892	56317	0.00009776	0.04487834	0.52257811	0.04481050	0.52428944	0.65535968	0.65551228	0.35304121	0.35297621	0.65538549	0.65565682	0.35314343	0.35305115	59892	56316	0
59892	56419	-0.00034411	0.04499638	0.52080077	0.04499001	0.52212639	0.65488588	0.65496124	0.35306791	0.35301311	0.65504431	0.65504998	0.35302995	0.35295764	59892	56417	0
59892	56422	0.00009900	0.04503306	0.52301601	0.04498804	0.52168669	0.65485795	0.65521597	0.35323390	0.35309610	0.65479952	0.65492524	0.35303570	0.35299281	59892	56421	0
59892	56426	-0.00002322	0.04501146	0.52287944	0.04489454	0.52324608	0.65490618	0.65495392	0.35305575	0.35305296	0.65477840	0.65497562	0.35300037	0.35299067	59892	56424	0
59892	56429	0.00039455	0.04483044	0.52236552	0.04486218	0.52111221	0.65493215	0.65510471	0.35309947	0.35301458	0.65477725	0.65483773	0.35305493	0.35294655	59892	56427	0
59892	56432	0.00067320	0.04470747	0.52138601	0.04475072	0.52055007	0.65473165	0.65494669	0.35320481	0.35298960	0.65477643	0.65488769	0.35300587	0.35299626	59892	56430	0
59892	56534	0.00080159	0.04473918	0.52247371	0.04491998	0.52208855	0.65568566	0.65572247	0.35362134	0.35358362	0.65564597	0.65586808	0.35380294	0.35367467	59892	56532	0
59892	56537	0.00017064	0.04508477	0.52092530	0.04502329	0.52281813	0.65587589	0.65597433	0.35376604	0.35363408	0.65591286	0.65603078	0.35390335	0.35364509	59892	56536	0
59892	56540	-0.00010312	0.04501368	0.52156236	0.04505028	0.52238366	0.65576964	0.65599150	0.35379111	0.35370195	0.65587416	0.65617811	0.35380803	0.35370754	59892	56539	0
59892	56544	-0.00048675	0.04506732	0.52255374	0.04458084	0.52370461	0.65594959	0.65614598	0.35368815	0.35366842	0.65594384	0.65604253	0.35358042	0.35360778	59892	56542	0
59892	56547	0.00109459	0.04510292	0.52447659	0.04492953	0.51973259	0.65600506	0.65617885	0.35373104	0.35356094	0.65594031	0.65619578	0.35376037	0.35367385	59892	56545	0
59892	56649	0.00074521	0.04518132	0.52243776	0.04499890	0.52348587	0.65662406	0.65687411	0.35390500	0.35372258	0.65676728	0.65695291	0.35372414	0.35375183	59892	56647	0
59892	56652	0.00042758	0.04506824	0.52199149	0.04490110	0.52294439	0.65685562	0.65695398	0.35385775	0.35376933	0.65683877	0.65689859	0.35385249	0.35375544	59892	56650	0
59892	56655	0.00026518	0.04509113	0.52212626	0.04512308	0.52261346	0.65681108	0.65691289	0.35401338	0.35380844	0.65686006	0.65695751	0.35389941	0.35380302	59892	56654	0
59892	56659	0.00045251	0.04507711	0.52280364	0.04521796	0.52224167	0.65673343	0.65690599	0.35380220	0.35376580	0.65673737	0.65698003	0.35374986	0.35380976	59892	56657	0
59892	56662	0.00010537	0.04520331	0.52297321	0.04514798	0.52401462	0.65669037	0.65697559	0.35385397	0.35369653	0.65671157	0.65683976	0.35378724	0.35371707	59892	56660	0
59892	56764	0.00093458	0.04520960	0.52572123	0.04509079	0.52323358	0.65602725	0.65618649	0.35354196	0.35357278	0.65605707	0.65626571	0.35371502	0.35373301	59892	56762	0
59892	56767	0.00006008	0.04510213	0.52101351	0.04520443	0.52363704	0.65607811	0.65611755	0.35378289	0.35357541	0.65598238	0.65616554	0.35367188	0.35360532	59892	56765	0
59892	56770	0.00082034	0.04513585	0.52391625	0.04526994	0.52163546	0.65598230	0.65616365	0.35357656	0.35357836	0.65594984	0.65613925	0.35362947	0.35354944	59892	56769	0
59892	56774	-0.00032984	0.04524448	0.52058413	0.04526541	0.52403466	0.65595305	0.65608329	0.35349414	0.35359439	0.65588271	0.65612068	0.35362758	0.35363334	59892	56772	0
59892	56777	-0.00054148	0.04525749	0.52215121	0.04534291	0.52278614	0.65586989	0.65601952	0.35360721	0.35350893	0.65590613	0.65601878	0.35371452	0.35350162	59892	56775	0
59892	56879	0.00031929	0.04525432	0.52446744	0.04534844	0.52188514	0.65544276	0.65539083	0.35381140	0.35348945	0.65542222	0.65572535	0.35360162	0.35371526	59892	56877	0
59892	56882	0.00043648	0.04543689	0.52270562	0.04533054	0.52235404	0.65538220	0.65565575	0.35360030	0.35363416	0.65532706	0.65552592	0.35365511	0.35358699	59892	56880	0
59892	56885	0.00027430	0.04537009	0.52395954	0.04524767	0.52444608	0.65533816	0.65549297	0.35356612	0.35365248	0.65536856	0.65553257	0.35349134	0.35346702	59892	56884	0
59892	56888	0.00091906	0.04520223	0.52390988	0.04502697	0.52197559	0.65538869	0.65560480	0.35358264	0.35361468	0.65534243	0.65553315	0.35379760	0.35360375	59892	56887	0
59892	56892	0.00131297	0.04514808	0.52288239	0.04514314	0.52170068	0.65555279	0.65566035	0.35374772	0.35365067	0.65535114	0.65554802	0.35374073	0.35361731	59892	56890	0
59892	56994	0.00072913	0.04529442	0.52207035	0.04536429	0.52382186	0.65691043	0.65706433	0.35390450	0.35400722	0.65671798	0.65701141	0.35401675	0.35401971	59892	56992	0
59892	56997	0.00029051	0.04521347	0.52454327	0.04530903	0.52585912	0.65690632	0.65718398	0.35404419	0.35411166	0.65671404	0.65690492	0.35409876	0.35390261	59892	56995	0
59892	57000	0.00089604	0.04538896	0.52445301	0.04531151	0.52263643	0.65687969	0.65695981	0.35397977	0.35393910	0.65681954	0.65709383	0.35411700	0.35396580	59892	56998	0
59892	57003	0.00034211	0.04531990	0.52369194	0.04529507	0.52535373	0.65680327	0.65702834	0.35408733	0.35393285	0.65694297	0.65707198	0.35413138	0.35399563	59892	57002	0
59892	57007	0.00017869	0.04526978	0.52322993	0.04528143	0.52372020	0.65692702	0.65705086	0.35401174	0.35394419	0.65690500	0.65696984	0.35387287	0.35385898	59892	57005	0
59892	57108	-0.00058747	0.04534133	0.52337712	0.04534894	0.52567557	0.65658034	0.65668799	0.35413105	0.35394123	0.65674518	0.65683401	0.35403179	0.35404198	59892	57107	0
59892	57112	0.00031415	0.04502551	0.52520772	0.04546331	0.52250286	0.65662126	0.65693450	0.35415011	0.35407567	0.65664435	0.65706992	0.35423582	0.35422308	59892	57110	0
59892	57115	0.00015903	0.04538044	0.52329794	0.04515261	0.52376331	0.65669300	0.65684625	0.35409522	0.35409333	0.65662266	0.65667763	0.35405307	0.35404740	59892	57113	0
59892	57118	0.00109257	0.04507874	0.52583880	0.04531509	0.52303818	0.65667213	0.65673869	0.35423796	0.35403212	0.65666432	0.65677353	0.35425283	0.35405323	59892	57117	0
59892	57121	0.00065617	0.04542899	0.52330936	0.04540742	0.52461857	0.65660557	0.65677435	0.35411609	0.35408668	0.65654131	0.65666564	0.35420147	0.35400147	59892	57120	0
59892	57223	-0.00024166	0.04547199	0.52015135	0.04561118	0.52284484	0.65605173	0.65616275	0.35406277	0.35401092	0.65602166	0.65625848	0.35421445	0.35406153	59892	57222	0
59892	57227	0.00007922	0.04516621	0.52442235	0.04542139	0.52345973	0.65604286	0.65631756	0.35400549	0.35411766	0.65591738	0.65613982	0.35423713	0.35397427	59892	57225	0
59892	57230	-0.00003842	0.04522468	0.52150795	0.04559346	0.52186086	0.65600095	0.65616899	0.35401280	0.35401749	0.65598008	0.65612273	0.35409440	0.35400245	59892	57228	0
59892	57233	0.00064904	0.04538670	0.52513551	0.04519957	0.52307314	0.65590193	0.65614960	0.35403244	0.35394132	0.65629471	0.65626102	0.35409358	0.35401059	59892	57231	0
59892	57236	0.00060692	0.04554093	0.52232348	0.04567775	0.52244982	0.65601500	0.65624360	0.35415200	0.35403302	0.65615823	0.65623202	0.35408199	0.35399070	59892	57235	0
59892	57338	0.00076890	0.04554345	0.52250646	0.04546132	0.52202052	0.65701963	0.65709696	0.35416951	0.35419334	0.65698241	0.65719137	0.35435423	0.35424461	59892	57337	0
59892	57341	0.00017282	0.04556749	0.52060434	0.04559889	0.52239260	0.65699605	0.65724396	0.35419613	0.35430509	0.65711865	0.65719515	0.35440978	0.35418446	59892	57340	0
59892	57345	-0.00036003	0.04561130	0.52120259	0.04559873	0.52280113	0.65711717	0.65720863	0.35419654	0.35417896	0.65711125	0.65720756	0.35426310	0.35418085	59892	57343	0
59892	57348	-0.00007736	0.04550745	0.52395103	0.04552216	0.52310302	0.65704593	0.65721890	0.35425053	0.35420739	0.65717937	0.65712268	0.35425373	0.35421741	59892	57346	0
59892	57351	0.00093900	0.04536271	0.52617704	0.04537154	0.52312796	0.65704815	0.65722350	0.35408421	0.35413721	0.65703344	0.65718973	0.35428561	0.35420755	59892	57350	0
59892	57453	0.00103294	0.04570707	0.52074381	0.04564932	0.52046199	0.65710920	0.65723213	0.35429013	0.35424667	0.65712892	0.65725062	0.35442514	0.35431388	59892	57451	0
59892	57456	0.00041095	0.04556700	0.52035177	0.04535719	0.52221775	0.65713566	0.65735415	0.35425480	0.35435382	0.65702078	0.65735407	0.35448192	0.35438504	59892	57455	0
59892	57460	-0.00049115	0.04546291	0.51938606	0.04554033	0.52209235	0.65702818	0.65712662	0.35443903	0.35418372	0.65719104	0.65714955	0.35429810	0.35422234	59892	57458	0
59892	57463	0.00107141	0.04563428	0.52273817	0.04559703	0.51805050	0.65703886	0.65714807	0.35421265	0.35419728	0.65704790	0.65717962	0.35445571	0.35418742	59892	57461	0
59892	57466	-0.00008013	0.04552907	0.52043388	0.04577057	0.52388850	0.65694379	0.65745448	0.35437198	0.35430098	0.65707847	0.65714971	0.35423212	0.35423409	59892	57464	0
59892	57568	0.00041922	0.04568478	0.52143620	0.04575749	0.51993816	0.65659086	0.65676942	0.35404814	0.35406630	0.65658675	0.65679802	0.35420402	0.35407493	59892	57566	0
59892	57571	0.00077108	0.04580494	0.52106355	0.04562013	0.52000796	0.65676137	0.65712761	0.35437732	0.35435209	0.65675036	0.65688536	0.35418643	0.35419449	59892	57570	0
59892	57574	-0.00006104	0.04572480	0.52100645	0.04567650	0.52350281	0.65663942	0.65684362	0.35436992	0.35417099	0.65677780	0.65699745	0.35436113	0.35424395	59892	57573	0
59892	57578	0.00023701	0.04555256	0.52156978	0.04563903	0.52067564	0.65679654	0.65697575	0.35428750	0.35417748	0.65693697	0.65689046	0.35430353	0.35414001	59892	57576	0
59892	57581	-0.00016181	0.04562400	0.52167674	0.04561695	0.52287319	0.65684625	0.65704543	0.35421470	0.35419424	0.65698159	0.65695603	0.35425965	0.35421002	59892	57579	0
59892	57683	0.00030908	0.04559546	0.52153233	0.04556387	0.52011966	0.65808523	0.65858442	0.35469195	0.35467544	0.65825237	0.65832616	0.35473550	0.35458472	59892	57681	0
59892	57686	0.00080166	0.04548410	0.52238656	0.04565061	0.52090882	0.65834440	0.65856783	0.35461997	0.35465613	0.65831630	0.65845435	0.35463649	0.35461734	59892	57684	0
59892	57689	0.00010313	0.04575265	0.51988542	0.04564188	0.52198101	0.65819238	0.65846889	0.35478620	0.35467231	0.65825771	0.65841704	0.35479886	0.35456089	59892	57688	0
59892	57693	0.00042888	0.04579261	0.52143812	0.04570299	0.52046087	0.65825089	0.65842041	0.35453287	0.35459220	0.65813503	0.65840850	0.35473904	0.35452399	59892	57691	0
59892	57696	0.00062529	0.04579659	0.52310012	0.04581635	0.52251090	0.65823133	0.65843372	0.35473583	0.35464840	0.65832879	0.65840776	0.35461792	0.35455160	59892	57694	0
59892	57798	0.00059299	0.04590161	0.52195656	0.04585319	0.52205347	0.65831416	0.65837341	0.35453887	0.35455555	0.65820077	0.65833323	0.35479401	0.35459064	59892	57796	0
59892	57801	0.00033696	0.04580936	0.52172618	0.04578577	0.52249427	0.65815450	0.65849313	0.35473961	0.35466032	0.65840151	0.65843323	0.35479196	0.35466607	59892	57799	0
59892	57804	0.00022789	0.04576533	0.52168026	0.04577123	0.52200747	0.65844679	0.65845657	0.35468990	0.35460929	0.65819567	0.65840850	0.35464454	0.35456590	59892	57803	0
59892	57808	0.00019982	0.04579027	0.52169124	0.04580174	0.52177544	0.65812928	0.65834843	0.35482466	0.35456434	0.65844136	0.65843454	0.35471932	0.35451463	59892	57806	0
59892	57811	0.00086389	0.04559264	0.52174115	0.04564954	0.51974893	0.65819049	0.65844892	0.35470732	0.35460978	0.65821219	0.65846906	0.35470075	0.35463213	59892	57809	0
59892	57913	0.00006455	0.04510976	0.51974946	0.04576375	0.52214749	0.65766871	0.65780626	0.35487396	0.35476739	0.65758037	0.65775868	0.35496000	0.35468365	59892	57911	0
59892	57916	0.00013619	0.04571685	0.52105428	0.04580081	0.52083936	0.65765958	0.65789657	0.35480494	0.35478185	0.65764134	0.65781431	0.35488267	0.35474578	59892	57914	0
59892	57919	-0.00009198	0.04571488	0.51956587	0.04588810	0.52025037	0.65751209	0.65773872	0.35490774	0.35467223	0.65767840	0.65789032	0.35493066	0.35465210	59892	57917	0
59892	57922	0.00030732	0.04577375	0.52136301	0.04581421	0.52016512	0.65771415	0.65782943	0.35473657	0.35470863	0.65791382	0.65784620	0.35477733	0.35467083	59892	57921	0
59892	57926	0.00095769	0.04581990	0.52268823	0.04573035	0.52073713	0.65786173	0.65786748	0.35487273	0.35466623	0.65758809	0.65778358	0.35481915	0.35463238	59892	57924	0
59892	58028	0.00062400	0.04546101	0.52288943	0.04567484	0.52389049	0.65865550	0.65887934	0.35504291	0.35497372	0.65898246	0.65914105	0.35539896	0.35520569	59892	58026	0
