% File initiated 10/11/2022 13:45:00 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 no OP shutter
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59893.572926
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59893	49519	-0.00061384	0.00593743	0.48307038	0.00593145	0.48491190	0.60922185	0.60841065	0.34955746	0.34959411	0.60919185	0.60844122	0.34955656	0.34952657	59893	49518	0
59893	49523	0.00146009	0.00596084	0.48624487	0.00595690	0.48002310	0.60920172	0.60830161	0.34944719	0.34950816	0.60916342	0.60835329	0.34944661	0.34940134	59893	49521	0
59893	49526	0.00022998	0.00593105	0.48010892	0.00601374	0.48379923	0.60909678	0.60826718	0.34938893	0.34945269	0.60911568	0.60826332	0.34935146	0.34943240	59893	49524	0
59893	49529	0.00021937	0.00595474	0.48482161	0.00595977	0.48485344	0.60921667	0.60841205	0.34942188	0.34949961	0.60924970	0.60856669	0.34941720	0.34957727	59893	49528	0
59893	49533	0.00071012	0.00595017	0.48395401	0.00592603	0.48248177	0.60919087	0.60844303	0.34940117	0.34952443	0.60913647	0.60841328	0.34939534	0.34944818	59893	49531	0
59893	49536	-0.00001352	0.00593236	0.48248107	0.00593219	0.48465198	0.60928438	0.60843916	0.34942550	0.34952106	0.60916383	0.60836751	0.34946707	0.34945902	59893	49534	0
59893	49539	0.00081297	0.00592703	0.48321201	0.00595993	0.48073255	0.60915200	0.60836850	0.34938318	0.34944801	0.60924502	0.60828361	0.34952016	0.34944793	59893	49537	0
59893	49542	-0.00069507	0.00590872	0.48164275	0.00593520	0.48616690	0.60914033	0.60835691	0.34930298	0.34943651	0.60920928	0.60834023	0.34932492	0.34942393	59893	49541	0
59893	49546	0.00043266	0.00593195	0.48603880	0.00594401	0.48265559	0.60907353	0.60838772	0.34929131	0.34937570	0.60917797	0.60836242	0.34934940	0.34930807	59893	49544	0
59893	49549	0.00017561	0.00594025	0.48296636	0.00595878	0.48373752	0.60910122	0.60833020	0.34929213	0.34934612	0.60910237	0.60828493	0.34928219	0.34931095	59893	49547	0
59893	49552	0.00033093	0.00593144	0.48257921	0.00592999	0.48211325	0.60907895	0.60823686	0.34920766	0.34928400	0.60903934	0.60828353	0.34925154	0.34927701	59893	49551	0
59893	49555	0.00209308	0.00594490	0.48622513	0.00594558	0.48093868	0.60902611	0.60825954	0.34924036	0.34933626	0.60904666	0.60831484	0.34926189	0.34923436	59893	49554	0
59893	49559	-0.00007155	0.00596702	0.47766880	0.00598240	0.48416269	0.60891789	0.60809503	0.34911415	0.34918786	0.60920089	0.60834278	0.34934102	0.34940126	59893	49557	0
59893	49562	0.00083887	0.00600939	0.48387146	0.00598175	0.48114019	0.60886111	0.60811442	0.34909196	0.34919681	0.60900902	0.60810777	0.34919229	0.34921752	59893	49560	0
59893	49565	0.00028030	0.00596968	0.48051129	0.00594965	0.48218699	0.60886654	0.60808681	0.34918646	0.34914513	0.60889333	0.60802601	0.34914324	0.34920273	59893	49564	0
59893	49568	0.00018122	0.00597445	0.48010516	0.00599706	0.48040241	0.60882282	0.60806964	0.34910552	0.34916666	0.60902209	0.60823028	0.34914923	0.34916649	59893	49567	0
59893	49572	0.00086356	0.00595194	0.48131718	0.00596537	0.47927015	0.60893967	0.60818369	0.34918646	0.34914981	0.60899916	0.60823160	0.34916928	0.34915310	59893	49570	0
59893	49575	-0.00035786	0.00595922	0.48012021	0.00597280	0.48378448	0.60906621	0.60817112	0.34911103	0.34915556	0.60894164	0.60813603	0.34918038	0.34915203	59893	49573	0
59893	49578	-0.00009155	0.00596703	0.48122148	0.00595378	0.48042254	0.60882348	0.60819207	0.34902984	0.34914693	0.60907443	0.60818287	0.34913724	0.34918202	59893	49577	0
59893	49582	0.00020865	0.00592857	0.48342401	0.00592163	0.48252343	0.60903195	0.60823357	0.34916370	0.34916288	0.60891773	0.60824105	0.34911842	0.34921678	59893	49580	0
59893	49585	0.00069469	0.00596765	0.48290659	0.00592284	0.48144847	0.60907164	0.60825617	0.34920043	0.34916970	0.60910919	0.60819306	0.34918876	0.34917997	59893	49583	0
59893	49588	0.00105439	0.00593961	0.48121446	0.00596732	0.48013536	0.60908709	0.60825789	0.34911604	0.34924973	0.60902874	0.60824935	0.34912524	0.34922475	59893	49586	0
59893	49591	-0.00051854	0.00596839	0.47832047	0.00601568	0.48303925	0.60902209	0.60819101	0.34910987	0.34913403	0.60892315	0.60814474	0.34903083	0.34911908	59893	49590	0
