% File initiated 10/11/2022 15:03:35 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 840 1310 with without FSK AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59893.627489
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59893	54903	0.00028287	0.04517628	0.46990542	0.04518265	0.46905682	0.60978571	0.60983674	0.34909180	0.34897289	0.60970666	0.60994331	0.34917660	0.34897807	59893	54901	0
59893	54906	-0.00010797	0.04525554	0.47030533	0.04534549	0.47147782	0.60994972	0.60992803	0.34899418	0.34903502	0.60988185	0.60987758	0.34912656	0.34895893	59893	54905	0
59893	54910	-0.00014974	0.04542546	0.47101299	0.04560549	0.47113830	0.60984076	0.60992967	0.34915096	0.34894898	0.60994389	0.60987626	0.34908218	0.34888834	59893	54908	0
59893	54913	0.00045934	0.04564190	0.47148672	0.04575127	0.46965951	0.60986706	0.60976418	0.34895449	0.34897298	0.60975719	0.60979393	0.34906978	0.34891053	59893	54911	0
59893	54916	-0.00014418	0.04568151	0.46933840	0.04566065	0.47114894	0.60970239	0.60983583	0.34911941	0.34890781	0.60994274	0.60995350	0.34892869	0.34887790	59893	54914	0
59893	55606	0.00027123	0.04542729	0.47457319	0.04526606	0.47332697	0.61045705	0.61055081	0.34990201	0.34975919	0.61056133	0.61046831	0.34973356	0.34973849	59893	55604	0
59893	55609	0.00027084	0.04490042	0.47179496	0.04533126	0.47179613	0.61054801	0.61073545	0.34975730	0.34984161	0.61054892	0.61071868	0.34999429	0.34987432	59893	55607	0
59893	55612	0.00025489	0.04553562	0.47190581	0.04565342	0.47195365	0.61060964	0.61063068	0.34974876	0.34977538	0.61060019	0.61061474	0.34973586	0.34974465	59893	55611	0
59893	55615	0.00005460	0.04557991	0.47201370	0.04581216	0.47261458	0.61048589	0.61069888	0.35000768	0.34981606	0.61076832	0.61066601	0.35002896	0.34984235	59893	55614	0
59893	55619	0.00050908	0.04582904	0.47346902	0.04585204	0.47210557	0.61067908	0.61086881	0.35008164	0.34988919	0.61084046	0.61088327	0.35022774	0.35000859	59893	55617	0
