% File initiated 10/11/2022 15:03:35 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 840 1310 with without FSK AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59893.627489
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59893	54462	-0.00046567	0.00600065	0.46036696	0.00599657	0.46111204	0.61025737	0.60953229	0.34872548	0.34890305	0.61037817	0.60946154	0.34877199	0.34894233	59893	54461	0
59893	54466	-0.00004397	0.00604644	0.46189675	0.00607308	0.46122203	0.61029484	0.60952169	0.34867880	0.34886681	0.61043051	0.60945743	0.34865514	0.34887856	59893	54464	0
59893	54469	0.00050935	0.00607365	0.46066666	0.00606585	0.45978134	0.61050446	0.60951799	0.34878546	0.34884586	0.61047652	0.60953698	0.34883238	0.34894471	59893	54467	0
59893	54472	0.00053084	0.00608349	0.46079728	0.00607979	0.46076289	0.61022048	0.60942917	0.34867494	0.34882540	0.61019122	0.60941742	0.34870691	0.34887067	59893	54470	0
59893	54475	-0.00050055	0.00610844	0.46028321	0.00610697	0.46193344	0.61022500	0.60944552	0.34865021	0.34882490	0.61037595	0.60938282	0.34878867	0.34892869	59893	54474	0
59893	54479	-0.00035902	0.00606860	0.46087145	0.00606058	0.46064500	0.61024423	0.60941125	0.34878283	0.34892622	0.61031991	0.60964166	0.34886040	0.34904364	59893	54477	0
59893	54482	0.00037298	0.00599076	0.46045737	0.00605759	0.45928618	0.61025935	0.60946836	0.34877700	0.34899048	0.61026674	0.60938430	0.34876139	0.34889664	59893	54480	0
59893	54485	0.00061536	0.00607260	0.46088313	0.00607268	0.46049531	0.61033240	0.60978152	0.34878193	0.34909525	0.61027011	0.60949786	0.34875473	0.34892984	59893	54484	0
59893	54488	-0.00114570	0.00606513	0.45914899	0.00605790	0.46196669	0.61027373	0.60953393	0.34875530	0.34888727	0.61026904	0.60945201	0.34871537	0.34891233	59893	54487	0
59893	54492	0.00146375	0.00603810	0.46166719	0.00608063	0.45749207	0.61034834	0.60957634	0.34869294	0.34891094	0.61045656	0.60957995	0.34885531	0.34892540	59893	54490	0
59893	54495	-0.00117692	0.00609123	0.45773463	0.00602871	0.46195971	0.61037718	0.60961948	0.34878653	0.34894035	0.61045590	0.60952728	0.34874520	0.34897881	59893	54493	0
59893	54498	-0.00053282	0.00603591	0.45971360	0.00608065	0.45868303	0.61037233	0.60959187	0.34873369	0.34891809	0.61049616	0.60960082	0.34870477	0.34889984	59893	54497	0
59893	54501	0.00097862	0.00611488	0.46066286	0.00609300	0.45824456	0.61034678	0.60950937	0.34869614	0.34880272	0.61040446	0.60955300	0.34868299	0.34882236	59893	54500	0
59893	54505	-0.00008596	0.00606045	0.45828657	0.00607245	0.45998989	0.61043659	0.60964815	0.34872022	0.34892055	0.61048811	0.60963460	0.34882770	0.34891562	59893	54503	0
59893	54508	0.00101189	0.00604948	0.46001260	0.00605538	0.45825604	0.61049961	0.60969811	0.34881562	0.34899097	0.61040306	0.60959926	0.34874051	0.34886804	59893	54506	0
59893	54511	0.00030813	0.00612125	0.45793465	0.00608681	0.45906068	0.61042648	0.60957946	0.34874684	0.34886919	0.61053897	0.60975457	0.34878242	0.34894356	59893	54510	0
59893	54515	0.00173110	0.00605567	0.46003123	0.00606865	0.45775447	0.61049855	0.60958463	0.34873082	0.34886804	0.61053544	0.60955571	0.34884799	0.34888653	59893	54513	0
59893	54518	0.00141053	0.00607878	0.46003967	0.00612562	0.46055258	0.61053289	0.60958603	0.34887281	0.34888201	0.61044776	0.60958053	0.34881545	0.34892877	59893	54516	0
59893	54521	-0.00034376	0.00609562	0.45795542	0.00612849	0.46076229	0.61033774	0.60963985	0.34865267	0.34890913	0.61047669	0.60949975	0.34875259	0.34885506	59893	54519	0
59893	54524	-0.00024288	0.00609541	0.45978119	0.00609127	0.45961978	0.61043010	0.60960000	0.34877807	0.34893263	0.61036502	0.60968965	0.34879475	0.34893682	59893	54523	0
59893	54528	0.00081351	0.00606001	0.45999476	0.00604276	0.45830454	0.61041818	0.60955259	0.34885194	0.34899015	0.61039706	0.60953985	0.34882088	0.34900798	59893	54526	0
59893	54531	-0.00039478	0.00607353	0.45809775	0.00604840	0.46003101	0.61041958	0.60969294	0.34883115	0.34907347	0.61047562	0.60977034	0.34882342	0.34908744	59893	54529	0
59893	54534	0.00003771	0.00607003	0.45999964	0.00604706	0.45930768	0.61044776	0.60956524	0.34887610	0.34897643	0.61045385	0.60963279	0.34883953	0.34903181	59893	54532	0
59893	54537	0.00020901	0.00610498	0.45988732	0.00606135	0.45961323	0.61042878	0.60959334	0.34880321	0.34896575	0.61054637	0.60961077	0.34894865	0.34895991	59893	54536	0
59893	54541	0.00105244	0.00608822	0.46057642	0.00613214	0.45922693	0.61045787	0.60962498	0.34880453	0.34897018	0.61043018	0.60961093	0.34868916	0.34896862	59893	54539	0
59893	54544	-0.00053205	0.00609368	0.45804423	0.00608272	0.46057942	0.61057571	0.60969852	0.34878390	0.34893337	0.61043634	0.60967856	0.34873682	0.34890576	59893	54542	0
59893	54547	0.00137324	0.00607048	0.46240825	0.00609388	0.45935979	0.61046436	0.60968505	0.34885449	0.34895556	0.61034875	0.60962063	0.34871192	0.34886821	59893	54546	0
59893	54550	0.00057424	0.00608596	0.45931445	0.00608705	0.46059285	0.61027085	0.60960427	0.34871052	0.34891636	0.61050841	0.60959786	0.34887700	0.34895367	59893	54549	0
59893	54554	0.00033514	0.00607650	0.45863910	0.00612084	0.45902166	0.61043215	0.60975054	0.34883329	0.34905424	0.61047956	0.60951553	0.34879130	0.34899089	59893	54552	0
59893	54557	0.00012388	0.00608188	0.46011730	0.00608462	0.46045531	0.61044990	0.60964980	0.34888292	0.34904636	0.61060693	0.60966755	0.34893600	0.34897922	59893	54555	0
59893	55165	0.00027754	0.00604820	0.46026339	0.00608977	0.46001754	0.61132010	0.61072000	0.35000103	0.35020769	0.61129643	0.61049731	0.34994729	0.35015592	59893	55163	0
59893	55168	0.00060691	0.00607483	0.45978531	0.00605466	0.45925832	0.61130728	0.61041169	0.34989757	0.35003792	0.61117128	0.61051835	0.34994309	0.35007999	59893	55167	0
59893	55171	-0.00007394	0.00607676	0.45854269	0.00609256	0.45963205	0.61154434	0.61061498	0.35013792	0.35020580	0.61128706	0.61052065	0.34984654	0.35008525	59893	55170	0
59893	55175	0.00004282	0.00614034	0.45813399	0.00607563	0.45794717	0.61114277	0.61041695	0.34987169	0.35012954	0.61114261	0.61037734	0.34996602	0.35006380	59893	55173	0
59893	55178	0.00039945	0.00604838	0.45920274	0.00610631	0.45863213	0.61120506	0.61038967	0.34987727	0.35003562	0.61122560	0.61045483	0.34990135	0.35017046	59893	55176	0
59893	55181	0.00035219	0.00612011	0.45922412	0.00605739	0.45929975	0.61114754	0.61030799	0.34987645	0.35000448	0.61127137	0.61031259	0.34992830	0.35007473	59893	55180	0
