% File initiated 10/11/2022 15:03:35 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 840 1310 with without FSK AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59893.627489
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59893	54675	-0.00047643	0.04559973	0.50401322	0.04545340	0.50515664	0.60963764	0.60977420	0.34878505	0.34878045	0.60958784	0.60967971	0.34890831	0.34883649	59893	54673	0
59893	54678	-0.00019900	0.04547896	0.50692806	0.04542077	0.50626225	0.60957625	0.60965210	0.34893584	0.34880559	0.60957987	0.60965054	0.34875391	0.34882819	59893	54676	0
59893	54681	-0.00088557	0.04531275	0.50448431	0.04534755	0.50613207	0.60968357	0.60968308	0.34886780	0.34885547	0.60961528	0.60964766	0.34889442	0.34884783	59893	54679	0
59893	54684	-0.00116720	0.04514409	0.50670482	0.04536126	0.50738073	0.60963197	0.60968513	0.34899927	0.34887067	0.60956278	0.60961052	0.34883460	0.34884709	59893	54683	0
59893	54688	0.00099254	0.04539828	0.50698530	0.04534815	0.50180193	0.60966023	0.60965325	0.34885161	0.34885218	0.60955719	0.60959565	0.34895284	0.34891086	59893	54686	0
59893	55377	-0.00115528	0.04540199	0.50392023	0.04540225	0.50907500	0.60901190	0.60912710	0.34837534	0.34827107	0.60910221	0.60936310	0.34839252	0.34839654	59893	55375	0
59893	55380	0.00011012	0.04544945	0.50704712	0.04530561	0.50401015	0.60940542	0.60930788	0.34851775	0.34832596	0.60909202	0.60907797	0.34837797	0.34824666	59893	55379	0
59893	55384	-0.00055053	0.04547757	0.50426320	0.04553160	0.50584878	0.60918199	0.60919794	0.34830065	0.34835118	0.60908676	0.60913581	0.34828233	0.34834502	59893	55382	0
59893	55387	0.00099016	0.04530454	0.50830689	0.04531235	0.50460922	0.60903598	0.60906687	0.34836310	0.34827296	0.60914050	0.60915134	0.34833237	0.34837921	59893	55385	0
59893	55390	-0.00228568	0.04543137	0.50157536	0.04503499	0.50943737	0.60919161	0.60921659	0.34842719	0.34838085	0.60912743	0.60912332	0.34830451	0.34841462	59893	55388	0
