% File initiated 13/11/2022 22:52:45 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 290 840 1310 FF high FF low - Water COOLING ON
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59896.953299
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59896	82367	0.00098620	0.04466978	0.48398630	0.04471178	0.48102771	0.60885528	0.60898610	0.34774090	0.34765355	0.60899259	0.60921552	0.34803573	0.34780080	59896	82366	0
59896	82371	0.00138492	0.04483528	0.48386977	0.04472660	0.48267362	0.60915660	0.60899974	0.34767031	0.34765453	0.60893006	0.60898602	0.34772923	0.34756275	59896	82369	0
59896	82374	-0.00015059	0.04508521	0.47899698	0.04497372	0.48360351	0.60878946	0.60903384	0.34753613	0.34754845	0.60887845	0.60875068	0.34738583	0.34729257	59896	82372	0
59896	82377	0.00140224	0.04522578	0.48468116	0.04500715	0.48002267	0.60888338	0.60895002	0.34756982	0.34746316	0.60867393	0.60872027	0.34755568	0.34725050	59896	82375	0
59896	82380	0.00057747	0.04549056	0.48005500	0.04550871	0.48252929	0.60891765	0.60880779	0.34751361	0.34734557	0.60879924	0.60872044	0.34720522	0.34722708	59896	82379	0
59896	82482	0.00024101	0.04540805	0.48155590	0.04557768	0.48256529	0.60836258	0.60841714	0.34698319	0.34695394	0.60837080	0.60849668	0.34722141	0.34699782	59896	82481	0
59896	82485	0.00044777	0.04545947	0.48123057	0.04550728	0.48061028	0.60841369	0.60849964	0.34716290	0.34698960	0.60843193	0.60844097	0.34715099	0.34699659	59896	82484	0
59896	82489	0.00100671	0.04535175	0.48416213	0.04545758	0.48248531	0.60830210	0.60840136	0.34718213	0.34698007	0.60817013	0.60833686	0.34721393	0.34702231	59896	82487	0
59896	82492	0.00056108	0.04538042	0.48027390	0.04546253	0.48161079	0.60816890	0.60830596	0.34721147	0.34697851	0.60839364	0.60839956	0.34691959	0.34695279	59896	82490	0
59896	82495	0.00090312	0.04561878	0.48126294	0.04552530	0.48023683	0.60847581	0.60858707	0.34695903	0.34707555	0.60830695	0.60846110	0.34718279	0.34704975	59896	82494	0
59896	82597	-0.00025505	0.04537354	0.47912516	0.04539066	0.48259968	0.60839233	0.60851756	0.34701236	0.34709552	0.60860959	0.60855149	0.34706331	0.34706775	59896	82595	0
59896	82600	0.00062346	0.04554203	0.48066171	0.04539961	0.47802616	0.60849060	0.60863186	0.34708730	0.34704466	0.60848633	0.60857614	0.34714433	0.34705394	59896	82599	0
59896	82604	-0.00014349	0.04565578	0.48090830	0.04567344	0.48320915	0.60853218	0.60859726	0.34709281	0.34707473	0.60848945	0.60848460	0.34696799	0.34701351	59896	82602	0
59896	82607	-0.00101708	0.04559292	0.48062126	0.04559040	0.48324205	0.60836209	0.60839717	0.34686758	0.34692206	0.60844450	0.60847055	0.34700612	0.34707481	59896	82605	0
59896	82610	-0.00017133	0.04545969	0.48375161	0.04540085	0.48121434	0.60842750	0.60852774	0.34703702	0.34706002	0.60821796	0.60832864	0.34719774	0.34700521	59896	82608	0
59896	82712	0.00010696	0.04535144	0.48305779	0.04505033	0.48222294	0.60879562	0.60880721	0.34739783	0.34735461	0.60873580	0.60883581	0.34745642	0.34734105	59896	82710	0
59896	82715	0.00101882	0.04524467	0.48338845	0.04526046	0.48065287	0.60877196	0.60877073	0.34756710	0.34741698	0.60867984	0.60875733	0.34761205	0.34742133	59896	82714	0
59896	82719	0.00005674	0.04551512	0.48095625	0.04543060	0.48384249	0.60860663	0.60872964	0.34751846	0.34740621	0.60876621	0.60882981	0.34744294	0.34740991	59896	82717	0
59896	82722	0.00042893	0.04521726	0.48034985	0.04549959	0.47923327	0.60873695	0.60878658	0.34742076	0.34744048	0.60873909	0.60880442	0.34746447	0.34741426	59896	82720	0
59896	82725	0.00097727	0.04549323	0.48149755	0.04543943	0.47985252	0.60870491	0.60883802	0.34743456	0.34740547	0.60879842	0.60883835	0.34741813	0.34739512	59896	82723	0
59896	82827	0.00064648	0.04551727	0.48148837	0.04577900	0.48248074	0.60874936	0.60884394	0.34770302	0.34748452	0.60883761	0.60894707	0.34763325	0.34748214	59896	82825	0
59896	82830	0.00075795	0.04544937	0.48099321	0.04553884	0.48065880	0.60875520	0.60881321	0.34761969	0.34743218	0.60870754	0.60892003	0.34761657	0.34747861	59896	82828	0
59896	82833	0.00051973	0.04545828	0.48173043	0.04542147	0.48244509	0.60880080	0.60884435	0.34759701	0.34751156	0.60866571	0.60881674	0.34758691	0.34741344	59896	82832	0
59896	82837	0.00082229	0.04575440	0.48099155	0.04550512	0.48008389	0.60885060	0.60897024	0.34759282	0.34753037	0.60872767	0.60896021	0.34766867	0.34746053	59896	82835	0
59896	82840	0.00077715	0.04565570	0.47943685	0.04555775	0.47957225	0.60878100	0.60900812	0.34770515	0.34758477	0.60893244	0.60902217	0.34750999	0.34761246	59896	82838	0
59896	82942	0.00136571	0.04552947	0.48210331	0.04556866	0.48033764	0.60922628	0.60942144	0.34814009	0.34792258	0.60938619	0.60942383	0.34799735	0.34805964	59896	82940	0
59896	82945	0.00084988	0.04536863	0.48022201	0.04551674	0.48176949	0.60942161	0.60955957	0.34813392	0.34812143	0.60942637	0.60937641	0.34835028	0.34802800	59896	82943	0
59896	82948	0.00031084	0.04569988	0.48076828	0.04549721	0.48238542	0.60929703	0.60950978	0.34828101	0.34813236	0.60930739	0.60946721	0.34820171	0.34800787	59896	82947	0
59896	82952	0.00174123	0.04554000	0.48394691	0.04542712	0.47965572	0.60935127	0.60949162	0.34828430	0.34802159	0.60935784	0.60944700	0.34811568	0.34806580	59896	82950	0
59896	82955	0.00045355	0.04526799	0.47765103	0.04539615	0.48151406	0.60942391	0.60944305	0.34811478	0.34808741	0.60949449	0.60945456	0.34813129	0.34807607	59896	82953	0
59896	83057	-0.00002504	0.04545028	0.48124714	0.04544980	0.48268293	0.60973180	0.60968907	0.34861832	0.34847025	0.60972794	0.60983066	0.34865021	0.34854232	59896	83055	0
59896	83060	0.00028687	0.04543552	0.48120093	0.04537835	0.48026518	0.60956302	0.60974068	0.34857362	0.34854174	0.60977141	0.60976730	0.34858948	0.34853525	59896	83058	0
59896	83063	0.00028768	0.04536060	0.48155051	0.04538069	0.48154811	0.60969516	0.60978612	0.34866138	0.34848447	0.60953393	0.60965826	0.34852629	0.34850863	59896	83062	0
59896	83066	0.00001194	0.04545331	0.48207123	0.04570227	0.48289844	0.60975103	0.60978842	0.34861052	0.34844741	0.60964183	0.60980707	0.34859532	0.34846138	59896	83065	0
59896	83070	0.00062327	0.04564615	0.48186060	0.04571795	0.48002660	0.60963024	0.60974733	0.34845538	0.34841643	0.60981398	0.60965875	0.34842136	0.34841495	59896	83068	0
59896	83171	0.00050177	0.04552248	0.48132839	0.04553304	0.48169290	0.60892800	0.60900927	0.34791387	0.34774911	0.60907632	0.60920739	0.34798034	0.34788149	59896	83170	0
59896	83175	0.00046675	0.04550513	0.47986438	0.04545141	0.47996945	0.60909604	0.60923426	0.34804493	0.34785577	0.60909193	0.60924847	0.34802464	0.34797615	59896	83173	0
59896	83178	0.00061716	0.04555807	0.48213619	0.04554902	0.48168496	0.60914633	0.60924297	0.34793227	0.34786719	0.60909999	0.60910697	0.34800228	0.34777007	59896	83176	0
59896	83181	0.00043532	0.04561060	0.48146251	0.04556732	0.48200804	0.60913581	0.60921338	0.34803943	0.34780269	0.60911938	0.60934954	0.34807936	0.34786999	59896	83180	0
59896	83185	0.00068745	0.04566713	0.48016609	0.04554848	0.47940970	0.60915176	0.60922686	0.34796900	0.34784435	0.60918257	0.60931741	0.34803178	0.34790976	59896	83183	0
59896	83286	0.00000392	0.04572462	0.47932850	0.04571149	0.48137910	0.60952391	0.60968283	0.34823360	0.34827723	0.60961052	0.60971816	0.34830172	0.34836836	59896	83285	0
59896	83290	0.00104830	0.04558106	0.48254819	0.04549717	0.47941505	0.60959499	0.60965514	0.34849860	0.34840534	0.60974191	0.60980666	0.34842818	0.34837436	59896	83288	0
59896	83293	0.00072865	0.04570904	0.47981730	0.04556116	0.48077624	0.60975350	0.60978415	0.34860238	0.34846524	0.60968792	0.60975572	0.34845119	0.34850370	59896	83291	0
59896	83296	0.00068184	0.04574812	0.48289055	0.04565394	0.48303099	0.60968686	0.60965177	0.34855259	0.34848455	0.60970559	0.60977223	0.34849540	0.34845793	59896	83295	0
59896	83299	0.00030332	0.04578567	0.48061332	0.04547395	0.48174887	0.60961249	0.60972835	0.34852333	0.34843927	0.60962819	0.60977396	0.34872778	0.34845809	59896	83298	0
59896	83401	-0.00025093	0.04539209	0.48024783	0.04553472	0.48191059	0.60955333	0.60974035	0.34883501	0.34866598	0.60962358	0.60989245	0.34889220	0.34875432	59896	83400	0
59896	83405	0.00104966	0.04554311	0.48358149	0.04552306	0.47967971	0.60963583	0.60980420	0.34885317	0.34868373	0.60977864	0.60977125	0.34858907	0.34860238	59896	83403	0
59896	83408	0.00116752	0.04567349	0.48046905	0.04566468	0.48011547	0.60961463	0.60980765	0.34888349	0.34858316	0.60957461	0.60970354	0.34875046	0.34858472	59896	83406	0
59896	83411	-0.00000421	0.04560482	0.47979013	0.04552223	0.48330533	0.60957650	0.60972137	0.34868669	0.34862638	0.60947461	0.60951972	0.34851208	0.34848480	59896	83409	0
59896	83414	-0.00115765	0.04554565	0.47903705	0.04532231	0.48249737	0.60948102	0.60955834	0.34854478	0.34845267	0.60945809	0.60955481	0.34854610	0.34837575	59896	83413	0
59896	83516	0.00108502	0.04567872	0.48449141	0.04570544	0.47776339	0.60901979	0.60907032	0.34801757	0.34777533	0.60907213	0.60919646	0.34801773	0.34789973	59896	83515	0
59896	83519	0.00060014	0.04560916	0.47915434	0.04563893	0.48060900	0.60916219	0.60935390	0.34791921	0.34804452	0.60892899	0.60913918	0.34805980	0.34782019	59896	83518	0
59896	83523	0.00033349	0.04540232	0.47993447	0.04541671	0.48073442	0.60894025	0.60902020	0.34781995	0.34782488	0.60899333	0.60908783	0.34780507	0.34789423	59896	83521	0
59896	83526	0.00057004	0.04545874	0.48118089	0.04544470	0.48047123	0.60892020	0.60907550	0.34793006	0.34780425	0.60889768	0.60900582	0.34779340	0.34776128	59896	83524	0
59896	83529	0.00090152	0.04573695	0.48124035	0.04562227	0.48024591	0.60891379	0.60898380	0.34782734	0.34781789	0.60886843	0.60888790	0.34790401	0.34775593	59896	83528	0
59896	83631	0.00038249	0.04559631	0.47929894	0.04557029	0.48085604	0.60923565	0.60929638	0.34845332	0.34824157	0.60924239	0.60943549	0.34854544	0.34832144	59896	83629	0
59896	83634	0.00035946	0.04555105	0.48080033	0.04560313	0.48086943	0.60922859	0.60945924	0.34856253	0.34836885	0.60932316	0.60951840	0.34859491	0.34837501	59896	83633	0
59896	83638	0.00062423	0.04557711	0.48215191	0.04554555	0.48135759	0.60938430	0.60958784	0.34842695	0.34835472	0.60940386	0.60948537	0.34861742	0.34843163	59896	83636	0
59896	83641	-0.00035121	0.04566092	0.47948470	0.04561392	0.48241103	0.60945176	0.60954166	0.34862021	0.34849063	0.60939079	0.60954758	0.34868718	0.34846195	59896	83639	0
59896	83644	0.00072782	0.04585641	0.48194596	0.04561420	0.47870888	0.60943747	0.60952859	0.34842933	0.34837699	0.60943853	0.60954716	0.34839539	0.34838504	59896	83642	0
59896	83746	0.00021305	0.04569821	0.47959217	0.04557231	0.48113648	0.60912636	0.60935595	0.34840887	0.34846984	0.60928709	0.60928496	0.34833952	0.34835266	59896	83744	0
59896	83749	0.00113374	0.04519448	0.48160965	0.04531040	0.47884758	0.60918660	0.60933787	0.34861890	0.34841191	0.60931676	0.60936491	0.34856138	0.34844396	59896	83748	0
59896	83752	-0.00018037	0.04546945	0.47887151	0.04533023	0.48281385	0.60930336	0.60941306	0.34848093	0.34848849	0.60930369	0.60935932	0.34841059	0.34841692	59896	83751	0
59896	83756	0.00075837	0.04566463	0.48260277	0.04550484	0.47978653	0.60923310	0.60930106	0.34846351	0.34836762	0.60912702	0.60925192	0.34853311	0.34839219	59896	83754	0
59896	83759	0.00106294	0.04563659	0.48215480	0.04569509	0.48124107	0.60916942	0.60915537	0.34860214	0.34838553	0.60919095	0.60943196	0.34869655	0.34854766	59896	83757	0
59896	83861	0.00074114	0.04595001	0.47810335	0.04573333	0.47906874	0.60853284	0.60857360	0.34756349	0.34735798	0.60858313	0.60867270	0.34755207	0.34742643	59896	83859	0
59896	83864	0.00048771	0.04565696	0.48101404	0.04571509	0.48177436	0.60865256	0.60871608	0.34737228	0.34745272	0.60859077	0.60869636	0.34738172	0.34746989	59896	83862	0
59896	83867	-0.00010258	0.04574625	0.48026427	0.04557770	0.48203514	0.60833719	0.60846193	0.34761706	0.34735395	0.60858288	0.60867754	0.34749734	0.34743834	59896	83866	0
59896	83871	-0.00016948	0.04574926	0.47929096	0.04577037	0.47949164	0.60868206	0.60873375	0.34752199	0.34743152	0.60854870	0.60863449	0.34741772	0.34736907	59896	83869	0
59896	83874	0.00058597	0.04578311	0.48111029	0.04564359	0.47884396	0.60841369	0.60869373	0.34761879	0.34745305	0.60848764	0.60865610	0.34747425	0.34743505	59896	83872	0
59896	83976	0.00043894	0.04568514	0.48078621	0.04570875	0.48122730	0.60875191	0.60894361	0.34778913	0.34771682	0.60879990	0.60905389	0.34797804	0.34780220	59896	83974	0
59896	83979	0.00087529	0.04569675	0.47899225	0.04562744	0.47768320	0.60905709	0.60900648	0.34793548	0.34781699	0.60888363	0.60901436	0.34782857	0.34783983	59896	83977	0
59896	83982	0.00013565	0.04575856	0.47976982	0.04583766	0.48198873	0.60883876	0.60901223	0.34801075	0.34783391	0.60885996	0.60904280	0.34786177	0.34787730	59896	83981	0
59896	83986	0.00010582	0.04570751	0.48118267	0.04571123	0.48127218	0.60882800	0.60889637	0.34790623	0.34786366	0.60877303	0.60896136	0.34792324	0.34786982	59896	83984	0
59896	83989	-0.00010012	0.04570791	0.47862334	0.04552227	0.47924116	0.60895808	0.60895643	0.34791987	0.34790754	0.60891650	0.60895931	0.34787804	0.34789710	59896	83987	0
59896	84091	-0.00053410	0.04575301	0.48028738	0.04564186	0.48158931	0.60916318	0.60939408	0.34854519	0.34836565	0.60933483	0.60937896	0.34850641	0.34836400	59896	84089	0
59896	84094	0.00033346	0.04553241	0.48072017	0.04568482	0.47811747	0.60934724	0.60938060	0.34843582	0.34846984	0.60944839	0.60947436	0.34836606	0.34839474	59896	84092	0
59896	84097	0.00080225	0.04575179	0.48043545	0.04556454	0.47902908	0.60931125	0.60947650	0.34864930	0.34840755	0.60938619	0.60954380	0.34843845	0.34839786	59896	84096	0
59896	84100	0.00066638	0.04591089	0.48084421	0.04577950	0.48125182	0.60949310	0.60958784	0.34831380	0.34835398	0.60945439	0.60933754	0.34835628	0.34830772	59896	84099	0
59896	84104	0.00040322	0.04556235	0.47948724	0.04575496	0.48027672	0.60936409	0.60943393	0.34875432	0.34839457	0.60920114	0.60930763	0.34845308	0.34830722	59896	84102	0
59896	84206	-0.00028001	0.04590052	0.47745850	0.04601012	0.47950820	0.60896334	0.60906046	0.34777335	0.34789045	0.60909037	0.60918980	0.34801428	0.34792521	59896	84204	0
59896	84209	0.00053661	0.04594846	0.48069599	0.04588902	0.47824611	0.60904066	0.60907427	0.34802661	0.34793145	0.60895734	0.60901157	0.34812406	0.34796695	59896	84207	0
59896	84212	-0.00130418	0.04601434	0.47737811	0.04588102	0.48290049	0.60891370	0.60900031	0.34817871	0.34796687	0.60894986	0.60897196	0.34786391	0.34796687	59896	84210	0
59896	84215	0.00039840	0.04598223	0.48344314	0.04597338	0.47833540	0.60895553	0.60904008	0.34800869	0.34794871	0.60896030	0.60904230	0.34817279	0.34795586	59896	84214	0
59896	84219	0.00011129	0.04587719	0.48087388	0.04605540	0.48173521	0.60898108	0.60921799	0.34803244	0.34799982	0.60903482	0.60910393	0.34790047	0.34794427	59896	84217	0
59896	84320	0.00047481	0.04603009	0.48022923	0.04586606	0.47913867	0.60942005	0.60935768	0.34842456	0.34841618	0.60939934	0.60945045	0.34855965	0.34847814	59896	84319	0
59896	84324	0.00110674	0.04588720	0.47921332	0.04554441	0.47731754	0.60929588	0.60951232	0.34867379	0.34853681	0.60946047	0.60945070	0.34847452	0.34852070	59896	84322	0
59896	84327	0.00065973	0.04553889	0.47985632	0.04566879	0.48119734	0.60941873	0.60953451	0.34857979	0.34857042	0.60944798	0.60940460	0.34865884	0.34850139	59896	84325	0
59896	84330	-0.00027557	0.04557439	0.47829019	0.04572375	0.48109609	0.60935825	0.60948102	0.34876895	0.34859269	0.60952169	0.60947305	0.34863566	0.34853459	59896	84329	0
59896	84333	0.00118463	0.04552360	0.48340807	0.04584682	0.47902747	0.60932316	0.60954322	0.34864339	0.34861389	0.60933779	0.60944346	0.34857453	0.34853426	59896	84332	0
59896	84435	0.00066091	0.04583048	0.47908278	0.04609463	0.48065395	0.60908051	0.60901469	0.34833878	0.34844248	0.60887089	0.60914452	0.34871414	0.34851503	59896	84434	0
59896	84439	-0.00043757	0.04594725	0.47737051	0.04568862	0.48066595	0.60898150	0.60914641	0.34862547	0.34850583	0.60902677	0.60918413	0.34851824	0.34854708	59896	84437	0
59896	84442	0.00029050	0.04595783	0.48230399	0.04583168	0.48011976	0.60895553	0.60901165	0.34878037	0.34851898	0.60881263	0.60887114	0.34863501	0.34848570	59896	84440	0
