% File initiated 15/11/2022 03:50:46 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 water cooling off
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59898.160264
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59898	13849	0.00065082	0.04579544	0.48506883	0.04598079	0.48311637	0.60755303	0.60766486	0.34763605	0.34738008	0.60779280	0.60784441	0.34750194	0.34749479	59898	13847	0
59898	13852	-0.00031899	0.04609289	0.48386924	0.04614200	0.48677867	0.60794153	0.60790579	0.34763646	0.34757647	0.60783849	0.60791039	0.34786259	0.34755009	59898	13851	0
59898	13856	-0.00031295	0.04617714	0.48476742	0.04617503	0.48474928	0.60786659	0.60787530	0.34781756	0.34757696	0.60785575	0.60789683	0.34754180	0.34761748	59898	13854	0
59898	13859	0.00052156	0.04609344	0.48711708	0.04617416	0.48461357	0.60770496	0.60792313	0.34780680	0.34764952	0.60775394	0.60770356	0.34759816	0.34753037	59898	13857	0
59898	13862	0.00002896	0.04604326	0.48423434	0.04607279	0.48571214	0.60774974	0.60767817	0.34742503	0.34746127	0.60774284	0.60776470	0.34773769	0.34743210	59898	13861	0
59898	13964	0.00023599	0.04612274	0.48724014	0.04609910	0.48661907	0.60720445	0.60713198	0.34706832	0.34696824	0.60714167	0.60724587	0.34741591	0.34699256	59898	13962	0
59898	13967	0.00030709	0.04610337	0.48664907	0.04615086	0.48643576	0.60726674	0.60731169	0.34709412	0.34713800	0.60722245	0.60721193	0.34707038	0.34709774	59898	13966	0
59898	13971	0.00016501	0.04611231	0.48500728	0.04604014	0.48543350	0.60716682	0.60739575	0.34714540	0.34716118	0.60723017	0.60731300	0.34735757	0.34711031	59898	13969	0
59898	13974	0.00037786	0.04589162	0.48556076	0.04620488	0.48492221	0.60728901	0.60726247	0.34745436	0.34710267	0.60728285	0.60724291	0.34705066	0.34704227	59898	13972	0
59898	13977	0.00031010	0.04611182	0.48411793	0.04588057	0.48432122	0.60715417	0.60724538	0.34724014	0.34709347	0.60716928	0.60723823	0.34739306	0.34710037	59898	13975	0
59898	14079	-0.00031522	0.04593605	0.48344789	0.04600375	0.48532385	0.60714225	0.60733437	0.34730835	0.34715690	0.60726847	0.60739813	0.34748386	0.34727383	59898	14077	0
59898	14082	0.00036437	0.04581506	0.48572334	0.04601511	0.48368458	0.60750101	0.60764793	0.34762676	0.34732914	0.60747151	0.60756182	0.34760655	0.34736340	59898	14081	0
59898	14085	0.00104519	0.04608106	0.48556823	0.04598760	0.48352577	0.60733009	0.60748039	0.34751049	0.34732889	0.60749296	0.60753454	0.34753251	0.34732544	59898	14084	0
59898	14089	0.00029335	0.04612599	0.48233437	0.04589981	0.48458992	0.60737841	0.60752821	0.34761172	0.34734220	0.60735360	0.60739961	0.34740925	0.34722305	59898	14087	0
59898	14092	-0.00117291	0.04610250	0.48311795	0.04617288	0.48751671	0.60737225	0.60748680	0.34749693	0.34723135	0.60731949	0.60736239	0.34750449	0.34714400	59898	14090	0
