% File initiated 16/11/2022 05:45:30 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 water cooling off
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59899.239938
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59899	20749	0.00108128	0.00762172	0.48571190	0.00758546	0.48246807	0.60515559	0.60433552	0.34587421	0.34593131	0.60499445	0.60419796	0.34582120	0.34593016	59899	20748	0
59899	20753	0.00027465	0.00752472	0.48309075	0.00756802	0.48551062	0.60501935	0.60457324	0.34584167	0.34605991	0.60495509	0.60415162	0.34581685	0.34585374	59899	20751	0
59899	20756	-0.00096817	0.00759069	0.48188759	0.00755722	0.48561604	0.60537523	0.60436995	0.34601677	0.34591332	0.60505016	0.60440372	0.34594545	0.34590025	59899	20754	0
59899	20759	0.00105966	0.00765604	0.48697910	0.00738322	0.48089561	0.60515353	0.60437471	0.34596574	0.34601045	0.60513989	0.60423050	0.34598547	0.34586147	59899	20757	0
59899	20762	0.00003619	0.00738059	0.48275565	0.00746617	0.48582606	0.60496158	0.60436863	0.34586886	0.34591315	0.60510801	0.60428408	0.34592359	0.34585999	59899	20761	0
59899	20766	0.00068464	0.00747095	0.48663013	0.00736317	0.48468478	0.60503545	0.60432763	0.34581595	0.34585884	0.60502033	0.60425113	0.34581192	0.34584158	59899	20764	0
59899	20769	0.00024492	0.00742218	0.48220839	0.00749698	0.48352757	0.60502313	0.60440914	0.34577256	0.34595334	0.60501097	0.60435581	0.34583797	0.34593879	59899	20767	0
59899	20772	0.00052024	0.00754092	0.48515978	0.00759737	0.48433381	0.60511245	0.60424718	0.34582597	0.34591595	0.60505624	0.60424784	0.34582129	0.34581274	59899	20771	0
59899	20775	-0.00044525	0.00756049	0.48326576	0.00757024	0.48616224	0.60497604	0.60422228	0.34584881	0.34585407	0.60502116	0.60422582	0.34586985	0.34586303	59899	20774	0
59899	20779	-0.00086344	0.00759685	0.48200308	0.00755929	0.48325766	0.60499626	0.60415482	0.34579918	0.34581693	0.60496791	0.60428621	0.34586476	0.34583871	59899	20777	0
