% File initiated 16/11/2022 23:02:20 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 after water leak
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59899.959962
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59899	82943	-0.00031278	0.03432725	0.48503519	0.03449416	0.48597353	0.60377905	0.60377765	0.34214699	0.34208265	0.60384101	0.60356327	0.34200655	0.34199070	59899	82941	0
59899	82946	-0.00009642	0.03460772	0.48573558	0.03471282	0.48508651	0.60367675	0.60362613	0.34190203	0.34197426	0.60360214	0.60338249	0.34188001	0.34180671	59899	82945	0
59899	82950	0.00142853	0.03469108	0.48858553	0.03462919	0.48401069	0.60335940	0.60324921	0.34154204	0.34161394	0.60308552	0.60298815	0.34156340	0.34145288	59899	82948	0
59899	82953	0.00070211	0.03474280	0.48300647	0.03481423	0.48518570	0.60313606	0.60304288	0.34140802	0.34145584	0.60285676	0.60276144	0.34135559	0.34123768	59899	82951	0
59899	82956	0.00095516	0.03477268	0.48594759	0.03487930	0.48518846	0.60300713	0.60285018	0.34112025	0.34120456	0.60282833	0.60264139	0.34126381	0.34109503	59899	82954	0
59899	83058	0.00081855	0.03463293	0.48673535	0.03484190	0.48714518	0.60289365	0.60264796	0.34120382	0.34102567	0.60288018	0.60279217	0.34117120	0.34103677	59899	83056	0
59899	83061	0.00103149	0.03478009	0.48469151	0.03477072	0.48405266	0.60283991	0.60270885	0.34118870	0.34110341	0.60281066	0.60272027	0.34107111	0.34110489	59899	83060	0
59899	83064	-0.00040929	0.03463944	0.48368009	0.03474977	0.48800244	0.60280466	0.60269299	0.34121385	0.34103479	0.60291494	0.60269389	0.34115723	0.34109774	59899	83063	0
59899	83068	0.00047180	0.03497237	0.48624103	0.03471965	0.48359775	0.60291436	0.60269644	0.34111302	0.34103307	0.60292907	0.60268617	0.34106906	0.34109322	59899	83066	0
59899	83071	0.00021944	0.03519453	0.48611789	0.03501691	0.48687499	0.60282709	0.60270877	0.34125731	0.34106807	0.60292907	0.60266152	0.34104605	0.34109766	59899	83069	0
59899	83173	0.00041502	0.03522251	0.48642539	0.03514399	0.48583863	0.60335611	0.60310730	0.34131336	0.34130210	0.60322793	0.60300672	0.34146841	0.34138378	59899	83171	0
59899	83176	0.00084889	0.03525179	0.48724314	0.03530503	0.48594154	0.60316671	0.60324584	0.34140678	0.34151221	0.60324896	0.60312644	0.34139405	0.34144960	59899	83174	0
59899	83179	0.00069532	0.03526742	0.48872659	0.03531208	0.48918731	0.60322982	0.60305438	0.34154656	0.34147532	0.60327214	0.60306901	0.34161057	0.34146430	59899	83178	0
59899	83183	0.00123677	0.03525030	0.48786789	0.03521459	0.48624355	0.60317895	0.60308240	0.34160967	0.34144902	0.60337551	0.60323910	0.34152182	0.34149446	59899	83181	0
59899	83186	-0.00040095	0.03525076	0.48480210	0.03525311	0.48971526	0.60316811	0.60316063	0.34146554	0.34147548	0.60320410	0.60301551	0.34139339	0.34137235	59899	83184	0
59899	83288	0.00012012	0.03503960	0.48810308	0.03525323	0.48653987	0.60309226	0.60296588	0.34108936	0.34106183	0.60326121	0.60318290	0.34136217	0.34118887	59899	83286	0
59899	83291	0.00025587	0.03520296	0.48917274	0.03547647	0.48876550	0.60324896	0.60314510	0.34115978	0.34132864	0.60314658	0.60310631	0.34122420	0.34116372	59899	83289	0
59899	83294	-0.00049418	0.03541055	0.48593094	0.03521919	0.48818106	0.60314649	0.60315011	0.34105378	0.34120555	0.60329876	0.60319900	0.34115345	0.34116602	59899	83293	0
59899	83298	0.00057429	0.03550981	0.48787084	0.03541081	0.48466543	0.60320779	0.60306958	0.34111902	0.34107539	0.60345908	0.60329753	0.34132979	0.34114490	59899	83296	0
59899	83301	0.00064705	0.03509081	0.48626424	0.03540191	0.48604597	0.60321675	0.60320738	0.34118016	0.34116446	0.60330665	0.60314173	0.34107925	0.34121927	59899	83299	0
59899	83403	-0.00024681	0.03522372	0.48615679	0.03500808	0.48883836	0.60369581	0.60362843	0.34135370	0.34141476	0.60373673	0.60363468	0.34140769	0.34146537	59899	83401	0
59899	83406	-0.00069087	0.03536336	0.48565805	0.03527761	0.48699024	0.60380600	0.60375678	0.34146743	0.34154212	0.60377067	0.60366163	0.34145305	0.34140448	59899	83404	0
59899	83409	-0.00037205	0.03519323	0.48811995	0.03524552	0.48716347	0.60372383	0.60359375	0.34135781	0.34140309	0.60372202	0.60360477	0.34144532	0.34144327	59899	83408	0
59899	83412	0.00026726	0.03502392	0.48837564	0.03523147	0.48645771	0.60369910	0.60361742	0.34152306	0.34144524	0.60374092	0.60362071	0.34153826	0.34149701	59899	83411	0
59899	83416	0.00057439	0.03517298	0.48544193	0.03504765	0.48452055	0.60380091	0.60357034	0.34152454	0.34150712	0.60376319	0.60363196	0.34149709	0.34143850	59899	83414	0
59899	83518	0.00028146	0.03524042	0.48648671	0.03557675	0.48736548	0.60390814	0.60361117	0.34131623	0.34135510	0.60390601	0.60368858	0.34153538	0.34127925	59899	83516	0
59899	83521	-0.00046319	0.03540826	0.48473459	0.03519292	0.48696856	0.60381282	0.60383213	0.34143226	0.34148937	0.60392030	0.60373977	0.34146578	0.34146603	59899	83519	0
59899	83524	0.00076541	0.03557844	0.48883655	0.03530091	0.48515074	0.60390601	0.60363780	0.34146447	0.34149553	0.60391759	0.60371808	0.34161977	0.34150202	59899	83522	0
59899	83527	0.00052375	0.03550936	0.48664608	0.03503228	0.48737107	0.60392540	0.60370074	0.34154171	0.34147901	0.60395432	0.60376303	0.34166743	0.34156225	59899	83526	0
59899	83531	0.00126714	0.03539507	0.48804617	0.03526711	0.48581598	0.60385325	0.60379738	0.34155132	0.34153440	0.60400880	0.60380683	0.34149224	0.34150827	59899	83529	0
59899	83632	0.00030791	0.03568083	0.48551133	0.03547596	0.48838904	0.60434217	0.60416912	0.34173531	0.34161188	0.60460027	0.60432426	0.34178765	0.34169948	59899	83631	0
59899	83636	0.00046894	0.03561770	0.48583327	0.03551852	0.48535018	0.60446896	0.60439115	0.34165724	0.34177557	0.60448063	0.60424505	0.34166940	0.34165059	59899	83634	0
59899	83639	-0.00009442	0.03560316	0.48460933	0.03563817	0.48629942	0.60439419	0.60435080	0.34177943	0.34167984	0.60446888	0.60425737	0.34161797	0.34170285	59899	83637	0
59899	83642	-0.00035050	0.03555414	0.48411946	0.03542593	0.48488769	0.60447348	0.60421423	0.34166891	0.34168732	0.60467521	0.60446412	0.34187952	0.34180507	59899	83641	0
59899	83645	0.00058056	0.03570274	0.48709278	0.03553617	0.48429961	0.60455919	0.60448729	0.34173637	0.34175018	0.60446370	0.60427956	0.34181485	0.34176144	59899	83644	0
59899	83747	0.00017444	0.03557874	0.48504872	0.03562798	0.48626708	0.60459847	0.60450611	0.34172035	0.34179784	0.60453141	0.60448638	0.34191715	0.34187073	59899	83746	0
59899	83751	0.00045770	0.03540144	0.48683678	0.03553497	0.48598700	0.60466757	0.60451621	0.34181386	0.34187664	0.60468302	0.60453224	0.34189036	0.34187853	59899	83749	0
59899	83754	-0.00036613	0.03561419	0.48417161	0.03546611	0.48664309	0.60464432	0.60438835	0.34197829	0.34190179	0.60475451	0.60453577	0.34187894	0.34195134	59899	83752	0
59899	83757	0.00046500	0.03535391	0.48756462	0.03533099	0.48507124	0.60465878	0.60458113	0.34193761	0.34197204	0.60460529	0.60436954	0.34192266	0.34185848	59899	83755	0
59899	83760	0.00017052	0.03567136	0.48605269	0.03557848	0.48693614	0.60479633	0.60445360	0.34197245	0.34179998	0.60458146	0.60442229	0.34189801	0.34183884	59899	83759	0
59899	83862	0.00006631	0.03561856	0.48362052	0.03548593	0.48393314	0.60475582	0.60470701	0.34208774	0.34200516	0.60501672	0.60479321	0.34227033	0.34223943	59899	83861	0
59899	83865	0.00057335	0.03553838	0.48557987	0.03562638	0.48405875	0.60497103	0.60489921	0.34224855	0.34215635	0.60501721	0.60492436	0.34235513	0.34219596	59899	83864	0
59899	83869	-0.00048816	0.03555809	0.48400406	0.03562991	0.48718858	0.60500094	0.60484662	0.34234954	0.34225866	0.60515033	0.60490283	0.34223877	0.34221938	59899	83867	0
59899	83872	0.00018297	0.03547977	0.48658755	0.03560157	0.48457417	0.60495304	0.60482386	0.34215841	0.34210763	0.60502181	0.60485295	0.34231527	0.34215808	59899	83870	0
59899	83875	-0.00089326	0.03552457	0.48386286	0.03575797	0.48709157	0.60505008	0.60493816	0.34209604	0.34210598	0.60510867	0.60513209	0.34215783	0.34234535	59899	83874	0
59899	83977	-0.00026363	0.03578853	0.48758251	0.03541014	0.48569361	0.60540145	0.60525871	0.34243680	0.34234297	0.60550071	0.60534269	0.34235126	0.34234362	59899	83975	0
59899	83980	-0.00009498	0.03556098	0.48484914	0.03569153	0.48434317	0.60553391	0.60538123	0.34247715	0.34239268	0.60537236	0.60528008	0.34245661	0.34240213	59899	83979	0
59899	83984	0.00010739	0.03559241	0.48638228	0.03560427	0.48577517	0.60547672	0.60523932	0.34254650	0.34241511	0.60559636	0.60540293	0.34239062	0.34245521	59899	83982	0
59899	83987	0.00062582	0.03562712	0.48731996	0.03557449	0.48576469	0.60545502	0.60553235	0.34252177	0.34250682	0.60552347	0.60529832	0.34253516	0.34232900	59899	83985	0
59899	83990	-0.00057857	0.03576331	0.48421886	0.03558305	0.48783202	0.60539537	0.60535469	0.34251898	0.34233968	0.60548074	0.60529857	0.34259145	0.34238545	59899	83989	0
59899	84092	0.00091266	0.03556975	0.48903508	0.03564019	0.48456137	0.60561476	0.60534524	0.34234362	0.34231092	0.60567549	0.60541714	0.34248323	0.34240164	59899	84090	0
59899	84095	0.00075585	0.03551876	0.48544202	0.03570594	0.48591247	0.60557376	0.60544779	0.34241339	0.34240870	0.60557483	0.60538255	0.34237970	0.34242760	59899	84094	0
59899	84099	-0.00074797	0.03573755	0.48479220	0.03574829	0.48930366	0.60560121	0.60545223	0.34263040	0.34243401	0.60567031	0.60538731	0.34249342	0.34244543	59899	84097	0
59899	84102	0.00016462	0.03568462	0.48830390	0.03559789	0.48556612	0.60561435	0.60541057	0.34246828	0.34235159	0.60560778	0.60543579	0.34236762	0.34242070	59899	84100	0
59899	84105	0.00107740	0.03564468	0.48749113	0.03574510	0.48475279	0.60544130	0.60537236	0.34262021	0.34245225	0.60574591	0.60556398	0.34245636	0.34239416	59899	84103	0
59899	84207	0.00076878	0.03562411	0.48609947	0.03566096	0.48702535	0.60604830	0.60596596	0.34281159	0.34277815	0.60614880	0.60592882	0.34296615	0.34281496	59899	84205	0
59899	84210	0.00078016	0.03549934	0.48816790	0.03554701	0.48813375	0.60600302	0.60600869	0.34293920	0.34290814	0.60603688	0.60589390	0.34295761	0.34273854	59899	84209	0
59899	84213	0.00050067	0.03570862	0.48615865	0.03581683	0.48699711	0.60602957	0.60591576	0.34293756	0.34280937	0.60623384	0.60605134	0.34282014	0.34283394	59899	84212	0
59899	84217	-0.00051098	0.03585819	0.48536392	0.03568031	0.48839889	0.60605438	0.60592685	0.34296648	0.34279425	0.60624642	0.60609004	0.34284084	0.34278883	59899	84215	0
59899	84220	0.00063871	0.03564621	0.49028077	0.03576479	0.48683170	0.60620771	0.60601330	0.34284873	0.34284947	0.60626499	0.60596851	0.34284643	0.34284980	59899	84218	0
59899	84322	0.00039997	0.03573041	0.48683627	0.03551977	0.48755249	0.60629260	0.60623820	0.34301053	0.34299861	0.60643262	0.60620533	0.34316394	0.34300330	59899	84320	0
59899	84325	0.00016838	0.03561231	0.48678579	0.03567050	0.48748056	0.60640583	0.60635168	0.34299919	0.34310371	0.60653196	0.60630048	0.34317996	0.34300543	59899	84323	0
59899	84328	0.00033525	0.03566692	0.48708152	0.03562816	0.48658091	0.60637756	0.60629128	0.34311209	0.34303781	0.60640821	0.60632653	0.34303058	0.34296944	59899	84327	0
59899	84332	0.00033259	0.03562315	0.48878916	0.03552073	0.48879713	0.60651692	0.60625274	0.34303353	0.34303041	0.60652498	0.60626318	0.34308662	0.34301866	59899	84330	0
