% File initiated 18/11/2022 10:35:07 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 microwave leakage measurment after water leak
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59901.441062
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59901	38584	0.00028145	0.00472529	0.41746462	0.00469892	0.41678914	0.61125411	0.61034374	0.34560287	0.34578653	0.61142191	0.61036839	0.34575128	0.34575350	59901	38582	0
59901	38587	-0.00134825	0.00469114	0.41665989	0.00468102	0.42057119	0.61117055	0.61057308	0.34554831	0.34595498	0.61133390	0.61040619	0.34561660	0.34579516	59901	38585	0
59901	38590	-0.00003221	0.00474380	0.41894270	0.00474208	0.41578420	0.61125124	0.61049386	0.34563969	0.34575267	0.61110341	0.61023552	0.34563911	0.34569474	59901	38588	0
59901	38593	0.00115074	0.00470605	0.41983139	0.00470936	0.41699232	0.61118731	0.61043117	0.34562095	0.34576804	0.61140983	0.61062558	0.34566089	0.34593271	59901	38592	0
59901	38597	0.00076046	0.00468859	0.41846447	0.00470127	0.41940113	0.61133555	0.61053265	0.34573230	0.34584167	0.61135921	0.61058310	0.34574380	0.34576878	59901	38595	0
59901	38600	-0.00116887	0.00475001	0.41729417	0.00471118	0.42192456	0.61134393	0.61048326	0.34572022	0.34585021	0.61130136	0.61048261	0.34569170	0.34584208	59901	38598	0
59901	38603	0.00170425	0.00466330	0.42239381	0.00468504	0.41549833	0.61134713	0.61056889	0.34567173	0.34595317	0.61121656	0.61035664	0.34567264	0.34578546	59901	38601	0
59901	38606	-0.00047621	0.00470886	0.41629387	0.00471150	0.42152697	0.61123176	0.61043527	0.34571077	0.34590206	0.61131648	0.61039033	0.34575695	0.34587889	59901	38605	0
59901	38610	-0.00170970	0.00474852	0.41749620	0.00473196	0.42045657	0.61143399	0.61050726	0.34576557	0.34593575	0.61148115	0.61069502	0.34576911	0.34599475	59901	38608	0
59901	38613	-0.00010000	0.00473209	0.42081024	0.00470993	0.41694697	0.61140966	0.61057743	0.34572030	0.34594191	0.61155872	0.61054259	0.34583205	0.34594085	59901	38611	0
59901	38616	0.00055327	0.00470342	0.42063844	0.00473006	0.41907058	0.61140104	0.61045647	0.34585021	0.34591521	0.61139068	0.61043527	0.34570994	0.34590518	59901	38615	0
59901	38619	0.00075145	0.00467984	0.41666152	0.00468638	0.41618588	0.61125387	0.61032886	0.34567773	0.34584216	0.61132043	0.61060455	0.34572367	0.34599878	59901	38618	0
59901	38623	-0.00089346	0.00472144	0.41643230	0.00473140	0.42038008	0.61139496	0.61056231	0.34580058	0.34590494	0.61140909	0.61060710	0.34576878	0.34593567	59901	38621	0
59901	38626	0.00174709	0.00474149	0.42199626	0.00466885	0.41565895	0.61143349	0.61061350	0.34579286	0.34595662	0.61149430	0.61067809	0.34583427	0.34599072	59901	38624	0
59901	38629	0.00135380	0.00464955	0.41896958	0.00470137	0.41991348	0.61139331	0.61069058	0.34580009	0.34597963	0.61145149	0.61061507	0.34588670	0.34594890	59901	38628	0
59901	38632	-0.00005329	0.00476977	0.41835692	0.00473998	0.42173393	0.61145560	0.61058614	0.34578957	0.34598095	0.61152454	0.61051194	0.34583452	0.34593961	59901	38631	0
59901	38636	0.00011018	0.00469649	0.42010074	0.00471020	0.41970840	0.61137367	0.61073339	0.34577050	0.34608769	0.61148608	0.61059871	0.34582203	0.34589220	59901	38634	0
59901	38639	0.00141176	0.00467265	0.42069032	0.00472920	0.41756654	0.61133891	0.61051761	0.34580847	0.34592302	0.61126808	0.61049090	0.34572342	0.34591620	59901	38637	0
59901	38642	0.00047257	0.00466082	0.41877590	0.00467974	0.42102996	0.61132790	0.61047677	0.34573205	0.34589951	0.61131122	0.61052197	0.34571611	0.34590288	59901	38641	0
59901	38646	0.00045969	0.00469260	0.41968916	0.00470681	0.41972007	0.61130711	0.61046732	0.34572835	0.34589590	0.61124483	0.61032837	0.34567387	0.34584709	59901	38644	0
59901	38649	0.00036742	0.00472802	0.41852363	0.00467988	0.41874506	0.61137277	0.61044168	0.34580239	0.34585983	0.61136554	0.61039444	0.34574848	0.34598464	59901	38647	0
59901	38652	0.00075790	0.00468601	0.42379141	0.00467759	0.42285426	0.61126578	0.61044152	0.34570091	0.34581348	0.61125042	0.61039682	0.34570091	0.34583706	59901	38650	0
59901	38655	0.00088228	0.00465493	0.42249890	0.00466339	0.42220040	0.61123604	0.61052295	0.34568291	0.34591184	0.61119018	0.61054760	0.34568275	0.34597873	59901	38654	0
59901	38659	-0.00074238	0.00470512	0.41865498	0.00465554	0.42255415	0.61121558	0.61037923	0.34565908	0.34579327	0.61132733	0.61038770	0.34576829	0.34585859	59901	38657	0
59901	38662	0.00052432	0.00466478	0.42201538	0.00470614	0.41897530	0.61126923	0.61029862	0.34564930	0.34577979	0.61130720	0.61038137	0.34566163	0.34586591	59901	38660	0
59901	38665	0.00084772	0.00466555	0.42273584	0.00467137	0.42195969	0.61125362	0.61048622	0.34566533	0.34593855	0.61125568	0.61037858	0.34569893	0.34588908	59901	38663	0
59901	38668	-0.00150407	0.00468872	0.41706262	0.00464445	0.42270691	0.61121286	0.61036830	0.34574240	0.34585720	0.61150934	0.61035195	0.34582047	0.34586804	59901	38667	0
59901	38672	0.00017049	0.00466929	0.42268400	0.00469508	0.41866506	0.61135009	0.61038663	0.34581923	0.34584199	0.61121903	0.61036411	0.34563706	0.34587437	59901	38670	0
59901	38675	-0.00166503	0.00467602	0.41711753	0.00467512	0.42152277	0.61130407	0.61058417	0.34576212	0.34596788	0.61120522	0.61043815	0.34570805	0.34586385	59901	38673	0
59901	38678	-0.00128530	0.00470968	0.42017481	0.00469767	0.41926347	0.61128172	0.61039920	0.34571865	0.34588439	0.61135691	0.61050504	0.34573657	0.34593304	59901	38677	0
59901	39286	-0.00056022	0.00470740	0.42403617	0.00465682	0.42229597	0.61023699	0.60956056	0.34420653	0.34454253	0.61031999	0.60961841	0.34431295	0.34454196	59901	39284	0
59901	39289	0.00049540	0.00464535	0.42288423	0.00473890	0.42035074	0.61040651	0.60956261	0.34436414	0.34451961	0.61032360	0.60948406	0.34433932	0.34450819	59901	39288	0
59901	39293	-0.00028798	0.00471871	0.41967592	0.00467105	0.42155603	0.61041638	0.60960781	0.34430752	0.34440777	0.61035885	0.60954626	0.34424368	0.34445190	59901	39291	0
59901	39296	0.00165446	0.00466662	0.42308251	0.00470706	0.41842064	0.61035631	0.60952983	0.34422971	0.34444861	0.61023667	0.60946294	0.34419215	0.34439019	59901	39294	0
59901	39299	0.00159939	0.00468871	0.42269938	0.00471636	0.42283156	0.61033503	0.60947888	0.34416964	0.34436332	0.61008473	0.60935036	0.34412042	0.34433521	59901	39297	0
59901	39302	-0.00070765	0.00473363	0.41796409	0.00466272	0.42350097	0.61028556	0.60925373	0.34412469	0.34429881	0.61010988	0.60920270	0.34408730	0.34422239	59901	39301	0
59901	39306	0.00065098	0.00469358	0.42227820	0.00471257	0.41901748	0.61003880	0.60907542	0.34403595	0.34417104	0.60996106	0.60918356	0.34404088	0.34413767	59901	39304	0
59901	39309	0.00305038	0.00469895	0.42436746	0.00474987	0.41860891	0.61000075	0.60907353	0.34401031	0.34414244	0.61002836	0.60918117	0.34402058	0.34416167	59901	39307	0
59901	39312	-0.00035434	0.00467099	0.41737310	0.00469326	0.42554443	0.61000453	0.60923943	0.34398253	0.34422215	0.61002203	0.60912973	0.34403734	0.34411705	59901	39311	0
59901	39315	0.00131969	0.00471591	0.42244649	0.00472224	0.41842881	0.61008268	0.60920056	0.34403348	0.34418328	0.61009098	0.60913212	0.34398960	0.34417999	59901	39314	0
59901	39319	0.00212134	0.00468885	0.42251759	0.00472868	0.42059364	0.61004710	0.60932210	0.34400645	0.34425000	0.61020889	0.60929720	0.34413299	0.34428073	59901	39317	0
59901	39322	-0.00037206	0.00474246	0.41785413	0.00473013	0.42383828	0.61003954	0.60918923	0.34391943	0.34404482	0.60997117	0.60908462	0.34390505	0.34405008	59901	39320	0
59901	39325	0.00034417	0.00471493	0.42072035	0.00471078	0.41900140	0.60993000	0.60903359	0.34390020	0.34400932	0.61009056	0.60901412	0.34399675	0.34398212	59901	39324	0
59901	39329	0.00110053	0.00473754	0.42222885	0.00473011	0.42041358	0.60992589	0.60912086	0.34390283	0.34403956	0.61004143	0.60927156	0.34395320	0.34406002	59901	39327	0
59901	39332	0.00090309	0.00476829	0.42086139	0.00473513	0.42133524	0.61014233	0.60919391	0.34394490	0.34414762	0.61021867	0.60932201	0.34396429	0.34406356	59901	39330	0
59901	39335	-0.00082540	0.00475372	0.41634020	0.00473932	0.42048860	0.61014225	0.60919580	0.34396322	0.34410111	0.60990823	0.60906909	0.34383857	0.34394523	59901	39333	0
59901	39338	-0.00013889	0.00465896	0.42118800	0.00471282	0.41954037	0.60998777	0.60910015	0.34382616	0.34401368	0.61015063	0.60914847	0.34399659	0.34408673	59901	39337	0
59901	39342	0.00167488	0.00472807	0.42371208	0.00474905	0.41935903	0.61006747	0.60922908	0.34386297	0.34407448	0.61011842	0.60911042	0.34389905	0.34406010	59901	39340	0
59901	39345	0.00033319	0.00478223	0.41919269	0.00472744	0.42241276	0.61004249	0.60921642	0.34390554	0.34414244	0.60999557	0.60913039	0.34393446	0.34409881	59901	39343	0
59901	39348	0.00036932	0.00467003	0.42305032	0.00474343	0.42296361	0.61005038	0.60915562	0.34388442	0.34405682	0.60997955	0.60903713	0.34387251	0.34398672	59901	39346	0
59901	39351	-0.00056677	0.00468851	0.41989855	0.00468432	0.42214516	0.60993419	0.60911815	0.34386306	0.34401376	0.61011752	0.60905553	0.34393931	0.34401861	59901	39350	0
59901	39355	0.00130948	0.00471479	0.42376621	0.00469003	0.41926320	0.60994890	0.60931799	0.34385221	0.34402617	0.61000001	0.60905101	0.34384523	0.34403849	59901	39353	0
59901	39358	0.00111777	0.00467439	0.42248430	0.00467150	0.42294441	0.60999352	0.60928175	0.34385903	0.34413266	0.61014652	0.60927772	0.34393619	0.34406536	59901	39356	0
