% File initiated 18/11/2022 10:35:07 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 microwave leakage measurment after water leak
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59901.441062
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59901	38796	0.00005457	0.04043480	0.49015521	0.04056489	0.48999150	0.60955275	0.60958669	0.34475355	0.34456340	0.60981118	0.60968940	0.34480721	0.34463432	59901	38794	0
59901	38799	0.00018719	0.04081229	0.48921597	0.04082800	0.48881812	0.60983386	0.60994175	0.34476407	0.34475002	0.60994627	0.60985268	0.34479825	0.34460465	59901	38797	0
59901	38802	-0.00081637	0.04096374	0.48660216	0.04093911	0.48961283	0.60999779	0.60993855	0.34490220	0.34476325	0.60996607	0.60983263	0.34486415	0.34471016	59901	38801	0
59901	38806	0.00006034	0.04097080	0.48912476	0.04108273	0.48649463	0.60994003	0.60974832	0.34475807	0.34469176	0.60989426	0.60978053	0.34477081	0.34472438	59901	38804	0
59901	38809	-0.00023914	0.04115652	0.48696204	0.04117103	0.48786046	0.60982310	0.60988275	0.34488544	0.34468264	0.61006033	0.61004249	0.34484156	0.34472339	59901	38807	0
59901	39498	0.00050831	0.04106622	0.48979362	0.04078229	0.48755128	0.61055952	0.61058458	0.34547954	0.34540780	0.61065213	0.61073200	0.34548710	0.34538487	59901	39497	0
59901	39502	-0.00006169	0.04061827	0.48777590	0.04060443	0.48948589	0.61063775	0.61057883	0.34557198	0.34530681	0.61072526	0.61058072	0.34539301	0.34536523	59901	39500	0
59901	39505	0.00026387	0.04074146	0.48913417	0.04088628	0.48815749	0.61079256	0.61076938	0.34558052	0.34549104	0.61067316	0.61056954	0.34538192	0.34531544	59901	39503	0
59901	39508	-0.00030439	0.04109791	0.48610734	0.04104629	0.48781212	0.61072090	0.61063881	0.34538126	0.34535488	0.61086257	0.61060759	0.34545488	0.34534502	59901	39506	0
59901	39511	0.00040876	0.04124525	0.48871372	0.04116156	0.48657428	0.61069962	0.61081326	0.34556121	0.34549893	0.61072214	0.61070858	0.34561002	0.34541133	59901	39510	0
59901	40201	0.00053479	0.04090402	0.48944313	0.04060602	0.48906503	0.61200171	0.61191362	0.34660093	0.34634217	0.61194666	0.61204838	0.34643182	0.34631119	59901	40199	0
59901	40204	0.00084806	0.04090690	0.48949594	0.04080481	0.48855613	0.61200500	0.61185849	0.34639106	0.34629008	0.61193630	0.61189218	0.34656897	0.34624390	59901	40202	0
59901	40207	-0.00004654	0.04107448	0.48539370	0.04112869	0.48807749	0.61203655	0.61192077	0.34643001	0.34638153	0.61212217	0.61200911	0.34653708	0.34640216	59901	40206	0
59901	40211	-0.00043455	0.04118010	0.48857638	0.04126900	0.48974042	0.61204945	0.61214485	0.34646633	0.34646165	0.61200138	0.61187714	0.34634094	0.34633708	59901	40209	0
59901	40214	0.00081565	0.04113481	0.48927040	0.04120623	0.48551981	0.61211733	0.61204255	0.34649288	0.34635639	0.61208569	0.61198174	0.34626510	0.34631810	59901	40212	0
59901	40903	0.00141355	0.04093699	0.49055499	0.04084485	0.48876129	0.60983616	0.60982400	0.34408270	0.34391499	0.61007134	0.60999442	0.34403997	0.34386018	59901	40902	0
59901	40907	0.00019373	0.04091777	0.48550340	0.04090789	0.48916283	0.60994586	0.60987486	0.34401064	0.34387834	0.60997725	0.61001037	0.34401006	0.34383586	59901	40905	0
59901	40910	0.00096082	0.04123338	0.49024022	0.04116960	0.48793896	0.61009328	0.61011234	0.34398500	0.34387604	0.61000683	0.61005761	0.34402518	0.34399494	59901	40908	0
59901	40913	0.00042821	0.04121086	0.48674379	0.04135840	0.48834163	0.61002121	0.61002261	0.34411968	0.34392896	0.61004545	0.61005425	0.34384547	0.34389765	59901	40912	0
59901	40916	0.00060680	0.04148680	0.48786230	0.04132672	0.48732652	0.61006312	0.60994003	0.34394539	0.34387793	0.61004093	0.61003888	0.34392091	0.34387053	59901	40915	0
