% File initiated 18/11/2022 10:35:07 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitude 240 microwave leakage measurment after water leak
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59901.441062
%% clock_data = False
%% sequence = 5
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59901	38339	0.00036712	0.04074626	0.35295207	0.04056590	0.35236468	0.61089593	0.61087547	0.34620659	0.34611850	0.61106898	0.61121755	0.34622853	0.34633133	59901	38337	0
59901	38342	0.00106049	0.04053073	0.35299622	0.04084568	0.35188682	0.61102338	0.61103233	0.34627167	0.34623954	0.61099749	0.61079568	0.34612927	0.34612491	59901	38340	0
59901	38345	0.00084423	0.04065507	0.35256931	0.04066007	0.35291533	0.61100859	0.61096610	0.34615523	0.34614315	0.61103965	0.61110169	0.34617684	0.34613452	59901	38344	0
59901	38348	0.00007889	0.04079044	0.35163126	0.04089019	0.35285582	0.61098295	0.61097251	0.34612680	0.34609475	0.61086133	0.61077316	0.34604718	0.34594504	59901	38347	0
59901	38352	0.00105959	0.04076405	0.35215711	0.04106175	0.35058799	0.61090571	0.61086174	0.34595556	0.34598136	0.61087144	0.61068721	0.34581636	0.34584996	59901	38350	0
59901	39041	0.00112052	0.04075274	0.35312808	0.04067192	0.35303060	0.61057883	0.61062394	0.34574035	0.34578291	0.61060989	0.61056141	0.34587314	0.34576993	59901	39040	0
59901	39044	0.00096827	0.04066560	0.35291476	0.04067551	0.35315836	0.61067102	0.61061260	0.34587930	0.34588957	0.61066922	0.61054571	0.34583665	0.34574889	59901	39043	0
59901	39048	0.00035199	0.04072400	0.35234420	0.04082246	0.35333024	0.61058992	0.61049066	0.34580674	0.34574216	0.61065944	0.61052722	0.34571389	0.34573377	59901	39046	0
59901	39051	0.00063578	0.04073608	0.35266677	0.04076953	0.35221271	0.61061211	0.61067209	0.34572613	0.34576500	0.61073495	0.61049205	0.34587174	0.34576508	59901	39049	0
59901	39054	0.00090958	0.04054453	0.35273335	0.04076760	0.35229527	0.61053100	0.61061153	0.34580403	0.34572235	0.61067784	0.61062805	0.34580567	0.34574857	59901	39053	0
59901	39744	0.00143613	0.04051614	0.35401020	0.04066330	0.35316772	0.60953246	0.60951183	0.34409651	0.34404351	0.60955776	0.60950624	0.34412083	0.34397982	59901	39742	0
59901	39747	0.00084984	0.04074663	0.35538346	0.04058275	0.35632153	0.60951972	0.60950789	0.34411015	0.34410061	0.60944018	0.60942571	0.34408229	0.34396158	59901	39745	0
59901	39750	0.00157511	0.04056254	0.35412749	0.04091490	0.35296704	0.60953722	0.60955029	0.34414597	0.34402691	0.60971545	0.60940608	0.34415666	0.34401680	59901	39749	0
59901	39754	0.00009969	0.04084881	0.35272314	0.04062068	0.35508382	0.60947551	0.60966040	0.34399001	0.34399848	0.60962490	0.60960164	0.34403151	0.34405033	59901	39752	0
59901	39757	-0.00127186	0.04076084	0.35269338	0.04072881	0.35488786	0.60952917	0.60952785	0.34404170	0.34401606	0.60956664	0.60948332	0.34393570	0.34387234	59901	39755	0
59901	40446	0.00048362	0.04063679	0.35562151	0.04093405	0.35281274	0.61151673	0.61146020	0.34581693	0.34575530	0.61147022	0.61135650	0.34588908	0.34579516	59901	40445	0
59901	40450	0.00045627	0.04100539	0.35160800	0.04104463	0.35165176	0.61145880	0.61151304	0.34584265	0.34574511	0.61158338	0.61148649	0.34580436	0.34581636	59901	40448	0
59901	40453	-0.00007631	0.04117135	0.35214990	0.04115783	0.35300204	0.61144286	0.61157236	0.34577667	0.34573303	0.61153859	0.61148452	0.34577100	0.34575465	59901	40451	0
59901	40456	0.00112926	0.04123725	0.35469965	0.04113732	0.35277073	0.61147705	0.61143144	0.34583608	0.34580674	0.61152076	0.61160564	0.34575111	0.34587955	59901	40454	0
59901	40459	0.00135606	0.04107989	0.35213784	0.04110865	0.35177496	0.61151435	0.61141123	0.34581496	0.34577420	0.61155470	0.61151928	0.34590297	0.34571570	59901	40458	0
