% File initiated 19/11/2022 12:37:28 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pi/2 3pi/2 5pi/2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59902.526026
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59902	45467	0.00029586	0.00777548	0.48222506	0.00780732	0.48133746	0.60318265	0.60247762	0.33819667	0.33836373	0.60322234	0.60234803	0.33817810	0.33824351	59902	45466	0
59902	45471	-0.00033028	0.00780798	0.48137775	0.00772823	0.48325618	0.60310960	0.60232092	0.33815263	0.33816725	0.60315718	0.60246307	0.33812584	0.33822362	59902	45469	0
59902	45474	0.00051131	0.00777598	0.48409746	0.00778062	0.48157271	0.60311469	0.60227572	0.33809215	0.33815863	0.60298002	0.60214154	0.33807423	0.33804375	59902	45472	0
59902	45477	-0.00111148	0.00779605	0.47680646	0.00777626	0.48167481	0.60299062	0.60221705	0.33801129	0.33809552	0.60300689	0.60214178	0.33802830	0.33807621	59902	45475	0
59902	45480	0.00069365	0.00777902	0.48244523	0.00782308	0.47702985	0.60328512	0.60215978	0.33824063	0.33804539	0.60303417	0.60218435	0.33801967	0.33802025	59902	45479	0
59902	45484	0.00142886	0.00774744	0.48199123	0.00778567	0.47978559	0.60304559	0.60216660	0.33804260	0.33806372	0.60297032	0.60215666	0.33797555	0.33801877	59902	45482	0
59902	45487	0.00029685	0.00774684	0.48003196	0.00781380	0.48342799	0.60296876	0.60214491	0.33787793	0.33796634	0.60288042	0.60220210	0.33794876	0.33792312	59902	45485	0
59902	45490	0.00024333	0.00775581	0.48212445	0.00774716	0.48228502	0.60299209	0.60215608	0.33789789	0.33792789	0.60293548	0.60213866	0.33786429	0.33789724	59902	45489	0
59902	45493	-0.00014284	0.00781335	0.47916184	0.00782570	0.48032034	0.60298100	0.60220686	0.33792501	0.33793906	0.60301387	0.60209117	0.33792567	0.33789789	59902	45492	0
59902	45497	0.00099196	0.00778621	0.48253745	0.00774760	0.47913306	0.60288765	0.60200973	0.33781687	0.33783996	0.60276136	0.60199223	0.33779650	0.33780110	59902	45495	0
59902	45500	0.00007420	0.00782723	0.48032209	0.00778976	0.48307537	0.60281107	0.60187440	0.33770849	0.33769542	0.60269554	0.60193479	0.33761292	0.33773980	59902	45498	0
59902	45503	0.00033698	0.00779271	0.48022374	0.00775354	0.47943540	0.60277985	0.60191910	0.33780562	0.33781811	0.60262282	0.60185073	0.33769904	0.33767989	59902	45502	0
59902	45506	0.00013236	0.00780837	0.48086830	0.00786105	0.48148216	0.60277615	0.60197169	0.33761564	0.33775196	0.60286103	0.60207284	0.33768614	0.33771367	59902	45505	0
59902	45510	0.00000605	0.00776004	0.48105115	0.00780424	0.48143011	0.60269800	0.60187514	0.33764891	0.33767620	0.60271871	0.60181581	0.33763988	0.33753231	59902	45508	0
59902	45513	0.00038250	0.00778875	0.48004089	0.00780204	0.47891151	0.60256102	0.60180053	0.33751900	0.33753125	0.60251657	0.60171737	0.33751037	0.33747964	59902	45511	0
59902	45516	0.00027060	0.00780014	0.48070778	0.00782782	0.48104349	0.60260088	0.60184178	0.33749829	0.33763330	0.60254574	0.60173405	0.33758203	0.33761342	59902	45515	0
59902	45520	0.00073003	0.00777077	0.48159609	0.00777616	0.48021779	0.60256341	0.60182748	0.33749295	0.33760923	0.60254048	0.60177563	0.33751637	0.33752434	59902	45518	0
59902	45523	0.00066314	0.00776855	0.48076580	0.00779598	0.48096649	0.60261657	0.60178278	0.33750002	0.33754464	0.60264714	0.60165640	0.33746756	0.33747685	59902	45521	0
59902	45526	0.00011045	0.00779859	0.48057415	0.00781016	0.48223221	0.60258444	0.60180628	0.33744924	0.33750511	0.60253728	0.60175525	0.33745105	0.33746189	59902	45524	0
59902	45529	0.00008605	0.00780553	0.48059814	0.00783253	0.48067133	0.60242297	0.60160175	0.33739443	0.33741744	0.60239553	0.60150109	0.33734537	0.33734833	59902	45528	0
59902	45533	-0.00057580	0.00778006	0.48145541	0.00787619	0.48344094	0.60239816	0.60163676	0.33737224	0.33737035	0.60237893	0.60167653	0.33726805	0.33740832	59902	45531	0
59902	45536	0.00050944	0.00782315	0.48316797	0.00777127	0.47991225	0.60249216	0.60170208	0.33729771	0.33734735	0.60246118	0.60152328	0.33735203	0.33737323	59902	45534	0
59902	45539	0.00005338	0.00779662	0.48249899	0.00779741	0.48386717	0.60239652	0.60166733	0.33733642	0.33736608	0.60254311	0.60168935	0.33733502	0.33738473	59902	45538	0
59902	45542	0.00010819	0.00779002	0.48180907	0.00775918	0.48164464	0.60246201	0.60167710	0.33734258	0.33736115	0.60234031	0.60160085	0.33735195	0.33734644	59902	45541	0
59902	45546	0.00138090	0.00777192	0.48392907	0.00767729	0.48011094	0.60226940	0.60147455	0.33730264	0.33730708	0.60225362	0.60163084	0.33724381	0.33736674	59902	45544	0
59902	45549	-0.00028070	0.00781565	0.47836765	0.00776699	0.48335245	0.60225682	0.60144226	0.33715449	0.33723009	0.60239495	0.60156527	0.33720305	0.33720198	59902	45547	0
59902	45552	-0.00014304	0.00777701	0.48283334	0.00777698	0.48242036	0.60237762	0.60147940	0.33726312	0.33730889	0.60208698	0.60138934	0.33713107	0.33718136	59902	45551	0
59902	45555	0.00121205	0.00774162	0.48418270	0.00777674	0.48011742	0.60215288	0.60136222	0.33704964	0.33708818	0.60232084	0.60156116	0.33716090	0.33719286	59902	45554	0
59902	45559	0.00103987	0.00780108	0.48333987	0.00780871	0.48385641	0.60232297	0.60159140	0.33719623	0.33722696	0.60223382	0.60150232	0.33712450	0.33715704	59902	45557	0
59902	45562	0.00055012	0.00779315	0.48211984	0.00781491	0.48358911	0.60233702	0.60147135	0.33717856	0.33712943	0.60230366	0.60148318	0.33709459	0.33715786	59902	45560	0
