% File initiated 21/11/2022 12:39:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pi/2 3pi/2 5pi/2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59904.527597
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59904	45832	0.00037029	0.00785860	0.43691033	0.00793145	0.43631785	0.59863396	0.59799935	0.33268066	0.33290071	0.59878442	0.59797380	0.33282479	0.33296793	59904	45830	0
59904	45835	0.00045985	0.00787466	0.43806793	0.00790001	0.43792465	0.59876199	0.59816074	0.33283128	0.33292397	0.59877291	0.59791874	0.33283982	0.33295544	59904	45833	0
59904	45838	-0.00022962	0.00793648	0.43739357	0.00792836	0.43849671	0.59859830	0.59784733	0.33269011	0.33298280	0.59873939	0.59809130	0.33281279	0.33303925	59904	45837	0
59904	45842	-0.00109732	0.00785511	0.43831836	0.00785025	0.43970669	0.59881803	0.59801562	0.33287713	0.33305676	0.59914984	0.59825326	0.33315150	0.33330245	59904	45840	0
59904	45845	-0.00075005	0.00793329	0.43825509	0.00790000	0.43769946	0.59889198	0.59809845	0.33306103	0.33306629	0.59883783	0.59819623	0.33298379	0.33316892	59904	45843	0
59904	45848	0.00058498	0.00788819	0.44018903	0.00792386	0.43805300	0.59875763	0.59832171	0.33294714	0.33332513	0.59883742	0.59808333	0.33305273	0.33306037	59904	45846	0
59904	45851	0.00087373	0.00799898	0.43803052	0.00783868	0.43756851	0.59871194	0.59805441	0.33295092	0.33315388	0.59875730	0.59803658	0.33293334	0.33312718	59904	45850	0
59904	45855	-0.00094103	0.00785245	0.43791427	0.00797495	0.44081788	0.59876946	0.59816961	0.33299357	0.33311641	0.59886273	0.59818826	0.33297007	0.33319596	59904	45853	0
59904	45858	0.00002789	0.00791269	0.43862894	0.00782004	0.43707867	0.59878532	0.59800880	0.33289956	0.33312915	0.59876116	0.59812795	0.33298740	0.33308124	59904	45856	0
59904	45861	0.00079130	0.00783953	0.43993952	0.00788419	0.43871806	0.59872148	0.59812055	0.33293498	0.33309069	0.59877850	0.59808974	0.33298831	0.33312430	59904	45859	0
