% File initiated 21/11/2022 13:06:53 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pi/2 3pi/2 5pi/2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59904.546454
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59904	47902	0.00014913	0.04710153	0.48472447	0.04718969	0.48427707	0.59891581	0.59900102	0.33171942	0.33158030	0.59873684	0.59889864	0.33197250	0.33169616	59904	47900	0
59904	47905	-0.00042242	0.04713517	0.48344416	0.04733601	0.48515881	0.59884440	0.59891573	0.33188639	0.33151966	0.59871539	0.59885320	0.33192756	0.33153198	59904	47903	0
59904	47908	0.00115307	0.04736262	0.48694616	0.04763686	0.48221969	0.59895953	0.59884219	0.33166165	0.33151612	0.59899856	0.59906479	0.33162771	0.33158860	59904	47906	0
59904	47911	0.00082498	0.04772106	0.48427031	0.04763467	0.48525459	0.59900579	0.59899009	0.33173240	0.33161070	0.59871466	0.59891483	0.33193462	0.33151029	59904	47910	0
59904	47915	0.00083124	0.04776475	0.48470825	0.04787193	0.48468948	0.59879781	0.59878828	0.33157060	0.33153683	0.59883668	0.59883249	0.33175409	0.33152352	59904	47913	0
59904	48604	0.00021595	0.04742169	0.48611641	0.04720034	0.48796226	0.59999366	0.60005832	0.33196207	0.33190397	0.59992562	0.60002817	0.33229782	0.33191005	59904	48603	0
59904	48607	0.00051604	0.04739155	0.48628655	0.04738671	0.48538628	0.60005693	0.60011954	0.33211934	0.33200085	0.60024658	0.60017271	0.33235781	0.33209519	59904	48606	0
59904	48611	0.00030977	0.04765358	0.48647317	0.04783641	0.48709198	0.60015898	0.60021774	0.33231894	0.33206832	0.60004600	0.60008577	0.33231894	0.33194465	59904	48609	0
59904	48614	0.00016960	0.04764791	0.48660987	0.04759334	0.48703040	0.60005372	0.60010212	0.33216150	0.33188992	0.60002447	0.60008183	0.33205887	0.33195196	59904	48612	0
59904	48617	-0.00016040	0.04773768	0.48524372	0.04782441	0.48623370	0.59985043	0.60008996	0.33228196	0.33197612	0.59989415	0.59999316	0.33229749	0.33195853	59904	48616	0
59904	49307	-0.00063260	0.04701697	0.48440467	0.04709156	0.48582127	0.60180217	0.60194679	0.33389688	0.33346679	0.60200415	0.60188393	0.33356137	0.33349054	59904	49305	0
59904	49310	0.00081363	0.04712648	0.48651884	0.04731939	0.48218017	0.60180422	0.60191055	0.33392704	0.33345348	0.60211360	0.60205706	0.33363212	0.33360016	59904	49308	0
59904	49313	0.00010561	0.04739950	0.48322409	0.04755241	0.48534814	0.60190045	0.60192230	0.33380288	0.33347616	0.60189149	0.60203701	0.33389113	0.33355110	59904	49312	0
59904	49317	-0.00077738	0.04752193	0.48521995	0.04782315	0.48786892	0.60207046	0.60202641	0.33359178	0.33346408	0.60183931	0.60192189	0.33382169	0.33343360	59904	49315	0
59904	49320	-0.00022887	0.04794517	0.48496113	0.04788912	0.48331562	0.60180554	0.60191795	0.33366055	0.33338783	0.60175911	0.60180348	0.33373245	0.33338816	59904	49318	0
59904	50009	-0.00040758	0.04709265	0.48462806	0.04704688	0.48516419	0.60296991	0.60294197	0.33420626	0.33412433	0.60284813	0.60290080	0.33448194	0.33406451	59904	50008	0
59904	50013	0.00027834	0.04732790	0.48627755	0.04733702	0.48421977	0.60312225	0.60293786	0.33414068	0.33409376	0.60286161	0.60315488	0.33448243	0.33413214	59904	50011	0
59904	50016	0.00109890	0.04755218	0.48624626	0.04753520	0.48378460	0.60289102	0.60303811	0.33453831	0.33405120	0.60307131	0.60306958	0.33406706	0.33402367	59904	50014	0
59904	50019	-0.00012514	0.04776430	0.48307827	0.04783001	0.48675040	0.60308043	0.60302250	0.33430700	0.33411159	0.60286703	0.60294345	0.33446140	0.33401266	59904	50018	0
