% File initiated 21/11/2022 13:06:53 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pi/2 3pi/2 5pi/2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59904.546454
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59904	47673	-0.00081346	0.04680092	0.50107880	0.04687080	0.50303111	0.59883923	0.59883348	0.33239643	0.33229799	0.59887974	0.59887226	0.33238550	0.33228418	59904	47671	0
59904	47676	0.00047443	0.04676317	0.50333252	0.04682726	0.50024159	0.59888730	0.59889831	0.33245288	0.33229182	0.59895797	0.59886158	0.33241623	0.33225115	59904	47675	0
59904	47680	0.00005912	0.04683164	0.50225786	0.04677038	0.50325460	0.59889017	0.59883487	0.33237243	0.33232420	0.59874424	0.59875673	0.33250662	0.33224885	59904	47678	0
59904	47683	-0.00034447	0.04675548	0.50071605	0.04684210	0.50168467	0.59886478	0.59892049	0.33229988	0.33232962	0.59883348	0.59884013	0.33228780	0.33228434	59904	47681	0
59904	47686	0.00147190	0.04691430	0.50233270	0.04646450	0.49797342	0.59874448	0.59877291	0.33249824	0.33222674	0.59877546	0.59874415	0.33241155	0.33215681	59904	47684	0
59904	48376	0.00122126	0.04716635	0.50211320	0.04733297	0.50271472	0.59952084	0.59949430	0.33163494	0.33161941	0.59956308	0.59960194	0.33182106	0.33168260	59904	48374	0
59904	48379	-0.00064071	0.04735209	0.49991010	0.04649625	0.50437883	0.59966883	0.59956513	0.33176371	0.33174053	0.59959447	0.59958559	0.33180183	0.33167628	59904	48377	0
59904	48382	0.00048351	0.04733210	0.50456024	0.04734086	0.50186213	0.59962553	0.59960679	0.33199518	0.33163839	0.59965166	0.59960934	0.33174538	0.33167800	59904	48381	0
59904	48385	-0.00071902	0.04737896	0.50262450	0.04750157	0.50551056	0.59967327	0.59966152	0.33199724	0.33167291	0.59942799	0.59947458	0.33192402	0.33172254	59904	48384	0
59904	48389	-0.00123125	0.04747882	0.50162754	0.04729413	0.50285689	0.59965470	0.59963506	0.33195163	0.33172788	0.59965363	0.59960556	0.33205755	0.33174029	59904	48387	0
59904	49078	0.00159528	0.04742450	0.50928418	0.04735778	0.50250051	0.60070888	0.60074881	0.33245000	0.33241138	0.60070879	0.60063468	0.33266414	0.33234984	59904	49077	0
59904	49082	-0.00081629	0.04738093	0.50149715	0.04721593	0.50728492	0.60074298	0.60076755	0.33252387	0.33244179	0.60069992	0.60079286	0.33263653	0.33241672	59904	49080	0
