% File initiated 21/11/2022 13:06:53 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pi/2 3pi/2 5pi/2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59904.546454
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59904	47216	0.00083334	0.04597558	0.48627502	0.04592724	0.48377499	0.60026277	0.60029892	0.33454341	0.33440593	0.60024091	0.60016318	0.33440207	0.33425178	59904	47214	0
59904	47219	0.00129075	0.04589743	0.48545839	0.04617653	0.48408616	0.60007952	0.59998190	0.33429697	0.33418308	0.59971928	0.59977237	0.33411266	0.33391249	59904	47218	0
59904	47222	-0.00014522	0.04617373	0.48184178	0.04640259	0.48614969	0.59956119	0.59955946	0.33401866	0.33373993	0.59945132	0.59934598	0.33363483	0.33358257	59904	47221	0
59904	47226	0.00012380	0.04647328	0.48335548	0.04655966	0.48254844	0.59920489	0.59929561	0.33386483	0.33350771	0.59926208	0.59926315	0.33352045	0.33340968	59904	47224	0
59904	47229	0.00071586	0.04668352	0.48570210	0.04681724	0.48392589	0.59916594	0.59920078	0.33356154	0.33335463	0.59899379	0.59911688	0.33350689	0.33319300	59904	47227	0
59904	47919	0.00039848	0.04799490	0.48551555	0.04798732	0.48646769	0.59877234	0.59885122	0.33183150	0.33151875	0.59874235	0.59894786	0.33186141	0.33156592	59904	47917	0
59904	47922	0.00078799	0.04786531	0.48495435	0.04793115	0.48378583	0.59884416	0.59909848	0.33193429	0.33165828	0.59898960	0.59904597	0.33172007	0.33159846	59904	47920	0
59904	47925	-0.00081080	0.04779251	0.48167393	0.04778877	0.48647031	0.59898434	0.59902313	0.33177603	0.33159805	0.59896487	0.59915633	0.33178392	0.33158950	59904	47923	0
59904	47928	0.00032494	0.04770572	0.48629928	0.04774835	0.48289206	0.59908015	0.59912436	0.33186700	0.33165014	0.59908295	0.59910694	0.33175204	0.33165351	59904	47927	0
59904	47932	-0.00024620	0.04753369	0.48469324	0.04749789	0.48640666	0.59886396	0.59910407	0.33195549	0.33155902	0.59903143	0.59905246	0.33178195	0.33161382	59904	47930	0
59904	48621	0.00077679	0.04812446	0.48732086	0.04814073	0.48425190	0.60007994	0.60005339	0.33196075	0.33197620	0.60017509	0.60013170	0.33204219	0.33206322	59904	48620	0
59904	48624	0.00039928	0.04791142	0.48542136	0.04791808	0.48655388	0.60000902	0.60012135	0.33223348	0.33197522	0.59992644	0.60012094	0.33223669	0.33200439	59904	48623	0
59904	48628	0.00031678	0.04773338	0.48483550	0.04785990	0.48508299	0.59998264	0.60011404	0.33204095	0.33192287	0.59994698	0.60003236	0.33231089	0.33195821	59904	48626	0
59904	48631	0.00047460	0.04756141	0.48563636	0.04761160	0.48516291	0.59965445	0.59991789	0.33219831	0.33191359	0.60005446	0.59999267	0.33196388	0.33189732	59904	48629	0
59904	48634	-0.00045665	0.04732025	0.48309723	0.04736877	0.48589100	0.59972331	0.59995019	0.33214975	0.33183569	0.59982668	0.59997623	0.33231278	0.33188064	59904	48633	0
59904	49324	-0.00040586	0.04795353	0.48445438	0.04809013	0.48430201	0.60192690	0.60195525	0.33357140	0.33345636	0.60189379	0.60187719	0.33370698	0.33346441	59904	49322	0
59904	49327	0.00088255	0.04794124	0.48570286	0.04795053	0.48183763	0.60172361	0.60190324	0.33376902	0.33340952	0.60179822	0.60186519	0.33385514	0.33347665	59904	49325	0
59904	49330	0.00032685	0.04775536	0.48274842	0.04779050	0.48441552	0.60189248	0.60190423	0.33359736	0.33342300	0.60173323	0.60192099	0.33372991	0.33341355	59904	49329	0
59904	49334	0.00053516	0.04772179	0.48683812	0.04750409	0.48621318	0.60186298	0.60199125	0.33364815	0.33342324	0.60192600	0.60183775	0.33342398	0.33334806	59904	49332	0
59904	49337	0.00075140	0.04739219	0.48531418	0.04741304	0.48466545	0.60173076	0.60186634	0.33371643	0.33333581	0.60181770	0.60188541	0.33372859	0.33329390	59904	49335	0
59904	50026	0.00076464	0.04810021	0.48443721	0.04801698	0.48439751	0.60278206	0.60274805	0.33409245	0.33395391	0.60284377	0.60286769	0.33436542	0.33392170	59904	50025	0
59904	50030	0.00072589	0.04811125	0.48527477	0.04780875	0.48539102	0.60305241	0.60308035	0.33409467	0.33409623	0.60274854	0.60285758	0.33434504	0.33400987	59904	50028	0
59904	50033	0.00039907	0.04769667	0.48337699	0.04763334	0.48435748	0.60275470	0.60281567	0.33418029	0.33394281	0.60290113	0.60286284	0.33412663	0.33395465	59904	50031	0
59904	50036	-0.00007485	0.04755030	0.48326465	0.04754990	0.48468640	0.60271682	0.60291502	0.33444998	0.33403493	0.60273703	0.60293236	0.33440593	0.33400732	59904	50034	0
59904	50039	-0.00050096	0.04751924	0.48595282	0.04750855	0.48723114	0.60279833	0.60287640	0.33446682	0.33400863	0.60278905	0.60290056	0.33431973	0.33391644	59904	50038	0
59904	50729	-0.00019451	0.04822761	0.48556670	0.04823880	0.48464736	0.60408276	0.60411973	0.33494596	0.33459476	0.60412524	0.60415482	0.33481038	0.33468630	59904	50727	0
59904	50732	-0.00007243	0.04819564	0.48656438	0.04805552	0.48619812	0.60394487	0.60413715	0.33504219	0.33470734	0.60372317	0.60402047	0.33502920	0.33463478	59904	50731	0
59904	50735	0.00080787	0.04793062	0.48725594	0.04775737	0.48461503	0.60405663	0.60392154	0.33471342	0.33463338	0.60398851	0.60386845	0.33459180	0.33459673	59904	50734	0
59904	50739	0.00015849	0.04774799	0.48454163	0.04763816	0.48648977	0.60402064	0.60393090	0.33461325	0.33460479	0.60373920	0.60395745	0.33483372	0.33457857	59904	50737	0
59904	50742	0.00003385	0.04764069	0.48554008	0.04753349	0.48591399	0.60397125	0.60391209	0.33460692	0.33451925	0.60381545	0.60386944	0.33497078	0.33447726	59904	50740	0
59904	51431	0.00058326	0.04802429	0.48644728	0.04820501	0.48479905	0.60431087	0.60447776	0.33536487	0.33496708	0.60466116	0.60472764	0.33513553	0.33504482	59904	51430	0
59904	51435	-0.00029762	0.04801358	0.48435105	0.04777961	0.48699370	0.60451761	0.60455713	0.33505197	0.33498721	0.60431629	0.60456371	0.33553218	0.33508278	59904	51433	0
59904	51438	0.00051823	0.04775584	0.48710788	0.04775673	0.48466032	0.60461268	0.60455582	0.33505533	0.33504383	0.60447299	0.60452114	0.33539314	0.33503956	59904	51436	0
59904	51441	-0.00023375	0.04752760	0.48604811	0.04747885	0.48830404	0.60452542	0.60460142	0.33517457	0.33510883	0.60456247	0.60459214	0.33528048	0.33514515	59904	51440	0
59904	51445	0.00000638	0.04735314	0.48545755	0.04747052	0.48473716	0.60462871	0.60455114	0.33535222	0.33508475	0.60452887	0.60459715	0.33526873	0.33510464	59904	51443	0
59904	52134	0.00028454	0.04783712	0.48485093	0.04805522	0.48401646	0.60505460	0.60514425	0.33570482	0.33546775	0.60522880	0.60522305	0.33568822	0.33556069	59904	52132	0
59904	52137	0.00016836	0.04805364	0.48567067	0.04783008	0.48601920	0.60541895	0.60534730	0.33564229	0.33556685	0.60509495	0.60526192	0.33584188	0.33554664	59904	52136	0
59904	52141	-0.00014105	0.04775000	0.48519593	0.04772512	0.48612417	0.60529093	0.60537310	0.33612743	0.33572429	0.60533119	0.60551304	0.33622899	0.33579948	59904	52139	0
59904	52144	-0.00048731	0.04764160	0.48607083	0.04750115	0.48710961	0.60527145	0.60536209	0.33601493	0.33574426	0.60527466	0.60530703	0.33620664	0.33576546	59904	52142	0
59904	52147	0.00024414	0.04740243	0.48709858	0.04702833	0.48490421	0.60546036	0.60540095	0.33610540	0.33577935	0.60550950	0.60552553	0.33592175	0.33593572	59904	52145	0
59904	52837	0.00000494	0.04760563	0.48614847	0.04783042	0.48686609	0.60602159	0.60604362	0.33653557	0.33649071	0.60628175	0.60631314	0.33672876	0.33669490	59904	52835	0
59904	52840	0.00184430	0.04788648	0.48881420	0.04769491	0.48329609	0.60616876	0.60627542	0.33696319	0.33662621	0.60633048	0.60618101	0.33674864	0.33657682	59904	52838	0
59904	52843	0.00000589	0.04744834	0.48338254	0.04752658	0.48889779	0.60610114	0.60631215	0.33694150	0.33662498	0.60609185	0.60630632	0.33695415	0.33676376	59904	52842	0
59904	52846	0.00048668	0.04747967	0.48771211	0.04725737	0.48626973	0.60624699	0.60631314	0.33684207	0.33668373	0.60630131	0.60627781	0.33677823	0.33668989	59904	52845	0
59904	52850	0.00014434	0.04743394	0.48410428	0.04736768	0.48513130	0.60620853	0.60631248	0.33715038	0.33669063	0.60625570	0.60623730	0.33673500	0.33665423	59904	52848	0
59904	53539	-0.00056077	0.04789084	0.48499881	0.04796328	0.48711416	0.60651191	0.60657338	0.33704668	0.33691430	0.60638701	0.60636787	0.33694166	0.33682786	59904	53538	0
59904	53542	0.00136188	0.04787745	0.48818485	0.04784559	0.48241689	0.60632579	0.60652555	0.33729903	0.33684750	0.60648110	0.60658143	0.33730946	0.33691693	59904	53541	0
59904	53546	0.00013025	0.04770146	0.48422529	0.04756466	0.48792020	0.60646121	0.60664708	0.33731867	0.33702392	0.60639819	0.60651052	0.33729533	0.33693542	59904	53544	0
59904	53549	0.00092548	0.04751010	0.48869372	0.04726425	0.48630803	0.60645809	0.60670329	0.33711973	0.33704635	0.60644848	0.60657864	0.33729221	0.33688168	59904	53547	0
59904	53552	-0.00051182	0.04729802	0.48418880	0.04721593	0.48850069	0.60659901	0.60661003	0.33688702	0.33689261	0.60646023	0.60655062	0.33732771	0.33688686	59904	53551	0
59904	54242	0.00050102	0.04739812	0.48864565	0.04765498	0.48560714	0.60605882	0.60607780	0.33654141	0.33645850	0.60614115	0.60602044	0.33657493	0.33652226	59904	54240	0
59904	54245	0.00052102	0.04748631	0.48544372	0.04749885	0.48538369	0.60610426	0.60616309	0.33668340	0.33652826	0.60606153	0.60612373	0.33677979	0.33656959	59904	54243	0
59904	54248	0.00029846	0.04730807	0.48756860	0.04729145	0.48823629	0.60627329	0.60632563	0.33667387	0.33663722	0.60629251	0.60630509	0.33668291	0.33660805	59904	54247	0
59904	54252	0.00058618	0.04737148	0.48701077	0.04715090	0.48614762	0.60622365	0.60634527	0.33673624	0.33663327	0.60621388	0.60625332	0.33691299	0.33663927	59904	54250	0
59904	54255	-0.00014708	0.04718267	0.48499947	0.04737733	0.48719924	0.60633615	0.60631445	0.33672753	0.33663796	0.60617197	0.60628257	0.33691652	0.33662613	59904	54253	0
59904	54944	0.00026252	0.04778189	0.48739361	0.04774059	0.48616481	0.60591543	0.60601675	0.33666910	0.33630467	0.60597632	0.60608947	0.33675020	0.33642333	59904	54943	0
59904	54948	-0.00012236	0.04786758	0.48598528	0.04762771	0.48713993	0.60613647	0.60607879	0.33647592	0.33644042	0.60596021	0.60588511	0.33638388	0.33629793	59904	54946	0
59904	54951	0.00016508	0.04748808	0.48739860	0.04731638	0.48653627	0.60588790	0.60592734	0.33652316	0.33625019	0.60607920	0.60595430	0.33626621	0.33625849	59904	54949	0
59904	54954	0.00027592	0.04733188	0.48721275	0.04753957	0.48688022	0.60579809	0.60580064	0.33642974	0.33612044	0.60581124	0.60580795	0.33621634	0.33603991	59904	54952	0
59904	54957	0.00050780	0.04734049	0.48625430	0.04729474	0.48555867	0.60576612	0.60581493	0.33643179	0.33610138	0.60565552	0.60585396	0.33650114	0.33603400	59904	54956	0
59904	55647	-0.00005651	0.04808863	0.48472043	0.04819570	0.48641337	0.60540104	0.60542182	0.33563251	0.33515591	0.60531944	0.60549093	0.33559422	0.33518886	59904	55645	0
59904	55650	-0.00061272	0.04817960	0.48579726	0.04833932	0.48746588	0.60568173	0.60553941	0.33531081	0.33521475	0.60545198	0.60566094	0.33523644	0.33531015	59904	55649	0
59904	55653	0.00060899	0.04791955	0.48809495	0.04773702	0.48442980	0.60558806	0.60566826	0.33533431	0.33527523	0.60564476	0.60553621	0.33543053	0.33514934	59904	55652	0
59904	55657	0.00047312	0.04775347	0.48754679	0.04752581	0.48795441	0.60540210	0.60542043	0.33540013	0.33514827	0.60547055	0.60557902	0.33557466	0.33511310	59904	55655	0
59904	55660	-0.00043452	0.04742291	0.48645437	0.04736754	0.48917728	0.60532741	0.60538411	0.33525049	0.33507793	0.60529816	0.60535050	0.33541196	0.33511622	59904	55658	0
59904	56349	0.00048798	0.04799421	0.48682846	0.04784256	0.48406097	0.60555092	0.60557179	0.33552897	0.33546373	0.60554607	0.60557738	0.33595248	0.33560671	59904	56348	0
59904	56353	0.00020759	0.04798015	0.48585958	0.04790790	0.48670076	0.60578141	0.60573243	0.33580712	0.33564730	0.60567639	0.60567902	0.33585741	0.33549364	59904	56351	0
59904	56356	0.00024419	0.04769425	0.48642699	0.04736169	0.48631718	0.60564813	0.60565955	0.33584451	0.33571049	0.60553103	0.60563062	0.33603786	0.33565231	59904	56354	0
