% File initiated 24/11/2022 07:08:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pio2 3pio2 5pio2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59907.297738
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59907	26200	-0.00058836	0.00855358	0.50518478	0.00858362	0.50659685	0.60325808	0.60241500	0.33803348	0.33818689	0.60312414	0.60242790	0.33799256	0.33812132	59907	26199	0
59907	26204	-0.00111826	0.00859617	0.50447485	0.00859415	0.50574661	0.60312201	0.60251862	0.33794843	0.33818681	0.60302422	0.60226332	0.33793117	0.33807448	59907	26202	0
59907	26207	0.00059580	0.00855097	0.50853416	0.00853957	0.50442041	0.60292882	0.60227071	0.33790800	0.33796930	0.60302546	0.60226003	0.33795246	0.33810234	59907	26205	0
59907	26210	-0.00036789	0.00861325	0.50288766	0.00851918	0.50520051	0.60289472	0.60226463	0.33789806	0.33803027	0.60299924	0.60224220	0.33788697	0.33803701	59907	26208	0
59907	26213	0.00158487	0.00861804	0.50664487	0.00851255	0.50195826	0.60303408	0.60225608	0.33782452	0.33795295	0.60297500	0.60233850	0.33783446	0.33803463	59907	26212	0
59907	26217	0.00015957	0.00859470	0.50341572	0.00856721	0.50683642	0.60308947	0.60240071	0.33790710	0.33806643	0.60285199	0.60209141	0.33781564	0.33801236	59907	26215	0
59907	26220	0.00026681	0.00853199	0.50502839	0.00855650	0.50477103	0.60277344	0.60213225	0.33784013	0.33800094	0.60282331	0.60225543	0.33782221	0.33792074	59907	26218	0
59907	26223	0.00131785	0.00858626	0.50739010	0.00860957	0.50486760	0.60286226	0.60210464	0.33776453	0.33793750	0.60299242	0.60234516	0.33787300	0.33799256	59907	26222	0
59907	26226	0.00001579	0.00856441	0.50400807	0.00851808	0.50713303	0.60294090	0.60209133	0.33775114	0.33785558	0.60289973	0.60212395	0.33774695	0.33790784	59907	26225	0
59907	26230	0.00041119	0.00852286	0.50524107	0.00859231	0.50429210	0.60281641	0.60214663	0.33768647	0.33792813	0.60289842	0.60229857	0.33779600	0.33794095	59907	26228	0
59907	26233	0.00029540	0.00860087	0.50565384	0.00857030	0.50593173	0.60301970	0.60228049	0.33783101	0.33794399	0.60272364	0.60210694	0.33762558	0.33779986	59907	26231	0
59907	26236	-0.00061863	0.00858816	0.50236890	0.00856524	0.50456258	0.60279036	0.60209355	0.33773889	0.33781605	0.60285306	0.60206479	0.33773092	0.33782460	59907	26235	0
59907	26239	0.00118291	0.00857721	0.50666884	0.00857635	0.50234514	0.60274139	0.60197580	0.33768310	0.33777094	0.60279759	0.60201951	0.33771679	0.33780011	59907	26238	0
59907	26243	-0.00031608	0.00856441	0.50380889	0.00859192	0.50740646	0.60294000	0.60212001	0.33771597	0.33789978	0.60300286	0.60219618	0.33776913	0.33783298	59907	26241	0
59907	26246	-0.00068082	0.00860069	0.50379397	0.00861327	0.50466936	0.60288765	0.60214104	0.33769493	0.33782879	0.60286202	0.60204441	0.33780471	0.33782912	59907	26244	0
59907	26249	0.00003121	0.00853545	0.50533731	0.00862668	0.50362842	0.60274772	0.60214762	0.33771761	0.33789420	0.60285881	0.60199996	0.33767784	0.33791170	59907	26248	0
59907	26253	0.00107045	0.00863918	0.50629647	0.00866785	0.50380231	0.60293268	0.60222223	0.33785221	0.33794046	0.60299686	0.60219618	0.33777554	0.33792961	59907	26251	0
59907	26256	0.00102113	0.00864083	0.50299104	0.00861214	0.50310939	0.60298002	0.60217901	0.33793364	0.33800340	0.60308215	0.60229881	0.33785295	0.33794687	59907	26254	0
59907	26259	0.00172130	0.00854256	0.50509355	0.00855449	0.50341314	0.60297410	0.60209371	0.33787472	0.33796059	0.60290401	0.60220119	0.33783125	0.33788261	59907	26257	0
59907	26262	-0.00076457	0.00855228	0.50063573	0.00857441	0.50660183	0.60277968	0.60197341	0.33778425	0.33783216	0.60289061	0.60206413	0.33777390	0.33787760	59907	26261	0
59907	26266	0.00098994	0.00857737	0.50503992	0.00854994	0.50082908	0.60307821	0.60226857	0.33791499	0.33795361	0.60293803	0.60225230	0.33777497	0.33796388	59907	26264	0
