% File initiated 24/11/2022 07:08:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pio2 3pio2 5pio2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59907.297738
%% clock_data = False
%% sequence = 11
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59907	26298	-0.00056827	0.04581710	0.45489322	0.04578004	0.45580244	0.60244376	0.60247228	0.33810365	0.33800340	0.60246275	0.60252815	0.33815493	0.33803923	59907	26297	0
59907	26301	0.00091157	0.04566683	0.45657101	0.04582516	0.45420326	0.60251443	0.60235568	0.33806783	0.33795352	0.60226857	0.60229051	0.33803759	0.33791975	59907	26300	0
59907	26305	0.00044333	0.04576345	0.45589635	0.04564367	0.45664554	0.60221919	0.60213357	0.33808032	0.33787957	0.60219322	0.60220464	0.33804268	0.33788401	59907	26303	0
59907	26308	-0.00098360	0.04566886	0.45477789	0.04542671	0.45706098	0.60237071	0.60237293	0.33816931	0.33793758	0.60231763	0.60232346	0.33804942	0.33800316	59907	26306	0
59907	26311	0.00107645	0.04585474	0.45745610	0.04574182	0.45416002	0.60248600	0.60241221	0.33824647	0.33805681	0.60230070	0.60231024	0.33814918	0.33801466	59907	26310	0
59907	27001	-0.00078511	0.04562604	0.45446049	0.04594878	0.45743899	0.60233390	0.60243070	0.33814712	0.33806413	0.60275076	0.60281748	0.33850613	0.33838977	59907	26999	0
59907	27004	-0.00057904	0.04574825	0.45522348	0.04558188	0.45489376	0.60253333	0.60248271	0.33828254	0.33815238	0.60246825	0.60239586	0.33819404	0.33812288	59907	27002	0
59907	27007	0.00013717	0.04592955	0.45750661	0.04573707	0.45636067	0.60260046	0.60258518	0.33828846	0.33823882	0.60266702	0.60264977	0.33833727	0.33828410	59907	27006	0
59907	27011	0.00046431	0.04572339	0.45483435	0.04593423	0.45431092	0.60275536	0.60269324	0.33842790	0.33827243	0.60283342	0.60264985	0.33840309	0.33830678	59907	27009	0
59907	27014	0.00119979	0.04591749	0.45621238	0.04584582	0.45503562	0.60261164	0.60254032	0.33837005	0.33817358	0.60259085	0.60255420	0.33828188	0.33819568	59907	27012	0
