% File initiated 24/11/2022 07:08:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pio2 3pio2 5pio2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59907.297738
%% clock_data = False
%% sequence = 13
%% density = --
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59907	26412	0.00082756	0.04585186	0.48767716	0.04558631	0.48519447	0.60277812	0.60276111	0.33814236	0.33814400	0.60271197	0.60275733	0.33824203	0.33823003	59907	26411	0
59907	26416	-0.00025913	0.04573139	0.48450265	0.04578199	0.48776274	0.60258387	0.60269061	0.33823488	0.33817144	0.60253234	0.60254048	0.33845362	0.33813364	59907	26414	0
59907	26419	0.00079548	0.04576780	0.48820177	0.04621358	0.48503793	0.60261608	0.60277689	0.33845346	0.33819026	0.60274385	0.60277960	0.33837465	0.33827317	59907	26417	0
59907	26422	-0.00019924	0.04607513	0.48631727	0.04655652	0.48930143	0.60260967	0.60278905	0.33822009	0.33825715	0.60270844	0.60282611	0.33846439	0.33836586	59907	26421	0
59907	26426	-0.00000713	0.04634792	0.48586979	0.04619697	0.48529345	0.60285511	0.60287911	0.33838501	0.33831171	0.60286769	0.60297147	0.33843078	0.33832321	59907	26424	0
59907	27115	0.00073777	0.04575279	0.48749049	0.04568376	0.48525580	0.60279061	0.60281740	0.33887360	0.33852002	0.60295315	0.60290203	0.33846554	0.33848008	59907	27113	0
59907	27118	-0.00014463	0.04550469	0.48691299	0.04596869	0.48956017	0.60290138	0.60301469	0.33871172	0.33853850	0.60305150	0.60300943	0.33867516	0.33865059	59907	27117	0
59907	27122	-0.00040301	0.04612299	0.48804267	0.04619167	0.48881781	0.60302225	0.60309711	0.33879858	0.33871279	0.60323886	0.60312225	0.33874977	0.33871460	59907	27120	0
59907	27125	0.00113732	0.04617838	0.48913951	0.04639414	0.48451851	0.60299045	0.60316055	0.33896185	0.33868370	0.60323171	0.60327025	0.33868444	0.33864138	59907	27123	0
59907	27128	0.00161644	0.04656531	0.48725278	0.04659514	0.48581542	0.60326967	0.60316071	0.33888239	0.33868222	0.60309621	0.60328586	0.33875453	0.33862322	59907	27126	0
59907	27818	0.00099676	0.04584280	0.48611037	0.04551797	0.48796941	0.60324436	0.60324354	0.33876784	0.33871977	0.60301009	0.60317065	0.33903638	0.33869028	59907	27816	0
59907	27821	0.00076531	0.04564195	0.48600320	0.04596137	0.48669757	0.60316581	0.60317756	0.33889792	0.33873079	0.60314321	0.60316654	0.33910426	0.33877639	59907	27819	0
59907	27824	0.00139207	0.04584569	0.48702904	0.04627015	0.48514875	0.60301658	0.60319695	0.33885067	0.33868748	0.60306441	0.60310163	0.33883202	0.33866579	59907	27822	0
59907	27827	0.00046868	0.04625542	0.48760269	0.04605967	0.49037286	0.60314674	0.60316811	0.33894484	0.33880696	0.60311979	0.60323910	0.33907147	0.33882249	59907	27826	0
59907	27831	0.00057770	0.04651416	0.48620856	0.04655796	0.48588150	0.60318364	0.60325537	0.33904649	0.33892972	0.60328627	0.60344774	0.33922053	0.33894944	59907	27829	0
59907	28520	0.00078990	0.04577792	0.48765083	0.04575156	0.48701424	0.60333327	0.60344207	0.33919588	0.33891641	0.60349605	0.60358669	0.33893424	0.33894805	59907	28519	0
59907	28523	0.00077968	0.04587230	0.48616233	0.04585222	0.48619297	0.60352383	0.60352933	0.33912324	0.33893030	0.60342358	0.60346885	0.33941034	0.33903482	59907	28522	0
59907	28527	0.00161073	0.04625573	0.48787304	0.04618244	0.48537989	0.60331010	0.60342004	0.33914764	0.33894632	0.60347189	0.60338077	0.33904575	0.33900770	59907	28525	0
59907	28530	0.00034414	0.04632359	0.48321921	0.04633418	0.48701898	0.60345743	0.60347682	0.33889735	0.33885856	0.60341084	0.60347707	0.33901231	0.33894681	59907	28528	0
59907	28533	0.00115400	0.04647049	0.48537301	0.04662474	0.48294343	0.60337584	0.60334321	0.33910902	0.33882142	0.60324576	0.60333220	0.33911806	0.33888042	59907	28532	0
59907	29223	0.00130568	0.04518095	0.48600319	0.04517968	0.48554817	0.60387412	0.60392203	0.33951980	0.33931659	0.60388859	0.60396418	0.33947534	0.33919678	59907	29221	0
59907	29226	0.00089351	0.04519304	0.48422935	0.04541802	0.48546585	0.60358463	0.60374602	0.33934494	0.33897853	0.60333795	0.60332448	0.33904172	0.33876357	59907	29224	0
