% File initiated 24/11/2022 07:08:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pio2 3pio2 5pio2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59907.297738
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59907	25727	0.00091716	0.04502850	0.48664155	0.04523952	0.48389006	0.60265914	0.60285076	0.33865905	0.33830727	0.60289053	0.60292570	0.33883703	0.33846455	59907	25725	0
59907	25730	0.00148703	0.04529352	0.48753807	0.04527392	0.48582847	0.60284451	0.60288823	0.33874886	0.33846151	0.60278132	0.60280515	0.33848649	0.33845494	59907	25729	0
59907	25733	-0.00024835	0.04522757	0.48598484	0.04563242	0.49119098	0.60288774	0.60287599	0.33845321	0.33834935	0.60278634	0.60283334	0.33843867	0.33841393	59907	25732	0
59907	25737	-0.00015922	0.04560860	0.48724318	0.04533884	0.48697578	0.60274443	0.60283219	0.33876719	0.33839873	0.60280737	0.60295117	0.33852223	0.33844154	59907	25735	0
59907	25740	0.00022213	0.04550155	0.48823177	0.04556937	0.48708772	0.60282833	0.60280400	0.33837071	0.33831368	0.60274353	0.60277713	0.33863736	0.33839692	59907	25738	0
59907	26429	0.00058484	0.04645539	0.48684728	0.04620643	0.48575916	0.60275593	0.60275224	0.33836553	0.33826142	0.60265988	0.60287853	0.33840941	0.33832560	59907	26428	0
59907	26433	0.00091087	0.04644913	0.48571171	0.04647393	0.48473361	0.60277565	0.60269932	0.33838172	0.33827514	0.60279365	0.60297525	0.33838706	0.33836422	59907	26431	0
59907	26436	0.00097299	0.04628260	0.48696031	0.04630187	0.48677396	0.60272463	0.60278650	0.33861082	0.33831138	0.60279948	0.60284509	0.33869110	0.33837071	59907	26434	0
59907	26439	0.00011523	0.04603418	0.48499568	0.04612267	0.48756897	0.60258346	0.60273876	0.33855954	0.33828180	0.60276892	0.60271205	0.33832773	0.33829971	59907	26438	0
59907	26442	0.00045356	0.04589857	0.48713668	0.04586130	0.48612167	0.60276095	0.60271394	0.33827383	0.33822592	0.60273662	0.60270211	0.33849298	0.33833866	59907	26441	0
59907	27132	0.00060416	0.04676894	0.48693352	0.04683333	0.48648172	0.60304222	0.60311141	0.33867236	0.33857926	0.60312431	0.60313220	0.33858049	0.33865059	59907	27130	0
59907	27135	0.00074709	0.04662981	0.48548755	0.04646023	0.48505878	0.60294567	0.60310146	0.33887639	0.33854434	0.60327748	0.60329744	0.33880080	0.33873531	59907	27134	0
59907	27138	0.00017467	0.04625060	0.48545452	0.04630421	0.48717178	0.60318134	0.60323721	0.33888954	0.33866373	0.60300951	0.60322275	0.33904320	0.33871920	59907	27137	0
59907	27142	0.00075452	0.04616252	0.48688352	0.04606943	0.48514397	0.60318002	0.60322053	0.33903162	0.33878453	0.60316087	0.60314510	0.33901436	0.33872594	59907	27140	0
59907	27145	0.00003391	0.04592382	0.48528403	0.04605065	0.48744586	0.60313713	0.60328471	0.33902693	0.33882923	0.60324313	0.60336080	0.33897640	0.33883465	59907	27143	0
59907	27835	0.00066883	0.04675051	0.48795636	0.04664017	0.48605160	0.60320295	0.60332719	0.33921527	0.33888658	0.60352161	0.60351520	0.33897689	0.33891534	59907	27833	0
59907	27838	0.00050045	0.04675440	0.48537926	0.04666250	0.48588440	0.60327698	0.60342506	0.33902816	0.33886456	0.60337592	0.60342161	0.33919555	0.33893630	59907	27836	0
59907	27841	0.00019461	0.04649536	0.48473870	0.04635220	0.48565623	0.60345743	0.60346598	0.33894394	0.33890203	0.60345604	0.60347765	0.33898724	0.33892463	59907	27839	0
59907	27844	0.00037805	0.04637070	0.48502178	0.04619588	0.48447146	0.60355324	0.60350723	0.33902134	0.33898634	0.60341437	0.60359055	0.33937098	0.33903646	59907	27843	0
59907	27848	-0.00008453	0.04617353	0.48544896	0.04620245	0.48683670	0.60344848	0.60355185	0.33920138	0.33904279	0.60341717	0.60359868	0.33934099	0.33902742	59907	27846	0
59907	28537	-0.00075731	0.04680399	0.48258841	0.04651650	0.48460675	0.60339835	0.60338726	0.33897919	0.33881082	0.60339096	0.60343286	0.33905709	0.33888017	59907	28535	0
59907	28540	-0.00074466	0.04664278	0.48483933	0.04643562	0.48480139	0.60345020	0.60352555	0.33901050	0.33891230	0.60349630	0.60352070	0.33894542	0.33888478	59907	28539	0
59907	28544	0.00099765	0.04638754	0.48841420	0.04617064	0.48318726	0.60340254	0.60345776	0.33901304	0.33869175	0.60335521	0.60337091	0.33898108	0.33881887	59907	28542	0
59907	28547	0.00122912	0.04617790	0.48433380	0.04625067	0.48363940	0.60334313	0.60334872	0.33894032	0.33877458	0.60331938	0.60331725	0.33891493	0.33886801	59907	28545	0
59907	28550	0.00081005	0.04604999	0.48454275	0.04619902	0.48579995	0.60343722	0.60351306	0.33873005	0.33885002	0.60344124	0.60339810	0.33888510	0.33883687	59907	28549	0
59907	29240	0.00061481	0.04582387	0.48527022	0.04559919	0.48585593	0.60273876	0.60290540	0.33862306	0.33833924	0.60290417	0.60301823	0.33850325	0.33857975	59907	29238	0
59907	29243	0.00048761	0.04568438	0.48475014	0.04506341	0.48513175	0.60339342	0.60339219	0.33926671	0.33903794	0.60318774	0.60326967	0.33913827	0.33900335	59907	29241	0
59907	29246	0.00160004	0.04549998	0.48828496	0.04547857	0.48494767	0.60329317	0.60337148	0.33943598	0.33912398	0.60356836	0.60356639	0.33935052	0.33926227	59907	29245	0
59907	29249	-0.00018216	0.04500022	0.48430465	0.04533307	0.48965125	0.60367198	0.60365218	0.33972761	0.33951248	0.60376648	0.60349572	0.33965941	0.33944576	59907	29248	0
59907	29253	-0.00044634	0.04526926	0.48443328	0.04501508	0.48522583	0.60382959	0.60380502	0.34000576	0.33968759	0.60375678	0.60382211	0.33998152	0.33963459	59907	29251	0
59907	29942	-0.00023470	0.04569560	0.48433770	0.04589634	0.48370277	0.60199971	0.60189206	0.33839627	0.33833661	0.60200883	0.60208854	0.33852240	0.33846250	59907	29941	0
59907	29945	0.00042484	0.04581648	0.48457523	0.04562271	0.48259662	0.60192756	0.60206512	0.33866365	0.33849323	0.60212773	0.60207777	0.33855987	0.33855223	59907	29944	0
59907	29949	0.00020966	0.04546629	0.48553141	0.04532480	0.48617694	0.60188072	0.60209823	0.33878165	0.33856250	0.60209675	0.60221138	0.33874114	0.33860490	59907	29947	0
59907	29952	0.00033619	0.04541145	0.48530875	0.04524436	0.48492918	0.60208878	0.60204646	0.33853965	0.33851722	0.60195920	0.60199798	0.33876390	0.33851065	59907	29950	0
59907	29955	0.00051509	0.04509062	0.48647845	0.04517735	0.48594172	0.60203940	0.60211672	0.33869364	0.33869192	0.60210053	0.60208911	0.33859964	0.33863095	59907	29954	0
