% File initiated 24/11/2022 07:08:44 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 790 1290 microwave leakage pio2 3pio2 5pio2 no water cooling AC Stark
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59907.297738
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59907	25743	0.00081104	0.00853842	0.48652452	0.00858313	0.48409140	0.60331067	0.60259989	0.33824671	0.33830588	0.60338545	0.60265437	0.33829881	0.33828361	59907	25742	0
59907	25746	0.00064363	0.00861397	0.48537911	0.00857478	0.48588133	0.60326326	0.60254377	0.33823480	0.33834926	0.60331528	0.60258452	0.33823200	0.33836184	59907	25745	0
59907	25750	-0.00012948	0.00865429	0.48340564	0.00859426	0.48572497	0.60336384	0.60257031	0.33837063	0.33830974	0.60346951	0.60267960	0.33831467	0.33836159	59907	25748	0
59907	25753	0.00026979	0.00866509	0.48655839	0.00864830	0.48536057	0.60333837	0.60264886	0.33833234	0.33823340	0.60340673	0.60252142	0.33832379	0.33829536	59907	25751	0
59907	25756	0.00012487	0.00862237	0.48626917	0.00859271	0.48670393	0.60328873	0.60265692	0.33823135	0.33837252	0.60335398	0.60248584	0.33821302	0.33817169	59907	25755	0
59907	25760	0.00075124	0.00863601	0.48788405	0.00858981	0.48600495	0.60324239	0.60250120	0.33825411	0.33827301	0.60319974	0.60245099	0.33828131	0.33831401	59907	25758	0
59907	25763	0.00089019	0.00858910	0.48540566	0.00856373	0.48498879	0.60330739	0.60252758	0.33823661	0.33819667	0.60325825	0.60241574	0.33812444	0.33825592	59907	25761	0
59907	25766	0.00014629	0.00861916	0.48322741	0.00862576	0.48545911	0.60326983	0.60257951	0.33830727	0.33832798	0.60332875	0.60257655	0.33829618	0.33838706	59907	25764	0
59907	25769	0.00069174	0.00863241	0.48335254	0.00857523	0.48171621	0.60335110	0.60245206	0.33835469	0.33829996	0.60338997	0.60256973	0.33846389	0.33833990	59907	25768	0
59907	25773	0.00034819	0.00857945	0.48526666	0.00864582	0.48629729	0.60336885	0.60262512	0.33836110	0.33838756	0.60336819	0.60261813	0.33836594	0.33836364	59907	25771	0
59907	25776	0.00048783	0.00864936	0.48338859	0.00866377	0.48296969	0.60334568	0.60262421	0.33831097	0.33829002	0.60340271	0.60262914	0.33839766	0.33836989	59907	25774	0
59907	25779	0.00001193	0.00859921	0.48327431	0.00860859	0.48470199	0.60341856	0.60267097	0.33842708	0.33847211	0.60345020	0.60266086	0.33840539	0.33837375	59907	25777	0
59907	25782	-0.00058709	0.00861686	0.48416206	0.00865635	0.48595913	0.60347945	0.60259940	0.33840350	0.33842429	0.60347625	0.60269932	0.33837112	0.33839857	59907	25781	0
