% File initiated 06/12/2022 13:15:12 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 800 1280 1740 2200 2660 1280 microwave leakage pio2 3pio2 5pio2 7pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59919.552225
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59919	48188	0.00044413	0.00628094	0.50999601	0.00625786	0.50982724	0.58675960	0.58599376	0.32010447	0.32014572	0.58664251	0.58600609	0.32008285	0.32019025	59919	48186	0
59919	48191	-0.00251081	0.00628740	0.50967808	0.00623782	0.51080096	0.58656411	0.58595539	0.32001613	0.32013668	0.58654160	0.58578965	0.31996740	0.31999353	59919	48190	0
59919	48195	-0.00683924	0.00623153	0.50938140	0.00623276	0.51102620	0.58666067	0.58596755	0.31993684	0.32009526	0.58672106	0.58587535	0.31998589	0.32000783	59919	48193	0
59919	48198	0.00759868	0.00623097	0.51295739	0.00627924	0.50747098	0.58667644	0.58593780	0.32002673	0.32000068	0.58675598	0.58592630	0.32001013	0.32015484	59919	48196	0
59919	48201	-0.00348741	0.00625522	0.50950009	0.00623480	0.51371280	0.58664974	0.58595383	0.31993544	0.31996716	0.58662394	0.58583361	0.31986559	0.31997340	59919	48199	0
59919	48204	0.00358081	0.00631224	0.51088842	0.00622194	0.50820249	0.58664744	0.58580123	0.31985023	0.31996872	0.58653757	0.58582095	0.31988901	0.31996453	59919	48203	0
59919	48208	0.00026465	0.00623716	0.51011308	0.00628029	0.51137322	0.58652188	0.58578505	0.31984012	0.31993560	0.58668770	0.58584010	0.31990364	0.31991457	59919	48206	0
59919	48211	0.00063262	0.00624858	0.51031946	0.00626402	0.51017963	0.58661884	0.58580756	0.31981941	0.31988153	0.58641308	0.58581167	0.31977857	0.31988918	59919	48209	0
59919	48214	-0.00365782	0.00628802	0.50876107	0.00625765	0.51039144	0.58637767	0.58566532	0.31975137	0.31981760	0.58639402	0.58575637	0.31977315	0.31984850	59919	48212	0
59919	48217	0.00417958	0.00622464	0.51141234	0.00626735	0.50843412	0.58637323	0.58564289	0.31973741	0.31976534	0.58644184	0.58562982	0.31968736	0.31976904	59919	48216	0
59919	48221	-0.00058940	0.00624613	0.50921686	0.00623219	0.51102907	0.58633305	0.58568710	0.31968038	0.31982747	0.58638358	0.58578653	0.31972007	0.31991186	59919	48219	0
59919	48224	-0.00114035	0.00625632	0.51022263	0.00620103	0.51043199	0.58639024	0.58556647	0.31969911	0.31976395	0.58634299	0.58550295	0.31963913	0.31977751	59919	48222	0
59919	48227	0.00690748	0.00622503	0.51225564	0.00624823	0.50919746	0.58633560	0.58559597	0.31961489	0.31970018	0.58625589	0.58552563	0.31958391	0.31964143	59919	48226	0
59919	48230	-0.00316485	0.00625115	0.50844810	0.00623125	0.51227558	0.58630371	0.58553229	0.31952647	0.31969131	0.58633740	0.58552834	0.31958941	0.31961604	59919	48229	0
59919	48234	0.00553613	0.00630622	0.51155710	0.00629273	0.50825073	0.58624003	0.58558759	0.31953288	0.31953814	0.58623929	0.58550155	0.31942589	0.31953403	59919	48232	0
59919	48237	-0.00293326	0.00627251	0.50893207	0.00624876	0.51215044	0.58623502	0.58548660	0.31943962	0.31956747	0.58615046	0.58545159	0.31935580	0.31949656	59919	48235	0
59919	48240	0.00407661	0.00635605	0.51135375	0.00623278	0.50869000	0.58622031	0.58545751	0.31937445	0.31949040	0.58620355	0.58551298	0.31941398	0.31941883	59919	48239	0
