% File initiated 06/12/2022 13:15:12 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 800 1280 1740 2200 2660 1280 microwave leakage pio2 3pio2 5pio2 7pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59919.552225
%% clock_data = False
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59919	47829	0.00055314	0.04271799	0.50338218	0.04271771	0.50205465	0.58454656	0.58449249	0.31912235	0.31880114	0.58459964	0.58440284	0.31907823	0.31879745	59919	47827	0
59919	47832	-0.00105733	0.04271696	0.50067849	0.04260321	0.50454361	0.58460342	0.58439125	0.31883344	0.31874313	0.58457071	0.58438123	0.31894149	0.31878553	59919	47830	0
59919	47835	0.00116235	0.04263558	0.50567947	0.04259154	0.50035224	0.58458937	0.58437646	0.31904569	0.31875504	0.58464927	0.58437802	0.31896738	0.31884773	59919	47834	0
59919	47839	0.00086150	0.04255290	0.50221752	0.04263311	0.50293956	0.58439824	0.58429141	0.31894733	0.31870377	0.58462330	0.58445987	0.31892078	0.31889457	59919	47837	0
59919	47842	-0.00053134	0.04252137	0.50020216	0.04282665	0.50354498	0.58456636	0.58447211	0.31901651	0.31883565	0.58480975	0.58454195	0.31890410	0.31888964	59919	47840	0
59919	48629	-0.00102798	0.04335397	0.50213765	0.04321896	0.50332959	0.58667866	0.58660150	0.32061623	0.32046988	0.58669485	0.58652771	0.32038130	0.32039774	59919	48628	0
59919	48633	0.00103725	0.04327740	0.50451483	0.04312766	0.49955826	0.58663396	0.58645031	0.32044589	0.32030874	0.58668499	0.58651498	0.32054819	0.32024580	59919	48631	0
59919	48636	0.00007714	0.04309728	0.50104945	0.04322804	0.50335372	0.58666034	0.58649525	0.32038590	0.32043266	0.58670611	0.58646296	0.32051910	0.32039133	59919	48634	0
59919	48639	0.00000305	0.04318426	0.50225547	0.04327513	0.50243328	0.58674711	0.58657167	0.32065691	0.32034860	0.58688080	0.58656461	0.32059889	0.32044260	59919	48638	0
59919	48642	0.00109343	0.04314394	0.50442995	0.04311387	0.50181305	0.58675845	0.58654119	0.32048089	0.32035402	0.58662065	0.58648071	0.32055575	0.32033561	59919	48641	0
